Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2001-03-21,7.55,7.75,7.55,7.7,,,
2001-03-22,7.75,7.9,7.75,7.85,,,
2001-03-23,7.65,7.7,7.5,7.55,,,
2001-03-26,7.7,7.7,7.65,7.7,,,
2001-03-27,7.6,7.75,7.55,7.7,,,
2001-03-28,7.75,7.75,7.65,7.65,,,
2001-03-29,7.7,7.75,7.6,7.75,,,
2001-03-30,7.65,7.7,7.65,7.7,,,
2001-04-02,7.6,7.65,7.6,7.65,,,
2001-04-03,7.5,7.7,7.5,7.65,,,
2001-04-04,7.65,7.7,7.65,7.7,,,
2001-04-06,7.65,7.7,7.5,7.65,,,
2001-04-09,7.5,7.6,7.5,7.5,,,
2001-04-10,7.55,7.55,7.5,7.55,,,
2001-04-11,7.65,7.65,7.45,7.45,,,
2001-04-12,7.4,7.5,7.2,7.25,,,
2001-04-16,7.6,7.6,7.15,7.2,,,
2001-04-17,7.5,7.5,7.15,7.15,,,
2001-04-18,7.5,7.5,7.25,7.25,,,
2001-04-19,7.15,7.4,7.15,7.3,,7.129637127574607,7.960362872425393
2001-04-20,7.4,7.4,7.2,7.2,,7.084230867497358,7.955769132502643
2001-04-23,7.4,7.4,7.35,7.35,,7.082179151893246,7.907820848106752
2001-04-24,7.4,7.4,7.1,7.25,,7.054002718071433,7.905997281928566
2001-04-25,7.25,7.5,7.0,7.05,,6.9938887590736565,7.901111240926343
2001-04-26,7.45,7.45,7.0,7.3,,6.98564386718609,7.869356132813911
2001-04-27,7.15,7.15,7.0,7.15,,6.9570847590819245,7.8479152409180735
2001-04-30,7.25,7.25,7.0,7.0,,6.916493707137966,7.813506292862033
2001-05-02,7.45,7.45,7.3,7.3,,6.924599188743332,7.7654008112566695
2001-05-03,7.45,7.45,7.0,7.05,,6.900652065859719,7.729347934140282
2001-05-04,7.3,7.3,7.0,7.0,,6.87691400418653,7.688085995813471
2001-05-07,7.3,7.3,7.0,7.3,,6.907275830599437,7.617724169400564
2001-05-08,7.45,7.45,7.1,7.2,,6.934609826787531,7.5453901732124695
2001-05-09,7.55,7.55,7.0,7.0,,6.917466277895296,7.512533722104705
2001-05-10,7.45,7.45,7.1,7.2,,6.945194838069357,7.449805161930643
2001-05-11,7.3,7.3,7.15,7.2,,6.962336695056353,7.407663304943646
2001-05-14,7.35,7.35,7.0,7.0,,6.937474805381912,7.407525194618087
2001-05-15,7.35,7.35,7.0,7.3,,6.935849970324621,7.41915002967538
2001-05-16,7.3,7.3,7.1,7.1,,6.931127729722027,7.418872270277973
2001-05-17,7.3,7.3,7.0,7.15,,6.928513376201308,7.411486623798692
2001-05-18,7.3,7.3,7.25,7.25,,6.930690060663772,7.404309939336227
2001-05-21,7.25,7.25,7.2,7.2,,6.930690060663772,7.404309939336227
2001-05-22,7.25,7.65,7.25,7.45,,6.916056716027223,7.42894328397278
2001-05-23,7.7,7.7,7.6,7.65,,6.85960994386481,7.525390056135191
2001-05-24,7.75,7.75,7.5,7.5,,6.862415556960195,7.567584443039807
2001-05-25,7.75,7.75,7.25,7.25,,6.861748926174874,7.563251073825127
2001-05-28,7.5,7.5,7.5,7.5,,6.858091692115263,7.60190830788474
2001-05-29,7.5,7.7,7.5,7.5,,6.880974951584643,7.629025048415358
2001-05-30,7.95,7.95,7.5,7.55,,6.871101741997554,7.663898258002446
2001-05-31,7.55,7.55,7.25,7.4,,6.898245623982835,7.671754376017163
2001-06-01,7.55,7.55,7.35,7.4,7.372999999999999,6.9395154622033575,7.670484537796642
2001-06-04,7.5,7.5,7.3,7.35,7.3660000000000005,6.941475842039722,7.673524157960278
2001-06-05,7.35,7.35,7.25,7.25,7.354,6.9463923456309065,7.673607654369093
2001-06-06,7.5,7.5,7.4,7.4,7.350999999999999,6.995335989386364,7.664664010613636
2001-06-07,7.5,7.5,7.3,7.3,7.343,7.0055666747436165,7.664433325256382
2001-06-08,7.5,7.6,7.1,7.45,7.337999999999999,7.020673150623014,7.674326849376988
2001-06-11,7.5,7.5,7.45,7.5,7.335,7.083263254864038,7.661736745135963
2001-06-12,7.6,7.6,7.35,7.35,7.327000000000001,7.087542909380597,7.662457090619403
2001-06-13,7.6,7.6,7.4,7.4,7.320999999999999,7.13330029832096,7.646699701679041
2001-06-14,7.6,7.6,7.35,7.5,7.318,7.172923113266723,7.642076886733278
2001-06-15,7.6,7.6,7.25,7.25,7.31,7.172923113266723,7.642076886733278
2001-06-18,7.5,7.5,7.25,7.5,7.305999999999999,7.206130433115729,7.638869566884273
2001-06-19,7.5,7.5,7.25,7.3,7.2989999999999995,7.192336695056361,7.637663304943641
2001-06-20,7.5,7.5,7.25,7.45,7.297999999999999,7.210604851695795,7.599395148304204
2001-06-21,7.5,7.5,7.25,7.45,7.296,7.212002037585139,7.592997962414859
2001-06-22,7.45,7.5,7.35,7.4,7.295,7.233484009968373,7.586515990031626
2001-06-25,7.5,7.5,7.4,7.45,7.2989999999999995,7.234979978278636,7.580020021721365
2001-06-26,7.45,7.45,7.4,7.45,7.303999999999999,7.236727038792064,7.573272961207935
2001-06-27,7.5,7.5,7.25,7.25,7.305999999999999,7.222667994693175,7.557332005306826
2001-06-28,7.5,7.5,7.35,7.35,7.308,7.219305250723414,7.5556947492765865
2001-06-29,7.5,7.5,7.35,7.35,7.309000000000001,7.216102647180374,7.553897352819625
2001-07-02,7.5,7.75,7.45,7.75,7.32,7.171266008147356,7.638733991852643
