Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2000-01-11,193.75,215.6,186.5,194.3,,,
2000-01-12,195.0,209.85,195.0,209.85,,,
2000-01-13,223.75,226.65,222.6,226.65,,,
2000-01-14,244.8,244.8,229.4,244.8,,,
2000-01-17,264.4,264.4,225.2,225.2,,,
2000-01-18,216.3,226.9,207.2,221.8,,,
2000-01-19,226.9,236.1,220.0,231.4,,,
2000-01-20,233.1,233.1,218.75,219.7,,,
2000-01-21,220.1,226.9,213.1,222.65,,,
2000-01-24,229.35,240.5,224.4,240.5,,,
2000-01-25,248.75,259.7,248.75,259.7,,,
2000-01-27,280.0,280.0,245.6,260.05,,,
2000-01-28,262.5,280.6,252.5,274.6,,,
2000-01-31,263.9,275.0,252.65,253.8,,,
2000-02-01,247.65,272.5,247.65,270.25,,,
2000-02-02,282.5,282.5,251.25,253.0,,,
2000-02-03,259.4,259.4,239.4,244.55,,,
2000-02-04,249.1,258.0,245.6,248.3,,,
2000-02-07,248.1,265.0,245.0,257.85,,,
2000-02-08,256.2,257.5,246.25,249.9,,198.6398524510078,282.24514754899224
2000-02-09,262.5,262.5,246.9,249.9,,207.3684467900915,279.0765532099085
2000-02-10,247.05,251.85,245.6,249.6,,212.91487082513754,277.50512917486253
2000-02-11,249.75,269.55,249.0,269.55,,214.5555311339537,280.15446886604633
2000-02-14,274.9,291.1,274.9,290.55,,211.62670999803254,287.65829000196743
2000-02-15,293.75,313.8,276.25,313.55,,208.26607256989536,299.85392743010465
2000-02-16,320.0,320.0,288.5,302.9,,210.04284918260328,306.1871508173966
2000-02-17,305.6,327.1,297.5,326.8,,207.58523222662248,318.18476777337753
2000-02-18,350.0,353.0,345.05,347.0,,206.12784607770828,332.3721539222917
2000-02-21,352.9,374.75,340.6,352.4,,206.41515701563372,345.0598429843663
2000-02-22,350.0,359.4,331.5,337.55,,208.13717251530943,353.0428274846905
2000-02-23,353.1,358.75,310.55,318.6,,209.87916377145436,357.19083622854555
2000-02-24,321.25,331.25,305.6,308.0,,212.37386406204473,359.4911359379553
2000-02-25,312.25,317.5,285.0,289.65,,213.30679371301898,360.06320628698114
2000-02-28,275.0,287.5,266.5,282.85,,216.36768612110978,359.9073138788902
