Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2018-08-06,1726.25,1844.0,1726.25,1815.95,,,
2018-08-07,1819.8,1834.0,1755.0,1769.95,,,
2018-08-08,1762.0,1798.9,1742.35,1779.65,,,
2018-08-09,1779.6,1787.0,1740.0,1749.05,,,
2018-08-10,1740.0,1768.0,1740.0,1748.9,,,
2018-08-13,1739.0,1741.2,1704.5,1705.55,,,
2018-08-14,1707.5,1746.95,1707.5,1727.95,,,
2018-08-16,1726.9,1741.0,1707.0,1710.3,,,
2018-08-17,1719.7,1731.8,1714.05,1715.65,,,
2018-08-20,1724.75,1755.8,1722.2,1747.15,,,
2018-08-21,1757.5,1773.3,1747.0,1763.6,,,
2018-08-23,1780.0,1848.8,1771.2,1834.7,,,
2018-08-24,1834.5,1924.4,1822.45,1895.05,,,
2018-08-27,1910.0,1970.0,1910.0,1942.0,,,
2018-08-28,1952.0,1955.45,1852.05,1863.8,,,
2018-08-29,1865.0,1865.0,1807.55,1820.05,,,
2018-08-30,1820.05,1854.65,1820.0,1837.6,,,
2018-08-31,1840.0,1844.95,1810.0,1814.05,,,
2018-09-03,1810.0,1810.0,1738.0,1741.9,,,
2018-09-04,1749.0,1772.0,1731.75,1738.45,,1656.3395689015288,1915.7904310984713
2018-09-05,1742.0,1748.8,1662.0,1682.4,,1642.5835262388475,1916.1914737611526
2018-09-06,1690.0,1715.0,1681.25,1685.75,,1632.1116429712579,1918.2433570287417
2018-09-07,1700.2,1703.95,1660.0,1672.25,,1619.5658936139068,1920.0491063860925
2018-09-10,1672.9,1672.9,1626.0,1631.3,,1601.5171435304364,1926.3228564695637
2018-09-11,1640.0,1665.0,1608.1,1614.15,,1581.516943734992,1932.8480562650082
2018-09-12,1619.9,1635.35,1592.9,1630.65,,1570.1106998372995,1936.7643001627005
2018-09-14,1645.9,1658.0,1626.55,1635.45,,1558.2537512884116,1939.3712487115884
2018-09-17,1625.0,1625.0,1595.0,1599.7,,1541.9058006867085,1944.659199313291
2018-09-18,1601.25,1604.5,1526.0,1536.2,,1512.7679293844362,1955.8520706155641
2018-09-19,1475.0,1480.0,1396.5,1408.85,,1452.5529519391746,1982.2370480608254
2018-09-21,1425.0,1430.0,1250.0,1383.3,,1395.6122804524896,2001.1477195475102
2018-09-24,1390.0,1414.35,1325.2,1334.95,,1337.3363936646695,2009.4486063353304
2018-09-25,1343.4,1406.85,1315.75,1397.2,,1307.852744570606,1989.147255429394
2018-09-26,1417.0,1444.0,1410.0,1439.05,,1300.1215275474342,1946.5834724525657
2018-09-27,1439.9,1445.45,1365.5,1371.1,,1277.551728285372,1919.8832717146279
2018-09-28,1394.0,1394.0,1308.0,1327.45,,1248.8618635485313,1899.3131364514688
2018-10-01,1334.9,1334.9,1282.0,1301.4,,1225.1269116835556,1869.4280883164442
2018-10-03,1300.0,1321.0,1280.0,1290.1,,1205.1165520806999,1837.0434479193
2018-10-04,1278.0,1308.7,1265.75,1292.55,,1184.866040384832,1812.3589596151678
2018-10-05,1295.0,1319.25,1282.2,1297.45,,1171.9332104053406,1781.1917895946594
