Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-06-14,4.7,4.75,4.6,4.6,,,
1995-06-15,4.6,4.6,4.5,4.55,,,
1995-06-16,4.6,4.6,4.5,4.5,,,
1995-06-19,4.5,4.55,4.45,4.5,,,
1995-06-20,4.5,4.5,4.45,4.5,,,
1995-06-21,4.65,4.65,4.55,4.55,,,
1995-06-22,4.55,4.55,4.4,4.45,,,
1995-06-23,4.5,4.5,4.4,4.4,,,
1995-06-26,4.35,4.35,4.15,4.2,,,
1995-06-27,4.2,4.2,4.05,4.15,,,
1995-06-28,4.2,4.3,4.15,4.3,,,
1995-06-29,4.3,4.3,4.2,4.2,,,
1995-06-30,4.2,4.2,4.1,4.15,,,
1995-07-03,4.0,4.15,3.95,4.0,,,
1995-07-05,4.0,4.1,3.95,3.95,,,
1995-07-10,4.0,4.1,4.0,4.05,,,
1995-07-11,3.85,4.1,3.85,4.1,,,
1995-07-12,4.2,4.2,4.1,4.1,,,
1995-07-13,4.15,4.15,4.1,4.15,,,
1995-07-14,4.2,4.4,4.15,4.35,,3.8747110262590514,4.700288973740948
1995-07-17,4.5,4.5,4.4,4.45,,3.886099130824973,4.673900869175028
1995-07-18,4.45,4.5,4.4,4.4,,3.89486887951614,4.650131120483858
1995-07-19,4.4,4.45,4.4,4.4,,3.9000407290739916,4.634959270926008
1995-07-20,4.5,4.5,4.45,4.45,,3.903570091238469,4.626429908761531
1995-07-21,4.4,4.45,4.4,4.4,,3.909661817517326,4.610338182482673
1995-07-24,4.45,4.45,4.4,4.4,,3.9224681036148485,4.5825318963851505
1995-07-25,4.4,4.4,4.35,4.4,,3.9255571577384747,4.574442842261525
1995-07-26,4.45,4.45,4.4,4.45,,3.9224681036148494,4.582531896385151
1995-07-27,4.4,4.45,4.35,4.4,,3.927089803375032,4.5979101966249685
1995-07-28,4.3,4.3,4.15,4.25,,3.9361947662732497,4.59880523372675
1995-07-31,4.15,4.2,4.1,4.15,,3.925021603210312,4.594978396789688
1995-08-01,4.1,4.2,4.1,4.1,,3.9133322635874683,4.596667736412532
1995-08-03,4.2,4.25,4.15,4.15,,3.913332263587469,4.596667736412533
1995-08-11,4.15,4.15,4.1,4.15,,3.938259997922267,4.586740002077733
1995-08-14,4.1,4.15,4.1,4.1,,3.9701754899243475,4.569824510075653
1995-08-16,4.15,4.15,4.1,4.1,,3.9796465248716744,4.565353475128326
1995-08-17,4.2,4.2,4.1,4.1,,3.9796465248716744,4.565353475128326
1995-08-18,4.1,4.2,4.1,4.1,,3.9796465248716744,4.565353475128326
1995-08-21,4.15,4.15,4.1,4.1,,3.971936071851762,4.568063928148238
1995-08-22,4.1,4.15,4.05,4.1,,3.952670453151964,4.562329546848036
1995-08-23,4.1,4.1,4.1,4.1,,3.941583124507096,4.538416875492905
1995-08-24,4.05,4.1,4.0,4.1,,3.930310154122748,4.519689845877251
1995-08-25,4.1,4.1,3.95,4.0,,3.9060544848093017,4.503945515190699
1995-08-28,3.95,4.0,3.9,3.9,,3.8723253304296557,4.482674669570344
1995-08-30,3.9,4.0,3.9,3.9,,3.8421945477691204,4.462805452230881
1995-08-31,3.9,4.0,3.9,3.9,,3.8206055384561055,4.434394461543893
1995-09-01,3.95,3.95,3.9,3.95,,3.8168114652194705,4.393188534780529
1995-09-05,3.9,3.9,3.9,3.9,,3.8251948380693666,4.329805161930633
1995-09-11,3.9,3.9,3.8,3.85,,3.8275731935882567,4.272426806411743
1995-09-12,3.85,3.85,3.8,3.8,4.206,3.799291877076161,4.255708122923839
1995-09-13,3.8,3.9,3.8,3.85,4.191,3.7788223092422046,4.246177690757795
1995-09-14,3.85,3.85,3.75,3.8,4.175999999999999,3.749401971835831,4.245598028164169
1995-09-15,3.65,3.8,3.65,3.75,4.161,3.7169843170697145,4.2380156829302855
1995-09-18,3.8,3.8,3.7,3.75,4.146,3.6913876375030923,4.223612362496909
1995-09-19,3.7,3.75,3.65,3.7,4.13,3.6567585006207914,4.218241499379209
1995-09-20,3.7,3.7,3.6,3.65,4.112,3.6174662778953017,4.212533722104698
1995-09-21,3.7,3.7,3.6,3.6,4.095,3.5744386789094333,4.205561321090566
1995-09-22,3.6,3.65,3.6,3.65,4.08,3.5508148666510952,4.184185133348905
1995-09-25,3.65,3.65,3.6,3.65,4.069,3.533974531420229,4.156025468579772
1995-09-26,3.65,3.7,3.6,3.65,4.059,3.5243036676423016,4.120696332357697
1995-09-27,3.7,3.7,3.6,3.65,4.046,3.5227959140575993,4.0772040859424
1995-09-28,3.65,3.65,3.6,3.65,4.035,3.531532522475015,4.023467477524986
1995-09-29,3.65,3.65,3.6,3.65,4.025,3.5315037717689988,3.9884962282310017
1995-10-10,3.85,3.85,3.75,3.8,4.021,3.5351914708804757,3.974808529119524
1995-10-11,3.8,3.85,3.75,3.8,4.018,3.53973700678485,3.96026299321515
1995-10-12,3.8,3.8,3.7,3.75,4.012,3.5444170827525308,3.9405829172474705
1995-10-13,3.75,3.8,3.65,3.7,4.004,3.5570990548258616,3.9029009451741374
1995-10-16,3.7,3.7,3.65,3.65,3.995,3.5609752415749982,3.8740247584250014
1995-10-17,3.65,3.7,3.6,3.6,3.984,3.5531690690967324,3.856830930903267
1995-10-18,3.6,3.65,3.5,3.6,3.969,3.5431690690967326,3.846830930903268
1995-10-19,3.6,3.6,3.5,3.5,3.95,3.520304178440407,3.8346958215595923
1995-10-20,3.5,3.5,3.4,3.4,3.93,3.467555409741611,3.8474445902583887
1995-10-23,3.5,3.5,3.4,3.4,3.91,3.423326585800059,3.8566734141999404
1995-10-24,3.4,3.45,3.2,3.3,3.8870000000000005,3.359420045028868,3.8755799549711316
1995-10-25,3.3,3.4,3.4,3.4,3.867,3.330132214595186,3.874867785404814
1995-10-26,3.4,3.5,3.3,3.35,3.846,3.2939285256937874,3.8810714743062125
1995-10-27,3.35,3.4,3.3,3.35,3.825,3.2629608661519534,3.887039133848047
1995-10-30,3.3,3.4,3.3,3.4,3.8040000000000003,3.243166813170735,3.881833186829265
1995-10-31,3.4,3.4,3.35,3.4,3.784,3.2255571577384625,3.874442842261537
1995-11-01,3.4,3.45,3.4,3.4,3.767,3.210029631714148,3.864970368285852
1995-11-10,3.25,3.3,3.2,3.25,3.7489999999999997,3.17067227088334,3.8643277291166593
1995-11-13,3.25,3.2,3.1,3.15,3.73,3.115147728452425,3.8698522715475745
1995-11-14,3.15,3.1,3.0,3.0,3.707,3.0312932544451625,3.8887067455548374
1995-11-15,3.0,3.05,3.0,3.05,3.685,2.9878495051980396,3.857150494801961
1995-11-16,3.05,3.1,3.0,3.05,3.6639999999999997,2.9581387505104253,3.8118612494895734
1995-11-17,3.05,3.05,3.0,3.0,3.642,2.923887714506456,3.7711122854935444
1995-11-20,3.0,3.1,3.0,3.0,3.62,2.895903514682422,3.729096485317578
1995-11-21,3.0,3.05,3.0,3.0,3.5980000000000003,2.8729567461235503,3.6870432538764493
1995-11-22,3.0,3.05,2.9,2.95,3.575,2.844256570843483,3.6507434291565173
1995-11-23,2.95,2.95,2.9,2.9,3.5509999999999997,2.816633196244239,3.608366803755761
1995-11-24,2.9,3.05,2.9,3.0,3.529,2.8051595620048424,3.5698404379951567
1995-11-27,3.0,3.1,3.0,3.0,3.5069999999999997,2.79014772845242,3.544852271547579
1995-11-28,3.0,3.05,2.95,3.0,3.487,2.779754378536907,3.5152456214630927
1995-11-29,3.0,3.0,2.9,2.95,3.468,2.759509571115865,3.500490428884135
1995-11-30,3.0,3.0,2.9,3.0,3.45,2.7581627170349567,3.461837282965044
1995-12-01,3.0,3.05,2.9,3.0,3.432,2.7564627213662263,3.428537278633774
1995-12-08,3.0,3.0,3.0,3.0,3.4130000000000003,2.7596055101772703,3.39039448982273
1995-12-11,3.0,3.0,2.95,3.0,3.395,2.7779858449369836,3.3320141550630167
1995-12-12,3.0,3.0,2.95,3.0,3.378,2.809985380591877,3.2600146194081234
1995-12-13,3.0,3.0,2.95,2.95,3.3609999999999998,2.8642647673103974,3.160735232689603
1995-12-14,2.95,3.0,2.9,2.95,3.343,2.8976316656264816,3.0973683343735177
1995-12-15,2.95,3.0,2.9,2.95,3.326,2.91586496005876,3.0591350399412396
1995-12-18,2.95,3.0,2.95,3.0,3.3110000000000004,2.91586496005876,3.0591350399412396
1995-12-19,3.0,3.0,2.95,3.0,3.2960000000000003,2.9193053314667106,3.05069466853329
1995-12-20,3.0,3.0,2.95,2.95,3.2809999999999997,2.9201756958382656,3.0398243041617343
1995-12-21,3.0,3.0,2.95,3.0,3.2679999999999993,2.9201756958382656,3.0398243041617343
1995-12-22,3.0,3.0,2.95,3.0,3.256,2.9201756958382656,3.0398243041617343
1995-12-26,3.0,3.0,2.95,3.0,3.2429999999999994,2.9201756958382656,3.0398243041617343
1995-12-27,3.0,3.05,3.0,3.0,3.23,2.9237857051386356,3.041214294861365
1995-12-28,3.0,3.3,3.05,3.1,3.2190000000000003,2.9254179606748982,3.059582039325102
1995-12-29,3.1,3.15,3.0,3.0,3.2060000000000004,2.9254179606748982,3.059582039325102
1996-01-01,3.0,3.0,2.9,3.0,3.193,2.9254179606748982,3.059582039325102
1996-01-02,3.0,3.0,2.95,3.0,3.18,2.9254179606748982,3.059582039325102
1996-01-09,2.9,2.9,2.8,2.8,3.16,2.8769064732450165,3.093093526754984
1996-01-10,2.8,2.9,2.8,2.85,3.1409999999999996,2.854062395902716,3.1009376040972843
1996-01-11,2.85,2.9,2.8,2.8,3.122,2.821410625769111,3.1135893742308896
1996-01-12,2.8,2.8,2.8,2.8,3.1040000000000005,2.7943888012492404,3.1206111987507597
1996-01-15,2.8,2.8,2.75,2.8,3.0869999999999997,2.771357115416237,3.1236428845837634
1996-01-16,2.8,2.8,2.75,2.75,3.07,2.7400641131037813,3.129935886896219
1996-01-17,2.75,2.8,2.6,2.65,3.051,2.687394619241277,3.1526053807587227
1996-01-18,2.65,2.65,2.6,2.65,3.0340000000000003,2.643627106467216,3.1663728935327846
1996-01-19,2.65,2.6,2.5,2.55,3.017,2.5804727563824876,3.189527243617512
1996-01-22,2.55,2.6,2.5,2.55,3.0,2.5286626617331884,3.196337338266811
1996-01-23,2.55,2.6,2.5,2.5,2.984,2.4734945055359505,3.2015054944640493
1996-01-24,2.5,2.5,2.45,2.5,2.966,2.4255334282299272,3.2044665717700727
1996-01-25,2.5,2.45,2.4,2.4,2.947,2.364348875645065,3.2056511243549344
1996-01-29,2.4,2.5,2.4,2.5,2.93,2.333755691502708,3.1862443084972916
1996-01-30,2.5,2.55,2.5,2.5,2.912,2.309373526743388,3.160626473256612
1996-01-31,2.5,2.6,2.55,2.6,2.8960000000000004,2.3044804319042838,3.125519568095716
1996-02-02,2.75,3.0,2.8,2.9,2.886,2.325388009728467,3.084611990271533
1996-02-12,3.65,3.8,3.45,3.5,2.891,2.22382757254488,3.23617242745512
1996-02-13,3.6,3.6,3.3,3.45,2.897,2.162696285996222,3.3423037140037786
1996-02-14,3.45,3.8,3.6,3.7,2.911,2.067211315184181,3.5077886848158193
1996-02-15,3.7,3.8,3.65,3.65,2.9229999999999996,2.012816132266288,3.647183867733711
1996-02-16,3.65,3.65,3.5,3.55,2.9330000000000003,1.986544417442559,3.7434555825574405
1996-02-19,3.55,3.65,3.5,3.5,2.943,1.9777601636290645,3.8222398363709353
1996-02-20,3.5,3.5,3.3,3.4,2.951,1.9827602426551385,3.877239757344862
1996-02-22,3.4,3.5,3.4,3.4,2.9590000000000005,1.9923114898731131,3.927688510126887
1996-02-23,3.4,3.5,3.4,3.4,2.9679999999999995,2.010946451577364,3.9740535484226354
1996-02-26,3.4,3.5,3.4,3.4,2.978,2.0462370846163065,4.013762915383694
1996-02-27,3.4,3.4,3.3,3.4,2.986,2.08755639259995,4.04744360740005
1996-02-28,3.4,3.45,3.3,3.3,2.9920000000000004,2.1513918933583653,4.058608106641635
1996-02-29,3.3,3.3,3.0,3.1,2.994,2.2152529747864156,4.049747025213584
1996-03-01,3.1,3.15,3.0,3.1,2.997,2.294425906630685,4.0305740933693155
1996-03-11,3.05,3.05,3.0,3.0,2.997,2.3725896077675586,4.002410392232441
1996-03-12,3.0,3.0,2.9,2.95,2.9959999999999996,2.4786505406291113,3.9513494593708884
1996-03-13,2.95,3.1,3.0,3.1,2.998,2.5865328805715273,3.903467119428473
1996-03-14,3.1,3.15,3.05,3.1,3.0,2.711645386055425,3.838354613944575
1996-03-15,3.1,3.1,3.0,3.0,3.0,2.8095268179123334,3.7804731820876674
1996-03-18,3.0,3.0,2.9,3.0,3.0010000000000003,2.829837654018363,3.7701623459816367
1996-03-19,3.0,3.0,2.9,2.95,3.0009999999999994,2.7874877917976986,3.7575122082023014
1996-03-21,2.95,3.0,2.95,3.0,3.002,2.7579580676833486,3.7420419323166514
1996-03-22,3.0,3.0,2.9,3.0,3.002,2.7595072072902402,3.6704927927097595
1996-03-25,3.0,3.05,3.0,3.0,3.002,2.766662227988379,3.598337772011621
1996-03-26,3.0,3.1,3.0,3.05,3.0040000000000004,2.7759863939792475,3.539013606020752
1996-03-27,3.05,3.1,3.0,3.1,3.0060000000000002,2.791279808427293,3.4837201915727074
1996-03-28,3.1,3.3,3.1,3.2,3.01,2.8022875188515246,3.4527124811484753
1996-03-29,3.2,3.3,3.2,3.25,3.015,2.8149547056928137,3.4250452943071865
1996-04-01,3.25,3.3,3.25,3.3,3.0210000000000004,2.826446438429973,3.4035535615700274
1996-04-02,3.3,3.45,3.3,3.4,3.0269999999999997,2.8264464384299726,3.403553561570027
1996-04-03,3.4,3.6,3.4,3.5,3.037,2.8081295815651197,3.4318704184348805
1996-04-04,3.5,3.45,3.35,3.4,3.045,2.7981328935742105,3.4518671064257895
1996-04-08,3.4,3.5,3.4,3.45,3.054,2.785207550126157,3.4997924498738433
1996-04-09,3.45,3.45,3.35,3.4,3.0660000000000003,2.782947635591202,3.5320523644087976
1996-04-10,3.4,3.45,3.25,3.3,3.075,2.800485569040507,3.544514430959493
1996-04-11,3.25,3.35,3.25,3.3,3.085,2.829298928255121,3.55070107174488
1996-04-12,3.3,3.4,3.3,3.35,3.0959999999999996,2.837627996487291,3.5673720035127086
1996-04-15,3.4,3.45,3.4,3.4,3.108,2.8457686312317376,3.589231368768262
1996-04-16,3.4,3.4,3.35,3.4,3.1210000000000004,2.872051465211643,3.6029485347883567
1996-04-17,3.4,3.5,3.4,3.5,3.138,2.8970514652116437,3.6279485347883567
1996-04-18,3.55,3.7,3.5,3.65,3.158,2.9240734765431604,3.6709265234568402
1996-04-19,3.7,4.0,3.6,3.85,3.184,2.9187237435950903,3.7612762564049094
1996-04-22,4.0,4.1,3.7,3.8,3.2089999999999996,2.9430247507912366,3.816975249208763
1996-04-23,3.8,3.8,3.6,3.7,3.233,2.9943488756450773,3.8356511243549227
1996-04-24,3.9,4.05,3.8,3.85,3.26,3.02838541984596,3.8816145801540394
1996-04-25,3.9,3.9,3.6,3.65,3.285,3.082138321408982,3.8828616785910186
1996-04-26,3.65,3.8,3.6,3.7,3.3089999999999997,3.11914991377149,3.8958500862285104
1996-04-29,3.7,3.7,3.65,3.65,3.332,3.154073476543163,3.9009265234568367
1996-04-30,3.65,3.7,3.5,3.55,3.3510000000000004,3.182229123600025,3.897770876399976
1996-05-01,3.55,3.8,3.6,3.6,3.365,3.197564862257186,3.9024351377428137
1996-05-02,3.65,3.65,3.55,3.6,3.367,3.2027142308325507,3.9072857691674487
1996-05-03,3.6,3.6,3.5,3.5,3.3680000000000003,3.214198109651743,3.9058018903482563
1996-05-06,3.5,3.5,3.35,3.4,3.362,3.207650408257903,3.907349591742097
1996-05-07,3.4,3.45,3.35,3.4,3.3570000000000007,3.207650408257903,3.907349591742097
1996-05-08,3.2,3.5,3.2,3.5,3.3560000000000003,3.2377872063207196,3.897212793679281
1996-05-09,3.5,3.5,3.4,3.4,3.3539999999999996,3.25714723178469,3.8878527682153106
1996-05-10,3.4,3.4,3.25,3.4,3.3539999999999996,3.2663526966021843,3.883647303397816
1996-05-13,3.4,3.4,3.35,3.4,3.3539999999999996,3.2663526966021843,3.883647303397816
1996-05-14,3.5,3.5,3.4,3.4,3.3540000000000005,3.2663526966021843,3.883647303397816
1996-05-15,3.4,3.5,3.4,3.5,3.3560000000000003,3.2663526966021843,3.883647303397816
1996-05-16,3.5,3.65,3.5,3.6,3.36,3.265605538456096,3.8793944615439027
1996-05-17,3.55,3.55,3.5,3.5,3.364,3.276092356353905,3.8339076436460946
1996-05-20,3.5,3.5,3.4,3.4,3.37,3.273224684529881,3.796775315470119
1996-05-21,3.4,3.4,3.3,3.3,3.3739999999999997,3.2453023134966297,3.7846976865033697
1996-05-22,3.3,3.4,3.4,3.4,3.3819999999999997,3.2694234259391104,3.715576574060891
1996-05-23,3.4,3.4,3.3,3.35,3.39,3.2587114695587576,3.6962885304412425
1996-05-24,3.35,3.4,3.35,3.4,3.3959999999999995,3.2681725498166974,3.6568274501833025
1996-05-27,3.4,3.4,3.3,3.35,3.401,3.2683940331300265,3.626605966869974
1996-05-28,3.35,3.4,3.3,3.4,3.409,3.26649131676512,3.6135086832348797
1996-05-29,3.4,3.45,3.4,3.45,3.418,3.275975241574992,3.5890247584250083
1996-05-30,3.5,3.5,3.4,3.4,3.427,3.2868728019823736,3.558127198017627
1996-05-31,3.4,3.4,3.4,3.4,3.435,3.2866123422649194,3.5483876577350815
1996-06-03,3.4,3.5,3.4,3.45,3.4440000000000004,3.2886106629336154,3.5513893370663854
1996-06-04,3.45,3.5,3.4,3.4,3.452,3.2886106629336145,3.5513893370663845
