Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2017-11-17,310.0,369.0,307.0,344.6,,,
2017-11-20,344.7,358.9,344.0,355.35,,,
2017-11-21,356.4,418.9,352.5,385.3,,,
2017-11-22,388.0,408.0,386.9,395.2,,,
2017-11-23,390.0,392.0,371.1,374.85,,,
2017-11-24,376.05,383.0,366.1,370.7,,,
2017-11-27,371.0,384.5,371.0,380.35,,,
2017-11-28,383.0,386.4,378.1,382.2,,,
2017-11-29,382.4,384.7,376.1,377.8,,,
2017-11-30,379.8,379.8,370.8,371.5,,,
2017-12-01,373.7,379.55,368.0,372.75,,,
2017-12-04,374.05,374.9,362.0,362.8,,,
2017-12-05,361.0,365.9,357.15,362.35,,,
2017-12-06,360.9,371.7,358.55,368.35,,,
2017-12-07,370.05,389.9,370.05,388.3,,,
2017-12-08,390.0,395.8,385.6,389.3,,,
2017-12-11,387.0,392.25,379.05,380.8,,,
2017-12-12,380.9,387.0,377.05,383.8,,,
2017-12-13,386.45,389.25,378.5,380.8,,,
2017-12-14,382.85,386.0,377.0,384.3,,350.82831559152817,400.31168440847193
2017-12-15,388.0,390.75,380.1,381.4,,357.3319784996524,397.48802150034754
2017-12-18,380.0,383.3,372.25,377.45,,361.323873157781,395.70612684221896
2017-12-19,378.0,380.95,372.25,374.9,,361.0404818938867,394.9495181061133
2017-12-20,377.45,377.7,371.5,375.15,,362.07238729406197,391.91261270593805
2017-12-21,379.25,381.8,375.0,376.05,,362.1590371104601,391.94596288953994
2017-12-22,376.25,380.4,374.2,374.55,,362.5997960068834,391.8902039931166
2017-12-26,376.0,378.6,373.4,376.55,,362.4809820227914,391.6290179772085
2017-12-27,375.1,377.95,373.8,374.85,,362.2901363889993,391.0848636110007
2017-12-28,375.0,380.0,372.4,377.95,,362.29504020473456,391.0949597952654
2017-12-29,379.0,390.8,375.65,386.0,,362.66561082253827,392.17438917746165
2018-01-01,388.5,399.8,386.55,389.65,,362.7220510147561,393.80794898524385
2018-01-02,391.7,398.0,384.35,395.5,,364.3271829273267,395.47281707267325
2018-01-03,398.0,398.3,384.1,385.65,,367.68905537029855,394.44094462970145
2018-01-04,390.0,401.95,387.25,399.0,,368.35987471752367,396.83512528247627
2018-01-05,401.0,412.0,398.0,407.0,,365.71263305620005,401.3523669437999
2018-01-08,410.0,428.3,409.55,422.1,,360.42643226346763,409.9185677365324
2018-01-09,424.0,447.65,422.65,435.5,,354.58963257914485,421.2253674208552
2018-01-10,438.0,441.9,427.0,429.25,,352.17189283157717,428.18810716842285
2018-01-11,424.0,449.8,424.0,446.7,,348.16597336361286,438.7840266363872
2018-01-12,449.75,458.7,444.3,455.95,,344.11548330646116,449.99951669353885
2018-01-15,460.0,488.0,457.0,474.85,,339.01352520647936,464.4464747935207
2018-01-16,479.9,494.3,471.25,482.65,,335.7770236543929,478.2029763456071
2018-01-17,485.4,488.2,470.0,478.4,,335.9069540051847,488.42304599481525
2018-01-18,483.2,489.8,478.0,485.05,,336.9254277406839,498.39457225931613
2018-01-19,489.25,491.35,477.0,481.5,,339.8992075330941,505.9657924669059
2018-01-22,481.5,488.85,469.0,470.2,,345.3999307138787,510.03006928612126
2018-01-23,474.25,474.25,454.5,458.55,,352.102819724897,511.5271802751031
2018-01-24,457.5,460.0,448.0,455.25,,360.21457599751386,511.4554240024862
2018-01-25,455.0,460.0,447.0,448.5,,368.69129038518554,510.0337096148145
2018-01-29,447.0,452.6,444.4,445.35,402.657,376.2587991712927,508.40120082870715
2018-01-30,444.0,448.1,417.0,421.85,404.20200000000006,381.82283905223517,506.0571609477647
2018-01-31,418.4,432.9,395.3,427.0,405.635,387.0810687974062,503.94893120259377
2018-02-01,429.95,452.0,423.0,448.25,406.894,397.4555387079683,499.8344612920317
2018-02-02,441.0,455.0,430.0,442.4,407.83799999999997,405.09983955254194,496.53016044745794
2018-02-05,428.2,444.0,422.35,441.7,409.175,411.4338999391903,493.6661000608097
2018-02-06,418.0,440.7,417.05,438.8,410.537,414.24167227657887,492.528327723421
2018-02-07,443.0,449.3,431.0,433.45,411.599,413.9317924560369,492.63320754396307
2018-02-08,434.9,444.75,434.85,441.5,412.785,415.75665212089865,492.0333478791013
2018-02-09,430.3,446.0,430.3,439.55,414.02,414.9833975491653,492.0916024508347
2018-02-12,442.0,451.0,435.05,441.75,415.425,413.9389077747324,491.7160922252676
2018-02-14,441.8,442.9,431.0,431.9,416.608,412.1702145040075,489.1897854959925
2018-02-15,433.0,437.0,428.0,432.0,417.99199999999996,411.8944206389598,484.4005793610403
2018-02-16,434.15,435.3,426.6,431.45,419.374,411.78379643077216,479.81620356922787
2018-02-19,432.0,439.4,426.8,435.9,420.725,414.5678899381673,472.11711006183253
2018-02-20,439.5,442.0,432.6,434.5,421.64899999999994,418.3063513161608,463.6786486838391
2018-02-21,438.9,450.5,436.15,449.6,422.855,421.3561379018812,458.56886209811876
2018-02-22,447.2,454.5,443.9,450.8,424.255,422.32520976481476,456.8247902351852
2018-02-23,452.1,471.7,452.05,468.85,425.95599999999996,419.65628006021024,460.85371993978964
2018-02-26,472.8,472.8,461.35,468.3,427.7060000000001,417.3399267661489,465.1500732338511
2018-02-27,467.9,477.8,460.0,469.0,429.4,415.5166437480983,469.3383562519018
