Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-25,266.0,266.0,266.0,266.0,,,
1995-02-08,277.0,277.0,270.0,270.0,,,
1995-02-14,272.5,272.5,272.5,272.5,,,
1995-02-15,272.5,272.5,272.5,272.5,,,
1995-02-16,273.0,273.0,273.0,273.0,,,
1995-02-20,250.0,250.0,250.0,250.0,,,
1995-02-21,230.0,231.0,230.0,231.0,,,
1995-02-22,220.0,220.0,220.0,220.0,,,
1995-02-24,230.0,230.0,230.0,230.0,,,
1995-02-28,229.0,230.0,229.0,230.0,,,
1995-03-01,230.0,232.0,230.0,232.0,,,
1995-03-02,232.5,240.0,232.5,235.0,,,
1995-03-03,230.0,230.0,230.0,230.0,,,
1995-03-06,220.0,220.0,220.0,220.0,,,
1995-03-10,235.0,235.5,235.0,235.5,,,
1995-03-14,215.0,221.0,215.0,221.0,,,
1995-03-15,225.0,230.0,225.0,230.0,,,
1995-03-21,225.0,225.0,225.0,225.0,,,
1995-03-23,223.0,223.0,220.0,222.0,,,
1995-03-24,225.0,225.0,225.0,225.0,,200.0595254151109,278.9904745848891
1995-03-29,233.0,233.0,233.0,233.0,,200.3588631211076,275.3911368788924
1995-03-31,230.0,232.5,225.0,225.0,,200.92952023981402,270.320479760186
1995-04-03,228.0,228.0,228.0,228.0,,203.2519442889281,263.5480557110719
1995-04-04,225.0,228.0,221.0,221.0,,206.50417288456353,255.14582711543645
1995-04-05,230.0,230.0,224.0,224.0,,214.17761328716847,242.57238671283153
1995-04-07,234.0,234.0,234.0,234.0,,217.2269770512735,237.92302294872647
1995-04-10,225.0,230.0,220.0,230.0,,217.2371686598092,237.8128313401908
1995-04-11,230.0,230.0,230.0,230.0,,218.32163650284625,237.72836349715377
1995-04-17,225.0,234.0,225.0,234.0,,218.19097892431105,238.25902107568893
1995-04-18,235.0,235.0,224.0,224.0,,217.7565503432896,238.09344965671042
1995-04-21,220.0,225.0,220.0,225.0,,217.51583293183452,237.63416706816545
1995-04-24,225.25,225.25,220.0,220.0,,216.86045759890806,236.78954240109192
1995-04-25,210.0,225.0,210.0,222.5,,216.42424369567635,236.47575630432362
1995-04-26,215.0,220.0,215.0,220.0,,216.42424369567635,236.47575630432362
1995-05-02,223.0,227.0,220.5,220.5,,216.30011198274983,235.09988801725015
1995-05-03,217.0,218.0,217.0,217.0,,215.52635050693442,235.47364949306558
1995-05-05,220.0,222.0,220.0,222.0,,215.2452656315005,234.9547343684995
1995-05-12,216.0,216.0,216.0,216.0,,213.98722658769745,235.31277341230256
1995-05-15,215.0,220.0,215.0,219.0,,213.59852738098385,235.40147261901615
1995-05-16,207.5,208.0,207.5,207.5,,210.34313662407104,236.90686337592896
1995-05-17,218.0,220.0,215.0,220.0,,210.36975881773145,235.58024118226854
1995-05-18,220.0,225.0,220.0,225.0,,210.36975881773145,235.58024118226854
1995-05-19,225.0,225.0,218.0,220.0,,210.13451007903285,235.01548992096713
1995-05-24,216.25,216.25,216.25,216.25,,209.59276424465045,235.08223575534956
1995-05-25,214.5,214.5,214.5,214.5,,208.67810431898053,235.0468956810195
1995-05-26,214.0,218.0,214.0,218.0,,209.0933785443102,233.0316214556898
1995-05-29,215.0,218.0,215.0,218.0,,209.19742238445684,231.72757761554317
1995-05-30,218.0,218.0,210.0,210.0,,208.21144741766233,230.71355258233768
1995-05-31,210.0,210.0,210.0,210.0,,208.5218161917331,228.00318380826687
1995-06-01,212.0,212.0,210.25,210.25,228.5,207.60121858122633,227.54878141877364
1995-06-02,214.0,215.0,214.0,215.0,227.48,207.68281399807594,226.46718600192403
1995-06-06,200.0,210.0,195.0,201.0,226.1,204.4197380253692,227.8302619746308
1995-06-08,210.0,210.0,210.0,210.0,224.85,203.89351361023543,227.10648638976457
1995-06-09,201.0,201.0,201.0,201.0,223.42,201.47672472882982,227.6232752711702
1995-06-12,201.0,201.0,200.0,200.0,221.96,199.25606060076825,227.79393939923176
1995-06-14,200.0,200.0,200.0,200.0,220.96,197.29550236943933,228.0544976305607
