Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2007-08-27,144.0,149.4,143.55,148.6,,,
2007-08-28,148.6,154.4,148.05,153.35,,,
2007-08-29,151.0,157.0,150.0,156.45,,,
2007-08-30,158.0,160.0,154.25,159.2,,,
2007-08-31,159.5,159.9,156.55,157.9,,,
2007-09-03,159.15,161.35,156.6,160.55,,,
2007-09-04,159.2,160.55,156.6,157.0,,,
2007-09-05,158.0,158.35,153.8,156.85,,,
2007-09-06,155.0,156.85,153.5,155.05,,,
2007-09-07,155.0,160.8,155.0,156.8,,,
2007-09-10,155.8,156.75,154.0,154.3,,,
2007-09-11,155.7,158.55,153.6,157.05,,,
2007-09-12,156.4,158.75,155.0,155.3,,,
2007-09-13,156.0,156.4,153.2,153.9,,,
2007-09-14,154.5,157.1,152.3,154.35,,,
2007-09-17,155.0,155.55,153.75,154.25,,,
2007-09-18,153.1,155.8,153.05,154.7,,,
2007-09-19,155.4,160.8,155.4,159.65,,,
2007-09-20,163.45,164.5,159.5,162.15,,,
2007-09-21,162.0,163.35,159.6,160.65,,150.14996577694083,162.65503422305918
2007-09-24,162.0,164.65,158.1,163.15,,151.33050818923266,162.9294918107674
2007-09-25,162.0,168.7,161.6,167.8,,150.61397187104427,165.09102812895577
2007-09-26,169.0,169.7,164.35,165.25,,150.37494621775537,166.21005378224461
2007-09-27,162.4,168.9,162.4,164.3,,150.1905630768899,166.90443692311013
2007-09-28,166.0,173.85,164.6,172.2,,148.92626455580205,169.59873544419793
2007-10-01,173.0,176.4,170.25,172.3,,147.98323970074398,171.716760299256
2007-10-03,174.0,180.4,172.0,178.75,,146.4691725223681,175.4058274776319
2007-10-04,175.0,180.0,174.0,177.25,,145.9120948534857,178.0029051465143
2007-10-05,177.3,177.3,166.55,169.9,,146.62612449705398,178.77387550294605
2007-10-08,169.5,170.2,161.0,161.9,,147.1151136367713,178.79488636322867
2007-10-09,160.0,165.5,159.05,164.1,,148.13497920177429,178.7550207982257
2007-10-10,164.0,171.9,162.5,170.25,,148.8176849970311,179.39231500296893
2007-10-11,171.0,177.8,169.25,175.95,,149.56735735115888,180.7076426488411
2007-10-12,174.95,182.0,172.0,179.25,,150.56175804043025,182.24824195956975
2007-10-15,180.0,190.3,179.65,188.75,,150.43112654349721,185.81887345650279
2007-10-16,188.9,201.5,183.05,197.6,,149.4199727276058,191.16502727239418
2007-10-17,195.0,203.9,172.85,197.65,,149.57901047405736,195.30098952594264
2007-10-18,160.0,208.0,160.0,184.95,,151.02470714010678,196.38529285989318
2007-10-19,181.0,185.9,173.2,174.85,,152.32035327019847,196.35964672980154
2007-10-22,169.9,183.4,165.1,178.1,,154.1132140305401,196.31178596945992
