Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-01-08,329.4,378.0,320.0,367.0,,,
2010-01-11,367.45,396.45,365.85,380.35,,,
2010-01-12,383.4,386.6,365.4,369.65,,,
2010-01-13,368.9,379.0,351.15,367.1,,,
2010-01-14,369.5,379.0,361.5,364.45,,,
2010-01-15,366.1,437.35,366.1,432.55,,,
2010-01-18,415.25,519.1,415.25,513.6,,,
2010-01-19,525.0,616.35,525.0,611.15,,,
2010-01-20,619.0,658.0,595.85,611.85,,,
2010-01-21,600.0,600.0,550.7,554.3,,,
2010-01-22,515.25,609.75,507.3,609.75,,,
2010-01-25,630.0,645.25,605.5,612.05,,,
2010-01-27,597.4,629.0,551.1,567.15,,,
2010-01-28,577.7,605.9,571.0,580.5,,,
2010-01-29,568.8,607.65,552.5,596.0,,,
2010-02-01,589.8,614.9,578.0,590.15,,,
2010-02-02,597.8,612.65,575.0,579.6,,,
2010-02-03,590.0,601.0,580.2,583.45,,,
2010-02-04,585.05,600.4,562.0,568.55,,,
2010-02-05,551.75,554.0,532.5,535.5,,324.0000419841318,715.4699580158682
2010-02-06,544.85,549.9,535.0,538.05,,346.1785798017037,710.3964201982964
2010-02-08,544.65,553.3,523.15,528.0,,367.3645558625159,703.975444137484
2010-02-09,529.75,580.8,506.1,580.8,,396.282392587847,696.172607412153
2010-02-10,592.2,615.0,577.35,585.75,,432.4440971605762,681.8759028394238
2010-02-11,591.1,605.8,578.0,584.05,,482.2312503690233,654.0487496309769
2010-02-15,590.0,599.0,573.65,579.45,,517.9555558225322,633.0144441774676
2010-02-16,585.0,591.0,573.0,581.95,,529.2739166082323,628.5310833917675
2010-02-17,589.0,591.8,574.25,578.45,,530.0143823083715,624.5206176916286
2010-02-18,579.8,582.8,555.0,558.2,,529.5592167431294,619.6107832568705
2010-02-19,552.1,586.2,544.2,561.2,,530.4563010900061,619.403698909994
2010-02-22,572.0,572.8,518.0,534.5,,526.3659577920528,615.9690422079473
2010-02-23,532.5,557.0,520.0,533.1,,523.6909485999358,610.7490514000642
2010-02-24,507.0,538.0,507.0,526.0,,517.8903553702638,612.4346446297362
2010-02-25,531.0,541.8,523.0,527.25,,512.9229361180206,612.0770638819794
2010-02-26,529.0,553.7,521.0,528.05,,509.87981080508786,608.3251891949121
2010-03-02,537.0,541.65,529.0,532.95,,507.97774468866413,604.5072553113359
2010-03-03,537.6,548.0,533.0,537.1,,506.4440242564205,601.7909757435793
2010-03-04,538.0,546.5,535.0,537.1,,505.6483164474272,597.9516835525727
2010-03-05,541.3,544.0,528.0,530.0,,503.44708188267555,596.2979181173243
2010-03-08,530.0,543.7,527.2,529.85,,502.7296183496012,596.4503816503986
2010-03-09,532.9,533.0,503.6,506.85,,497.60993924720276,598.4500607527972
2010-03-10,506.85,520.0,492.0,509.7,,494.5460267613263,599.6839732386737
2010-03-11,513.0,514.0,494.0,496.7,,488.27250949740625,597.547490502594
2010-03-12,499.0,506.4,482.25,484.9,,481.296498734241,594.4385012657591
2010-03-15,445.5,480.0,445.5,459.5,,469.343040540531,593.936959459469
2010-03-16,450.5,463.3,442.05,446.2,,456.059933107982,593.8950668920181
2010-03-17,452.0,535.45,446.4,530.65,,458.8093316330406,586.0156683669594
2010-03-18,571.0,571.0,495.35,516.1,,461.4008233998399,577.1891766001601
2010-03-19,450.0,542.7,450.0,526.85,,462.6388969662462,572.816103033754
2010-03-22,519.9,540.9,511.0,524.9,527.7769999999999,464.59145809606696,567.2335419039331
2010-03-23,530.7,536.95,520.6,524.15,530.92,464.65772106543153,566.1322789345684
2010-03-25,525.0,528.0,510.85,514.9,533.6110000000001,464.4365908029246,564.5334091970751
2010-03-26,518.8,527.7,505.05,508.1,536.38,463.76893491387614,563.4110650861237
2010-03-29,508.0,515.4,484.0,488.85,538.815,461.1112233658997,562.2287766341002
2010-03-30,496.0,561.0,490.3,530.1,542.128,461.0658049681541,562.479195031846
2010-03-31,535.0,548.0,526.4,533.0,544.1370000000001,461.0639039444236,562.4860960555764
2010-04-01,539.0,543.5,531.15,534.9,544.563,461.17614661839247,562.1538533816076
2010-04-05,540.0,555.0,531.2,538.8,543.1160000000001,461.07546575396447,562.4245342460355
2010-04-06,540.0,549.8,531.0,540.0,541.679,460.62877833375325,563.8712216662468
2010-04-07,540.5,548.7,534.0,537.0,541.3330000000001,460.37762072124156,564.8373792787584
2010-04-08,539.1,539.1,522.3,526.45,539.6669999999999,461.0777126917477,566.0972873082522
2010-04-09,521.1,536.8,519.5,521.65,537.859,461.5895819486147,566.7804180513855
2010-04-12,528.9,535.7,516.55,530.4,537.124,463.47426493853175,568.2657350614683
2010-04-13,529.4,532.9,515.0,517.75,535.869,467.1858315961451,567.839168403855
2010-04-15,525.0,531.9,514.0,517.4,534.297,478.11126058771845,562.7037394122816
2010-04-16,518.0,522.95,508.5,511.6,532.7260000000001,499.16293987964036,548.1920601203597
2010-04-19,504.9,511.7,495.15,497.1,531.076,495.02615301717935,548.9738469828206
2010-04-20,504.7,541.4,502.0,527.75,529.962,495.64197534992974,549.5230246500703
2010-04-21,529.7,532.75,516.0,519.9,528.989,495.3470042437249,549.1229957562749
2010-04-22,519.0,526.7,513.1,516.6,528.611,494.84911121032053,548.7908887896793
2010-04-23,519.9,522.5,509.0,511.7,528.0840000000001,493.8805595263288,548.5144404736712
