Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2017-05-19,73.0,77.85,71.0,72.55,,,
2017-05-22,72.65,73.45,69.65,70.15,,,
2017-05-23,69.4,69.9,66.55,68.15,,,
2017-05-24,68.5,69.45,66.4,66.65,,,
2017-05-25,67.1,72.25,66.95,70.75,,,
2017-05-26,71.0,73.25,70.55,72.95,,,
2017-05-29,73.25,74.7,72.75,73.15,,,
2017-05-30,73.25,74.0,71.55,73.0,,,
2017-05-31,72.55,73.65,71.65,73.2,,,
2017-06-01,73.2,74.25,72.5,73.0,,,
2017-06-02,73.4,73.6,72.55,73.0,,,
2017-06-05,73.0,73.3,72.0,72.2,,,
2017-06-06,72.05,72.9,71.3,71.9,,,
2017-06-07,72.0,72.25,71.3,71.55,,,
2017-06-08,71.6,71.9,69.85,70.0,,,
2017-06-09,70.0,70.7,69.7,70.3,,,
2017-06-12,70.1,70.1,68.55,68.75,,,
2017-06-13,69.25,69.4,68.1,68.3,,,
2017-06-14,68.5,68.7,68.0,68.2,,,
2017-06-15,68.0,70.7,68.0,69.05,,66.65926725133147,75.02073274866854
2017-06-16,69.4,69.7,68.35,68.55,,66.42117002999773,74.8588299700023
2017-06-19,68.1,69.05,67.75,67.9,,66.13714274322632,74.91785725677369
2017-06-20,68.1,68.35,67.55,68.0,,66.11206457206528,74.92793542793474
2017-06-21,67.7,69.0,67.55,68.05,,66.4018462804062,74.7781537195938
2017-06-22,68.3,68.3,67.8,68.0,,66.1087840308035,74.7962159691965
2017-06-23,69.6,70.0,68.25,68.55,,65.9765722453698,74.48842775463021
2017-06-27,68.8,68.8,66.55,66.8,,65.6281658104819,74.20183418951808
2017-06-28,67.1,67.2,66.0,66.1,,65.21842436279502,73.921575637205
2017-06-29,66.4,68.15,66.25,67.85,,65.24249287011253,73.36250712988746
2017-06-30,67.15,68.1,66.7,67.1,,65.23122015421467,72.78377984578535
2017-07-03,67.5,67.9,67.05,67.45,,65.39969260151238,72.06030739848762
2017-07-04,67.25,68.85,67.2,67.45,,65.54912653262936,71.43587346737063
2017-07-05,67.5,67.9,67.2,67.65,,65.79437818856647,70.76562181143353
2017-07-06,67.7,70.35,67.65,68.7,,66.16802905848446,70.10697094151554
2017-07-07,68.7,69.9,68.3,69.0,,66.2723952473319,69.90260475266811
2017-07-10,69.4,82.8,69.0,69.5,,66.41124143080515,69.68375856919485
2017-07-11,69.75,79.8,69.6,78.45,,63.59645907634465,73.46854092365535
2017-07-12,81.0,92.65,81.0,90.05,,58.810384397505885,80.42961560249412
2017-07-13,92.3,99.75,92.0,97.7,,54.56442545654139,87.62557454345861
2017-07-14,99.2,102.3,88.55,90.7,,53.513025582991716,90.8419744170083
2017-07-17,90.5,93.9,86.8,89.65,,53.10348781412891,93.36151218587106
2017-07-18,88.0,91.5,86.55,87.0,,53.32474358424428,95.05025641575571
2017-07-19,87.75,89.15,86.6,87.2,,53.72411201790023,96.57088798209978
2017-07-20,87.75,91.45,86.2,90.25,,54.09476990501497,98.42023009498504
2017-07-21,90.75,91.65,87.75,88.65,,54.82504249304107,99.75495750695895
2017-07-24,89.1,89.9,87.5,87.8,,55.71482452559779,100.7901754744022
2017-07-25,89.0,89.45,86.2,86.4,,57.09055896874495,101.37444103125503
2017-07-26,86.75,86.9,83.15,83.3,,58.777561452982,101.407438547018
2017-07-27,83.75,85.45,82.35,82.7,,60.29520294263135,101.37479705736867
2017-07-28,82.2,84.4,80.75,83.3,74.532,62.13387227085137,101.15612772914865
2017-07-31,83.4,83.55,81.4,81.8,74.717,64.02944457945904,100.69555542054096
2017-08-01,82.05,82.45,80.75,81.05,74.935,66.08080088575736,100.00419911424265
2017-08-02,81.3,83.3,80.8,82.65,75.225,68.44703007013422,99.13796992986579
2017-08-03,82.6,83.9,81.15,81.55,75.523,70.76570671368259,98.10429328631741
2017-08-04,81.7,81.8,79.55,79.9,75.706,73.15743460024126,96.80256539975872
2017-08-07,80.25,84.9,80.15,84.3,75.933,76.3863934877075,95.0536065122925
2017-08-08,84.9,84.9,81.65,81.85,76.107,77.00064504145884,94.77935495854116
2017-08-09,81.15,81.7,80.1,80.65,76.26,76.46300332289458,94.37699667710542
2017-08-10,80.5,80.5,75.0,76.8,76.332,76.6597041875455,92.0902958124545
2017-08-11,75.0,78.35,74.1,77.25,76.417,75.96384276573335,91.44115723426668
2017-08-14,78.45,79.4,77.75,78.6,76.529,75.62432464999462,90.67567535000539
2017-08-16,79.25,81.3,78.25,80.8,76.70100000000001,75.47296103187385,90.20703896812616
2017-08-17,81.0,82.9,80.45,81.55,76.89399999999999,75.46626931473996,89.64873068526005
2017-08-18,80.3,81.05,79.3,80.15,77.066,75.89018028981607,88.21481971018392
2017-08-21,80.75,82.2,79.55,79.75,77.26100000000001,76.21371458967573,87.00128541032424
2017-08-22,80.25,80.5,78.5,78.85,77.432,76.49336591490119,85.8266340850988
2017-08-23,79.4,80.6,79.0,79.8,77.653,76.83903652313383,84.8209634768662
2017-08-24,80.2,80.4,79.4,79.55,77.87799999999999,76.79019037151997,84.49480962848003
2017-08-28,79.95,80.8,79.5,79.75,78.109,76.74998225708708,84.24001774291293
2017-08-29,79.9,81.75,78.85,79.2,78.312,76.74813013998833,83.83186986001165
2017-08-30,79.9,81.15,79.55,80.55,78.55199999999999,76.75437384865539,83.7006261513446
2017-08-31,82.05,83.6,81.6,83.15,78.857,76.63495102519948,84.03004897480054
2017-09-01,83.5,85.6,83.2,84.25,79.182,76.44448644420874,84.38051355579125
2017-09-04,84.25,84.35,81.0,82.45,79.47,76.41544801981442,84.49955198018557
2017-09-05,82.7,87.3,82.2,86.8,79.84599999999999,75.87903577244684,85.72596422755318
2017-09-06,86.25,89.15,85.7,87.1,80.217,75.47149749396435,86.41350250603564
2017-09-07,88.1,89.0,86.0,86.35,80.608,75.19243999149307,87.1425600085069
2017-09-08,86.8,87.3,83.7,84.65,80.979,75.2006723586685,87.53432764133149
2017-09-11,85.0,86.45,84.65,85.15,81.325,75.79201287029268,87.77798712970731
2017-09-12,85.4,86.2,84.75,84.95,81.682,76.41926549313773,87.92073450686225
2017-09-13,85.35,85.35,82.55,82.95,81.992,76.88143874658927,87.89356125341074
2017-09-14,83.5,84.7,82.75,83.15,82.306,77.04144611515301,87.96855388484701
2017-09-15,82.7,86.1,82.7,85.6,82.665,77.09480058377994,88.32019941622008
2017-09-18,86.9,88.4,86.15,87.45,83.04,77.21592699452863,88.92907300547138
2017-09-19,87.7,89.0,86.5,88.25,83.425,77.42638850894362,89.56861149105639
2017-09-20,88.45,91.55,87.45,89.45,83.824,77.81558657328137,90.23941342671864
2017-09-21,89.7,92.6,88.6,90.95,84.07400000000001,77.98156389286251,91.1884361071375
2017-09-22,90.05,90.65,85.3,85.85,83.99,78.72040709908435,91.07959290091566
2017-09-25,86.2,86.85,81.6,83.65,83.70900000000002,79.3702706338392,90.8197293661608
2017-09-26,83.95,85.95,83.0,84.95,83.594,80.37122061718506,90.39377938281493
2017-09-27,85.6,86.5,82.55,83.05,83.462,80.89489997969012,90.12010002030989
2017-09-28,83.55,84.15,82.25,83.4,83.39,80.93301612684043,90.10698387315956
2017-09-29,83.85,84.35,83.0,83.2,83.31,80.79605539079864,90.13894460920136
2017-10-03,84.1,84.1,82.6,82.9,83.16300000000001,80.87576573040216,90.10423426959785
2017-10-04,83.2,84.45,82.6,83.5,83.06,80.67215706600626,89.97784293399374
2017-10-05,83.7,85.35,83.1,83.8,82.98,80.53824366945403,89.78175633054596
2017-10-06,84.0,85.25,83.7,83.9,82.93,80.41867410681314,89.65632589318685
2017-10-09,83.4,85.05,83.1,83.3,82.93,80.28829990393787,89.65170009606213
2017-10-10,83.7,84.3,83.25,83.5,82.946,80.16121571338655,89.61378428661345
2017-10-11,83.9,84.05,81.0,81.85,82.917,79.81536829436908,89.64963170563092
2017-10-12,82.3,82.45,81.4,81.9,82.919,79.66136105681035,89.69863894318966
2017-10-13,82.25,83.7,82.1,82.2,82.94200000000001,79.5355168881877,89.72948311181229
2017-10-16,82.3,83.05,81.5,81.8,82.925,79.2157192659248,89.66928073407522
2017-10-17,81.95,82.9,81.8,81.95,82.93299999999999,79.02896908153754,89.30603091846244
2017-10-18,81.95,82.35,81.35,81.5,82.965,78.93979496716624,88.72020503283376
2017-10-19,81.65,82.15,80.85,81.4,82.90700000000001,79.20544325501308,87.64955674498691
2017-10-23,81.8,82.15,80.45,80.75,82.885,80.40222560877487,85.43277439122511
2017-10-24,80.8,81.7,80.5,80.7,82.88600000000001,80.36387053363472,84.95612946636527
2017-10-25,81.15,81.75,80.5,80.75,82.965,80.11805018386957,84.91194981613043
2017-10-26,80.6,83.85,80.6,82.25,83.065,80.27401854359258,84.48598145640744
2017-10-27,82.5,86.4,82.05,85.85,83.21,79.9136514754212,85.12634852457879
2017-10-30,87.7,89.8,87.5,88.05,83.355,79.16913565904957,86.33586434095042
2017-10-31,88.25,88.3,85.75,85.95,83.44300000000001,79.03368597042048,86.74631402957952
2017-11-01,86.4,86.9,85.25,85.5,83.55,78.99084310765231,87.04915689234768
2017-11-02,85.7,88.2,85.0,86.85,83.69200000000001,78.81078229209012,87.56421770790988
2017-11-03,87.1,87.7,85.75,86.2,83.839,78.73293933659713,87.88206066340285
2017-11-06,85.85,89.0,84.3,84.9,83.941,78.73407281366264,87.98092718633737
2017-11-07,84.8,85.9,82.25,82.55,84.001,78.68246435678384,87.95753564321615
2017-11-08,82.75,83.65,81.6,81.9,84.044,78.56052634538824,87.91947365461175
2017-11-09,82.75,82.75,81.4,81.95,84.09900000000002,78.57157006381651,87.9184299361835
2017-11-10,81.9,82.45,81.35,81.7,84.12200000000001,78.54861434298127,87.9213856570187
2017-11-13,81.95,82.3,80.45,80.65,84.07199999999999,78.34936270885271,87.96563729114729
2017-11-14,81.05,82.5,81.0,81.4,84.015,78.30233549509755,87.97266450490245
2017-11-15,81.65,81.9,79.55,79.85,83.963,78.00151443159805,88.06348556840194
2017-11-16,80.4,82.4,80.15,81.45,83.85599999999998,77.99575934749208,88.06424065250792
2017-11-17,83.0,83.8,82.05,82.25,83.759,78.0820380447988,88.06296195520122
2017-11-20,82.25,82.75,81.85,82.0,83.67199999999998,78.2365469681482,88.0334530318518
2017-11-21,82.4,82.7,81.3,81.4,83.60700000000001,78.33521376948973,88.00478623051028
2017-11-22,81.75,83.8,81.1,83.1,83.566,78.5880179456729,87.98698205432709
2017-11-23,83.3,85.2,82.2,84.4,83.555,78.6970833284714,88.09291667152863
2017-11-24,86.1,86.7,84.6,84.95,83.595,78.73457962227134,87.96542037772865
2017-11-27,84.6,86.2,83.55,84.35,83.61900000000001,79.07623490525624,87.25376509474377
