Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1997-09-24,6.35,9.15,6.35,9.0,,,
1997-09-25,9.05,9.5,8.9,9.4,,,
1997-09-26,9.45,9.5,9.25,9.3,,,
1997-09-29,9.4,9.45,9.1,9.2,,,
1997-09-30,9.1,9.2,8.7,8.75,,,
1997-10-01,8.75,8.85,8.4,8.55,,,
1997-10-09,8.65,8.95,8.55,8.8,,,
1997-10-10,8.9,9.0,8.65,8.8,,,
1997-10-13,8.75,9.05,8.75,8.85,,,
1997-10-14,8.9,9.0,8.45,8.55,,,
1997-10-15,8.55,8.8,8.55,8.75,,,
1997-10-16,8.75,8.85,8.75,8.8,,,
1997-10-17,8.8,8.9,8.75,8.85,,,
1997-10-20,8.85,9.1,8.8,9.05,,,
1997-10-21,9.05,9.65,8.8,9.55,,,
1997-10-22,9.65,9.9,9.4,9.55,,,
1997-10-23,9.6,9.65,9.15,9.25,,,
1997-10-24,9.25,9.25,9.0,9.25,,,
1997-10-27,9.1,9.35,8.55,8.75,,,
1997-10-28,8.7,8.75,8.1,8.3,,8.277441390058081,9.652558609941918
1997-10-29,8.8,8.9,8.55,8.85,,8.26827847117964,9.64672152882036
1997-10-30,8.9,8.9,8.65,8.75,,8.262866287951159,9.587133712048843
1997-11-03,8.75,8.85,8.6,8.7,,8.250264232009489,9.53973576799051
1997-11-04,8.7,8.75,8.65,8.7,,8.23638048940194,9.503619510598062
1997-11-05,8.55,8.75,8.55,8.7,,8.231496855353686,9.503503144646313
1997-11-06,8.6,8.7,8.6,8.7,,8.251343549363071,9.498656450636929
1997-11-07,8.65,8.7,8.65,8.7,,8.242221963463285,9.497778036536717
1997-11-10,8.75,8.75,8.2,8.35,,8.178270277817377,9.516729722182623
1997-11-11,8.35,8.65,8.3,8.55,,8.150185826338815,9.514814173661184
1997-11-12,8.4,8.5,8.0,8.0,,8.035926736773067,9.574073263226936
1997-11-13,7.85,8.05,7.25,7.75,,7.852430568350908,9.657569431649094
1997-11-17,7.85,8.0,7.75,7.9,,7.730418993973228,9.689581006026769
1997-11-18,7.85,8.0,7.8,7.9,,7.621308880479468,9.703691119520531
1997-11-19,7.45,7.85,7.45,7.75,,7.497511961787528,9.697488038212473
1997-11-20,7.6,7.85,7.6,7.85,,7.4607470772437505,9.564252922756248
1997-11-21,7.75,7.85,7.75,7.75,,7.4386969602340995,9.406303039765898
1997-11-24,7.75,7.8,7.6,7.65,,7.38208616375955,9.30291383624045
1997-11-25,7.55,7.95,7.55,7.85,,7.389636834826005,9.155363165173993
1997-11-26,7.8,8.0,7.8,7.9,,7.362213948268967,9.097786051731035
1997-11-27,7.75,8.05,7.75,8.0,,7.341953308055189,9.088046691944811
1997-11-28,7.9,7.95,7.8,7.8,,7.324661301794603,9.000338698205397
1997-12-01,7.75,7.75,7.5,7.7,,7.295913492247139,8.924086507752861
1997-12-02,7.7,7.75,7.5,7.55,,7.251530193091567,8.853469806908432
1997-12-03,7.65,7.65,7.4,7.45,,7.206888795958887,8.773111204041111
1997-12-04,7.25,7.35,6.8,6.95,,7.0642844769047315,8.74071552309527
1997-12-05,6.85,7.05,6.75,6.75,,6.905936159400424,8.704063840599579
1997-12-08,6.95,6.95,6.55,6.65,,6.766396654378276,8.638603345621725
1997-12-09,6.6,6.65,6.45,6.6,,6.609174860859857,8.620825139140145
1997-12-10,6.55,6.6,6.4,6.45,,6.4770685557981,8.5429314442019
1997-12-11,6.45,6.65,6.45,6.6,8.282,6.358285960543238,8.52171403945676
1997-12-12,6.65,6.75,6.55,6.6,8.234,6.24914215712778,8.515857842872217
1997-12-15,6.65,6.7,6.6,6.65,8.179,6.169073599682703,8.470926400317298
1997-12-16,6.7,7.1,6.7,6.95,8.132,6.144168675012818,8.400831324987184
1997-12-17,7.15,7.25,7.1,7.25,8.093,6.141785180004421,8.35321481999558
1997-12-18,7.25,7.45,7.2,7.3,8.064,6.150617492489996,8.289382507510005
1997-12-19,7.3,7.65,7.25,7.55,8.044,6.1578843369567124,8.262115663043286
1997-12-22,7.6,7.75,7.6,7.75,8.023,6.153174362613857,8.276825637386144
1997-12-23,7.75,7.75,7.6,7.65,8.0,6.16480771008435,8.24519228991565
1997-12-24,7.45,7.7,7.45,7.7,7.977,6.179385070900152,8.210614929099847
1997-12-26,7.75,7.9,7.7,7.75,7.961,6.203093627698275,8.161906372301726
