Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2017-09-27,651.1,694.0,638.65,681.2,,,
2017-09-28,671.15,689.95,660.05,685.9,,,
2017-09-29,685.0,687.7,677.65,680.2,,,
2017-10-03,677.1,688.45,674.1,684.5,,,
2017-10-04,681.5,686.85,679.75,681.7,,,
2017-10-05,676.1,680.95,665.15,666.2,,,
2017-10-06,665.0,680.5,663.0,680.0,,,
2017-10-09,670.0,686.0,670.0,683.95,,,
2017-10-10,680.0,690.0,680.0,686.45,,,
2017-10-11,683.6,689.9,683.6,687.45,,,
2017-10-12,682.2,702.0,682.2,700.35,,,
2017-10-13,693.2,701.0,693.2,695.05,,,
2017-10-16,691.55,697.5,674.25,696.15,,,
2017-10-17,695.0,719.9,690.2,718.25,,,
2017-10-18,711.25,720.8,703.8,715.25,,,
2017-10-19,709.6,723.0,708.05,722.2,,,
2017-10-23,710.0,715.0,690.0,693.1,,,
2017-10-24,693.15,705.0,685.3,696.2,,,
2017-10-25,696.2,699.95,675.55,683.3,,,
2017-10-26,679.1,690.0,679.1,684.95,,663.027582816633,719.2074171833672
2017-10-27,682.0,685.0,679.05,682.9,,663.2288944893912,719.1761055106087
2017-10-30,679.9,686.0,675.75,680.2,,662.6023696760343,719.2326303239657
2017-10-31,675.15,689.0,674.5,677.0,,662.1526922517247,719.3623077482754
2017-11-01,677.0,686.0,676.9,680.6,,661.7258479751897,719.3991520248105
2017-11-02,675.15,689.0,675.0,681.0,,661.6438955631719,719.4111044368282
2017-11-03,681.0,689.5,671.0,674.6,,663.3371381960075,718.5578618039925
2017-11-06,671.0,684.25,671.0,681.15,,663.4859941275029,718.5240058724971
2017-11-07,680.0,682.95,679.2,680.3,,663.0591679726089,718.5858320273911
2017-11-08,674.1,682.5,674.1,678.8,,662.2160534670513,718.6639465329486
2017-11-09,675.3,681.0,667.65,678.8,,661.3291884626799,718.68581153732
2017-11-10,670.0,680.95,670.0,680.3,,660.4474514541712,717.5625485458288
2017-11-13,680.5,687.0,676.2,685.45,,660.0727408167368,716.9772591832632
2017-11-14,676.0,690.0,676.0,686.0,,659.7765950830835,716.2584049169166
2017-11-15,677.1,688.0,677.1,686.4,,662.0323889531231,710.8176110468768
2017-11-16,682.5,685.95,670.0,677.75,,664.028842753469,705.0711572465309
2017-11-17,681.0,689.0,676.25,685.6,,672.288145948712,693.1518540512881
2017-11-20,683.0,692.0,680.25,689.45,,672.7632656108142,692.3117343891859
2017-11-21,684.5,707.9,684.5,699.05,,672.0237737498334,693.3362262501668
2017-11-22,696.0,701.0,690.0,695.9,,671.1199868313182,695.5000131686819
2017-11-23,694.0,708.0,685.95,701.0,,669.5797828273218,698.6452171726781
2017-11-24,693.0,702.0,693.0,700.1,,668.7988542826772,701.146145717323
2017-11-27,692.6,703.0,692.6,700.6,,668.5619075651003,703.4230924348998
2017-11-28,695.05,713.5,695.05,706.05,,668.4025847396563,706.4874152603436
2017-11-29,700.5,726.05,697.1,718.95,,665.9909501561136,712.7340498438863
2017-11-30,711.2,717.4,706.1,714.35,,665.510463624076,716.5495363759239
2017-12-01,710.0,723.5,710.0,719.95,,665.9324728571975,720.6625271428026
2017-12-04,712.0,724.5,712.0,720.75,,665.9528835220483,724.6021164779515
2017-12-05,715.3,729.95,708.1,727.35,,665.9131042867651,729.3468957132349
2017-12-06,725.0,729.0,715.15,726.65,,667.0905849886346,732.9544150113654
2017-12-07,726.0,745.0,718.5,735.15,693.49,667.9681805826868,737.711819417313
2017-12-08,731.0,769.0,731.0,765.75,695.181,663.9220054926493,750.3029945073506
2017-12-11,762.0,770.0,750.0,764.7,696.757,662.0985985934363,760.0514014065637
2017-12-12,762.0,790.95,762.0,784.3,698.8389999999999,658.6016314737449,773.3783685262551
2017-12-13,790.0,790.0,768.65,775.1,700.651,659.0910435767728,781.7589564232271
2017-12-14,772.0,781.0,772.0,777.15,702.56,662.5311379018536,788.2588620981463
2017-12-15,778.0,794.7,777.1,790.8,705.0520000000001,664.303179337239,797.0068206627609
2017-12-18,780.8,802.0,750.05,800.0,707.4520000000001,665.9768001639203,806.3881998360799
2017-12-19,795.0,810.0,785.5,796.3,709.699,668.2447621461371,813.8452378538628
2017-12-20,790.5,797.65,771.4,776.3,711.4960000000001,673.9001942393753,816.2298057606246
2017-12-21,778.0,785.0,765.0,775.2,713.2509999999999,679.573307748102,817.9766922518979
2017-12-22,775.0,788.0,768.0,777.35,714.7909999999999,686.3112737431583,818.9637262568418
2017-12-26,773.15,789.6,773.15,786.4,716.618,693.748602165525,820.106397834475
2017-12-27,786.0,790.0,775.55,781.25,718.32,701.4284178624106,819.9465821375894
2017-12-28,776.2,795.0,776.2,792.25,719.8,706.9237113730578,821.7812886269421
2017-12-29,792.0,795.8,765.55,775.5,721.005,714.8885998503056,819.9314001496946
2018-01-01,775.0,798.0,775.0,795.5,722.4709999999999,722.2964947460991,820.0785052539009
2018-01-02,787.1,805.0,775.0,800.05,724.61,730.8360604341954,819.4689395658045
2018-01-03,796.0,804.0,786.2,800.3,726.692,739.3032179858432,818.2967820141567
2018-01-04,800.05,809.5,793.65,807.45,729.175,749.8017510340366,815.8782489659633
2018-01-05,802.1,824.95,801.8,822.05,731.9169999999999,757.912215801414,816.4577841985861
2018-01-08,822.0,850.0,815.05,847.95,735.2180000000001,753.0015637065821,829.5884362934178
2018-01-09,839.0,839.0,776.0,785.6,737.326,756.0121420510643,828.6678579489355
2018-01-10,777.0,794.8,777.0,778.0,739.346,755.2965584178584,828.7534415821416
2018-01-11,780.0,798.0,777.65,790.25,741.539,756.9088434141115,828.6561565858885
2018-01-12,793.85,798.85,780.3,790.3,743.725,758.2981580927843,828.5818419072156
2018-01-15,788.45,800.05,770.1,788.75,746.008,758.1513054135739,828.523694586426
2018-01-16,800.0,844.8,790.0,811.2,748.6089999999999,757.9172938187916,829.8777061812083
2018-01-17,815.25,872.0,815.25,850.05,752.0040000000001,752.6901243849204,840.4798756150797
2018-01-18,849.0,864.45,830.1,843.5,755.298,752.4479541084795,847.4420458915206
2018-01-19,835.25,837.5,815.0,827.6,758.2740000000001,755.034288598676,850.0957114013239
2018-01-22,822.05,857.85,816.0,853.6,761.74,755.2653995169476,857.4896004830523
2018-01-23,849.0,852.15,826.0,831.45,764.66,757.2548534385478,860.0051465614522
2018-01-24,830.0,843.0,825.0,836.65,767.673,760.2672007621829,862.532799237817
2018-01-25,825.5,839.9,815.0,828.85,770.5219999999999,762.3638660900248,864.0961339099753
2018-01-29,822.6,850.0,816.1,823.9,773.445,767.8276423130665,863.4723576869335
2018-01-30,824.0,825.5,791.0,803.05,775.7940000000001,768.7588782170102,863.2961217829896
2018-01-31,795.1,805.0,783.1,786.9,777.743,766.8172245901414,863.9227754098588
2018-02-01,788.0,839.0,788.0,833.65,780.435,768.3733245350404,865.7016754649596
2018-02-02,813.05,838.4,788.0,819.85,782.9140000000001,769.1920779799751,866.1229220200249
2018-02-05,800.0,823.4,770.0,815.7,785.2080000000001,768.9125545410003,865.7674454589995
2018-02-06,750.0,820.0,749.3,807.05,787.3470000000001,768.8984155068313,861.6915844931689
2018-02-07,808.05,821.5,805.9,818.7,789.709,772.7017172500903,861.1982827499098
2018-02-08,819.05,827.0,806.0,809.65,791.7810000000001,778.0455264613918,859.0194735386083
2018-02-09,800.0,820.0,795.05,816.1,793.7239999999999,781.5495922019709,858.1004077980292
2018-02-12,813.55,826.9,813.55,823.25,795.9019999999999,785.8000061736689,857.1449938263313
2018-02-14,812.2,822.6,807.3,815.1,797.805,790.4118624767598,855.1681375232401
2018-02-15,818.0,820.0,795.0,803.25,799.455,789.2295645226654,855.5554354773344
