Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2016-09-29,330.0,333.9,295.15,297.55,,,
2016-09-30,297.4,312.4,293.05,310.25,,,
2016-10-03,312.9,313.75,307.3,309.7,,,
2016-10-04,308.95,309.55,303.5,304.25,,,
2016-10-05,305.0,315.0,304.1,313.75,,,
2016-10-06,314.85,322.8,314.0,316.55,,,
2016-10-07,318.0,319.7,315.45,317.25,,,
2016-10-10,319.1,326.95,318.1,324.6,,,
2016-10-13,322.0,328.7,315.75,317.55,,,
2016-10-14,319.7,328.75,319.15,327.35,,,
2016-10-17,328.0,331.7,324.2,327.6,,,
2016-10-18,329.2,333.0,328.45,330.9,,,
2016-10-19,331.6,332.45,324.0,324.9,,,
2016-10-20,325.9,329.4,322.55,324.0,,,
2016-10-21,324.85,329.4,323.05,326.85,,,
2016-10-24,327.85,329.85,323.1,323.9,,,
2016-10-25,324.4,328.0,323.15,324.15,,,
2016-10-26,323.95,325.4,319.3,320.4,,,
2016-10-27,320.05,320.05,312.3,314.1,,,
2016-10-28,313.0,314.35,307.0,308.6,,300.50057342899873,335.9194265710012
2016-10-30,310.0,314.1,310.0,312.9,,303.9036999692042,334.05130003079586
2016-11-01,312.9,315.45,310.05,311.3,,304.07735897293685,333.9826410270631
2016-11-02,310.0,310.6,305.05,305.75,,303.26910587011605,334.3958941298839
2016-11-03,305.05,307.8,301.6,304.05,,303.21944783569234,334.42555216430765
2016-11-04,304.95,305.95,302.5,303.4,,301.3643637104524,335.24563628954763
2016-11-07,305.8,307.9,302.65,304.9,,299.7575787717607,335.68742122823926
2016-11-08,306.0,306.95,302.7,303.5,,297.97492599561497,336.09507400438497
2016-11-09,290.0,300.75,271.0,298.05,,295.22096334270907,336.194036657291
2016-11-10,302.95,314.9,301.0,313.7,,295.02900735290467,336.0009926470953
2016-11-11,309.7,309.7,302.55,304.85,,294.1710771279659,334.6089228720341
2016-11-15,304.85,305.0,295.0,297.2,,292.26541696356696,333.47458303643305
2016-11-16,303.0,304.25,298.0,299.3,,291.68472144119295,330.8952785588071
2016-11-17,300.0,302.5,293.0,293.5,,289.6795304183602,329.7604695816399
2016-11-18,294.75,295.6,284.5,285.45,,286.1810684489849,329.40393155101515
2016-11-21,288.0,288.0,282.2,284.15,,283.54238787705276,327.7726121229472
2016-11-22,285.4,290.9,281.2,289.05,,282.3674247303786,325.4625752696214
2016-11-23,290.0,297.0,288.3,294.9,,282.8005153673986,322.1044846326014
2016-11-24,295.1,296.0,291.3,295.05,,283.20837482641474,319.16162517358526
2016-11-25,296.0,307.9,295.5,303.55,,283.68547115375134,317.6295288462486
2016-11-28,303.9,309.0,303.1,308.3,,283.699522103538,317.58547789646207
2016-11-29,308.9,314.9,308.2,314.1,,283.5693227360511,317.83567726394887
2016-11-30,314.95,314.95,308.25,309.75,,283.68067941757477,317.56932058242523
2016-12-01,309.1,310.0,303.35,304.05,,283.6871195652681,317.3928804347319
2016-12-02,303.1,303.15,298.05,298.65,,283.4809873021544,317.0590126978457
2016-12-05,298.0,298.55,292.6,293.5,,282.79189694214614,316.7581030578538
2016-12-06,293.5,296.9,292.25,293.5,,282.1809643599503,316.2290356400498
2016-12-07,294.5,295.5,292.0,292.65,,281.5236283611601,315.80137163883995
