Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2007-03-09,85.0,92.0,84.4,85.7,,,
2007-03-12,87.2,89.95,85.9,87.65,,,
2007-03-13,88.0,91.2,86.15,90.0,,,
2007-03-14,87.0,90.8,86.55,87.75,,,
2007-03-15,88.25,94.2,88.25,91.55,,,
2007-03-16,91.8,94.0,91.3,92.9,,,
2007-03-19,93.0,94.15,92.5,93.6,,,
2007-03-20,94.25,95.5,93.4,93.85,,,
2007-03-21,94.25,94.35,92.65,92.95,,,
2007-03-22,93.9,97.0,93.6,96.45,,,
2007-03-23,103.0,103.0,94.35,94.75,,,
2007-03-26,95.6,95.6,92.3,93.0,,,
2007-03-28,93.0,93.0,90.0,90.4,,,
2007-03-29,90.6,99.8,89.6,96.15,,,
2007-03-30,96.0,96.55,94.0,94.6,,,
2007-04-02,92.9,93.6,91.0,91.05,,,
2007-04-03,91.25,93.3,91.25,91.85,,,
2007-04-04,92.9,95.35,92.1,93.5,,,
2007-04-05,93.95,95.1,93.1,94.85,,,
2007-04-09,95.25,96.25,95.0,95.5,,86.5304004920234,98.2745995079766
2007-04-10,95.7,96.35,94.1,95.0,,87.81438475450929,97.9206152454907
2007-04-11,95.1,97.9,95.05,96.4,,88.65482739426182,97.9551726057382
2007-04-12,96.05,99.15,95.2,98.2,,88.85072637542493,98.57927362457508
2007-04-13,98.5,103.0,98.5,102.65,,88.9246019493674,99.99539805063262
2007-04-16,104.0,107.35,103.5,104.7,,88.10943885210527,102.12556114789471
2007-04-17,105.15,106.0,103.0,103.55,,87.78528867595726,103.51471132404275
2007-04-18,104.0,105.6,103.5,104.05,,87.53107741974584,104.81392258025413
2007-04-19,103.0,105.35,100.2,103.95,,87.44714532813495,105.90785467186504
2007-04-20,104.5,114.9,104.5,114.3,,85.79277492637767,109.6972250736223
2007-04-23,115.55,119.8,114.35,114.95,,84.48485580653218,112.8551441934678
2007-04-24,113.6,117.0,113.6,114.6,,83.93800101208141,115.38699898791857
2007-04-25,108.0,119.7,108.0,117.6,,83.59271980668997,118.19228019331003
2007-04-26,119.0,120.25,115.8,116.25,,84.33214824490291,120.0378517550971
2007-04-27,116.0,116.85,111.75,112.5,,84.81891934977719,121.18608065022283
2007-04-30,112.7,115.7,111.5,114.2,,85.5941376906193,122.3708623093807
2007-05-03,115.0,116.85,115.0,115.95,,87.15689359652052,123.2981064034795
2007-05-04,116.0,117.25,113.1,113.6,,89.03351919112924,123.59648080887078
2007-05-07,114.8,114.95,112.6,112.9,,90.87636620074983,123.69363379925016
2007-05-08,113.25,115.9,112.5,113.3,,92.69223502100525,123.72276497899477
2007-05-09,113.5,114.8,112.8,113.55,,94.64255560341005,123.57744439658993
2007-05-10,114.45,116.8,114.0,114.65,,97.06215989860989,123.12284010139011
2007-05-11,113.85,114.35,112.1,113.5,,99.55953428360027,122.33546571639971
2007-05-14,114.2,115.15,113.7,114.2,,102.00030202206537,121.49469797793466
2007-05-15,114.6,116.9,113.6,115.4,,103.51475998663298,121.25524001336706
2007-05-16,116.0,116.6,113.85,114.45,,104.73956015475851,121.00543984524147
2007-05-17,115.8,119.1,115.05,116.05,,106.5455994647052,120.44940053529483
2007-05-18,115.5,117.1,115.5,115.8,,108.68119042760225,119.48880957239774
2007-05-21,116.8,117.85,115.25,115.55,,112.09368045343895,117.23631954656106
2007-05-22,116.25,117.4,115.0,115.75,,112.12802838580991,117.34697161419008
2007-05-23,116.0,121.25,115.2,118.8,103.68799999999999,111.74906998041857,118.11093001958142
2007-05-24,119.6,123.65,119.0,121.0,104.39399999999999,111.07614654886166,119.42385345113834
2007-05-25,120.0,126.4,118.1,125.85,105.15799999999999,109.40177236446783,121.92322763553216
