Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2015-11-06,70.5,73.4,67.0,70.4,,,
2015-11-09,67.75,68.0,66.9,66.95,,,
2015-11-10,66.5,66.5,64.1,64.55,,,
2015-11-11,65.0,66.5,65.0,66.3,,,
2015-11-13,65.85,65.85,63.0,63.5,,,
2015-11-16,63.45,65.5,62.0,65.0,,,
2015-11-17,65.0,65.9,64.1,64.7,,,
2015-11-18,65.0,66.05,64.1,65.2,,,
2015-11-19,65.95,66.0,63.55,63.85,,,
2015-11-20,63.55,66.0,63.5,65.2,,,
2015-11-23,66.4,66.9,63.5,63.8,,,
2015-11-24,63.5,64.4,62.5,62.95,,,
2015-11-26,62.9,63.4,61.5,61.65,,,
2015-11-27,62.25,62.5,60.6,61.0,,,
2015-11-30,61.0,61.3,58.8,59.1,,,
2015-12-01,59.5,61.0,59.25,60.0,,,
2015-12-02,60.2,61.75,59.9,60.3,,,
2015-12-03,60.25,61.0,60.0,60.55,,,
2015-12-04,60.4,60.95,60.1,60.5,,,
2015-12-07,60.15,60.9,59.2,59.45,,57.39326401676797,69.10173598323203
2015-12-08,59.5,59.7,57.5,57.7,,57.29432114669036,67.93067885330964
2015-12-09,57.5,57.75,54.9,56.85,,56.608478555951464,67.60652144404854
2015-12-10,56.85,57.45,54.9,56.85,,55.87627089596698,67.568729104033
2015-12-11,57.5,57.9,55.1,55.3,,55.07517746422549,67.26982253577451
2015-12-14,55.1,56.0,54.05,55.75,,54.33559366257144,67.23440633742857
2015-12-15,56.4,56.4,55.05,55.5,,53.76898768497844,66.85101231502156
2015-12-16,56.3,56.7,55.5,56.05,,53.41526354502555,66.33973645497444
2015-12-17,56.75,59.8,56.35,58.05,,53.52321138573227,65.51678861426774
2015-12-18,57.9,58.8,56.8,58.4,,53.59367269826046,64.90132730173954
2015-12-21,58.1,58.5,57.05,57.45,,53.90476884600986,63.815231153990126
2015-12-22,58.35,59.5,57.3,59.3,,54.24816563003863,63.02183436996138
2015-12-23,59.95,61.45,59.0,59.3,,54.5438759319597,62.361124068040304
2015-12-24,59.9,61.2,59.0,60.9,,54.62288907557299,62.207110924427006
2015-12-28,61.0,61.35,59.75,59.95,,54.69401759471365,62.030982405286345
2015-12-29,59.5,62.25,59.5,61.85,,54.52203437341189,62.47796562658811
2015-12-30,62.0,62.4,61.25,61.5,,54.42511097168019,62.724889028319815
2015-12-31,62.4,62.4,60.25,60.85,,54.39755616784484,62.80744383215516
2016-01-01,61.4,61.4,60.4,60.7,,54.38992267469188,62.83007732530812
2016-01-04,61.2,61.2,58.75,58.95,,54.40259940224112,62.66240059775889
2016-01-05,58.9,59.9,58.6,59.0,,54.39627457866887,62.62372542133114
2016-01-06,59.0,59.35,57.45,57.75,,54.40078694939359,62.624213050606414
2016-01-07,57.45,57.45,55.4,55.9,,54.25172523913677,62.678274760863225
2016-01-08,56.3,56.7,54.9,55.1,,53.95548866910916,62.799511330890866
2016-01-11,54.45,54.95,53.75,53.9,,53.64270745652231,62.97229254347767
2016-01-12,54.45,54.45,52.0,52.35,,52.87123447008417,63.40376552991584
2016-01-13,53.35,53.35,48.6,51.3,,51.93368959610036,63.92131040389963
2016-01-14,50.2,50.95,48.4,48.7,,50.311508323868466,64.80849167613154
2016-01-15,50.0,50.0,46.0,46.85,,48.321411708299394,65.6785882917006
2016-01-18,46.0,47.2,44.65,45.05,,46.17903157523832,66.48596842476167
2016-01-19,45.55,46.5,44.35,45.55,58.952,44.520742095206934,66.95425790479305
2016-01-20,45.9,46.35,43.1,43.45,58.413000000000004,42.6046127331944,67.28538726680559
2016-01-21,44.5,45.4,43.1,43.45,57.943000000000005,40.981859804554084,67.3231401954459
2016-01-22,44.3,47.05,43.95,46.05,57.573,40.1668647375726,66.65313526242741
2016-01-25,47.1,48.0,46.65,47.3,57.193000000000005,39.64163206842463,65.91336793157537
2016-01-27,48.6,51.0,47.75,50.6,56.935,39.769578098120164,64.66042190187983
2016-01-28,52.2,52.5,49.55,50.75,56.65,40.01670310568239,63.3382968943176
2016-01-29,50.95,53.0,49.5,52.55,56.407,40.41368852010431,62.1113114798957
