Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2017-10-23,50.0,55.35,50.0,54.3,,,
2017-10-24,53.85,54.5,53.15,53.45,,,
2017-10-25,53.35,53.35,51.5,52.1,,,
2017-10-26,51.75,53.0,51.05,52.1,,,
2017-10-27,52.0,52.5,51.7,52.15,,,
2017-10-30,52.15,52.7,51.95,52.25,,,
2017-10-31,52.05,52.45,51.35,51.8,,,
2017-11-01,51.7,52.35,51.3,52.0,,,
2017-11-02,52.0,52.5,51.65,52.1,,,
2017-11-03,51.75,54.0,51.75,53.1,,,
2017-11-06,52.65,53.95,52.65,53.4,,,
2017-11-07,53.65,53.95,53.0,53.55,,,
2017-11-08,53.4,53.95,50.35,52.85,,,
2017-11-09,52.85,53.75,51.95,53.35,,,
2017-11-10,52.75,53.65,52.75,53.2,,,
2017-11-13,52.95,53.35,52.3,52.45,,,
2017-11-14,52.5,52.8,51.35,51.45,,,
2017-11-15,51.85,51.85,50.3,50.4,,,
2017-11-16,51.1,51.1,49.65,50.3,,,
2017-11-17,50.5,50.85,50.15,50.45,,50.12821933593045,54.546780664069544
2017-11-20,50.8,51.6,50.0,50.15,,49.91726175829229,54.34273824170773
2017-11-21,50.15,50.75,50.15,50.5,,49.74707351296283,54.217926487037175
2017-11-22,50.2,52.65,50.2,51.95,,49.74022696313121,54.209773036868796
2017-11-23,52.2,52.45,51.25,51.9,,49.73079226334561,54.19920773665438
2017-11-24,51.55,52.15,51.4,51.65,,49.70332012972235,54.176679870277646
2017-11-27,51.35,52.35,51.25,51.75,,49.68173474835377,54.14826525164623
2017-11-28,52.15,52.15,51.25,51.55,,49.66373271701403,54.141267282985964
2017-11-29,51.55,51.75,50.4,50.9,,49.56519391784723,54.129806082152776
2017-11-30,50.85,51.75,50.7,51.15,,49.50034327504483,54.09965672495517
2017-12-01,51.15,51.85,50.85,51.0,,49.454252944123105,53.93574705587691
2017-12-04,51.0,51.3,50.15,50.25,,49.35940933444717,53.71559066555283
2017-12-05,50.15,50.9,49.8,50.2,,49.3328709572435,53.40712904275651
2017-12-06,50.35,50.75,50.15,50.45,,49.29902183777634,53.20097816222366
2017-12-07,50.1,51.5,50.1,50.95,,49.445894740131806,52.8141052598682
2017-12-08,50.65,51.75,50.65,51.65,,49.65044324013088,52.45455675986911
2017-12-11,51.2,52.1,51.0,51.85,,49.724536007311556,52.320463992688445
2017-12-12,53.25,53.95,52.35,53.6,,49.3990434649259,52.8609565350741
