Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,65.0,65.0,65.0,65.0,,,
1995-01-06,62.5,62.5,62.5,62.5,,,
1995-01-09,63.0,64.5,63.0,64.5,,,
1995-01-10,61.0,61.0,61.0,61.0,,,
1995-01-11,63.0,65.0,62.0,65.0,,,
1995-01-13,63.0,65.0,63.0,63.0,,,
1995-01-17,64.25,65.5,64.25,65.5,,,
1995-01-18,63.0,63.0,63.0,63.0,,,
1995-01-19,63.4,63.5,63.4,63.5,,,
1995-01-20,65.9,65.9,64.25,64.9,,,
1995-01-23,64.5,64.9,64.0,64.0,,,
1995-01-24,63.2,66.0,63.2,66.0,,,
1995-01-25,64.0,66.75,63.6,65.1,,,
1995-01-30,63.1,64.0,63.1,64.0,,,
1995-01-31,63.5,63.5,62.0,62.0,,,
1995-02-01,62.0,62.0,61.5,61.5,,,
1995-02-02,62.0,62.0,62.0,62.0,,,
1995-02-03,62.0,62.0,61.5,61.5,,,
1995-02-07,60.5,60.5,60.5,60.5,,,
1995-02-08,61.9,61.9,59.5,59.5,,59.52304473782996,66.87695526217004
1995-02-09,60.0,60.0,59.5,59.5,,59.000515454563704,66.8494845454363
1995-02-10,55.0,59.5,55.0,58.0,,58.19923983028833,67.20076016971167
1995-02-13,59.5,61.5,56.5,56.5,,57.10445534996318,67.4955446500368
1995-02-14,60.0,60.0,56.5,58.2,,56.67417136710656,67.64582863289344
1995-02-15,60.0,60.0,57.0,57.0,,55.9869592067958,67.53304079320421
1995-02-16,57.5,59.0,57.0,57.0,,55.3448247432267,67.5751752567733
1995-02-17,60.0,60.0,57.5,57.5,,55.01128547801925,67.10871452198074
1995-02-20,58.0,60.0,57.0,59.4,,54.86017310967554,66.89982689032445
1995-02-21,60.5,60.5,57.0,58.55,,54.659378185527615,66.6056218144724
1995-02-22,56.75,56.75,56.0,56.3,,54.28495472300695,66.12004527699305
1995-02-23,58.9,61.0,57.0,57.6,,54.140019791295046,65.62498020870494
1995-02-24,61.0,61.0,58.0,58.0,,54.46555240630377,64.49944759369622
1995-02-28,58.0,58.7,57.5,57.5,,54.77286223710409,63.432137762895906
1995-03-01,59.5,60.5,58.6,60.0,,55.201507956606406,62.60349204339359
1995-03-02,61.0,62.0,60.0,60.4,,55.34074681185507,62.30425318814494
1995-03-03,61.5,61.5,59.0,59.4,,55.45603842902497,61.97896157097502
1995-03-06,61.0,61.5,57.5,57.5,,55.58257596409521,61.40242403590477
1995-03-07,60.5,61.5,58.0,59.05,,55.80764088962421,60.9323591103758
1995-03-08,61.0,61.4,59.25,59.5,,55.897430681020126,60.74256931897989
1995-03-09,60.9,60.9,58.0,60.0,,55.8616024970025,60.82839750299751
1995-03-10,60.4,60.5,58.5,58.5,,55.869933533195315,60.72006646680469
1995-03-13,56.0,58.95,56.0,57.5,,55.82192879360537,60.71807120639463
1995-03-14,59.0,59.5,56.6,56.6,,55.84178683305613,60.708213166943864
1995-03-15,59.0,60.0,57.5,58.0,,55.828846863339116,60.701153136660885
1995-03-16,55.0,57.5,55.0,57.5,,55.898655960387764,60.681344039612235
1995-03-20,56.5,56.5,55.0,55.0,,55.432312181326054,60.94768781867394
1995-03-21,55.0,60.0,54.0,56.9,,55.3580082272183,60.96199177278171
1995-03-23,59.8,59.8,55.0,55.0,,54.86983799501695,61.01016200498307
1995-03-24,59.0,60.0,55.4,57.6,,54.832696944762354,60.95230305523764
1995-03-27,59.5,59.5,55.0,58.25,60.035,55.02093138828821,60.95906861171178
1995-03-28,58.5,59.0,56.0,56.65,59.868,54.91729448284053,60.96770551715949
1995-03-29,60.0,60.0,56.0,56.0,59.738,54.69552568036844,60.989474319631576
1995-03-30,56.5,56.5,55.0,56.15,59.571000000000005,54.5404008627116,61.0095991372884
1995-03-31,56.5,56.9,55.5,56.85,59.488,54.535929142893536,60.69907085710648
1995-04-03,55.25,59.0,55.25,58.0,59.348,54.69816267240197,60.296837327598034
1995-04-04,60.5,60.5,56.95,57.5,59.238,54.749899488486136,60.055100511513885
1995-04-05,59.0,60.5,58.0,59.9,59.126000000000005,54.64381700434502,60.401182995654985
1995-04-06,60.0,60.0,59.0,59.8,59.062,54.57978453622463,60.54021546377535
1995-04-07,60.5,60.75,58.5,59.25,58.977,54.5996238689168,60.495376131083184
1995-04-10,60.5,60.5,58.8,58.8,58.855,54.70562728733445,60.26937271266554
1995-04-11,59.0,60.0,58.0,58.65,58.748000000000005,54.70085197995986,60.28914802004012
1995-04-12,60.0,61.0,57.5,59.7,58.622,54.64191128434507,60.56808871565492
1995-04-17,58.0,59.9,58.0,59.0,58.5,54.73897994154876,60.71102005845124
1995-04-18,59.8,59.8,58.0,59.6,58.412,54.70442280415921,60.90557719584078
1995-04-19,60.0,60.0,57.5,58.5,58.342,54.74290136808996,60.967098631910034
1995-04-20,60.0,60.0,56.55,57.95,58.271,55.19546466562664,60.80953533437336
1995-04-21,59.9,59.9,56.25,56.5,58.161,55.136954080682074,60.828045919317915
1995-04-24,56.0,58.0,55.0,56.75,58.066,55.51813793476224,60.62186206523775
1995-04-25,55.0,58.0,55.0,56.25,57.981,55.32973777811487,60.67526222188513
1995-04-26,58.5,58.95,56.0,56.6,57.923,55.17842918633947,60.66157081366053
1995-04-27,57.5,58.4,55.5,57.85,57.89,55.30371034531219,60.656289654687804
1995-04-28,56.5,56.9,55.2,55.9,57.848,55.282808562371244,60.66719143762876
1995-05-02,54.5,56.4,54.5,55.1,57.82,55.04582886097407,60.79917113902593
1995-05-03,53.0,55.0,52.5,54.5,57.746,54.573754517462255,61.03624548253773
1995-05-04,55.5,56.5,54.0,54.75,57.701,54.13727457741198,61.14772542258802
1995-05-05,54.2,54.3,53.0,53.65,57.63400000000001,53.51526935316312,61.384730646836886
1995-05-08,55.0,55.0,51.5,53.5,57.554,52.99817231724272,61.2618276827573
1995-05-09,55.0,57.0,52.5,53.6,57.438,52.602193136612165,61.03780686338785
1995-05-10,56.0,56.0,53.1,54.4,57.355,52.390367455242455,60.76463254475756
1995-05-12,55.65,55.65,52.8,52.8,57.285,51.90516171193689,60.6498382880631
1995-05-15,51.7,53.0,51.7,53.0,57.19299999999999,51.53879202979892,60.45120797020109
1995-05-16,54.4,54.4,52.0,52.0,57.07299999999999,51.171104926484105,60.048895073515894
1995-05-17,53.2,53.2,52.5,53.0,56.98299999999999,51.02752653862655,59.59247346137345
1995-05-18,53.5,53.8,51.9,51.9,56.821,50.88904319046641,58.960956809533585
1995-05-19,51.5,53.5,51.0,51.8,56.64900000000001,50.693631920554,58.486368079446024
1995-05-22,52.0,52.8,52.0,52.8,56.516999999999996,50.69927973779683,57.96572026220318
1995-05-23,54.0,54.0,51.2,51.5,56.397,50.3896512921666,57.77534870783341
1995-05-24,54.5,54.5,52.1,53.15,56.278999999999996,50.4116887536141,57.39331124638589
1995-05-25,54.5,54.5,52.1,52.5,56.138999999999996,50.35468986393728,57.07531013606271
1995-05-26,52.5,53.5,51.5,52.5,55.989,50.39981300274498,56.62018699725503
1995-05-29,53.9,53.9,53.9,53.9,55.897,50.951216896529274,55.673783103470726
1995-05-30,52.5,53.0,50.5,50.5,55.757,50.69207450660534,55.39292549339466
1995-05-31,54.5,54.5,51.0,51.0,55.645,50.52782355877335,55.14717644122665
1995-06-01,51.2,52.35,51.2,52.0,55.525,50.513726418396516,54.91127358160348
1995-06-02,52.5,52.5,52.2,52.2,55.419,50.59817497393202,54.571825026067984
1995-06-05,52.0,52.0,51.0,51.4,55.347,50.4847811275764,54.46021887242361
1995-06-06,51.0,51.0,50.0,50.1,55.21099999999999,50.113418241049935,54.491581758950055
1995-06-07,52.1,53.0,51.5,52.0,55.150999999999996,50.117749733528946,54.32725026647106
1995-06-08,52.0,52.0,51.2,51.35,55.026,50.20074740520246,53.93925259479755
1995-06-09,52.0,52.1,51.2,52.1,54.903,50.197352762791375,53.87264723720863
1995-06-12,54.5,54.5,52.0,52.0,54.81,50.20437326231834,53.76562673768166
1995-06-13,52.0,52.0,51.0,51.35,54.717,50.14943973595198,53.75556026404802
1995-06-14,50.0,50.0,50.0,50.0,54.593999999999994,49.87173113215174,53.73326886784825
1995-06-15,50.9,51.0,50.75,51.0,54.477,49.79461410096485,53.720385899035136
1995-06-16,51.0,51.0,49.0,49.0,54.297,49.299997941862166,53.93500205813782
1995-06-19,50.0,50.0,50.0,50.0,54.147,49.122779098000116,53.83222090199988
1995-06-20,50.5,53.0,50.0,50.0,53.949,48.956993917407,53.848006082592995
1995-06-21,51.0,51.0,51.0,51.0,53.773,48.98782583414726,53.60217416585273
1995-06-22,54.4,54.4,50.6,50.8,53.604000000000006,48.96533380749191,53.45466619250809
1995-06-23,53.4,53.4,50.65,50.7,53.442,48.95001333984228,53.289986660157716
1995-06-26,52.8,52.8,50.55,50.6,53.28099999999999,49.216004524687555,52.69399547531244
1995-06-27,51.0,51.0,50.1,50.1,53.089,49.16504609040108,52.70495390959893
1995-06-28,50.0,50.0,49.2,49.55,52.9,48.9880527130436,52.736947286956394
1995-06-29,49.4,49.5,49.4,49.5,52.698,48.84906567217032,52.625934327829675
1995-06-30,49.2,49.2,48.8,49.05,52.50900000000001,48.67975070887522,52.48024929112478
1995-07-03,49.1,49.1,47.5,47.5,52.3,48.081432971969186,52.68856702803081
1995-07-05,47.5,48.0,47.3,48.0,52.13,47.74220153427608,52.817798465723925
1995-07-10,48.5,48.9,48.2,48.9,51.97299999999999,47.65166855818883,52.59833144181117
1995-07-11,48.1,48.5,48.1,48.45,51.817,47.469307078241656,52.49069292175835
1995-07-12,48.75,49.0,48.4,48.6,51.657,47.432370989587355,52.177629010412645
1995-07-13,49.5,49.5,49.0,49.25,51.485,47.522671458208556,51.81232854179145
1995-07-14,50.0,51.0,50.0,51.0,51.387,47.557909632625254,51.74209036737474
1995-07-17,49.1,49.1,49.1,49.1,51.266999999999996,47.50590244954771,51.704097550452296
1995-07-18,49.2,50.9,49.1,50.7,51.191,47.52893231552211,51.65106768447788
1995-07-19,50.9,50.9,50.5,50.5,51.106,47.58524799049222,51.74475200950778
1995-07-20,50.45,50.45,50.45,50.45,51.042,47.5828997754295,51.7921002245705
1995-07-21,50.0,50.6,50.0,50.4,50.98,47.58288858042004,51.83211141957995
1995-07-24,51.0,51.5,50.0,50.0,50.908,47.615500206196444,51.699499793803554
1995-07-25,50.9,50.9,49.0,49.0,50.8,47.579569311808974,51.55543068819103
1995-07-26,50.8,50.9,50.8,50.85,50.761,47.568038431648205,51.5819615683518
1995-07-27,50.1,50.6,50.1,50.2,50.705,47.58338564676209,51.52661435323791
1995-07-28,49.0,49.6,49.0,49.6,50.65700000000001,47.57487179044736,51.48512820955263
1995-07-31,48.3,48.6,48.0,48.5,50.56700000000001,47.46897212851668,51.486027871483316
1995-08-01,47.5,48.5,47.5,48.4,50.497,47.357127598254074,51.487872401745925
1995-08-03,48.5,48.6,48.5,48.5,50.431,47.29439858236065,51.49560141763936
1995-08-11,48.1,48.75,48.1,48.5,50.345,47.49189181586213,51.39810818413788
1995-08-14,50.0,50.0,48.4,48.5,50.285,47.58309219816374,51.35690780183627
1995-08-16,49.0,49.0,48.5,48.5,50.192,47.529473756328606,51.3705262436714
1995-08-17,48.5,48.7,48.5,48.7,50.11600000000001,47.56627799434353,51.35872200565647
1995-08-18,48.95,48.95,48.4,48.5,50.036,47.55120157524863,51.36379842475136
1995-08-21,47.8,48.0,47.8,48.0,49.918,47.38112706197106,51.408872938028935
1995-08-22,48.0,48.3,48.0,48.0,49.868,47.288391763925986,51.20160823607401
1995-08-23,48.3,48.5,48.3,48.5,49.818000000000005,47.23082577165713,51.19917422834286
1995-08-24,48.5,49.0,48.0,48.9,49.756,47.26503395616762,50.98496604383238
1995-08-25,48.9,49.15,48.65,49.1,49.694,47.31116876721972,50.79883123278028
1995-08-28,48.2,48.2,48.1,48.1,49.628,47.27463152085131,50.60036847914869
1995-08-30,47.5,48.0,47.4,48.0,49.586000000000006,47.255694364812264,50.37930563518774
1995-08-31,48.0,49.0,48.0,49.0,49.526,47.30416746593193,50.230832534068064
1995-09-01,48.9,49.0,48.6,49.0,49.479,47.30416746593193,50.230832534068064
1995-09-05,47.8,49.5,47.8,49.45,49.425999999999995,47.55480005780449,49.84019994219552
1995-09-11,48.75,49.5,48.75,49.2,49.37,47.71308490008655,49.58191509991344
1995-09-12,48.6,49.7,48.6,49.5,49.333,47.72870225662986,49.55629774337014
1995-09-13,49.0,49.1,49.0,49.1,49.315,47.73921209383794,49.60578790616206
1995-09-14,49.1,49.6,49.1,49.25,49.28,47.756876834640295,49.6731231653597
1995-09-15,49.0,50.6,49.0,50.6,49.312,47.551183726128556,50.088816273871444
1995-09-18,50.0,51.7,50.0,51.7,49.346000000000004,47.18368798865447,50.776312011345524
1995-09-19,51.0,51.7,50.8,51.1,49.368,47.096728245394154,51.123271754605845
1995-09-20,51.4,51.8,51.2,51.8,49.38399999999999,46.954723246997176,51.59527675300282
1995-09-21,51.5,52.2,51.2,51.9,49.40599999999999,46.85489392302951,52.0151060769705
1995-09-22,52.6,54.2,52.55,53.8,49.468,46.508069384740544,52.89193061525946
1995-09-25,56.5,56.5,55.0,55.1,49.558,46.15778101853735,53.95221898146265
1995-09-26,55.0,55.4,54.6,54.75,49.651,46.09595610127356,54.68904389872644
1995-09-27,54.5,54.5,54.1,54.15,49.743,46.16471934587806,55.18528065412193
1995-09-28,53.8,54.5,53.8,54.3,49.839,46.239806900321476,55.65019309967854
1995-09-29,54.1,54.3,54.0,54.0,49.937999999999995,46.38018547244564,55.99981452755437
1995-10-10,55.0,56.3,55.5,55.9,50.105999999999995,46.56461314920201,56.595386850797986
1995-10-11,55.5,55.6,55.5,55.5,50.25599999999999,46.945125539969816,56.96487446003018
1995-10-12,55.1,55.2,55.1,55.1,50.38,47.26488659841076,57.25511340158925
1995-10-13,54.3,54.4,54.0,54.0,50.49099999999999,47.70500260145756,57.31499739854245
1995-10-16,54.7,55.0,54.6,54.6,50.611000000000004,48.10304595060181,57.431954049398186
1995-10-17,54.5,54.7,54.0,54.35,50.713,48.62888927872784,57.42111072127216
1995-10-18,54.9,55.4,54.7,55.15,50.79600000000001,49.145228985277406,57.4697710147226
1995-10-19,54.8,54.8,54.5,54.5,50.904,49.891041851016006,57.263958148983995
1995-10-20,54.3,55.0,54.3,55.0,50.99,50.74644770429407,56.98355229570592
1995-10-23,55.0,58.5,55.0,56.85,51.117,51.18655313355539,57.168446866444626
1995-10-24,56.5,58.0,56.5,57.0,51.248000000000005,51.4366679495039,57.44833205049612
1995-10-25,55.8,56.6,55.8,56.5,51.37,52.01671869542326,57.40828130457674
1995-10-26,56.5,56.0,55.5,56.0,51.49,52.54664004488563,57.29835995511437
1995-10-27,55.5,55.5,55.0,55.0,51.61,53.17446226217681,56.980537737823205
1995-10-30,54.4,55.5,54.4,55.1,51.695,53.336872830929785,56.94812716907021
1995-10-31,52.5,55.0,52.5,54.95,51.79,53.32738453087754,56.94261546912247
1995-11-01,54.5,55.4,54.5,55.35,51.905,53.364386069609566,56.96561393039043
1995-11-10,55.6,55.45,54.6,55.1,52.037,53.47563197786472,56.949368022135275
1995-11-13,55.1,54.7,54.3,54.3,52.155,53.47563197786472,56.949368022135275
1995-11-14,54.3,53.6,52.5,53.3,52.251000000000005,53.31414846382419,57.0408515361758
1995-11-15,53.3,54.9,53.5,54.0,52.361000000000004,53.180900949892774,56.98409905010723
1995-11-16,54.0,54.8,53.85,54.05,52.47200000000001,53.06534470650283,56.95465529349718
1995-11-17,55.1,55.1,54.2,54.45,52.591,53.01751208381806,56.93748791618194
1995-11-20,54.45,55.2,54.0,54.6,52.708999999999996,53.092661818022684,56.9223381819773
1995-11-21,54.9,56.0,54.8,55.0,52.839,53.12225101779037,56.932748982209624
1995-11-22,54.5,54.85,54.1,54.15,52.961999999999996,53.09525487624763,56.93974512375237
1995-11-23,53.7,53.7,52.0,53.5,53.071999999999996,52.8984652754714,56.9715347245286
1995-11-24,53.5,54.75,53.6,54.5,53.192,52.8984652754714,56.9715347245286
1995-11-27,54.4,55.2,54.4,54.7,53.30799999999999,52.88106322856863,56.958936771431375
1995-11-28,54.7,54.8,52.45,54.8,53.422,52.99215936848683,56.64284063151316
1995-11-29,54.0,54.3,54.0,54.3,53.54600000000001,53.16305584955681,56.20194415044317
1995-11-30,54.2,54.5,54.15,54.25,53.67100000000001,53.305338614073776,55.83466138592621
1995-12-01,54.7,54.7,54.2,54.3,53.777,53.410854072444344,55.55914592755564
1995-12-08,56.3,56.5,55.75,55.9,53.915,53.30079400895487,55.75920599104512
1995-12-11,56.0,56.0,54.2,55.85,54.043,53.2245750697,55.91042493029999
1995-12-12,55.85,55.7,55.0,55.4,54.167,53.20565139772101,55.97434860227898
1995-12-13,55.9,56.0,55.3,55.65,54.29,53.18007156227698,56.02992843772303
1995-12-14,55.65,56.0,55.5,55.8,54.424,53.1319165177372,56.1480834822628
1995-12-15,55.8,56.0,55.2,55.8,54.555,53.13083493682992,56.29916506317007
1995-12-18,55.8,56.0,55.0,56.0,54.663000000000004,53.314113491034796,56.38588650896521
1995-12-19,56.0,56.5,55.2,56.15,54.751999999999995,53.37194846056307,56.54305153943694
1995-12-20,56.15,56.0,55.5,55.7,54.843999999999994,53.48179590553729,56.59820409446271
1995-12-21,55.0,56.2,55.0,56.2,54.93200000000001,53.513262360154144,56.74173763984585
1995-12-22,56.2,57.0,56.5,56.5,55.02400000000001,53.517870081837366,56.92712991816264
1995-12-26,56.7,59.9,56.7,59.1,55.13,53.00187474148679,57.85312525851323
1995-12-27,59.1,62.0,59.5,60.0,55.228,52.6246044381677,58.81539556183231
1995-12-28,60.0,60.2,59.5,59.6,55.325,52.66024459323279,59.38975540676721
1995-12-29,59.6,59.25,58.4,58.45,55.410999999999994,52.772027110975145,59.67297288902486
1996-01-01,58.6,59.5,58.1,58.5,55.495,52.897138971898386,59.92786102810162
1996-01-02,58.5,59.7,58.9,59.6,55.607000000000006,52.950228293402176,60.354771706597816
1996-01-09,60.35,60.5,59.55,60.15,55.692,53.10355016405181,60.786449835948204
1996-01-10,60.15,60.5,60.0,60.0,55.782,53.379643916520976,61.08535608347903
1996-01-11,60.0,61.1,60.0,61.1,55.90200000000001,53.61064570261781,61.5343542973822
1996-01-12,61.1,61.8,61.0,61.6,56.054,53.59366493357378,62.12133506642623
1996-01-15,61.6,62.0,61.4,61.8,56.19799999999999,53.657058950562785,62.65294104943723
1996-01-16,61.8,62.0,61.2,61.35,56.338,53.93476011326321,62.97023988673679
1996-01-17,61.35,61.5,61.0,61.2,56.458999999999996,54.25546385820689,63.204536141793106
1996-01-18,61.2,60.65,60.0,60.4,56.577,54.64971853404075,63.27028146595925
1996-01-19,60.4,61.5,60.2,61.0,56.696999999999996,55.08868187212765,63.35131812787236
1996-01-22,61.0,61.0,60.3,60.45,56.769,55.57015880689832,63.31484119310167
1996-01-23,60.45,60.8,59.7,60.3,56.835,56.08821452225482,63.211785477745174
1996-01-24,60.3,60.6,59.8,60.4,56.913000000000004,56.83746432601464,62.93253567398537
1996-01-25,60.4,60.5,59.6,60.0,56.993,57.56911219640354,62.58088780359647
1996-01-29,57.0,60.8,57.0,60.8,57.108999999999995,58.41787764682265,62.162122353177345
1996-01-30,60.8,62.2,60.2,61.95,57.246,58.50861276181102,62.35638723818896
1996-01-31,61.95,63.7,61.8,63.55,57.418,58.24877819316864,62.971221806831345
1996-02-02,65.0,67.5,65.0,67.0,57.650999999999996,57.32207421444406,64.63792578555594
1996-02-12,72.6,75.9,71.5,75.25,58.053999999999995,54.613613943174855,69.02638605682513
1996-02-13,75.9,79.0,75.9,77.7,58.522000000000006,52.83915390660152,72.72084609339848
1996-02-14,77.7,82.4,78.7,78.7,59.03,51.64332822493952,75.82667177506048
