Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2007-03-01,93.9,100.25,75.0,98.35,,,
2007-03-02,105.0,105.0,95.05,97.95,,,
2007-03-05,95.0,95.3,90.0,92.6,,,
2007-03-06,94.75,97.0,92.0,93.7,,,
2007-03-07,94.85,94.85,85.5,86.7,,,
2007-03-08,87.2,89.6,87.2,89.3,,,
2007-03-09,89.9,92.0,88.0,91.2,,,
2007-03-12,92.5,92.5,87.45,87.85,,,
2007-03-13,88.0,89.5,86.0,87.65,,,
2007-03-14,86.0,88.0,82.4,86.75,,,
2007-03-15,87.0,89.8,87.0,88.0,,,
2007-03-16,87.1,88.5,85.0,85.35,,,
2007-03-19,86.0,86.5,84.05,84.45,,,
2007-03-20,85.5,87.95,85.3,86.85,,,
2007-03-21,86.05,88.7,85.05,87.05,,,
2007-03-22,88.0,92.0,88.0,91.8,,,
2007-03-23,91.9,92.5,89.5,91.35,,,
2007-03-26,90.0,92.5,89.05,92.1,,,
2007-03-28,91.0,91.0,88.2,89.2,,,
2007-03-29,88.5,94.15,85.5,87.0,,82.08347392165058,97.43652607834943
2007-03-30,87.7,90.8,86.7,90.2,,82.81520013891942,95.88979986108059
2007-04-02,88.0,88.0,85.0,87.1,,83.61348294781166,94.00651705218834
2007-04-03,87.2,90.25,87.2,90.0,,83.75996576819782,93.60003423180217
2007-04-04,89.9,92.25,89.9,91.75,,84.01680699328362,93.1481930067164
2007-04-05,91.0,91.25,89.5,90.8,,84.20953504186689,93.3654649581331
2007-04-09,90.25,91.4,88.5,89.55,,84.21478348097762,93.38521651902238
2007-04-10,90.0,96.1,89.5,93.6,,83.96001273346286,93.87998726653714
2007-04-11,95.0,95.0,93.0,94.05,,83.7989586149325,94.66104138506748
2007-04-12,93.5,93.5,89.75,90.4,,83.96571910458177,94.76928089541822
2007-04-13,91.85,94.6,91.25,93.5,,84.15049495312233,95.25950504687766
2007-04-16,94.9,95.7,92.25,92.5,,84.30221180213753,95.55778819786245
2007-04-17,93.0,94.8,91.3,93.65,,84.91875772166797,95.77124227833202
2007-04-18,94.0,98.75,93.95,96.95,,85.52318538284217,96.41681461715783
2007-04-19,95.0,97.9,94.5,96.85,,85.78489480725014,97.15510519274986
2007-04-20,97.8,98.95,95.6,96.8,,86.19662698501897,97.71837301498103
2007-04-23,99.0,99.85,93.7,95.5,,86.16920196008235,98.11579803991765
2007-04-24,96.0,109.95,95.2,104.9,,84.58110635940406,101.05889364059595
2007-04-25,108.75,124.8,106.8,120.3,,79.45237110394656,109.00762889605342
2007-04-26,121.0,130.0,121.0,122.55,,76.65715108643326,115.13784891356673
2007-04-27,122.0,122.0,112.0,114.7,,76.7916220552323,117.7733779447677
2007-04-30,113.0,118.0,105.65,115.5,,76.81165826820886,120.28334173179111
2007-05-03,116.5,120.35,115.0,116.15,,77.61236243393527,122.38763756606473
2007-05-04,117.2,120.6,115.0,116.0,,78.34498678765473,124.25501321234526
2007-05-07,116.9,118.8,115.1,115.75,,79.14133204951423,125.85866795048577
2007-05-08,116.6,117.75,115.9,117.05,,80.27265975102281,127.35234024897719
2007-05-09,118.0,127.5,116.15,126.1,,81.10813886949641,130.17186113050363
2007-05-10,127.7,129.75,120.85,122.55,,82.13411451088413,132.04088548911588
2007-05-11,120.0,128.0,118.1,125.85,,83.1754572541625,134.17954274583752
2007-05-14,129.65,132.4,127.0,128.7,,85.11734647016984,136.06765352983018
2007-05-15,129.0,129.7,125.1,126.15,99.01299999999999,87.1808179883715,137.2691820116285
2007-05-16,124.5,129.9,124.5,129.2,99.63,89.73335011275,138.38664988724997
2007-05-17,135.0,135.0,127.5,130.5,100.281,92.52103016641286,139.28396983358712
2007-05-18,130.8,132.5,127.5,128.25,100.99400000000001,95.2671141569804,139.6678858430196
2007-05-21,129.0,130.5,126.8,128.95,101.699,98.57183313023059,139.5731668697694
2007-05-22,129.2,132.5,127.15,130.3,102.571,102.56597452986821,138.92902547013176
2007-05-23,131.8,131.8,128.0,128.8,103.36099999999999,108.32884485990013,136.49615514009986
2007-05-24,128.5,129.9,123.0,125.5,104.04699999999998,111.98285570497846,134.90214429502151
2007-05-25,124.5,129.6,118.35,129.05,104.87100000000001,112.25854072031088,135.5014592796891
2007-05-28,129.25,129.25,125.5,125.95,105.63699999999999,112.41100022383915,135.68899977616084
2007-05-29,126.0,130.9,126.0,128.4,106.47,113.82309920557526,135.6469007944247
2007-05-30,134.9,134.9,127.0,127.85,107.267,115.27519485688921,135.4298051431108
2007-05-31,128.5,130.25,127.0,127.65,108.11300000000001,116.79280759887578,135.06219240112424
2007-06-01,129.05,130.0,127.55,128.45,108.993,118.6504996826915,134.4495003173085
2007-06-04,128.45,129.9,124.1,125.25,109.76100000000001,120.92154972469203,133.12845027530798
2007-06-05,125.0,128.0,123.25,126.25,110.545,123.54290597991914,131.42709402008083
2007-06-06,126.3,127.85,122.85,123.85,111.186,123.14583340251266,131.5991665974873
2007-06-07,123.85,126.0,119.4,120.75,111.77400000000002,122.57424576995506,131.99075423004493
2007-06-08,120.75,122.85,118.15,121.0,112.352,121.58129377194471,132.49870622805528
2007-06-11,122.0,124.9,121.0,121.0,112.98800000000001,120.63224490391919,132.6777550960808
2007-06-12,122.0,122.0,114.8,116.3,113.574,118.56167767606696,133.76332232393304
2007-06-13,116.3,118.85,116.0,116.55,114.101,116.95105392315162,134.10894607684838
2007-06-14,117.1,121.9,116.6,120.9,114.777,116.56819284399973,133.53180715600027
2007-06-15,118.9,124.0,117.0,119.85,115.374,115.9850501508259,133.27494984917408
2007-06-18,120.95,121.7,116.5,116.85,115.876,114.96917895843562,133.08082104156438
2007-06-19,117.0,122.5,116.15,121.65,116.493,114.98330815578348,132.20169184421653
2007-06-20,122.5,125.5,120.05,124.2,117.18599999999998,115.10029212635229,131.6247078736477
2007-06-21,126.7,127.0,122.1,123.4,117.78200000000001,115.0565196349847,131.45848036501525
2007-06-22,122.3,124.9,122.1,122.8,118.35700000000001,115.21032755090854,130.67967244909147
2007-06-25,122.9,122.9,120.55,121.65,118.98200000000001,115.10881070201066,130.35118929798932
2007-06-26,121.1,126.4,120.0,120.5,119.522,115.14442868824241,129.52557131175757
2007-06-27,122.4,125.6,121.35,123.0,120.132,115.37337764189732,128.81162235810268
2007-06-28,123.15,126.5,121.2,125.4,120.767,115.58515009846553,128.37484990153445
2007-06-29,127.05,130.0,126.0,127.7,121.382,115.70042924035474,128.18457075964525
2007-07-02,127.95,129.7,127.05,128.4,122.01299999999999,115.36689248250833,128.83310751749164
2007-07-03,129.5,131.0,128.2,129.6,122.66900000000001,114.95771744149465,129.57728255850535
