Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2012-12-28,200.0,200.85,188.65,191.65,,,
2012-12-31,191.85,195.5,188.25,193.7,,,
2013-01-01,194.7,199.8,194.0,197.75,,,
2013-01-02,198.3,204.35,197.0,201.5,,,
2013-01-03,200.0,206.5,200.0,204.35,,,
2013-01-04,205.0,210.0,202.35,207.15,,,
2013-01-07,207.85,209.0,206.1,207.4,,,
2013-01-08,207.55,211.05,201.7,202.95,,,
2013-01-09,204.25,207.9,203.3,205.05,,,
2013-01-10,205.0,207.0,203.0,205.1,,,
2013-01-11,204.4,206.8,203.6,205.45,,,
2013-01-14,205.2,208.25,202.9,207.8,,,
2013-01-15,207.95,208.65,204.0,205.25,,,
2013-01-16,205.85,210.0,202.5,204.4,,,
2013-01-17,206.6,207.7,204.2,204.95,,,
2013-01-18,206.35,206.65,204.1,205.0,,,
2013-01-21,206.85,207.5,204.5,205.05,,,
2013-01-22,205.1,206.35,204.15,205.05,,,
2013-01-23,205.0,205.15,203.15,204.6,,,
2013-01-24,204.65,210.4,204.55,206.1,,194.91220165756167,212.1127983424383
2013-01-25,206.95,209.5,204.65,208.3,,197.54446596524255,211.14553403475745
2013-01-28,209.0,211.5,208.0,210.3,,199.98305279404025,210.36694720595978
2013-01-29,210.65,216.0,210.0,212.15,,201.05667710657386,210.73332289342622
2013-01-30,215.0,215.0,208.1,209.95,,201.62144622553888,211.01355377446117
2013-01-31,209.85,211.25,201.0,204.25,,201.60742155666944,211.01757844333056
2013-02-01,202.25,210.9,202.25,206.0,,201.56493210687688,210.94506789312317
2013-02-04,208.75,211.0,206.35,209.95,,201.4300657234894,211.33493427651058
2013-02-05,208.9,211.9,207.45,209.85,,201.82074043041814,211.6342595695819
2013-02-06,210.25,211.5,209.25,210.0,,201.92717608114262,212.02282391885737
2013-02-07,210.85,210.85,207.0,207.55,,202.12288284995992,212.07211715004007
2013-02-08,207.95,208.75,204.45,206.95,,202.2575951714521,212.08740482854788
2013-02-11,201.15,207.4,201.15,203.35,,201.75952288979343,212.14047711020655
2013-02-12,203.05,204.6,195.0,200.35,,200.76779349755876,212.64220650244127
2013-02-13,202.65,202.65,194.45,195.1,,198.3930696581738,214.08693034182622
2013-02-14,195.1,195.55,191.5,192.8,,195.7482608178209,215.51673918217915
2013-02-15,192.8,192.8,181.95,188.15,,192.18166524622873,217.3983347537713
2013-02-18,188.0,192.7,186.7,191.9,,190.27194350627332,217.99305649372667
2013-02-19,197.25,197.25,190.1,191.6,,188.52348169929257,218.39651830070738
2013-02-20,193.95,197.0,192.35,196.05,,187.74799546281048,218.31700453718952
2013-02-21,196.4,197.0,194.15,194.8,,186.82911015826426,218.10588984173575
2013-02-22,195.9,195.9,188.0,191.6,,185.52891180880553,217.73608819119445
2013-02-25,199.0,199.0,188.75,192.05,,184.61611357793606,216.82388642206394
2013-02-26,191.15,193.5,189.4,192.05,,184.1136134219457,215.3163865780543
2013-02-27,196.85,196.85,175.55,184.55,,182.22850742056266,214.66149257943732
2013-02-28,185.0,194.9,185.0,191.9,,181.60119014289,214.05380985711002
2013-03-01,181.0,194.65,181.0,190.8,,181.03013327167002,213.10486672833002
2013-03-04,187.75,192.85,187.75,192.25,,181.22099588901048,211.14400411098953
2013-03-05,194.9,196.6,191.05,195.6,,181.96244266111907,208.97755733888093
2013-03-06,196.55,197.95,194.3,196.95,,183.12664549969222,206.50835450030777
2013-03-07,196.9,197.5,193.1,195.95,200.86599999999999,184.16774983323566,204.30725016676436
2013-03-08,195.4,197.45,191.5,193.7,200.907,185.47623466199954,201.67376533800044
2013-03-11,193.7,194.0,189.9,193.3,200.89899999999997,186.40715561358823,199.7378443864118
2013-03-12,192.5,193.85,189.3,189.85,200.74099999999999,186.69065739812356,198.40434260187646
2013-03-13,188.05,191.6,188.05,189.9,200.509,186.44609831168856,198.12890168831143
2013-03-14,152.3,191.75,152.3,189.8,200.218,186.19825718099057,198.0767428190094
2013-03-15,190.0,190.4,184.1,185.1,199.77700000000002,185.48454657451964,198.48545342548033
2013-03-18,186.9,186.9,179.65,183.5,199.299,184.0371499539519,199.09285004604808
2013-03-19,185.0,185.8,180.1,181.9,198.878,182.39993208855108,199.76006791144889
2013-03-20,181.9,184.7,176.15,179.9,198.375,180.5920000672814,199.95299993271857
2013-03-21,178.5,180.35,172.35,173.9,197.75099999999998,177.3433896442618,201.11161035573824
2013-03-22,175.9,175.9,169.6,173.1,197.104,174.47493504330663,202.1300649566934
2013-03-25,173.0,174.95,166.7,170.25,196.35299999999998,171.3426717914649,203.0823282085351
2013-03-26,168.0,172.0,167.4,170.0,195.648,168.66925520663284,203.55074479336713
