Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2008-02-25,19.5,20.0,16.8,18.95,,,
2008-02-26,19.65,19.65,18.25,18.5,,,
2008-02-27,19.0,21.05,18.55,20.4,,,
2008-02-28,20.3,21.4,20.05,20.5,,,
2008-02-29,20.0,20.65,19.2,19.35,,,
2008-03-03,19.1,20.4,18.4,19.35,,,
2008-03-04,19.5,20.4,18.9,19.7,,,
2008-03-05,19.7,20.1,19.5,19.65,,,
2008-03-07,19.5,20.4,18.2,19.85,,,
2008-03-10,19.7,19.9,18.5,19.2,,,
2008-03-11,19.0,19.85,18.9,19.45,,,
2008-03-12,19.6,20.0,19.2,19.25,,,
2008-03-13,18.95,19.7,18.5,18.6,,,
2008-03-14,19.0,19.2,18.35,18.5,,,
2008-03-17,17.8,18.55,17.5,18.1,,,
2008-03-18,18.45,18.45,17.6,17.8,,,
2008-03-19,18.2,18.6,18.0,18.4,,,
2008-03-24,18.0,18.2,16.05,16.55,,,
2008-03-25,16.8,17.75,16.55,17.25,,,
2008-03-26,17.65,17.95,16.4,17.25,,16.716534400065797,20.943465599934207
2008-03-27,17.1,18.35,16.8,17.95,,16.63146316617197,20.928536833828034
2008-03-28,18.2,18.5,17.5,17.75,,16.547703522203626,20.937296477796373
2008-03-31,17.45,18.15,16.2,16.95,,16.381417185290424,20.758582814709577
2008-04-01,17.1,17.5,16.75,16.8,,16.258698540955013,20.511301459044983
2008-04-02,17.35,17.5,16.3,16.6,,16.030229273705125,20.464770726294873
2008-04-03,16.4,17.2,16.4,16.8,,15.876553403448401,20.363446596551594
2008-04-04,16.85,17.5,16.6,17.05,,15.825416453242871,20.14958354675713
2008-04-07,17.1,17.95,16.8,17.7,,15.872549811480372,19.90745018851963
2008-04-08,17.8,19.0,17.3,17.6,,15.981459032233749,19.57354096776625
2008-04-09,17.5,17.95,17.2,17.6,,16.030332531381134,19.36466746861887
2008-04-10,17.7,18.15,17.5,17.65,,16.15862566379784,19.056374336202165
2008-04-11,17.8,18.4,17.5,18.25,,16.289565500612575,18.825434499387427
2008-04-15,18.0,19.3,17.75,19.1,,16.21241548474287,18.95258451525713
2008-04-16,19.3,21.95,19.3,20.9,,15.713457649097386,19.691542350902616
2008-04-17,21.3,21.4,20.05,20.4,,15.493874203511835,20.14112579648816
2008-04-21,20.65,21.5,20.3,20.9,,15.270945866386892,20.674054133613115
2008-04-22,21.15,21.8,20.7,21.1,,15.067369289513673,21.147630710486325
2008-04-23,21.1,21.6,20.8,21.05,,15.116704281167234,21.548295718832765
2008-04-24,21.7,21.7,19.65,20.25,,15.200126821305883,21.764873178694113
2008-04-25,20.4,20.6,19.8,20.05,,15.322663480923403,21.922336519076595
2008-04-28,20.2,21.45,19.5,21.25,,15.304326159951248,22.270673840048754
2008-04-29,21.2,22.2,21.0,21.3,,15.34530242612511,22.58469757387489
2008-04-30,21.4,22.15,21.2,21.3,,15.549859232270771,22.815140767729226
2008-05-02,21.6,21.9,21.45,21.55,,15.822281424656955,23.017718575343043
2008-05-05,21.6,22.0,21.2,21.3,,16.22266153061488,23.087338469385124
2008-05-06,21.35,21.5,20.25,21.0,,16.66186009310273,23.068139906897272
2008-05-07,21.3,21.85,20.75,20.9,,17.114484181954992,23.000515818045002
2008-05-08,20.5,21.35,20.2,21.1,,17.470981410031477,22.98401858996852
2008-05-09,21.05,21.05,19.85,20.15,,17.889682682962665,22.820317317037336
2008-05-12,20.3,20.45,19.2,20.05,19.179000000000002,18.37124990238952,22.58375009761048
2008-05-13,20.1,21.1,20.1,20.85,19.217,19.002077955646357,22.272922044353642
2008-05-14,20.5,21.0,20.4,20.55,19.258,19.560652694343798,21.944347305656205
2008-05-15,20.55,20.9,20.5,20.6,19.262,19.91820588395523,21.73679411604477
2008-05-16,20.7,21.3,20.65,21.0,19.272000000000002,19.92043178925445,21.74456821074555
2008-05-20,20.9,21.1,20.6,20.8,19.301,19.963103397921135,21.741896602078864
2008-05-21,20.3,21.3,20.3,21.1,19.336000000000002,19.966382643963733,21.758617356036268
2008-05-22,20.3,21.15,20.2,20.3,19.348,19.899989124297484,21.74501087570252
2008-05-23,20.3,20.55,19.6,19.7,19.349,19.712785757957732,21.797214242042273
2008-05-26,19.5,19.65,18.15,18.65,19.325,19.282728096731272,22.06727190326873
2008-05-27,19.0,19.1,18.0,18.1,19.303,18.78527262955607,22.369727370443933
2008-05-28,18.2,18.5,17.65,18.3,19.28,18.40089597164298,22.459104028357018
2008-05-29,18.5,18.65,17.5,18.2,19.259,18.06057361591624,22.489426384083757
