Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2019-10-14,125.2,148.75,125.0,145.55,,,
2019-10-15,147.2,149.5,139.2,142.65,,,
2019-10-16,142.8,144.2,139.65,140.15,,,
2019-10-17,140.0,146.6,137.45,144.85,,,
2019-10-18,145.0,158.0,143.2,155.85,,,
2019-10-22,157.4,173.35,156.2,168.95,,,
2019-10-23,173.2,182.0,173.2,180.05,,,
2019-10-24,185.0,190.7,172.55,180.4,,,
2019-10-25,181.0,183.2,175.2,179.8,,,
2019-10-29,181.4,181.5,175.75,176.6,,,
2019-10-30,176.2,184.0,176.15,178.1,,,
2019-10-31,180.0,181.55,175.4,176.35,,,
2019-11-01,177.0,181.6,176.6,178.1,,,
2019-11-04,179.0,179.6,176.05,176.7,,,
2019-11-05,177.35,181.4,174.25,176.3,,,
2019-11-06,177.0,179.0,176.2,176.85,,,
2019-11-07,177.8,178.4,176.0,176.3,,,
2019-11-08,175.95,178.2,174.45,175.4,,,
2019-11-11,177.2,188.65,176.8,186.6,,,
2019-11-13,191.0,196.2,180.65,186.4,,139.88532965687327,200.30967034312673
2019-11-14,183.0,189.4,179.4,181.45,,143.61738028784237,200.1676197121576
2019-11-15,184.0,187.95,180.4,185.65,,148.7474562791027,199.33754372089734
2019-11-18,186.8,187.6,183.4,184.45,,156.25367733900256,196.26132266099742
2019-11-19,184.55,184.8,180.0,180.5,,164.51615750648224,191.5638424935178
2019-11-20,181.8,183.4,178.0,179.15,,170.6156614432711,187.79433855672886
2019-11-21,179.6,181.2,176.0,176.95,,172.39156954373493,186.81843045626505
2019-11-22,177.8,177.8,174.5,175.2,,171.8905964871549,186.8344035128451
2019-11-25,175.8,178.0,174.6,176.45,,171.60032447559863,186.72967552440142
2019-11-26,177.4,179.0,175.1,175.75,,171.25393504378317,186.67106495621684
2019-11-27,176.2,178.2,176.0,176.65,,171.25962935076393,186.67037064923608
2019-11-28,177.0,177.55,175.6,176.5,,171.10891655881872,186.66108344118132
2019-11-29,176.45,183.75,175.6,179.45,,171.35360737543604,186.72639262456394
2019-12-02,180.4,180.55,175.65,176.2,,171.16331434848777,186.7266856515122
2019-12-03,177.2,177.8,174.2,175.0,,170.93916803944356,186.7808319605564
2019-12-04,174.4,177.0,172.45,174.8,,170.734756460042,186.835243539958
2019-12-05,175.9,177.8,174.4,175.2,,170.53578481933474,186.8692151806653
2019-12-06,175.4,175.75,173.65,174.45,,170.28827194059187,186.9317280594081
2019-12-09,175.3,175.3,172.85,173.5,,169.99789028515306,187.03210971484697
2019-12-10,173.95,173.95,171.05,172.2,,169.73320576324397,185.856794236756
2019-12-11,172.8,174.0,171.1,172.95,,169.88084600166636,184.36415399833365
2019-12-12,173.0,175.6,172.0,174.0,,169.6812399658034,183.8187600341966
2019-12-13,174.85,180.7,174.0,178.1,,170.62139255515882,182.12360744484118
2019-12-16,178.9,178.9,176.45,177.35,,171.65748128927214,180.37751871072783
2019-12-17,177.8,179.7,176.6,177.35,,171.98068915507133,179.73931084492864
2019-12-18,177.35,177.5,174.65,175.05,,172.08688093188965,179.22311906811035
2019-12-19,174.45,175.2,173.25,173.95,,171.91394385862205,179.09605614137794
2019-12-20,174.8,174.8,173.1,173.35,,171.6952748039839,179.12972519601604
2019-12-23,173.6,174.0,172.2,172.95,,171.39838346237374,179.07661653762628
2019-12-24,177.0,179.95,175.05,177.5,,171.35902630260574,179.29097369739424
2019-12-26,177.2,177.6,174.9,175.4,173.988,171.34534810769733,179.17965189230264
2019-12-27,176.4,177.1,175.4,176.1,174.59900000000002,171.34793225829378,179.13706774170623
2019-12-30,177.05,187.5,176.65,185.25,175.451,169.86056771994978,181.2044322800502
2019-12-31,186.4,190.95,184.25,186.7,176.382,168.49629186762758,183.61870813237238
2020-01-01,188.4,190.75,186.95,188.85,177.26199999999997,167.2964570829655,186.20354291703444
2020-01-02,188.8,188.8,185.4,186.1,177.86700000000002,167.0373748391289,187.5926251608711
2020-01-03,185.6,188.7,185.5,186.3,178.21400000000003,166.89791100828526,188.84208899171475
2020-01-06,185.4,185.4,178.0,178.9,178.19100000000003,167.2325167199895,188.9524832800105
2020-01-07,179.4,184.3,179.4,181.5,178.213,167.75612430063583,189.22887569936418
2020-01-08,179.8,180.5,177.25,179.25,178.202,168.5235914873883,189.1664085126117
2020-01-09,182.05,184.1,182.0,182.75,178.325,169.2645063623839,189.40549363761605
2020-01-10,182.4,185.5,181.75,183.45,178.43199999999996,169.90559826877987,189.70940173122008
2020-01-13,184.0,188.55,183.2,187.85,178.662,169.80450806431676,190.7854919356832
2020-01-14,189.0,196.75,188.4,194.85,178.997,168.9388749065086,193.40112509349143
2020-01-15,195.6,199.2,194.75,197.1,179.405,168.16297945575977,196.15202054424023
