Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2021-01-29,24.9,25.8,24.35,24.8,,,
2021-02-01,25.25,25.4,24.9,25.1,,,
2021-02-02,25.45,25.45,24.7,24.75,,,
2021-02-03,24.8,24.9,24.05,24.25,,,
2021-02-04,24.25,25.8,23.85,25.35,,,
2021-02-05,25.6,26.2,25.55,25.7,,,
2021-02-08,25.9,25.95,25.6,25.75,,,
2021-02-09,25.75,25.8,25.2,25.3,,,
2021-02-10,25.4,25.8,25.0,25.4,,,
2021-02-11,25.4,25.65,25.25,25.4,,,
2021-02-12,25.5,25.55,25.3,25.4,,,
2021-02-15,26.2,26.2,25.65,25.75,,,
2021-02-16,25.9,26.0,25.8,25.9,,,
2021-02-17,25.3,25.6,24.9,25.3,,,
2021-02-18,25.45,25.8,25.4,25.65,,,
2021-02-19,25.65,25.7,25.2,25.35,,,
2021-02-22,25.3,25.4,24.95,25.0,,,
2021-02-23,25.0,25.15,24.9,24.95,,,
2021-02-24,24.9,25.2,24.85,24.9,,,
2021-02-25,24.95,25.2,24.9,24.95,,24.42449203815324,26.070507961846758
2021-02-26,24.85,24.95,24.5,24.65,,24.397322562804785,26.082677437195212
2021-03-01,24.65,26.7,24.65,25.9,,24.390647781572987,26.169352218427015
2021-03-02,26.1,26.3,25.45,25.65,,24.457759973733975,26.192240026266024
2021-03-03,25.8,25.95,25.45,25.5,,24.681231078502183,26.093768921497816
2021-03-04,25.25,25.7,25.25,25.4,,24.683936039873526,26.096063960126475
2021-03-05,25.4,25.55,24.8,24.95,,24.63616796878307,26.068832031216928
2021-03-08,25.1,25.25,24.8,24.85,,24.583276277659998,26.031723722339997
2021-03-09,24.95,25.5,24.8,24.95,,24.54830918627915,26.03169081372085
2021-03-10,25.0,25.1,24.85,24.85,,24.497561061948492,26.027438938051507
2021-03-12,24.9,25.05,24.8,24.85,,24.451552826487827,26.018447173512172
2021-03-15,24.9,24.95,24.5,24.65,,24.37641278750286,26.018587212497135
2021-03-16,24.65,24.8,24.5,24.55,,24.311045938488125,25.963954061511874
2021-03-17,24.55,24.6,24.1,24.15,,24.19344631777902,25.906553682220974
2021-03-18,24.2,24.6,23.9,24.05,,24.031150031025312,25.94384996897469
2021-03-19,24.0,24.1,23.5,23.95,,23.893344542777424,25.91165545722257
2021-03-22,24.0,24.5,23.85,23.9,,23.750331434871654,25.90966856512835
2021-03-23,23.9,24.1,23.75,23.8,,23.600474680186792,25.939525319813214
2021-03-24,23.8,23.9,23.4,23.45,,23.38958617168429,26.00041382831571
2021-03-25,23.45,23.55,22.9,22.95,,23.082148729276216,26.112851270723784
2021-03-26,23.2,23.3,22.9,23.05,,22.848326649445656,26.156673350554346
2021-03-30,23.15,23.3,22.9,22.95,,22.626212606443126,26.208787393556868
2021-03-31,22.95,23.1,22.9,22.9,,22.496602219954976,26.03839778004502
2021-04-01,23.0,23.2,22.7,22.85,,22.374164832233642,25.88083516776636
2021-04-05,22.85,22.9,22.3,22.5,,22.205354407787,25.749645592213
2021-04-06,22.5,22.5,21.9,22.0,,21.959236234362532,25.655763765637463
2021-04-07,22.0,22.3,21.9,22.15,,21.760373475894337,25.574626524105657
2021-04-08,22.1,22.35,21.9,21.95,,21.553937874461354,25.491062125538647
2021-04-09,22.0,22.05,21.9,21.95,,21.404740119483982,25.340259880516015
2021-04-12,21.85,21.85,20.8,20.85,,21.031552103684717,25.31344789631528
2021-04-13,20.85,21.5,20.8,21.45,24.331,20.8825508943547,25.122449105645302
2021-04-15,21.3,21.35,20.9,21.1,24.257,20.691433675003772,24.958566324996227
2021-04-16,21.25,22.0,21.05,21.75,24.19,20.663510189827413,24.706489810172584
2021-04-19,21.2,21.35,20.9,21.15,24.118,20.526046357717,24.543953642283007
2021-04-20,21.15,21.65,21.1,21.25,24.057999999999996,20.441083555091403,24.348916444908603
2021-04-22,21.15,21.3,21.0,21.05,23.971999999999998,20.352356031396035,24.147643968603965
2021-04-23,21.1,21.5,21.0,21.1,23.88,20.314508570423047,23.90549142957695
2021-04-26,21.1,21.35,20.95,21.0,23.785,20.296868677881882,23.643131322118116
2021-04-27,21.1,21.5,21.05,21.2,23.703000000000003,20.305158813953955,23.40984118604604
2021-04-28,21.3,21.35,21.1,21.15,23.618,20.274260850401102,23.2607391495989
2021-04-29,21.3,21.3,21.1,21.15,23.533,20.284781311686388,23.06021868831361
2021-04-30,21.05,21.4,21.0,21.3,23.451,20.331931304695413,22.848068695304587
2021-05-03,21.15,21.25,20.95,21.05,23.357,20.38089094152259,22.614109058477414
2021-05-04,21.15,21.15,20.9,20.95,23.258000000000003,20.46079102718843,22.34420897281157
2021-05-05,21.0,21.2,20.95,21.0,23.171999999999997,20.5252170731363,22.1297829268637
2021-05-06,21.1,21.15,21.0,21.1,23.081,20.54033034993754,22.024669650062457
2021-05-07,21.1,21.15,21.0,21.1,22.996,20.607272552648944,21.852727447351057
2021-05-10,21.15,22.7,21.1,22.55,22.947,20.458948060032018,22.061051939967978
2021-05-11,22.35,23.1,22.2,22.95,22.907000000000004,20.24594618260356,22.374053817396437
2021-05-12,23.0,23.8,23.0,23.4,22.877,20.045086343978983,22.829913656021017
2021-05-14,23.7,23.85,23.0,23.05,22.839000000000002,19.94930459058656,23.085695409413436
2021-05-17,23.15,23.45,23.0,23.05,22.807000000000002,19.918843353808043,23.31115664619196
2021-05-18,23.25,23.25,22.9,23.1,22.750999999999998,19.860911624288732,23.50408837571127
2021-05-19,23.1,23.55,23.05,23.1,22.7,19.871735426045273,23.688264573954722
2021-05-20,23.2,23.65,22.95,23.1,22.651999999999997,19.894336311386887,23.85066368861311
2021-05-21,23.2,23.4,23.15,23.35,22.611,19.944314921952017,24.030685078047984
2021-05-24,23.85,24.15,23.7,24.0,22.592,19.94779840650225,24.31720159349775
2021-05-25,24.2,24.25,23.85,23.95,22.574,20.020190972204674,24.53980902779533
2021-05-26,24.1,24.1,23.8,23.85,22.552000000000003,20.108984380229582,24.71601561977042
2021-05-27,23.85,23.95,23.55,23.65,22.528,20.25118487690231,24.823815123097692
2021-05-28,23.65,23.75,23.3,23.45,22.5,20.429539669364548,24.875460330635452
2021-05-31,23.45,23.95,23.35,23.75,22.482,20.596275119418912,24.953724880581085
2021-06-01,23.8,23.9,23.5,23.6,22.462999999999997,20.854272268007005,24.950727731992988
2021-06-02,23.55,24.0,23.45,23.5,22.45,21.186262377383244,24.87373762261676
2021-06-03,23.6,23.7,23.55,23.6,22.441,21.56970045853657,24.75029954146343
2021-06-04,23.55,23.95,23.45,23.7,22.436000000000003,22.01489422523387,24.565105774766128
2021-06-07,24.0,24.85,23.9,24.7,22.451999999999998,22.522204774503752,24.417795225496246
2021-06-08,24.95,25.0,24.4,24.75,22.471,22.57297206436084,24.587027935639163
2021-06-09,24.85,24.95,24.2,24.3,22.488000000000003,22.637301999606134,24.657698000393868
2021-06-10,24.5,24.7,24.3,24.5,22.519000000000002,22.63111378529851,24.77388621470149
2021-06-11,24.6,24.75,24.35,24.45,22.546999999999997,22.697680553718435,24.847319446281567
2021-06-14,24.7,24.8,24.2,24.7,22.581999999999997,22.760564312678014,24.949435687321987
2021-06-15,25.0,25.6,24.8,25.2,22.628,22.771635356333963,25.14836464366604
2021-06-16,25.3,25.5,24.85,24.95,22.67,22.8580060529775,25.246993947022503
