Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,125.75,127.35,125.0,126.65,,,
1995-01-03,120.0,126.65,120.0,126.65,,,
1995-01-04,125.85,125.85,125.0,125.65,,,
1995-01-05,118.75,125.0,118.75,125.0,,,
1995-01-06,124.85,124.85,120.0,121.0,,,
1995-01-09,120.0,120.0,120.0,120.0,,,
1995-01-10,120.0,120.0,113.35,116.65,,,
1995-01-11,115.0,115.0,110.0,113.55,,,
1995-01-12,115.0,115.0,109.35,109.35,,,
1995-01-13,110.0,113.35,110.0,113.0,,,
1995-01-16,111.65,115.0,111.65,113.65,,,
1995-01-17,113.35,115.0,113.35,114.65,,,
1995-01-18,114.65,114.65,113.95,114.15,,,
1995-01-19,114.35,114.35,113.65,113.65,,,
1995-01-20,114.35,114.35,111.65,113.35,,,
1995-01-23,112.65,112.65,108.35,108.35,,,
1995-01-24,106.65,108.35,105.0,108.35,,,
1995-01-25,106.65,110.85,106.65,108.65,,,
1995-01-27,109.65,110.85,108.35,109.15,,,
1995-01-30,106.65,110.85,106.65,107.65,,102.42305948125104,128.48694051874895
1995-01-31,109.65,110.85,108.35,108.5,,102.29341475208538,126.80158524791459
1995-02-01,110.0,111.35,110.0,111.35,,102.87309917704964,124.69190082295033
1995-02-02,109.65,110.75,109.35,110.75,,103.60542287206212,122.46957712793787
1995-02-03,110.65,110.85,108.35,110.0,,104.64476178857201,119.93023821142798
1995-02-06,108.35,110.65,108.35,109.5,,105.17991970863287,118.24508029136715
1995-02-07,108.35,109.0,106.65,106.85,,105.45388169060948,116.65611830939056
1995-02-08,107.5,107.6,103.65,103.65,,104.52730800756835,116.28269199243165
1995-02-09,113.35,113.35,103.35,103.75,,103.52923457994262,116.30076542005736
1995-02-10,103.35,105.0,101.35,101.45,,102.0944112407801,116.94558875921992
1995-02-13,98.35,101.0,98.35,100.85,,100.73564724037224,117.08935275962774
1995-02-14,106.0,106.0,99.35,100.0,,99.46089154144532,116.99910845855466
1995-02-15,100.65,101.65,100.0,101.0,,98.75752514823066,116.33747485176931
1995-02-16,100.0,100.65,98.65,100.0,,98.00987214731649,115.67012785268352
1995-02-17,96.65,98.15,93.65,98.15,,97.03300424222742,115.09699575777255
1995-02-20,99.0,99.0,95.65,95.65,,95.69619663237421,114.66380336762577
1995-02-21,96.65,96.65,90.85,92.5,,93.4773465928099,115.29765340719011
1995-02-22,90.0,91.65,90.0,90.7,,91.18070221921448,115.82929778078551
1995-02-23,93.65,99.0,93.65,99.0,,90.79107046698738,115.25392953301264
1995-02-24,101.65,106.65,99.35,100.35,,90.64969360665508,114.51530639334494
1995-02-28,100.65,101.0,98.35,100.15,,90.47552502380326,113.93947497619673
1995-03-01,103.35,103.35,100.0,101.65,,90.5126944145577,113.21730558544229
1995-03-02,102.35,103.25,101.0,101.95,,90.95439606505845,111.83560393494157
1995-03-03,101.0,101.65,100.65,101.5,,91.46236550420626,110.40263449579375
1995-03-06,101.35,101.65,100.35,101.35,,92.03695339167163,108.96304660832837
1995-03-07,101.0,102.5,99.0,100.0,,92.69880331312771,107.3511966868723
1995-03-08,100.0,100.85,99.35,99.35,,93.06436971005878,106.23563028994123
1995-03-09,100.65,100.65,96.65,96.7,,92.87398826259945,105.73101173740054
1995-03-10,99.35,102.35,99.35,101.65,,93.01080162024145,105.38419837975856
1995-03-13,97.65,99.35,97.0,98.65,,92.9593315950821,105.15566840491788
1995-03-14,96.65,100.0,96.65,96.65,107.054,92.72004023612584,104.97495976387415
1995-03-15,100.0,101.65,96.65,97.55,106.47200000000001,92.59659332117599,104.853406678824
1995-03-16,96.65,96.65,89.0,96.15,105.862,92.34930515983956,104.61569484016044
1995-03-20,95.85,95.85,90.0,93.15,105.212,91.6113102789544,104.66868972104562
1995-03-21,93.35,93.35,89.0,89.15,104.495,90.02280398471223,105.35719601528777
1995-03-22,91.0,91.65,89.0,89.05,103.85600000000001,88.80623197833705,105.91376802166295
1995-03-23,89.35,89.35,83.75,87.2,103.2,87.62766557828263,106.56233442171737
1995-03-24,90.0,96.0,89.0,93.7,102.74099999999999,88.11523952582587,106.37476047417414
1995-03-27,95.0,96.65,92.35,94.05,102.351,87.79993310205856,106.19506689794144
1995-03-28,96.65,98.35,94.45,94.95,102.06299999999999,87.62779063506318,105.8272093649368
1995-03-29,97.65,97.95,96.0,97.8,101.759,87.63655379232101,105.58344620767899
