Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1999-09-22,31.35,31.35,30.6,31.35,,,
1999-09-23,31.4,31.7,30.4,30.8,,,
1999-09-24,30.6,33.0,30.6,32.75,,,
1999-09-27,33.0,34.5,32.25,32.65,,,
1999-09-28,31.5,32.15,30.6,30.9,,,
1999-09-29,31.6,33.35,31.6,33.3,,,
1999-09-30,32.4,33.0,32.4,32.6,,,
1999-10-01,32.4,33.5,32.4,33.0,,,
1999-10-04,32.0,33.0,32.0,32.0,,,
1999-10-05,31.5,33.8,31.5,33.15,,,
1999-10-06,35.0,35.8,35.0,35.8,,,
1999-10-07,38.0,38.65,38.0,38.65,,,
1999-10-08,41.75,41.75,39.1,41.75,,,
1999-10-11,44.2,45.1,43.25,45.1,,,
1999-10-12,48.2,48.75,46.6,48.75,,,
1999-10-13,52.6,52.65,50.0,52.65,,,
1999-10-14,56.85,56.85,56.85,56.85,,,
1999-10-15,61.4,61.4,55.6,58.85,,,
1999-10-18,62.7,63.5,57.2,59.65,,,
1999-10-20,64.0,64.45,64.0,64.45,,18.375191976646825,64.12480802335318
1999-10-21,67.0,67.8,61.6,63.05,,18.50197933390016,67.16802066609984
1999-10-22,63.0,63.2,61.25,62.9,,19.230569851322464,69.64943014867754
1999-10-23,63.1,63.1,61.95,62.7,,20.10150155230162,71.77349844769839
1999-10-25,62.2,64.0,58.0,58.6,,21.603068844957438,72.86693115504256
1999-10-26,60.6,60.6,56.0,56.85,,23.769724987578854,73.29527501242114
1999-10-27,59.4,59.4,54.85,55.05,,25.780748863757452,73.45925113624254
1999-10-28,56.0,56.0,51.2,53.9,,28.181547633284083,73.18845236671591
1999-10-29,51.8,51.8,49.6,49.6,,30.588735968506256,72.44126403149374
1999-11-01,46.2,46.2,45.65,45.65,,33.14459650528438,71.25040349471563
1999-11-02,42.4,44.9,42.0,44.25,,35.471495064552904,70.0335049354471
1999-11-03,45.8,47.8,44.5,45.55,,37.49036007094968,68.98963992905031
1999-11-04,45.1,46.1,42.65,45.7,,38.940455953627435,68.24454404637255
1999-11-05,43.6,47.2,43.6,46.1,,39.78229808369771,67.8377019163023
1999-11-09,45.95,48.05,44.8,46.9,,40.08612444334551,67.71387555665449
1999-11-10,47.6,50.65,47.3,50.65,,40.30466918242163,67.68533081757838
1999-11-11,53.6,54.7,52.2,52.85,,40.31851415677342,67.69148584322657
1999-11-12,53.15,53.15,49.0,49.85,,39.91692766146042,67.3930723385396
1999-11-15,50.4,50.4,47.6,47.7,,39.34213836592401,66.85286163407599
1999-11-16,47.3,49.0,47.3,47.95,,38.93648108893173,66.08851891106828
1999-11-17,47.4,49.6,46.6,46.6,,39.03774850706051,64.2022514929395
1999-11-18,46.4,47.4,44.4,44.6,,38.967176048804156,62.427823951195855
1999-11-19,44.8,46.4,44.8,45.2,,39.356986470866495,60.268013529133505
1999-11-22,42.6,45.4,42.6,44.7,,40.16926953595713,57.655730464042875
1999-11-24,45.8,48.3,45.2,48.3,,40.937679556274134,55.85732044372587
1999-11-25,49.0,51.75,49.0,49.55,,41.682176759159674,54.382823240840324
1999-11-26,49.8,49.8,48.0,48.5,,42.26867965004202,53.14132034995798
1999-11-29,48.0,48.05,46.05,46.85,,42.758513656276875,51.94648634372314
1999-11-30,46.0,50.6,46.0,50.6,,42.68540064597021,52.119599354029795
1999-12-01,54.65,54.65,51.3,52.2,,42.63114563951151,52.8288543604885
1999-12-02,51.8,53.8,50.8,52.75,46.813,42.86410414510291,53.445895854897095
1999-12-03,53.4,53.5,52.0,52.25,47.231,43.047322640271226,53.932677359728764
1999-12-06,52.9,52.95,51.45,51.7,47.648999999999994,43.33341537319611,54.2465846268039
1999-12-07,50.8,52.4,50.2,50.7,48.008,43.65378992898017,54.38621007101984
1999-12-08,51.55,54.75,51.0,52.65,48.407999999999994,43.80512969736066,54.80987030263935
1999-12-09,53.5,54.0,52.8,53.05,48.851000000000006,43.70170655923437,55.15329344076562
1999-12-10,53.15,54.4,52.5,53.45,49.254,43.65049198336509,55.26450801663491
1999-12-13,54.0,54.95,52.4,52.4,49.65,43.63157551002,55.53842448998
1999-12-14,52.25,52.25,50.6,51.3,50.016000000000005,43.83389554973115,55.69610445026885
1999-12-15,51.4,51.4,49.0,50.2,50.38,44.00629685960464,55.74870314039537
1999-12-16,50.6,51.2,50.05,50.85,50.733999999999995,44.41386343400827,55.76613656599174
1999-12-17,51.3,51.3,50.4,50.6,51.03,45.33539293005105,55.44460706994895
1999-12-20,51.2,51.6,49.8,50.15,51.26,46.20664229522106,55.06835770477895
1999-12-21,51.4,51.4,48.0,48.45,51.394000000000005,47.209754503495105,54.4402454965049
1999-12-22,49.6,52.0,49.6,51.25,51.516999999999996,47.5557494661557,54.38925053384429
1999-12-23,52.0,52.0,50.2,50.5,51.552,47.660582757303686,54.379417242696306
1999-12-24,51.0,51.2,49.45,50.4,51.507000000000005,47.95403745505815,54.275962544941855
1999-12-27,48.2,52.0,48.2,49.75,51.365,48.71718763239576,53.80281236760425
1999-12-28,49.0,49.3,48.2,48.35,51.155,48.300807551782974,53.994192448217014
1999-12-29,47.45,49.0,47.45,48.3,50.92799999999999,47.88373117435312,54.02126882564688
1999-12-30,49.6,49.6,47.5,47.7,50.593,47.42955821429533,53.97044178570468
2000-01-03,49.4,50.0,48.0,50.0,50.332,47.38752055927673,53.78747944072327
2000-01-04,48.6,48.6,46.6,47.2,50.018,46.87223157418953,53.85276842581047
2000-01-05,49.6,50.95,47.1,48.55,49.735,46.67715883968837,53.832841160311624
2000-01-06,50.2,51.0,48.4,50.35,49.57,46.74300442341068,53.53699557658932
2000-01-07,49.4,49.6,48.4,48.6,49.405,46.747695921711276,53.08730407828873
2000-01-10,48.0,48.0,44.8,45.05,49.205,46.08198200738251,52.91301799261748
2000-01-11,46.4,46.4,43.05,43.55,48.99799999999999,44.99118017390701,53.11881982609299
2000-01-12,44.2,45.6,44.2,45.1,48.908,44.462243878061805,53.027756121938204
2000-01-13,45.4,46.2,45.05,45.1,48.897,43.97119717764012,53.00880282235987
2000-01-14,45.0,45.5,45.0,45.0,48.912,43.56597473117239,52.82902526882761
2000-01-17,46.2,48.6,46.2,48.55,48.972,43.59858037170868,52.59141962829132
2000-01-18,49.0,51.55,49.0,50.55,49.068999999999996,43.57672998414138,52.65327001585861
2000-01-19,53.0,54.6,53.0,54.6,49.239,43.03474829626941,53.810251703730586
2000-01-20,58.8,58.95,55.8,56.1,49.422999999999995,42.379586644250786,54.95041335574923
2000-01-21,57.8,60.55,57.25,60.55,49.621,40.95337384921247,57.38162615078754
2000-01-24,65.4,65.4,62.8,65.4,49.872,38.951366727630585,60.88363327236941
2000-01-25,67.55,69.6,63.2,65.7,50.18899999999999,37.6761471282737,63.753852871726295
2000-01-27,69.6,69.6,64.0,64.85,50.532,37.11671473294882,65.96328526705118
2000-01-28,64.8,64.8,59.65,62.5,50.82299999999999,37.11767141445008,67.38232858554991
2000-01-31,64.0,67.35,57.5,57.75,51.04599999999999,37.58891914947117,67.91608085052883
2000-02-01,57.5,61.0,57.5,59.75,51.349,37.82419812762179,68.6558018723782
