Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2006-03-14,160.0,163.0,128.1,155.5,,,
2006-03-16,154.0,154.5,148.75,151.1,,,
2006-03-17,151.9,154.9,150.0,152.8,,,
2006-03-20,153.6,155.0,150.95,153.1,,,
2006-03-21,153.8,154.0,151.0,151.15,,,
2006-03-22,151.45,152.4,149.75,152.05,,,
2006-03-23,152.05,154.4,151.1,153.2,,,
2006-03-24,153.0,156.6,152.05,155.15,,,
2006-03-27,155.15,164.45,155.15,162.3,,,
2006-03-28,162.9,164.0,158.5,162.95,,,
2006-03-29,162.9,166.0,155.1,164.1,,,
2006-03-30,165.0,170.45,162.5,166.1,,,
2006-03-31,162.5,176.5,162.1,175.3,,,
2006-04-03,178.0,180.0,172.0,175.55,,,
2006-04-04,177.5,180.9,172.1,174.9,,,
2006-04-05,175.0,179.0,174.0,177.65,,,
2006-04-07,175.0,183.95,174.0,175.6,,,
2006-04-10,177.0,185.0,177.0,183.8,,,
2006-04-12,184.0,200.0,175.05,177.55,,,
2006-04-13,190.0,190.0,171.1,172.95,,142.43261384133655,186.84738615866348
2006-04-17,168.15,179.9,151.25,178.45,,143.2001753057804,188.3748246942196
2006-04-18,180.0,185.0,175.3,179.95,,144.9087710204413,189.5512289795587
2006-04-19,183.0,185.0,178.0,180.85,,146.60588272859295,190.65911727140704
2006-04-20,182.65,186.4,176.15,183.5,,148.44563775735776,191.85936224264225
2006-04-21,183.0,185.0,178.0,183.1,,151.2630593586524,192.2369406413476
2006-04-24,182.85,186.8,180.2,184.0,,154.40394186704,192.29105813296005
2006-04-25,186.5,186.5,181.5,182.9,,158.0001916240478,191.66480837595222
2006-04-26,184.9,195.0,182.0,192.5,,160.80038067320996,192.59961932679002
2006-04-27,195.0,196.5,188.0,194.7,,162.00118941382794,194.63881058617204
2006-04-28,172.25,193.0,172.25,188.35,,164.39271492390162,194.78728507609833
2006-04-29,194.0,225.1,192.0,206.85,,163.90476245258037,199.5502375474196
2006-05-02,211.9,211.9,193.55,195.75,,165.93639372672283,200.48360627327713
2006-05-03,194.0,197.45,187.5,195.3,,166.55307650329735,201.8669234967026
2006-05-04,198.0,205.0,193.1,196.3,,167.2970572551307,203.1979427448693
2006-05-05,197.5,203.0,195.15,196.1,,168.42618734949107,204.18881265050894
2006-05-08,199.0,200.95,195.0,195.7,,169.34649412614502,205.07350587385494
2006-05-09,197.95,198.6,193.3,194.4,,170.8904946097585,205.40950539024152
2006-05-10,197.0,197.0,186.0,188.1,,171.2269506115167,205.50304938848325
2006-05-11,185.25,193.9,183.1,188.7,,172.55779230646868,205.28720769353134
2006-05-12,187.8,190.0,181.5,184.8,,174.81147016959292,204.21852983040705
2006-05-15,180.0,186.0,151.0,174.85,,173.98710112100073,204.68289887899923
2006-05-16,176.05,183.0,170.4,176.55,,173.31238606976635,205.0176139302337
2006-05-17,183.0,183.0,179.0,180.45,,173.2472709334424,205.04272906655757
2006-05-18,180.5,180.5,166.0,169.65,,170.4519013257457,206.45309867425428
2006-05-19,172.0,180.0,155.0,166.95,,167.33285947686542,207.9571405231346
2006-05-22,167.0,167.0,133.6,148.9,,159.19066825200557,212.5893317479944
