Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2008-10-23,60.0,63.9,51.0,52.85,,,
2008-10-24,52.0,52.45,40.0,43.4,,,
2008-10-27,42.0,45.0,32.5,37.9,,,
2008-10-28,41.9,44.8,39.4,41.75,,,
2008-10-29,42.5,43.9,35.0,36.1,,,
2008-10-31,36.4,40.0,36.15,38.3,,,
2008-11-03,42.3,42.3,38.5,39.05,,,
2008-11-04,38.0,43.9,38.0,40.6,,,
2008-11-05,41.0,42.45,37.05,38.1,,,
2008-11-06,39.5,40.5,37.0,38.5,,,
2008-11-07,38.0,39.45,35.75,38.45,,,
2008-11-10,38.5,42.25,38.5,40.2,,,
2008-11-11,39.9,40.9,37.7,38.0,,,
2008-11-12,38.0,38.35,35.5,36.2,,,
2008-11-14,37.0,37.5,34.15,35.3,,,
2008-11-17,36.0,36.5,33.55,34.95,,,
2008-11-18,34.4,36.1,33.05,34.3,,,
2008-11-19,33.5,34.85,32.95,33.7,,,
2008-11-20,32.5,32.85,30.75,31.85,,,
2008-11-21,32.0,32.2,30.5,30.95,,28.61760345897583,47.42739654102417
2008-11-24,31.65,31.65,29.85,30.05,,29.806054638989405,43.95894536101059
2008-11-25,30.25,30.7,29.6,29.8,,29.14935773647847,43.25564226352153
2008-11-26,30.0,30.0,27.7,28.3,,27.891960931374967,43.55303906862504
2008-11-28,27.85,30.4,26.8,29.45,,27.338379274840356,42.87662072515965
2008-12-01,29.75,30.0,28.1,28.2,,26.37344319355885,43.05155680644115
2008-12-02,28.2,28.5,26.25,26.7,,25.248257592349564,43.016742407650455
2008-12-03,27.0,27.5,26.3,26.9,,24.398260800206216,42.65173919979378
2008-12-04,27.5,30.1,27.05,28.9,,24.23243523075906,41.64756476924094
2008-12-05,28.8,30.25,27.7,28.15,,23.839913179746475,41.04508682025353
2008-12-08,28.95,29.45,26.5,26.9,,23.416767661307176,40.308232338692825
2008-12-10,27.8,27.8,26.5,27.25,,23.21837162528037,39.38662837471963
2008-12-11,28.0,31.0,27.5,29.15,,23.794653703426203,37.70534629657379
2008-12-12,28.05,33.3,28.05,32.6,,24.337961936055176,36.622038063944814
2008-12-15,32.5,36.65,32.5,34.95,,24.49917208891248,36.33582791108752
2008-12-16,35.4,37.2,34.3,36.55,,24.322984318254267,36.63701568174572
2008-12-17,37.0,40.0,34.35,36.1,,24.186298290252907,36.888701709747096
2008-12-18,36.0,40.0,36.0,38.25,,23.684050082659653,37.78594991734034
2008-12-19,38.5,39.5,37.0,37.6,,23.338772375820565,38.52122762417943
2008-12-22,39.0,39.45,36.55,37.05,,23.12470071035311,39.255299289646885
2008-12-23,36.65,37.0,35.55,35.75,,23.113029397671305,39.74697060232869
2008-12-24,36.0,36.0,33.8,34.4,,23.25530594524702,40.039694054752985
2008-12-26,38.0,38.0,33.5,33.95,,23.449932606175217,40.260067393824784
2008-12-29,34.25,35.0,33.15,34.8,,23.851393621347803,40.508606378652196
2008-12-30,35.0,35.4,34.45,35.2,,24.13871194132571,40.79628805867429
2008-12-31,35.6,36.5,35.0,35.75,,24.64725319788549,41.04274680211451
2009-01-01,36.1,37.5,35.9,37.35,,25.4824332525071,41.272566747492895
2009-01-02,38.5,39.25,37.0,37.95,,26.405695520864636,41.45430447913536
2009-01-05,39.5,40.25,38.15,39.85,,26.900910363077898,42.0540896369221
2009-01-06,39.4,41.85,38.75,39.55,,27.765693182573756,42.32930681742624
2009-01-07,40.5,41.5,35.1,36.4,35.085,29.318895360251,41.726104639749
2009-01-09,35.05,36.0,33.5,33.85,34.705,30.932350772481378,40.772649227518635
2009-01-12,33.15,34.0,32.5,32.65,34.49,31.93109914070906,40.123900859290934
2009-01-13,32.9,33.0,31.5,31.75,34.367,31.72452065953538,40.24547934046462
2009-01-14,32.1,33.5,32.1,33.0,34.192,31.442055850737745,40.33294414926226
2009-01-15,30.4,32.9,30.4,32.6,34.122,31.02302757893869,40.356972421061315
2009-01-16,33.0,33.9,31.65,32.7,34.01,30.671733896481562,40.36826610351843
2009-01-19,32.95,33.6,32.55,32.95,33.888000000000005,30.45588824007921,40.054111759920794
2009-01-20,32.5,33.25,32.3,33.15,33.739000000000004,30.27874525132755,39.78625474867245
2009-01-21,33.35,33.5,32.0,32.3,33.623000000000005,29.991284332880863,39.59871566711914
2009-01-22,33.45,33.45,31.4,32.15,33.496,29.6936073857944,39.5363926142056
2009-01-23,32.0,34.0,31.7,32.75,33.382,29.54111004486625,39.52388995513375
2009-01-27,32.75,33.6,32.75,33.15,33.241,29.468738042012152,39.51626195798785
2009-01-28,34.1,34.1,33.0,33.7,33.155,29.403837003940936,39.471162996059064
