Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-01-04,106.0,106.35,100.0,100.85,,,
2010-01-05,101.75,117.8,100.05,113.0,,,
2010-01-06,113.7,117.95,111.25,112.85,,,
2010-01-07,113.5,114.9,111.25,113.1,,,
2010-01-08,113.9,115.6,112.75,113.1,,,
2010-01-11,114.0,120.8,113.6,119.8,,,
2010-01-12,120.0,123.8,118.5,119.55,,,
2010-01-13,118.0,118.95,116.1,117.7,,,
2010-01-14,118.5,122.0,117.8,119.1,,,
2010-01-15,119.3,120.3,116.6,117.2,,,
2010-01-18,116.4,117.85,114.7,115.4,,,
2010-01-19,114.8,116.75,113.5,113.8,,,
2010-01-20,114.25,118.7,114.2,115.45,,,
2010-01-21,115.0,116.7,111.35,113.1,,,
2010-01-22,111.0,113.5,108.25,111.6,,,
2010-01-25,111.0,112.75,109.0,110.05,,,
2010-01-27,109.0,110.0,106.0,107.6,,,
2010-01-28,108.4,109.8,106.2,106.6,,,
2010-01-29,106.0,107.0,101.8,106.75,,,
2010-02-01,106.25,109.2,105.5,107.35,,102.68595534815981,122.70904465184017
2010-02-02,108.9,111.65,104.4,105.15,,103.8307151649869,121.99428483501309
2010-02-03,106.5,110.2,105.95,109.85,,103.57092339111357,121.93907660888642
2010-02-04,111.0,112.25,105.75,106.05,,102.75460336435947,122.07539663564054
2010-02-05,102.75,104.7,102.05,103.05,,101.39465176098513,122.43034823901483
2010-02-06,104.05,110.35,104.05,109.5,,101.17706862184458,122.28793137815539
2010-02-08,111.2,111.85,106.9,107.8,,101.15978591025544,121.10521408974458
2010-02-09,108.0,112.8,107.5,110.85,,101.54553874916186,119.84946125083812
2010-02-10,111.9,112.4,108.55,109.4,,101.73472251108508,118.83027748891492
2010-02-11,109.95,110.8,108.25,108.9,,102.28894082707048,117.25605917292951
2010-02-15,109.35,110.0,106.1,106.65,,102.51667026278942,115.97332973721059
2010-02-16,108.5,110.0,106.8,109.4,,102.86873903058617,115.02126096941379
2010-02-17,110.6,110.7,108.4,108.8,,103.06473404386234,114.32526595613767
2010-02-18,109.0,111.8,107.7,109.3,,103.72139884378825,113.05360115621176
2010-02-19,108.4,109.0,106.05,107.15,,103.96120509489492,112.21879490510509
2010-02-22,108.5,109.5,104.6,105.2,,103.7975421899494,111.74245781005062
2010-02-23,105.3,107.0,104.6,105.05,,103.52244811758096,111.51755188241906
2010-02-24,104.5,105.75,103.9,104.2,,103.0864457624134,111.61355423758658
2010-02-25,104.9,105.0,104.0,104.1,,102.72862719283052,111.72137280716947
2010-02-26,104.7,105.9,103.15,103.65,,102.29932201662562,111.84067798337439
2010-03-02,104.4,105.8,104.1,104.75,,102.0609793907728,111.81902060922717
2010-03-03,105.0,108.25,104.75,106.0,,102.15459046001106,111.81040953998894
2010-03-04,106.0,106.9,105.05,105.55,,102.0968441235957,111.4381558764043
2010-03-05,106.4,110.2,105.8,109.5,,102.128216218709,111.75178378129102
2010-03-08,111.0,112.9,109.8,111.0,,102.56544593492485,112.10955406507516
2010-03-09,111.5,112.0,107.45,107.75,,102.58185487078981,111.91814512921019
2010-03-10,107.95,108.75,106.3,106.8,,102.53523848412372,111.86476151587628
2010-03-11,106.95,108.3,104.7,105.95,,102.59249227115747,111.31750772884256
2010-03-12,106.5,106.9,105.1,106.0,,102.56087131376242,111.00912868623757
2010-03-15,105.6,106.0,104.75,105.15,,102.43621540582903,110.75878459417096
2010-03-16,105.15,108.05,105.0,107.4,109.277,102.45823469404218,110.81176530595786
2010-03-17,108.25,112.85,108.15,111.05,109.48099999999998,102.25534628352248,111.17965371647752
2010-03-18,112.1,112.1,108.8,110.0,109.42099999999999,102.16761645312056,111.38738354687945
2010-03-19,110.0,110.4,107.15,107.8,109.32,102.21832020643096,111.18667979356907
2010-03-22,106.1,109.0,106.1,108.1,109.22,102.22591242115573,111.27408757884427
2010-03-23,108.5,112.6,107.8,112.0,109.19800000000001,102.06232919890226,112.11767080109774
2010-03-25,111.5,115.35,110.2,114.1,109.084,101.72146057391808,113.3635394260819
2010-03-26,115.5,117.45,113.55,114.65,108.986,101.66047035294552,114.4695296470545
2010-03-29,115.0,116.35,111.65,112.1,108.874,102.10400868367866,114.82599131632135
2010-03-30,112.6,114.45,111.75,111.85,108.729,102.76879090812606,114.98120909187394
2010-03-31,112.1,113.5,111.35,111.85,108.62200000000001,103.31086066000171,115.14913933999827
2010-04-01,112.65,116.15,112.3,115.1,108.616,103.42223619108022,115.94776380891976
2010-04-05,115.65,118.4,115.25,117.65,108.69300000000001,103.40251325342763,117.17748674657236
2010-04-06,118.0,118.35,115.0,116.25,108.70900000000002,103.25832701205115,117.99667298794887
2010-04-07,116.75,119.6,116.15,117.45,108.796,102.97272965825638,118.92727034174362
2010-04-08,116.75,117.7,115.75,116.7,108.898,103.1756757050615,119.61932429493852
2010-04-09,117.25,119.75,116.9,117.4,109.045,103.58777420619907,120.26722579380095
2010-04-12,117.05,118.55,116.55,117.35,109.24,104.32125230831475,120.67374769168528
2010-04-13,117.2,117.8,115.75,116.15,109.43099999999998,105.27924675789514,120.73075324210485
2010-04-15,116.5,117.9,115.3,115.9,109.61399999999999,106.66895996363027,120.41604003636976
2010-04-16,115.95,122.85,114.8,120.1,109.869,107.34688201146764,121.00811798853238
2010-04-19,130.0,130.0,117.25,118.9,110.14399999999999,107.59542964915067,121.54457035084928
2010-04-20,118.8,121.4,118.8,119.95,110.346,108.04615847276291,122.08884152723708
2010-04-21,120.75,122.45,119.25,121.45,110.654,109.05711296658133,122.44288703341867
2010-04-22,121.0,122.2,119.8,120.9,111.01100000000001,110.36229204772715,122.41770795227282
2010-04-23,121.4,122.0,120.45,121.75,111.256,110.76819088237181,122.98680911762821
2010-04-26,122.0,122.5,118.3,119.25,111.485,111.08476294505323,123.18523705494675
2010-04-27,119.75,120.0,116.55,117.6,111.62,111.34455112500088,123.22044887499912
2010-04-28,116.75,121.9,115.5,119.0,111.81199999999998,112.17546271781694,123.07953728218303
2010-04-29,119.95,126.4,119.25,123.75,112.109,112.82820720697885,123.61679279302115
