Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-02-08,16.0,24.1,16.0,22.9,,,
2010-02-09,23.05,25.0,22.15,24.4,,,
2010-02-10,25.2,25.25,23.15,23.5,,,
2010-02-11,23.5,24.0,22.5,23.1,,,
2010-02-15,23.35,23.7,22.55,22.9,,,
2010-02-16,22.9,23.4,22.7,23.0,,,
2010-02-17,23.1,24.6,21.65,24.1,,,
2010-02-18,24.0,24.1,22.7,23.1,,,
2010-02-19,22.5,23.1,22.2,22.7,,,
2010-02-22,22.8,23.5,22.75,23.05,,,
2010-02-23,23.0,23.15,21.7,22.0,,,
2010-02-24,21.55,22.7,21.25,22.2,,,
2010-02-25,22.05,22.8,21.9,22.5,,,
2010-02-26,22.5,24.1,22.15,23.0,,,
2010-03-02,23.1,23.45,22.95,23.35,,,
2010-03-03,23.35,24.0,22.9,23.05,,,
2010-03-04,23.1,23.7,23.05,23.65,,,
2010-03-05,23.8,27.45,23.5,25.8,,,
2010-03-08,26.0,28.0,25.9,27.65,,,
2010-03-09,27.85,31.75,27.3,29.95,,19.925701137904888,27.66429886209511
2010-03-10,30.0,30.55,28.35,28.6,,19.68438017064595,28.475619829354052
2010-03-11,28.6,28.85,27.55,27.7,,19.56054642854069,28.929453571459305
2010-03-12,25.0,29.9,25.0,28.65,,19.439582700759637,29.565417299240366
2010-03-15,28.5,29.05,27.75,27.95,,19.50347551304314,29.986524486956863
2010-03-16,25.0,29.5,25.0,28.9,,19.566631053334444,30.523368946665553
2010-03-17,29.2,29.6,28.7,28.85,,19.696589752437767,30.97841024756223
2010-03-18,28.8,30.65,28.8,29.45,,19.70951555492636,31.500484445073642
2010-03-19,29.6,35.0,29.2,34.45,,19.20471888373275,33.14028111626726
2010-03-22,33.75,36.2,33.55,34.1,,19.135005426606565,34.34999457339343
2010-03-23,34.4,35.2,32.4,33.05,,19.347779912298478,35.13722008770152
2010-03-25,33.0,35.1,32.8,33.85,,19.81915385167079,35.85084614832921
2010-03-26,33.9,34.85,33.25,33.85,,20.432693704356538,36.402306295643456
2010-03-29,34.8,34.8,30.4,31.65,,21.278705889677102,36.4712941103229
2010-03-30,31.9,33.05,31.55,31.85,,22.142816805086895,36.492183194913096
2010-03-31,32.3,32.8,30.8,31.35,,23.071070408423065,36.363929591576934
2010-04-01,31.6,32.65,31.55,32.1,,24.241354108629587,36.09864589137041
2010-04-05,32.15,36.95,32.0,36.15,,25.13080962258691,36.45919037741309
2010-04-06,36.15,36.65,35.05,35.6,,25.7460375282768,36.823962471723206
2010-04-07,31.6,42.45,31.6,41.6,,25.03629505356379,38.928704946436206
2010-04-08,40.2,42.0,38.15,38.85,,24.912499212102148,39.942500787897856
2010-04-09,38.95,39.2,35.1,35.75,,25.35688130355868,40.21311869644133
2010-04-12,36.0,37.55,35.3,36.1,,26.042311589692176,40.36768841030782
2010-04-13,36.5,37.1,35.5,36.3,,26.635039246689995,40.53996075331
2010-04-15,36.6,37.0,35.5,35.7,,27.49787425668322,40.45212574331678
2010-04-16,35.75,35.95,33.45,34.45,,28.23135524085939,40.27364475914061
2010-04-19,33.5,34.75,32.4,33.6,,29.016273279517293,39.96372672048271
2010-04-20,33.5,34.5,33.5,33.95,,29.76907131811266,39.66092868188735
