Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2021-03-26,73.95,81.0,72.9,75.2,,,
2021-03-30,75.95,77.9,69.65,70.85,,,
2021-03-31,71.75,71.75,67.65,68.1,,,
2021-04-01,68.6,72.75,68.2,71.4,,,
2021-04-05,71.5,71.5,68.55,69.9,,,
2021-04-06,70.3,71.25,69.1,70.35,,,
2021-04-07,70.55,70.9,69.8,69.9,,,
2021-04-08,71.9,75.0,71.4,72.85,,,
2021-04-09,73.0,73.1,70.45,71.0,,,
2021-04-12,70.9,70.9,68.0,68.35,,,
2021-04-13,69.0,69.85,68.05,69.3,,,
2021-04-15,69.0,69.85,68.55,69.0,,,
2021-04-16,69.0,69.7,68.8,68.9,,,
2021-04-19,67.8,67.8,65.7,66.85,,,
2021-04-20,67.2,68.35,66.8,67.15,,,
2021-04-22,67.0,67.15,66.4,66.7,,,
2021-04-23,66.6,66.7,65.5,65.6,,,
2021-04-26,65.9,67.0,63.75,63.85,,,
2021-04-27,64.0,64.8,61.2,61.4,,,
2021-04-28,61.55,62.9,60.6,61.65,,61.49324938480536,75.33675061519463
2021-04-29,62.0,62.85,61.1,61.25,,60.86343666424608,74.57156333575392
2021-04-30,61.0,61.2,59.75,59.9,,59.65227357997674,74.68772642002325
2021-05-03,59.7,59.7,58.55,58.65,,58.290580857193625,75.10441914280636
2021-05-04,58.65,60.7,58.1,58.25,,57.13922534418019,74.9407746558198
2021-05-05,58.5,59.5,58.0,58.1,,56.074836843525006,74.825163156475
2021-05-06,58.45,58.8,56.6,56.7,,54.91884126150326,74.61615873849676
2021-05-07,57.0,59.65,56.3,58.8,,54.33067857190073,74.09432142809928
2021-05-10,59.4,62.0,59.2,61.5,,54.58206797762969,72.70793202237031
2021-05-11,61.5,64.9,61.0,63.6,,54.89812079213519,71.65187920786481
2021-05-12,64.45,64.9,61.8,62.35,,54.940633028571646,71.00936697142835
2021-05-14,63.0,63.95,60.2,60.8,,55.04238982589561,70.05761017410438
2021-05-17,61.2,61.7,60.3,60.75,,55.24029423473383,69.03470576526617
2021-05-18,60.75,61.45,60.75,61.25,,55.63179994223869,67.87820005776133
2021-05-19,61.25,61.6,60.85,61.2,,55.837134696378335,67.10786530362167
2021-05-20,61.7,61.9,59.8,60.1,,56.13556105675403,66.10443894324598
2021-05-21,61.1,64.0,59.85,61.9,,56.61676673231027,65.14323326768975
2021-05-24,62.05,63.65,61.7,63.0,,56.960540935700756,64.53945906429924
2021-05-25,64.0,68.4,63.5,67.85,,56.1770499026725,65.72295009732751
2021-05-26,69.0,72.4,69.0,71.2,,54.81837672946868,68.06162327053131
2021-05-27,71.8,72.7,68.15,68.5,,54.445192663696844,69.11980733630317
2021-05-28,69.8,70.0,67.5,67.9,,54.292623190655654,69.93737680934434
2021-05-31,68.0,68.2,66.6,66.8,,54.44274229847691,70.47725770152309
2021-06-01,67.0,69.2,67.0,67.95,,54.76073254003187,71.08926745996813
2021-06-02,69.3,70.8,68.1,70.25,,55.04949349440899,72.000506505591
2021-06-03,70.75,71.6,70.1,71.1,,55.46067422664207,72.88932577335792
2021-06-04,72.25,82.65,72.2,80.85,,54.585508459955655,76.17949154004432
2021-06-07,82.45,84.65,82.05,83.2,,53.640227822638515,79.56477217736148
2021-06-08,83.75,84.5,79.25,81.6,,53.26737319295589,81.94762680704409
2021-06-09,83.15,89.75,82.3,85.4,,52.45242058304555,84.94257941695446
2021-06-10,87.0,88.25,85.85,86.3,67.306,52.15765017125253,87.63234982874746
2021-06-11,86.55,87.1,84.3,85.2,67.506,52.66923026673511,89.56076973326488
2021-06-14,85.3,85.35,80.1,83.7,67.76299999999999,53.67679878983084,90.84820121016917
2021-06-15,83.8,85.65,82.85,83.25,68.06599999999999,54.91750709791695,91.80749290208304
2021-06-16,84.0,84.5,81.5,81.8,68.274,56.51524968158225,92.26975031841775
2021-06-17,82.75,84.8,81.5,81.9,68.51400000000001,58.64640859836496,92.31859140163505
2021-06-18,82.15,82.6,76.0,80.5,68.717,60.71939474222587,92.10560525777412
2021-06-21,77.5,81.4,77.3,79.85,68.916,62.83626584138396,91.67373415861603
2021-06-22,81.25,83.15,80.95,81.5,69.089,64.11323167444871,91.76176832555129
2021-06-23,82.1,82.25,80.1,80.85,69.286,64.91594992526126,91.92405007473872
2021-06-24,80.5,81.3,79.5,79.75,69.514,66.30644403858831,91.65855596141166
2021-06-25,80.1,80.1,78.6,79.2,69.712,67.99366832752926,91.10133167247074
2021-06-28,79.9,80.6,78.5,78.85,69.909,70.25784468166297,90.04215531833704
2021-06-29,78.05,79.1,77.2,77.45,70.08,72.43325190560016,88.81674809439984
2021-06-30,77.2,78.8,77.05,78.25,70.308,74.31997439072373,87.73002560927628
2021-07-01,78.2,78.3,74.8,76.35,70.492,75.94611490464878,86.62888509535121
2021-07-02,76.4,78.8,76.35,78.05,70.719,75.61449139612776,86.68050860387225
2021-07-05,79.5,79.5,76.6,77.0,70.947,75.09780672009676,86.57719327990326
2021-07-06,77.0,78.65,76.3,76.7,71.204,74.57810717506499,86.60689282493502
2021-07-07,78.0,79.6,77.1,77.5,71.526,74.48228715228076,85.91271284771925
2021-07-08,79.0,79.3,77.65,77.95,71.852,74.764718090518,84.795281909482
2021-07-09,77.4,78.15,77.05,77.5,72.17699999999999,74.98604977287546,83.80395022712456
2021-07-12,78.25,78.35,76.55,76.65,72.512,74.96815471840164,83.11684528159834
2021-07-13,77.05,77.5,76.0,76.5,72.869,74.99627628705696,82.41372371294304
2021-07-14,76.1,77.35,75.85,76.05,73.225,74.82946799286721,82.00553200713277
2021-07-15,76.35,76.5,74.5,75.1,73.565,74.59166777285706,81.56333222714294
2021-07-16,75.0,75.9,74.8,75.0,73.931,74.25411637984443,81.35088362015556
2021-07-19,74.95,74.95,72.25,72.8,74.211,73.39368588364694,81.50631411635307
2021-07-20,72.35,74.5,70.3,72.4,74.429,72.81196408410315,81.17803591589686
2021-07-22,73.3,74.35,73.0,73.3,74.62299999999999,72.53786185815214,80.69713814184787
2021-07-23,73.8,73.95,72.1,72.3,74.822,72.0120590042285,80.4779409957715
2021-07-26,71.5,74.15,71.3,72.1,75.048,71.51211298263182,80.26788701736818
2021-07-27,72.15,73.1,71.0,72.05,75.274,71.08469515392062,80.01530484607935
2021-07-28,72.05,72.35,70.4,70.85,75.46600000000001,70.38564922989448,80.05435077010551
2021-07-29,70.85,71.6,70.75,70.95,75.661,69.88351287736506,79.82648712263494
2021-07-30,71.0,71.4,70.35,70.95,75.878,69.3745752269332,79.79542477306678
2021-08-02,72.15,72.35,71.1,71.75,76.075,69.18127148545577,79.35872851454423
2021-08-03,72.2,75.7,71.8,74.3,76.30099999999999,69.21061385070514,79.05938614929487
2021-08-04,74.55,75.3,72.3,72.4,76.392,69.09262193863302,78.74737806136696
2021-08-05,72.8,72.8,70.45,70.85,76.385,68.88387597725254,78.29112402274747
2021-08-06,71.05,71.45,66.1,66.85,76.352,67.89663283087015,78.16836716912985
2021-08-09,68.0,68.5,66.5,66.85,76.331,67.11219701059606,77.88780298940394
2021-08-10,67.35,67.5,64.85,66.0,76.315,66.21394046103462,77.72105953896538
2021-08-11,66.0,67.35,63.75,67.0,76.296,65.74589688438296,77.23910311561703
2021-08-12,68.15,68.15,66.6,67.1,76.233,65.3997038677275,76.69029613227251
2021-08-13,67.1,67.45,66.0,66.1,76.133,64.87634171054283,76.31365828945717
2021-08-16,66.0,66.15,64.85,65.0,75.81599999999999,64.25071354137013,75.93928645862987
