Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2006-03-23,75.7,88.2,73.1,75.2,,,
2006-03-24,75.8,80.4,74.6,76.55,,,
2006-03-27,77.0,78.95,76.3,76.5,,,
2006-03-28,78.0,78.9,75.0,75.7,,,
2006-03-29,74.45,76.85,74.4,75.05,,,
2006-03-30,77.55,78.4,73.0,73.8,,,
2006-03-31,74.0,76.4,72.2,73.8,,,
2006-04-03,74.0,77.0,72.0,76.0,,,
2006-04-04,74.6,77.8,74.6,76.95,,,
2006-04-05,78.0,82.9,76.6,80.05,,,
2006-04-07,81.0,81.5,75.6,76.55,,,
2006-04-10,78.2,91.9,78.2,90.65,,,
2006-04-12,92.05,105.4,87.0,97.8,,,
2006-04-13,99.0,100.6,88.0,94.4,,,
2006-04-17,92.2,104.8,92.2,102.85,,,
2006-04-18,104.6,104.6,94.8,95.75,,,
2006-04-19,97.55,97.55,90.4,91.0,,,
2006-04-20,93.15,95.6,91.8,93.0,,,
2006-04-21,94.8,98.2,94.0,94.75,,,
2006-04-24,96.75,99.6,95.0,98.05,,64.20106394468502,105.23893605531498
2006-04-25,99.2,99.2,95.0,95.7,,65.18036761176708,106.3096323882329
2006-04-26,97.8,97.8,94.0,94.9,,66.18800045595869,107.1369995440413
2006-04-27,96.8,96.8,93.0,94.3,,67.39293977609995,107.71206022390004
2006-04-28,91.4,93.4,82.6,86.8,,68.72567794128244,107.48932205871753
2006-04-29,93.95,93.95,89.0,92.5,,70.52418077792548,107.4358192220745
2006-05-02,92.8,94.0,89.2,90.2,,72.78273322707042,106.81726677292957
2006-05-03,91.4,92.0,86.0,87.4,,75.15164993257676,105.80835006742325
2006-05-04,88.4,90.4,86.0,86.65,,77.1304451316305,104.89455486836951
2006-05-05,87.05,88.95,86.0,87.25,,79.1605033854958,103.8944966145042
2006-05-08,89.0,89.35,86.6,88.2,,80.6726220142131,103.1973779857869
2006-05-09,89.0,89.4,80.1,81.75,,82.26705432815234,102.12294567184765
2006-05-10,82.0,87.0,80.5,81.7,,80.77449604531768,102.72050395468233
2006-05-11,83.5,83.5,80.0,81.05,,79.34136727361893,102.47863272638106
2006-05-12,81.95,93.35,81.2,88.05,,79.07874278251629,102.10625721748372
2006-05-15,88.0,91.8,79.5,81.35,,78.83789449772557,100.19710550227445
2006-05-16,83.6,89.8,82.0,85.35,,78.58624723145547,99.40875276854453
2006-05-17,88.0,90.0,86.4,87.75,,78.45393930984741,99.2160606901526
2006-05-18,86.8,86.8,79.2,82.85,,77.81222414457001,98.84277585543002
2006-05-19,87.8,88.0,76.0,76.45,,76.09605295668246,98.72894704331753
2006-05-22,83.4,83.6,61.25,71.1,,73.7112620189166,98.4187379810834
2006-05-23,65.4,85.3,65.2,85.0,,74.03632210391528,97.02367789608472
2006-05-24,82.4,87.8,78.0,79.15,,73.80727083723873,95.67772916276125
2006-05-25,77.55,79.0,72.2,78.15,,73.6028783958906,94.2671216041094
2006-05-26,81.6,82.8,78.0,79.3,,73.1218311749114,93.9981688250886
2006-05-29,79.8,81.4,75.05,75.4,,72.55269147331254,92.85730852668749
2006-05-30,78.1,79.0,75.8,77.0,,72.2337336511325,91.8562663488675
2006-05-31,75.0,75.0,71.2,73.35,,71.14140227785064,91.54359772214936
2006-06-01,76.0,77.8,69.1,70.8,,69.646499837691,91.453500162309
2006-06-02,70.4,76.0,60.1,71.35,,68.59285061256718,90.91714938743284
2006-06-05,72.0,73.0,68.05,69.9,83.50200000000001,67.59275004372418,90.08724995627583
2006-06-06,65.6,75.0,65.05,69.7,83.39200000000001,66.37256382122875,90.10243617877124
2006-06-07,67.8,72.0,66.0,68.95,83.24,65.16211221181112,90.03788778818887
2006-06-08,67.0,68.6,54.85,54.95,82.809,60.38810311779661,92.20189688220339
2006-06-09,53.0,62.0,50.6,59.65,82.48800000000001,58.32881265096175,91.42118734903825
2006-06-12,60.0,65.5,56.8,64.15,82.27,57.10193746802413,90.92806253197587
2006-06-13,60.0,62.4,51.35,51.6,81.826,53.54485193267327,91.11014806732673
2006-06-14,55.8,57.8,46.5,50.3,81.35600000000001,50.70405332049013,90.20594667950989
2006-06-15,53.0,53.8,50.4,52.9,80.894,48.63035260906902,89.28464739093097
2006-06-16,56.6,61.4,53.4,59.1,80.53699999999999,47.62875035971396,88.55124964028604
2006-06-19,55.4,58.8,55.4,57.85,80.093,46.52337109532764,88.33162890467236
2006-06-20,56.0,59.8,55.25,57.95,79.72099999999999,46.49997563354343,85.65002436645658
2006-06-21,58.6,65.6,58.6,59.9,79.106,46.36902745199292,83.85597254800707
2006-06-22,63.0,64.0,59.5,60.0,78.35,46.38455343462253,82.02544656537746
2006-06-23,59.8,59.8,56.2,58.45,77.631,46.67024105032432,79.65475894967568
2006-06-25,59.6,61.0,58.0,59.15,76.757,46.8233505834239,77.8766494165761
