Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2003-04-21,37.5,39.0,35.6,38.8,,,
2003-04-22,38.8,38.8,37.1,37.25,,,
2003-04-23,37.4,39.7,37.0,37.3,,,
2003-04-24,37.75,38.0,36.45,36.6,,,
2003-04-25,36.95,36.95,36.25,36.4,,,
2003-04-28,36.5,36.5,35.25,35.45,,,
2003-04-29,35.9,36.7,35.9,36.25,,,
2003-04-30,35.9,37.2,35.6,36.1,,,
2003-05-02,36.25,36.25,35.65,35.8,,,
2003-05-05,35.65,36.6,35.65,36.1,,,
2003-05-06,36.5,36.5,35.5,35.55,,,
2003-05-07,35.75,36.25,35.55,35.75,,,
2003-05-08,35.6,36.1,35.5,35.7,,,
2003-05-09,35.8,36.1,35.4,35.95,,,
2003-05-12,36.2,36.35,35.75,35.9,,,
2003-05-13,36.3,38.0,36.15,36.4,,,
2003-05-14,36.75,38.0,36.7,37.5,,,
2003-05-15,38.0,40.0,37.6,39.65,,,
2003-05-16,40.3,40.6,38.55,39.05,,,
2003-05-19,39.55,39.55,38.3,38.5,,34.24987100429472,39.350128995705276
2003-05-20,38.5,39.75,38.25,39.5,,34.153464697426614,39.51653530257339
2003-05-21,40.45,41.25,39.6,40.0,,33.94204493603076,40.002955063969246
2003-05-22,40.4,40.5,38.75,39.05,,33.891802770626406,40.228197229373585
2003-05-23,39.1,40.0,38.45,38.8,,33.91740589359007,40.42259410640993
2003-05-26,39.25,39.5,38.0,38.2,,33.997517896802464,40.52248210319753
2003-05-27,38.75,39.0,37.1,37.25,,34.20039685039528,40.499603149604724
2003-05-28,38.45,38.5,36.15,36.45,,34.22386090534035,40.49613909465965
2003-05-29,37.45,38.7,36.25,37.45,,34.34794517913111,40.507054820868895
2003-05-30,37.75,38.5,37.5,37.7,,34.538600220393306,40.50639977960668
2003-06-02,36.5,37.65,36.5,37.15,,34.66033652750532,40.489663472494684
2003-06-03,40.0,40.0,37.5,38.75,,34.93949609099482,40.530503909005176
2003-06-04,39.75,41.0,39.4,39.95,,35.146334904675165,40.743665095324836
2003-06-05,40.75,41.0,38.25,38.45,,35.48527982612582,40.67972017387419
2003-06-06,38.75,39.6,37.9,38.35,,35.806126643622065,40.598873356377936
2003-06-09,39.2,39.25,38.0,38.1,,36.17292921175884,40.45207078824116
2003-06-10,38.0,38.75,37.5,37.55,,36.39105823069097,40.348941769309036
2003-06-11,38.2,38.2,36.75,37.05,,36.317339259669545,40.37766074033046
2003-06-12,37.3,37.9,36.9,36.95,,36.18794676793278,40.23705323206722
2003-06-13,37.0,37.7,36.6,36.7,,36.00343800499543,40.18656199500457
2003-06-16,37.1,37.3,36.3,36.4,,35.77673853424644,40.20326146575355
2003-06-17,37.2,38.25,36.75,37.9,,35.81398875053238,40.006011249467626
2003-06-18,38.65,38.65,36.9,37.15,,35.89406381002854,39.640936189971455
2003-06-19,37.5,38.0,36.75,37.15,,35.88203549102621,39.46296450897379
2003-06-20,37.4,37.9,37.15,37.5,,35.89676762374768,39.318232376252325
2003-06-23,38.0,39.55,38.0,38.4,,35.8899294515129,39.3450705484871
2003-06-24,37.5,37.7,35.6,35.8,,35.63990986537313,39.450090134626876
2003-06-25,36.5,37.0,36.25,36.85,,35.70034256003386,39.429657439966135
2003-06-26,36.9,38.25,36.9,38.0,,35.718782895025576,39.46621710497441
2003-06-27,38.4,39.1,38.1,38.8,,35.69747300963348,39.597526990366525
2003-06-30,38.9,43.0,38.75,39.8,37.463,35.62315044567312,39.93684955432688
2003-07-01,40.5,41.0,39.05,40.5,37.497,35.42225219208659,40.31274780791341
2003-07-02,41.2,44.2,40.65,43.5,37.622,34.63728429651334,41.45271570348666
2003-07-03,44.8,45.0,42.35,42.5,37.726000000000006,34.29988579712543,42.195114202874564
2003-07-04,43.0,43.0,41.1,41.25,37.819,34.222270295358555,42.56272970464144
2003-07-07,42.0,42.95,41.5,42.25,37.93600000000001,34.091761926615234,43.10823807338477
2003-07-08,41.75,42.35,40.6,40.75,38.042,34.18206665795462,43.337933342045375
2003-07-09,42.15,42.15,39.3,39.65,38.11,34.36921758052759,43.41078241947241
2003-07-10,39.5,40.4,39.3,40.05,38.18899999999999,34.592218492010296,43.49778150798971
2003-07-11,40.0,41.25,40.0,40.3,38.279,34.881644518105205,43.5683554818948
2003-07-14,40.4,43.7,40.4,43.5,38.427,35.05214469265956,44.10785530734044
2003-07-15,43.5,44.25,42.75,43.45,38.585,35.089263539067204,44.6257364609328
2003-07-16,43.5,46.5,43.5,46.1,38.792,34.961445102053396,45.64855489794659
2003-07-17,46.25,47.75,44.1,44.75,38.973,35.20690006047999,46.163099939520016
2003-07-18,43.3,45.5,43.25,43.95,39.133,35.559538044031044,46.45546195596896
2003-07-21,43.75,46.5,43.75,45.9,39.333,35.66445147385321,47.10054852614679
2003-07-22,45.65,45.65,43.5,45.25,39.51,36.53108177531256,47.178918224687436
2003-07-23,44.5,47.25,44.5,45.5,39.67,37.27951952669003,47.29548047330997
2003-07-24,45.25,46.1,45.25,45.7,39.791,37.87277687202016,47.47222312797984
2003-07-25,45.4,50.7,45.4,50.3,40.016,37.70346812115173,48.79153187884826
2003-07-28,52.5,57.2,50.5,54.7,40.34,36.67746321554726,51.307536784452736
2003-07-29,56.1,56.1,53.3,53.85,40.626999999999995,36.32197044607617,52.998029553923836
2003-07-30,54.6,55.5,53.75,53.9,40.905,35.902330147351705,54.457669852648294
2003-07-31,54.7,55.5,53.25,53.7,41.198,35.81403193107768,55.665968068922325
2003-08-01,54.75,55.25,53.75,54.05,41.503,36.031371817329585,56.72862818267042
2003-08-04,54.25,54.25,52.25,53.5,41.809,36.31972035583795,57.565279644162054
2003-08-05,54.2,54.8,51.5,52.4,42.111999999999995,37.05542000540802,57.99457999459198
2003-08-06,51.1,52.5,49.5,50.4,42.391000000000005,38.20958832775531,57.91541167224469
2003-08-07,51.0,52.0,50.75,51.55,42.673,39.43247419884099,57.84252580115901
2003-08-08,51.5,53.55,51.3,51.5,42.949000000000005,40.80091704839636,57.59408295160365
2003-08-11,51.95,52.5,49.75,50.3,43.211999999999996,41.57271731885307,57.50228268114693
2003-08-12,51.1,51.1,49.25,49.7,43.431000000000004,42.41827568354471,57.281724316455296
2003-08-13,50.1,50.5,48.75,49.05,43.613,42.76471826826284,57.230281731737165
2003-08-14,50.0,51.75,49.5,49.85,43.840999999999994,43.45199885747549,57.05300114252452
2003-08-18,50.75,59.25,50.25,57.9,44.232,44.01109367027949,57.88890632972051
2003-08-19,59.0,59.4,52.5,53.05,44.531000000000006,44.737129907082966,57.87787009291704
2003-08-20,54.65,58.7,53.75,56.95,44.919,45.51232717607415,58.27267282392586
2003-08-21,50.55,58.45,50.55,53.95,45.257,46.63668483105252,57.993315168947476
2003-08-22,54.5,56.25,53.5,54.25,45.603,47.94148311210019,57.5435168878998
2003-08-25,54.5,55.25,50.8,51.6,45.901,48.111670383257284,57.503329616742725
2003-08-26,51.75,53.75,51.75,53.4,46.24100000000001,48.12157790017663,57.36342209982335
2003-08-27,54.2,54.7,53.4,54.0,46.563,48.12102944262366,57.37897055737634
2003-08-28,54.5,54.85,52.5,53.05,46.88099999999999,48.107468535576245,57.30753146442376
2003-08-29,53.5,53.7,52.0,52.5,47.187999999999995,48.070730856873155,57.22426914312685
2003-09-01,52.0,53.15,51.9,52.05,47.479,48.01255092003239,57.08244907996761
2003-09-02,52.5,54.5,52.3,53.15,47.77400000000001,48.0078440167497,57.05215598325029
2003-09-03,54.2,54.5,50.5,51.25,48.083,47.91428301248532,57.03071698751469
2003-09-04,51.5,57.2,51.5,56.4,48.474,48.00368959995437,57.54131040004563
2003-09-05,55.8,57.75,54.4,56.45,48.843,48.01536624476437,58.019633755235624
2003-09-08,56.0,56.5,54.0,55.9,49.185,48.13044863113605,58.34455136886395
2003-09-09,55.4,56.0,55.25,55.5,49.499,48.49166393228396,58.50333606771604
2003-09-10,55.25,57.5,54.5,56.6,49.821000000000005,48.98990709571247,58.69509290428752
2003-09-11,55.3,63.0,55.3,62.4,50.199000000000005,48.83080435643394,60.18919564356607
2003-09-12,62.5,62.5,58.1,60.95,50.568000000000005,49.1391334189127,60.990866581087325
2003-09-15,61.75,66.1,59.0,62.65,50.996,48.572091785274274,62.032908214725715
2003-09-16,63.25,63.25,60.8,62.1,51.393,48.468321455523665,63.041678544476355
2003-09-17,62.5,64.55,62.15,63.15,51.841,48.071048339031535,64.05895166096846
2003-09-18,63.2,63.5,59.0,60.6,52.26,48.222797365781396,64.5722026342186
2003-09-19,60.0,62.4,58.0,58.8,52.635,48.44868632798595,64.80131367201405
2003-09-22,58.25,61.1,58.25,58.9,53.007,49.11187572417968,64.8681242758203
2003-09-23,56.75,60.0,56.75,59.3,53.323,49.53203112892901,65.037968871071
2003-09-24,58.1,60.0,58.1,59.0,53.63399999999999,49.90658359539074,65.16341640460926
2003-09-25,55.3,61.1,55.3,59.4,53.9,50.48597007350806,65.21902992649194
2003-09-26,61.2,63.75,59.5,63.1,54.266999999999996,51.1127881400758,65.65221185992422
2003-09-29,64.6,67.75,62.5,66.65,54.721000000000004,51.59236037363618,66.63263962636381
2003-09-30,67.0,68.9,66.75,68.3,55.169,51.843635548033134,67.89636445196685
2003-10-01,69.25,75.5,69.25,72.2,55.708,52.19021218352533,69.64478781647466
2003-10-03,72.5,74.75,71.25,73.65,56.271,51.63767596444909,71.92232403555093
2003-10-06,74.95,74.95,72.5,72.9,56.815,51.64485546824868,73.56014453175133
2003-10-07,73.3,74.2,71.1,73.25,57.273999999999994,52.010901110103354,74.92909888989665
2003-10-08,73.25,78.75,72.6,76.4,57.708,52.32742651843973,76.70257348156028
2003-10-09,76.25,80.95,76.25,80.1,58.23299999999999,52.248641985901564,79.13135801409845
2003-10-10,81.25,88.75,80.25,87.6,58.90700000000001,50.434265875104984,83.46573412489502
2003-10-13,87.5,98.5,87.5,95.9,59.751000000000005,47.990611367418865,89.40438863258112
2003-10-14,96.25,96.25,88.75,89.55,60.461000000000006,47.57026508432516,92.51473491567485
2003-10-15,89.95,94.5,89.7,91.6,61.223,47.426067257654424,95.60893274234557
2003-10-16,90.25,93.25,88.75,89.45,61.964000000000006,47.81098767665348,97.85401232334654
2003-10-17,90.95,91.35,88.1,89.15,62.739,48.92131312337608,99.5986868766239
2003-10-20,90.5,90.6,83.9,85.05,63.409,50.894820440911246,100.25017955908876
2003-10-21,85.5,92.0,83.35,84.8,64.075,53.17505672327003,100.55994327672998
2003-10-22,87.2,87.5,83.9,84.4,64.757,55.72443911118726,100.52056088881272
2003-10-23,85.0,90.5,82.5,82.55,65.414,58.73354801215249,99.86645198784751
2003-10-24,83.35,86.25,82.25,85.2,66.137,62.152806469986444,99.02719353001356
2003-10-25,85.75,86.7,85.0,85.35,66.84700000000001,65.11669519430401,98.28830480569599
2003-10-27,85.75,85.75,82.5,82.65,67.34200000000001,67.5064136684542,97.49858633154582
2003-10-28,83.1,83.95,82.1,82.5,67.931,69.78511733385187,96.63988266614814
2003-10-29,82.5,85.25,82.25,84.55,68.483,71.439112006673,96.22088799332703
2003-10-30,85.0,86.95,82.6,84.85,69.101,72.96129191810944,95.81870808189056
2003-10-31,85.25,87.45,84.5,85.65,69.729,74.95552350447868,95.09947649552133
2003-11-03,86.95,89.5,86.5,88.35,70.464,77.28740698913916,94.27759301086084
2003-11-04,89.45,90.5,83.2,86.4,71.124,79.0256865047197,93.5393134952803
2003-11-05,86.4,86.9,82.9,83.4,71.712,79.6468440718817,93.24815592811831
2003-11-06,84.0,85.75,84.0,84.6,72.343,79.471583828601,93.123416171399
2003-11-07,85.85,85.85,83.6,83.85,72.97,80.50717011194595,90.88282988805406
2003-11-10,83.75,84.75,82.8,84.2,73.613,80.53319880263334,90.32180119736665
2003-11-11,85.5,85.75,84.5,85.0,74.25,81.15882870386908,89.03617129613092
2003-11-12,85.25,87.2,84.75,86.35,74.952,81.51409312737991,88.37090687262008
2003-11-13,86.25,87.2,85.05,85.9,75.542,81.93239712999141,87.62760287000859
2003-11-14,87.25,87.5,84.75,85.45,76.122,81.93882615182305,87.66117384817694
2003-11-15,85.5,85.5,84.0,84.45,76.693,81.91704789090942,87.64795210909058
2003-11-17,83.3,85.5,83.3,85.1,77.285,81.95462051469391,87.68037948530608
2003-11-18,85.7,86.0,85.0,85.6,77.865,82.29705563489146,87.64294436510853
2003-11-19,85.25,85.25,83.4,83.8,78.29299999999999,82.17951242759739,87.6204875724026
2003-11-20,84.5,85.0,81.25,82.3,78.72,81.80069530766717,87.69430469233284
2003-11-21,82.25,82.25,75.5,80.4,79.075,81.21692113053071,88.0530788694693
2003-11-24,83.25,84.95,82.5,83.45,79.502,81.36440368465401,88.00059631534597
2003-11-25,84.25,84.7,80.75,83.85,79.916,81.30881526054172,87.98618473945827
2003-11-27,83.5,86.45,83.5,85.5,80.414,81.32042609217729,88.0395739078227
2003-11-28,85.8,86.45,85.0,85.95,80.957,81.31457648246368,88.07542351753631
2003-12-01,87.5,90.9,87.0,90.15,81.58200000000001,80.93203121981625,88.63796878018374
2003-12-02,91.0,92.45,88.75,90.9,82.214,80.32434439794484,89.69565560205514
2003-12-03,93.75,96.2,91.25,92.6,82.88600000000001,79.75626769596931,91.18373230403068
2003-12-04,92.0,93.75,88.1,88.9,83.476,79.7884265079296,91.58157349207038
2003-12-05,89.45,90.9,85.5,86.1,83.93599999999998,79.96280567255185,91.63219432744815
2003-12-08,86.75,87.0,84.1,84.85,84.3,80.02560964713435,91.63439035286565
2003-12-09,85.5,86.7,84.5,85.1,84.63600000000001,80.03344848337802,91.63655151662199
2003-12-10,86.0,88.25,84.5,84.95,84.891,79.95583301559937,91.57416698440063
2003-12-11,86.0,86.75,83.8,84.55,85.10900000000001,79.86361756970155,91.53138243029846
2003-12-12,86.25,90.7,85.55,89.8,85.44699999999999,79.80227814954159,92.02772185045839
2003-12-15,91.4,93.75,89.5,91.5,85.81199999999998,79.71333097723544,92.82166902276455
2003-12-16,92.5,92.5,86.0,89.6,86.07600000000001,79.79959134114256,93.18540865885743
2003-12-17,90.25,92.65,89.75,90.9,86.29199999999999,79.79895546071,93.71604453929001
2003-12-18,90.3,91.2,88.75,90.95,86.35900000000001,80.06218421293059,94.16781578706943
2003-12-19,92.45,93.0,89.0,89.45,86.23,80.72927923275459,94.2157207672454
2003-12-22,91.0,99.75,91.0,95.65,86.35199999999999,81.41073215802835,95.05926784197165
2003-12-23,97.35,99.65,94.15,95.15,86.42300000000002,81.72237993927985,95.91762006072017
2003-12-24,95.3,96.0,92.1,92.95,86.49300000000001,82.35435962804621,96.1956403719538
2003-12-26,93.95,94.6,90.8,92.4,86.55799999999999,82.80458403786942,96.43541596213059
2003-12-29,93.95,99.75,93.2,98.3,86.823,82.63024065534341,97.84475934465658
2003-12-30,98.9,101.75,93.5,95.6,87.03900000000002,82.53440564828044,98.48559435171957
2003-12-31,96.25,96.5,94.25,95.8,87.267,82.43534034096776,99.07465965903226
2004-01-01,99.75,99.75,95.75,97.9,87.574,82.1345062039286,99.90549379607143
2004-01-02,99.4,99.4,94.75,96.15,87.79299999999999,82.27245493684825,100.49254506315174
2004-01-05,97.0,97.7,92.5,93.1,87.94800000000001,82.94481274063276,100.52018725936725
2004-01-06,93.95,93.95,90.75,92.05,88.13600000000001,83.92386454092959,100.26113545907042
2004-01-07,87.5,94.2,87.5,92.7,88.34,84.99569551792459,99.9493044820754
2004-01-08,94.45,97.0,93.5,96.0,88.569,86.29271330003304,99.75728669996697
2004-01-09,96.5,100.5,96.5,97.9,88.83,87.91930650264334,99.46569349735665
2004-01-12,97.1,97.25,94.5,95.6,89.029,88.45512553999828,99.50987446000173
2004-01-13,97.5,97.5,94.95,96.35,89.189,88.73074462685886,99.71925537314112
2004-01-14,96.1,97.45,96.1,96.3,89.38699999999999,89.44947422624267,99.67052577375733
2004-01-15,98.75,99.4,96.25,97.6,89.671,89.91801084463113,99.87198915536887
2004-01-16,97.5,98.75,93.75,95.45,89.88799999999999,90.49986101826423,99.74013898173575
2004-01-19,94.5,96.2,93.8,94.4,90.09899999999999,91.56898574751335,99.16601425248666
2004-01-20,96.25,98.0,95.9,97.5,90.365,91.54422891911143,99.37577108088858
2004-01-21,95.8,97.5,92.5,94.2,90.54900000000002,91.45803882837076,99.36696117162923
2004-01-22,94.5,95.45,90.0,91.95,90.661,91.25462886482714,99.47037113517285
2004-01-23,90.3,93.75,90.3,92.6,90.795,91.29412635613461,99.45087364386539
2004-01-27,96.1,96.1,92.75,93.45,90.955,91.21089698769212,99.0491030123079
2004-01-28,93.9,105.0,93.9,101.35,91.29299999999999,90.61023849703146,100.22476150296852
2004-01-29,102.25,103.5,98.8,99.7,91.585,90.43757309992871,100.78742690007128
2004-01-30,94.75,100.45,94.75,99.55,91.86399999999999,90.31786517303152,101.07213482696847
2004-02-03,100.25,100.25,93.75,94.65,92.081,90.22776386585821,101.0122361341418
2004-02-04,94.2,95.0,92.5,94.85,92.332,90.431908239725,100.98309176027502
2004-02-05,91.25,95.0,91.25,93.15,92.587,90.62636639376646,100.89863360623355
2004-02-06,91.5,94.5,91.5,92.4,92.766,90.57210527820875,100.92289472179125
2004-02-09,93.2,96.25,93.2,95.65,93.002,90.55583340043742,100.90416659956256
2004-02-10,96.5,96.5,93.8,95.0,93.192,90.50520514297061,100.6647948570294
2004-02-11,94.95,96.75,94.25,96.35,93.4,90.53117869491545,100.71382130508452
2004-02-12,97.25,97.25,95.6,96.2,93.521,90.52775071741253,100.70224928258746
2004-02-13,94.5,97.5,93.25,95.9,93.62100000000001,90.51595118726607,100.67404881273393
2004-02-16,97.25,98.45,96.25,97.85,93.726,90.50649132781439,100.70850867218562
2004-02-17,97.9,98.75,96.6,97.5,93.898,90.54039246119284,100.87960753880718
2004-02-18,98.2,99.95,97.0,97.45,94.125,90.6756872680982,101.0493127319018
2004-02-19,101.2,101.2,97.5,98.95,94.40700000000001,90.61303953810967,101.25696046189033
2004-02-20,99.5,103.75,98.0,98.8,94.68099999999998,90.76177484225461,101.56822515774537
2004-02-23,100.0,100.7,97.5,98.0,94.942,91.39027790415307,101.54472209584694
2004-02-24,97.55,98.25,97.5,97.85,95.208,91.96119787742866,101.49880212257132
2004-02-25,97.5,98.5,97.5,97.9,95.37,92.4185955597063,101.4864044402937
2004-02-26,99.0,99.25,97.5,97.5,95.49,92.7112705046711,100.8087294953289
2004-02-27,97.75,98.5,95.25,97.45,95.647,92.82396140748504,100.47103859251497
2004-03-01,97.5,101.75,96.25,100.15,95.83200000000001,92.7500694752999,100.6049305247001
2004-03-03,102.45,102.45,98.9,99.6,96.005,92.9125850558247,100.93741494417529
2004-03-04,98.75,100.5,97.5,98.05,96.17699999999999,93.16687746356024,101.00312253643978
2004-03-05,98.75,99.2,96.25,97.35,96.211,93.84232750344717,100.74767249655281
2004-03-08,99.0,100.0,96.3,96.9,96.24599999999998,94.93229628312139,100.10770371687863
2004-03-09,97.25,99.0,96.25,97.85,96.344,95.19443025145411,100.06556974854588
2004-03-10,97.0,98.0,97.0,97.7,96.45,95.66735721268135,99.86264278731865
2004-03-11,97.0,97.95,97.0,97.5,96.434,95.82764477506431,99.8173552249357
2004-03-12,95.3,97.75,95.3,97.35,96.469,96.02034524991709,99.7396547500829
2004-03-15,97.5,98.25,96.75,97.5,96.50300000000001,96.33629403749816,99.58370596250182
2004-03-16,96.5,98.0,96.4,97.6,96.49699999999999,96.31639607932776,99.57860392067225
2004-03-17,97.0,98.75,96.75,98.4,96.542,96.36372099330079,99.6212790066992
2004-03-18,97.75,99.0,97.25,97.95,96.639,96.4085529759037,99.6264470240963
2004-03-19,96.8,101.25,96.8,100.5,96.80799999999999,96.17724363546438,100.01275636453562
2004-03-22,101.25,101.7,99.25,100.85,96.971,95.93325271016911,100.4617472898309
2004-03-23,99.0,100.75,97.75,100.05,97.05199999999999,95.89233679570913,100.70766320429087
2004-03-24,100.5,100.5,98.35,100.2,97.09800000000001,95.87661847041196,100.95838152958805
2004-03-25,102.0,102.0,97.75,99.1,97.16799999999999,95.93140391713287,101.02359608286712
2004-03-26,99.5,100.75,99.4,100.0,97.241,96.01335769128646,101.19164230871353
2004-03-29,101.4,101.45,98.1,98.75,97.29,96.1355411161499,101.19945888385008
2004-03-30,98.9,100.0,97.65,97.9,97.296,96.1016671433952,101.00833285660481
2004-03-31,98.0,102.5,97.65,100.8,97.40299999999999,96.0006469050075,101.22935309499249
2004-04-01,101.25,106.85,101.05,104.4,97.60300000000001,95.27344130597089,102.59155869402912
2004-04-02,103.0,105.0,101.1,101.3,97.67900000000002,95.4047801195192,102.85521988048082
2004-04-05,101.55,102.5,100.5,101.25,97.82,95.66275548982046,103.03224451017954
2004-04-06,100.75,101.5,99.8,100.3,97.987,95.83227370028828,103.10772629971171
2004-04-07,100.0,100.95,98.4,98.95,98.11400000000002,95.98088435578313,103.08411564421687
2004-04-08,98.8,100.45,98.75,99.2,98.229,96.19155026613305,103.04344973386694
2004-04-12,99.55,100.0,98.75,98.8,98.17800000000001,96.40773505671305,102.97226494328697
2004-04-13,98.8,99.95,98.75,99.55,98.175,96.67425572341469,102.91074427658532
2004-04-15,98.9,100.0,98.75,98.8,98.16,96.86860022038725,102.83639977961273
2004-04-16,99.0,101.75,98.75,101.35,98.294,97.02678625053018,102.97321374946982
2004-04-17,101.25,102.0,100.75,101.6,98.429,97.29217585135383,103.07282414864618
2004-04-19,101.5,104.05,101.5,103.0,98.62599999999999,97.15501142578388,103.45998857421613
2004-04-20,103.5,103.5,101.6,102.5,98.82799999999999,97.0946124738651,103.6853875261349
2004-04-21,101.6,103.55,101.6,103.0,98.975,97.04783480718679,104.0271651928132
2004-04-22,102.5,103.35,101.5,102.25,99.12,97.07251526023467,104.20748473976533
2004-04-23,102.5,102.5,99.5,99.95,99.19200000000001,97.17247300954512,104.1925269904549
2004-04-27,95.3,99.5,95.0,95.3,99.17399999999999,96.19439277672562,104.70060722327439
2004-04-28,96.25,98.75,96.2,97.9,99.214,96.06438398744393,104.74561601255607
2004-04-29,97.7,99.75,97.7,99.15,99.24,96.2443464015825,104.6906535984175
2004-04-30,98.3,99.25,98.3,98.7,99.264,96.07029470250706,104.65470529749294
2004-05-03,98.75,99.05,97.5,98.0,99.275,96.07575998887928,104.0092400111207
2004-05-04,99.95,102.1,99.25,100.3,99.30199999999999,96.06750921891333,103.91749078108666
2004-05-05,101.25,101.6,98.8,99.8,99.322,96.03949542075905,103.80050457924092
2004-05-06,100.95,101.75,99.75,100.6,99.37400000000001,96.04600066990108,103.82399933009893
