Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2015-12-23,720.0,843.7,711.15,825.0,,,
2015-12-24,838.0,908.7,836.0,896.05,,,
2015-12-28,900.0,907.0,828.0,835.35,,,
2015-12-29,842.0,849.75,798.1,811.0,,,
2015-12-30,812.9,828.3,803.0,806.6,,,
2015-12-31,810.0,819.7,785.0,804.45,,,
2016-01-01,807.5,819.35,801.0,803.6,,,
2016-01-04,801.9,824.0,793.1,812.15,,,
2016-01-05,816.4,829.0,807.95,817.05,,,
2016-01-06,817.0,864.0,810.25,835.85,,,
2016-01-07,822.0,830.0,800.0,803.8,,,
2016-01-08,811.0,822.0,805.0,806.9,,,
2016-01-11,803.0,804.9,786.6,797.05,,,
2016-01-12,799.8,816.0,797.0,802.2,,,
2016-01-13,809.45,814.9,776.35,799.65,,,
2016-01-14,772.35,820.9,772.35,814.5,,,
2016-01-15,824.0,824.0,782.0,789.1,,,
2016-01-18,780.0,792.45,765.1,771.85,,,
2016-01-19,776.95,777.0,705.0,722.2,,,
2016-01-20,714.0,748.0,696.5,720.35,,729.273776605043,878.196223394957
2016-01-21,729.8,737.7,725.0,728.95,,718.1266034264663,879.7383965735337
2016-01-22,737.0,744.35,710.0,737.65,,719.805205318981,862.219794681019
2016-01-25,736.3,764.4,732.8,748.65,,716.2835747611961,857.071425238804
2016-01-27,754.0,776.0,738.4,758.4,,713.5494337704554,854.5455662295446
2016-01-28,749.25,769.0,749.1,757.85,,711.0240941457633,852.1959058542367
2016-01-29,758.0,791.75,750.8,774.2,,710.2800728662323,849.9149271337676
2016-02-01,775.5,810.95,775.0,799.15,,710.3451692190966,849.4048307809034
2016-02-02,804.9,817.2,785.55,798.0,,710.741256381126,847.5937436188738
2016-02-03,785.0,804.0,770.0,786.65,,711.4501676082074,843.8448323917927
2016-02-04,781.0,807.9,781.0,802.7,,714.431191147258,837.548808852742
2016-02-05,807.0,809.9,796.7,800.25,,714.5716736193127,837.0533263806873
2016-02-08,790.0,813.55,790.0,800.7,,714.8644584835776,836.1405415164226
2016-02-09,793.0,798.0,785.1,794.85,,714.9112608470718,835.8737391529282
2016-02-10,791.1,808.0,784.0,802.9,,714.8801677105554,835.9748322894446
2016-02-11,787.0,815.0,787.0,799.2,,714.8952452405181,835.9147547594819
2016-02-12,799.0,820.0,777.05,802.65,,715.698614597597,833.926385402403
2016-02-15,833.0,850.0,811.25,825.35,,713.5747318341192,839.6752681658808
2016-02-16,823.0,853.7,805.05,840.55,,710.9141313027689,849.2058686972313
2016-02-17,848.65,855.9,822.0,851.2,,716.0356104748159,856.984389525184
2016-02-18,856.35,874.25,844.95,857.6,,723.2953960358661,863.4496039641338
2016-02-19,857.8,874.9,846.05,866.3,,729.8258671482552,870.6541328517449
2016-02-22,870.0,879.0,835.25,847.1,,738.8574338612168,872.5675661387831
2016-02-23,849.05,870.0,816.3,851.9,,746.6800215113524,875.0699784886476
2016-02-24,830.0,852.75,824.0,830.3,,754.7514460639698,874.1885539360303
2016-02-25,835.0,840.0,827.0,836.35,,764.2903265954726,872.4996734045274
2016-02-26,838.65,841.65,820.0,828.5,,771.0442789819953,871.1757210180048
2016-02-29,834.0,834.0,814.5,826.7,,773.4605592321661,871.5144407678338
2016-03-01,826.0,843.9,826.0,828.75,,776.3206528517351,871.7293471482649
2016-03-02,834.05,865.3,829.75,853.0,,781.3856750100383,873.2993249899616
2016-03-03,864.0,947.0,857.85,893.9,808.0989999999999,778.7118451520103,885.0931548479896
2016-03-04,889.8,889.8,855.05,859.0,808.779,782.5277130262771,887.1522869737228
2016-03-08,860.4,866.0,840.0,844.65,807.7509999999999,787.1263170425643,886.9486829574357
2016-03-09,839.8,904.85,834.0,873.85,808.521,792.6549363340157,889.3200636659842
2016-03-10,869.0,879.95,850.0,864.45,809.59,798.1667475392856,889.9632524607143
2016-03-11,853.05,879.7,853.05,862.7,810.712,805.8449380010749,888.6350619989252
2016-03-14,861.0,904.8,857.25,890.6,812.435,811.5207509713,891.7542490287001
2016-03-15,894.0,915.0,876.0,906.65,814.4959999999999,810.6311241495474,900.7738758504526
2016-03-16,910.0,910.0,878.0,882.05,815.8940000000001,811.8306946589018,903.724305341098
2016-03-17,884.05,949.4,882.2,906.15,817.676,809.900629958434,911.1493700415659
2016-03-18,908.0,937.0,905.0,922.7,819.413,806.0716552599912,921.488344740009
