Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2016-12-19,98.0,99.6,95.0,96.1,,,
2016-12-20,96.55,97.9,93.15,94.75,,,
2016-12-21,94.8,96.0,94.0,94.7,,,
2016-12-22,94.4,95.6,94.0,94.9,,,
2016-12-23,95.0,95.6,94.2,95.15,,,
2016-12-26,95.0,95.4,90.45,91.05,,,
2016-12-27,91.5,98.3,90.65,96.25,,,
2016-12-28,96.6,98.0,94.85,97.25,,,
2016-12-29,97.75,99.8,95.35,96.05,,,
2016-12-30,96.75,96.9,95.8,96.15,,,
2017-01-02,96.4,97.6,95.2,97.3,,,
2017-01-03,97.2,97.6,95.1,95.25,,,
2017-01-04,96.0,96.75,94.75,95.1,,,
2017-01-05,95.75,96.6,95.1,95.25,,,
2017-01-06,95.8,96.0,94.3,94.55,,,
2017-01-09,95.6,96.0,92.55,95.05,,,
2017-01-10,95.05,95.4,93.7,94.6,,,
2017-01-11,94.8,95.6,94.6,95.0,,,
2017-01-12,94.4,96.1,93.95,95.05,,,
2017-01-13,95.0,99.95,94.65,98.9,,92.39303347957241,98.4469665204276
2017-01-16,99.2,99.75,96.8,97.05,,92.36668940988174,98.56831059011826
2017-01-17,97.2,97.9,95.0,95.4,,92.41728076290804,98.58271923709196
2017-01-18,95.8,97.0,95.4,95.6,,92.48526144907771,98.60473855092229
2017-01-19,95.75,97.0,95.75,96.15,,92.55217246996502,98.66282753003496
2017-01-20,96.0,96.4,95.1,95.75,,92.58931244533393,98.68568755466607
2017-01-23,95.8,96.35,95.05,95.5,,93.70212580240836,98.01787419759161
2017-01-24,95.6,96.2,94.9,95.5,,93.66709675283373,97.97790324716625
2017-01-25,95.95,96.0,95.2,95.5,,93.68404386867203,97.78595613132794
2017-01-27,94.4,96.0,94.4,94.7,,93.57182148909887,97.76317851090111
2017-01-30,94.8,96.0,94.45,95.65,,93.55916385965101,97.72583614034902
2017-01-31,95.8,96.2,94.8,94.95,,93.57442653506583,97.47557346493419
2017-02-01,94.1,96.1,94.1,95.1,,93.56132892794163,97.47367107205837
2017-02-02,95.2,96.0,94.5,94.8,,93.52833128753817,97.47666871246183
2017-02-03,95.75,101.6,93.4,100.55,,92.77553268382611,98.75946731617388
2017-02-06,102.0,116.3,101.4,111.4,,89.05364331732615,104.16635668267385
2017-02-07,111.6,117.0,108.5,111.95,,87.3002033630977,107.60979663690233
2017-02-08,112.5,113.95,109.25,110.0,,86.73415696372929,109.7158430362707
2017-02-09,110.6,113.0,110.6,111.95,,86.16964535869147,111.97535464130854
2017-02-10,111.7,111.7,105.45,107.15,,86.43846382105671,112.91653617894328
2017-02-13,107.2,108.0,103.0,103.7,,86.56427153171127,113.27072846828871
2017-02-14,104.6,104.6,101.3,102.05,,86.85315178384411,113.48184821615587
2017-02-15,102.0,104.8,100.7,101.7,,87.34615928546226,113.61884071453774
2017-02-16,101.95,102.0,100.15,100.75,,87.80629861258006,113.67370138741992
2017-02-17,101.6,101.75,99.4,100.15,,88.18264505223914,113.69735494776089
2017-02-20,101.2,101.55,99.6,101.05,,88.68356994883108,113.72643005116895
2017-02-21,101.0,104.9,99.6,103.25,,89.33760731434816,113.84739268565184
2017-02-22,104.0,106.8,103.15,104.35,,90.07070663225468,113.99929336774531
2017-02-23,103.8,106.4,103.8,104.25,,90.88023965095672,114.0647603490433
2017-02-27,104.9,104.9,101.45,102.1,,91.83727277309593,113.84772722690407
2017-02-28,102.0,104.1,101.45,102.0,98.568,92.67434062008591,113.64565937991408
2017-03-01,102.55,105.0,101.7,102.0,98.68599999999998,93.73912720502922,113.28587279497079
2017-03-02,102.95,103.2,100.1,101.6,98.823,94.84054876200007,112.83445123799994
2017-03-03,101.6,102.1,100.2,101.4,98.957,96.13367185042874,112.20132814957124
2017-03-06,102.0,103.25,101.1,102.35,99.10600000000001,96.35505034648641,112.1599496535136
2017-03-07,102.8,106.2,101.35,104.3,99.289,96.74859234495976,111.05640765504025
2017-03-08,104.2,104.35,103.1,103.6,99.54,97.41626216191787,109.5537378380821
2017-03-09,103.2,104.8,102.6,103.0,99.675,97.89787543739776,108.37212456260222
2017-03-10,103.35,103.8,102.0,102.2,99.77400000000002,99.44561322071353,105.84938677928646
2017-03-14,103.35,104.2,102.2,102.95,99.912,100.02549602863186,104.84950397136814
2017-03-15,103.0,106.6,103.0,105.45,100.098,99.81197100719686,105.23802899280315
2017-03-16,106.2,107.0,105.35,106.1,100.27400000000002,99.59205325100386,105.86294674899615
2017-03-17,106.1,107.0,104.65,106.1,100.491,99.51246763211435,106.38253236788563
2017-03-20,106.2,107.95,105.0,105.55,100.7,99.72828271706916,106.64671728293084
2017-03-21,107.0,107.0,103.0,103.6,100.867,100.2081250358755,106.51187496412447
2017-03-22,103.0,103.6,99.25,102.45,101.025,100.43590053956979,106.4240994604302
2017-03-23,102.6,104.3,102.0,102.35,101.17099999999999,100.35270019535265,106.41729980464733
2017-03-24,103.4,103.6,102.0,102.0,101.319,100.21062250817913,106.32437749182087
2017-03-27,102.25,103.6,102.2,102.6,101.471,100.15079152782266,106.21920847217731
2017-03-28,103.4,103.4,101.5,102.05,101.611,100.14444747282148,106.22055252717853
2017-03-29,102.3,103.45,102.2,103.0,101.69300000000001,100.24387683522099,106.22112316477902
2017-03-30,103.2,106.0,102.2,103.7,101.82600000000001,100.38021249368776,106.25478750631223
2017-03-31,104.0,104.5,102.65,103.25,101.98299999999999,100.57529694154906,106.22470305845096
2017-04-03,103.4,105.6,103.0,104.1,102.153,100.8585726877242,106.21142731227579
2017-04-05,104.6,105.8,103.05,103.95,102.309,100.99260655727976,106.23739344272026
2017-04-06,103.8,105.4,103.1,103.45,102.463,100.96936929377617,106.17563070622381
2017-04-07,103.05,105.0,100.5,102.1,102.595,100.81255660159609,106.18244339840389
2017-04-10,102.0,104.8,102.0,102.85,102.74199999999999,100.79837556385287,106.18162443614709
2017-04-11,102.8,104.0,102.35,102.6,102.884,100.85301318268803,106.16698681731195
2017-04-12,103.0,103.1,101.55,102.15,103.03299999999999,100.75408201038454,106.18591798961546
2017-04-13,102.3,103.6,101.0,101.2,103.14399999999999,100.52884600368974,105.98615399631028
2017-04-17,101.7,104.75,101.7,102.8,103.301,100.71048957092721,105.4745104290728
2017-04-18,103.0,104.95,102.4,102.9,103.45700000000001,101.01683741021658,104.84816258978343
2017-04-19,103.95,103.95,102.7,103.4,103.62899999999999,101.33344482431717,104.31655517568284
2017-04-20,103.8,105.6,103.6,105.0,103.71799999999999,101.14183744411153,104.64816255588849
