Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2021-04-19,218.0,239.0,211.3,232.6,,,
2021-04-20,234.0,256.9,228.7,251.55,,,
2021-04-22,249.0,271.4,245.8,261.9,,,
2021-04-23,261.4,268.45,258.85,265.35,,,
2021-04-26,266.0,293.0,266.0,290.05,,,
2021-04-27,288.0,306.4,285.5,302.2,,,
2021-04-28,302.4,310.0,298.1,307.8,,,
2021-04-29,309.4,309.5,290.55,300.8,,,
2021-04-30,296.0,310.95,294.05,296.85,,,
2021-05-03,295.0,302.5,285.1,299.65,,,
2021-05-04,300.6,304.0,291.35,298.85,,,
2021-05-05,295.5,306.0,293.75,303.0,,,
2021-05-06,303.0,306.1,297.75,301.0,,,
2021-05-07,301.5,319.0,301.5,315.9,,,
2021-05-10,315.0,379.05,314.9,345.9,,,
2021-05-11,342.4,351.35,337.55,345.85,,,
2021-05-12,350.0,355.1,317.5,323.3,,,
2021-05-14,332.45,335.7,307.25,323.95,,,
2021-05-17,324.0,328.5,313.8,323.7,,,
2021-05-18,323.9,323.9,307.25,316.4,,242.0459550585511,358.614044941449
2021-05-19,311.75,321.0,311.75,317.15,,255.40892530309918,353.7060746969008
2021-05-20,317.15,322.55,308.0,314.25,,265.2373189882926,350.1476810117074
2021-05-21,318.45,328.45,314.25,322.2,,273.73436216923653,347.68063783076343
2021-05-24,324.5,326.0,319.0,322.1,,283.09307239702486,343.9969276029752
2021-05-25,321.5,325.0,314.0,316.3,,286.4770346093572,343.23796539064284
2021-05-26,310.0,314.85,309.0,312.55,,287.5952364452486,343.1547635547514
2021-05-27,310.05,312.5,305.0,307.5,,287.56269607923895,343.1573039207611
2021-05-28,308.0,321.5,307.5,317.55,,289.2509549622092,343.14404503779076
2021-05-31,317.4,320.75,311.0,315.55,,291.7608980755939,342.5041019244061
2021-06-01,318.0,318.4,309.0,313.15,,293.7078324984719,341.90716750152814
2021-06-02,315.0,318.85,308.5,309.0,,295.503158661275,341.1268413387249
2021-06-03,310.25,318.0,309.65,311.35,,296.8126393828864,340.6523606171135
2021-06-04,314.0,317.0,310.5,313.85,,298.9406506935271,339.8093493064729
2021-06-07,316.85,344.5,315.75,335.0,,298.82236610434626,341.8376338956538
2021-06-08,331.5,355.0,331.5,345.4,,298.9217084410576,341.6882915589424
2021-06-09,348.0,351.3,325.75,333.1,,300.88928543883196,338.4457145611681
