Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2011-08-12,53.85,53.85,49.3,50.05,,,
2011-08-16,50.9,51.3,49.0,49.3,,,
2011-08-17,49.65,49.8,48.0,48.15,,,
2011-08-18,48.15,48.5,46.15,46.3,,,
2011-08-19,46.05,46.05,44.65,44.9,,,
2011-08-22,45.0,45.4,44.4,44.7,,,
2011-08-23,45.05,46.95,44.65,46.45,,,
2011-08-24,46.4,48.2,46.0,47.25,,,
2011-08-25,47.7,48.2,47.0,47.45,,,
2011-08-26,47.7,47.9,45.8,46.15,,,
2011-08-29,47.0,53.05,46.75,50.8,,,
2011-08-30,52.5,52.8,49.25,49.8,,,
2011-09-02,50.05,51.3,48.6,50.55,,,
2011-09-05,50.0,52.0,49.55,51.5,,,
2011-09-06,51.15,52.25,50.6,51.8,,,
2011-09-07,52.0,52.7,51.35,52.1,,,
2011-09-08,52.05,52.2,51.55,51.8,,,
2011-09-09,51.9,52.2,50.8,50.95,,,
2011-09-12,50.95,51.65,49.7,50.8,,,
2011-09-13,51.4,51.55,50.1,50.2,,44.21917790585668,53.88082209414331
2011-09-14,50.8,50.8,50.1,50.2,,44.21968024312604,53.89531975687397
2011-09-15,50.6,51.1,50.1,50.25,,44.238584481366175,53.97141551863382
2011-09-16,50.35,50.65,49.9,50.05,,44.33790168754271,54.062098312457294
2011-09-19,49.55,50.4,49.55,49.95,,44.70835217448818,54.05664782551183
2011-09-20,50.0,50.35,49.55,49.95,,45.461638361174394,53.8083616388256
2011-09-21,50.0,51.0,49.9,50.55,,46.44816627672842,53.40683372327157
2011-09-22,50.0,50.3,49.0,49.1,,46.95675890992046,53.16324109007953
2011-09-23,48.75,49.15,47.75,48.55,,47.22155377180838,53.02844622819162
2011-09-26,48.5,49.05,47.2,47.7,,47.280767416674834,52.99423258332517
2011-09-27,48.4,49.25,48.15,49.05,,48.052259276622664,52.512740723377334
2011-09-28,49.3,49.45,48.8,49.05,,47.91351848687372,52.47648151312628
2011-09-29,48.7,49.1,48.1,48.3,,47.69005523129691,52.549944768703085
2011-09-30,48.3,48.9,48.0,48.15,,47.42665484958624,52.57334515041376
2011-10-03,47.55,48.0,47.2,47.55,,47.11031344980464,52.49468655019535
2011-10-04,47.4,48.0,46.9,47.3,,46.83649077364788,52.31850922635212
2011-10-05,47.5,47.85,47.0,47.05,,46.63241759643274,52.01758240356727
2011-10-07,48.2,49.9,47.65,48.9,,46.74897249360642,51.611027506393576
2011-10-10,49.0,49.9,49.0,49.8,,46.81656372480434,51.42843627519565
2011-10-11,50.0,50.9,50.0,50.4,,46.8515411399864,51.353458860013596
2011-10-12,50.5,50.75,49.9,50.45,,46.835780373622754,51.394219626377236
2011-10-13,50.9,50.9,50.4,50.6,,46.80914984417128,51.460850155828716
2011-10-14,50.6,50.8,50.2,50.65,,46.78237098958715,51.52762901041285
2011-10-17,50.65,52.1,50.0,51.4,,46.67247936024864,51.772520639751356
2011-10-18,51.0,51.9,50.65,51.5,,46.56908536624775,52.030914633752246
2011-10-19,51.6,52.3,51.6,51.95,,46.432633632681195,52.3673663673188
2011-10-20,51.9,51.9,51.05,51.5,,46.374103969890186,52.520896030109824
2011-10-21,51.5,52.5,51.4,51.75,,46.34541713419032,52.814582865809676
2011-10-24,52.15,52.4,50.1,50.3,,46.455634662323384,52.87936533767661
2011-10-25,50.5,51.3,49.3,50.3,,46.712992873970556,52.88200712602944
2011-10-26,51.0,51.4,50.5,51.25,49.49,46.77864027832905,53.03635972167095
2011-10-28,52.0,52.4,51.4,51.85,49.525999999999996,46.830853331577465,53.26414666842253
2011-10-31,52.0,52.1,51.1,51.2,49.56400000000001,47.04686392508772,53.338136074912285
2011-11-01,51.1,51.25,50.5,50.75,49.61600000000001,47.320662843225904,53.32433715677409
2011-11-02,50.7,52.5,50.0,51.75,49.725,47.769154392340965,53.29584560765903
2011-11-03,52.2,52.4,51.25,52.2,49.871,48.3756421664404,53.17935783355961
2011-11-04,52.2,52.5,51.65,51.75,50.012,49.336076802581715,52.68892319741829
2011-11-08,51.8,51.8,51.1,51.2,50.107,49.77746101420813,52.47753898579187
2011-11-09,51.3,51.5,50.1,50.15,50.165,49.85990323935878,52.43009676064123
2011-11-11,50.0,50.0,49.1,49.15,50.199,49.547547574884334,52.61745242511566
2011-11-14,50.0,50.0,48.75,48.9,50.254000000000005,49.20239953926205,52.80760046073795
2011-11-15,49.2,49.2,46.75,46.95,50.177,48.26588319772317,53.37911680227684
2011-11-16,47.1,48.45,47.0,48.2,50.145,47.88668579037014,53.51331420962987
2011-11-17,48.0,48.5,47.35,47.45,50.083,47.360681049807376,53.644318950192634
2011-11-18,47.4,47.4,45.7,46.05,49.974000000000004,46.55270122021755,53.90729877978246
2011-11-21,46.4,46.6,44.65,44.8,49.833999999999996,45.563332904999896,54.18166709500011
2011-11-22,45.25,45.85,44.8,45.35,49.699,44.88322121073848,54.24677878926151
2011-11-23,45.35,45.35,44.0,44.15,49.54599999999999,44.03921992001417,54.330780079985836
2011-11-24,44.0,45.55,44.0,45.15,49.43,43.50848134733836,54.34651865266164
2011-11-25,45.0,45.95,44.6,45.45,49.32299999999999,43.09326738083708,54.276732619162914
2011-11-28,45.55,46.45,45.55,46.25,49.244,42.879149598467336,53.990850401532654
2011-11-29,46.05,46.55,45.7,45.9,49.158,42.71601496359161,53.558985036408394
2011-11-30,45.85,45.85,45.1,45.35,49.06,42.488361226723555,53.20163877327644
2011-12-01,46.15,46.9,46.0,46.2,48.983000000000004,42.395554909680115,52.839445090319884
2011-12-02,46.35,46.5,45.7,46.35,48.911,42.47875164684845,52.216248353151556
2011-12-05,46.4,46.7,46.05,46.1,48.833999999999996,42.72006464843936,51.364935351560646
2011-12-07,46.5,46.9,45.7,46.25,48.748000000000005,43.048378004010516,50.48662199598948
2011-12-08,46.1,46.35,45.15,45.75,48.681,43.39646044588403,49.59353955411598
2011-12-09,45.4,46.0,45.0,45.55,48.621,43.666194606423105,48.8638053935769
2011-12-12,46.0,46.0,44.6,44.75,48.562,43.74696880603826,48.34303119396174
2011-12-13,44.7,45.55,44.35,45.1,48.483000000000004,43.957383766821856,47.75261623317815
2011-12-14,42.45,45.35,42.45,45.15,48.405,43.915931955935875,47.614068044064126
2011-12-15,45.0,45.15,44.1,44.6,48.331,44.061810824894664,47.10818917510534
2011-12-16,44.7,45.35,43.9,44.05,48.249,44.01421074878625,46.81578925121375
2011-12-19,44.0,44.0,42.2,42.95,48.157,43.512038781593596,47.007961218406415
2011-12-20,43.05,43.85,42.1,42.5,48.06100000000001,43.009855483752126,47.280144516247866
