Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2016-07-21,667.0,710.0,666.0,697.6,,,
2016-07-22,700.0,708.7,696.2,700.0,,,
2016-07-25,701.0,701.0,692.0,693.05,,,
2016-07-26,694.9,701.5,690.0,692.15,,,
2016-07-27,692.1,697.65,687.05,689.9,,,
2016-07-28,691.6,697.0,677.85,679.9,,,
2016-07-29,690.0,700.0,685.0,691.8,,,
2016-08-01,694.85,696.35,682.6,686.9,,,
2016-08-02,685.05,690.0,682.5,683.65,,,
2016-08-03,685.0,688.0,677.7,680.0,,,
2016-08-04,682.05,684.0,679.1,681.05,,,
2016-08-05,681.95,715.0,681.5,697.65,,,
2016-08-08,700.0,708.0,696.3,700.9,,,
2016-08-09,703.2,711.0,696.3,698.3,,,
2016-08-10,699.9,700.95,690.0,690.25,,,
2016-08-11,691.0,697.0,682.5,684.05,,,
2016-08-12,686.65,691.1,683.0,685.2,,,
2016-08-16,685.2,688.0,681.3,681.95,,,
2016-08-17,682.1,691.5,677.2,678.95,,,
2016-08-18,679.8,681.85,674.0,674.95,,672.6850416283709,704.1349583716293
2016-08-19,675.0,679.9,662.65,664.6,,668.3920473593129,705.1279526406871
2016-08-22,665.95,667.0,655.0,656.05,,662.6834575163812,706.4415424836188
2016-08-23,655.1,661.9,644.0,645.95,,654.7474567792727,709.6675432207272
2016-08-24,646.0,649.45,638.35,639.85,,646.6961832168898,712.4888167831101
2016-08-25,640.05,664.8,640.05,653.9,,643.366816885576,712.2181831144238
2016-08-26,655.05,659.9,646.6,647.8,,639.2723929084725,713.1026070915275
2016-08-29,644.5,647.45,639.8,640.9,,634.3196490699981,712.9653509300019
2016-08-30,644.0,659.85,641.5,651.75,,631.9202642287835,711.8497357712165
2016-08-31,648.55,660.0,648.55,652.9,,629.925144603642,710.7698553963579
2016-09-01,654.0,655.0,644.05,645.6,,627.0242552505313,710.2307447494688
2016-09-02,647.0,652.1,640.05,643.95,,624.2042084278872,709.3407915721128
2016-09-06,645.95,663.0,645.0,651.55,,623.9983398771037,704.9366601228962
2016-09-07,653.9,664.0,652.1,655.2,,625.3801506041721,698.9848493958282
2016-09-08,657.0,657.0,645.0,650.3,,626.8392269864988,692.7257730135012
2016-09-09,650.3,651.95,640.8,643.05,,627.0033323066217,687.8416676933781
2016-09-12,638.6,651.0,638.6,639.75,,626.5517708033901,683.8632291966098
2016-09-14,641.0,648.7,635.0,636.95,,626.7672840033943,678.8227159966057
2016-09-15,637.0,641.95,635.0,635.65,,627.2892486674455,673.6707513325546
2016-09-16,637.95,639.95,634.0,635.0,,628.3504502995022,668.2145497004979
2016-09-19,637.85,648.0,635.0,640.3,,630.7909925506258,662.3090074493741
2016-09-20,641.9,646.3,637.4,639.0,,631.6737389040431,658.8662610959568
2016-09-21,641.8,642.0,638.05,639.35,,631.5961567991194,657.2738432008805
2016-09-22,632.55,646.8,632.55,638.5,,630.9787666280864,657.1462333719136
2016-09-23,640.0,648.5,637.0,638.55,,630.8131202868316,657.1818797131685
2016-09-26,638.5,640.0,636.0,638.2,,630.6560223259505,655.7689776740494
2016-09-27,639.95,640.1,635.0,637.75,,630.12217798196,655.2978220180398
2016-09-28,637.0,644.5,635.0,638.35,,629.866481299994,655.298518700006
2016-09-29,638.0,639.95,613.0,614.65,,623.5876886947697,657.8673113052303
2016-09-30,615.0,622.0,613.5,617.95,,620.0341380715873,657.9258619284127
2016-10-03,619.95,627.95,619.95,622.9,660.488,617.8767646985874,657.8132353014126
2016-10-04,623.9,625.4,617.0,618.25,658.9010000000001,615.0015702163449,658.1184297836552
2016-10-05,619.2,625.4,614.5,615.55,657.212,612.4721321649754,657.0478678350246
2016-10-06,617.8,619.95,614.05,614.75,655.646,610.9231909587465,654.5518090412534
2016-10-07,615.95,618.7,611.1,612.35,654.05,608.8564990097251,652.8235009902747
2016-10-10,611.1,615.55,610.0,611.3,652.478,606.4126577339777,652.0923422660225
2016-10-13,610.5,613.9,604.0,605.05,650.9810000000001,602.8375001066292,652.1974998933708
2016-10-14,605.05,611.95,605.05,609.05,649.326,600.5495192956471,651.6954807043528
2016-10-17,605.3,623.7,605.3,618.8,647.964,599.9192678173116,650.6407321826883
