Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2016-09-23,920.0,931.45,860.1,869.0,,,
2016-09-26,860.0,877.75,855.15,870.65,,,
2016-09-27,872.3,874.85,860.0,861.65,,,
2016-09-28,863.0,868.7,859.0,863.5,,,
2016-09-29,863.75,867.5,833.55,845.9,,,
2016-09-30,844.95,854.95,837.5,847.15,,,
2016-10-03,847.5,852.05,840.1,846.65,,,
2016-10-04,844.95,847.5,830.15,833.5,,,
2016-10-05,833.0,836.7,823.75,826.85,,,
2016-10-06,827.5,844.0,827.5,840.6,,,
2016-10-07,842.5,846.6,830.1,832.6,,,
2016-10-10,834.2,854.9,830.2,849.3,,,
2016-10-13,848.95,849.3,841.7,846.3,,,
2016-10-14,846.75,854.8,840.05,851.65,,,
2016-10-17,849.95,855.3,842.55,853.0,,,
2016-10-18,853.9,855.0,850.05,853.45,,,
2016-10-19,855.7,864.95,853.05,855.2,,,
2016-10-20,857.5,862.0,852.5,860.25,,,
2016-10-21,861.95,861.95,850.0,852.65,,,
2016-10-24,854.85,854.85,846.9,850.65,,827.5253089265598,873.5246910734402
2016-10-25,850.05,852.0,845.0,846.35,,828.0524641148627,870.7325358851372
2016-10-26,847.5,847.5,840.05,843.6,,829.0761951408257,867.0038048591742
2016-10-27,840.05,850.0,832.05,838.8,,828.6462570718854,865.1487429281146
2016-10-28,834.95,835.1,823.0,828.1,,826.789691056669,863.4653089433309
2016-10-30,827.5,836.0,827.5,834.3,,825.5892779259096,863.5057220740904
2016-11-01,830.05,834.65,816.0,821.2,,821.6708677799958,864.8291322200042
2016-11-02,819.5,819.95,801.0,808.15,,814.7356570616207,867.9143429383794
2016-11-03,808.2,812.05,782.5,789.2,,803.8190946559881,874.4009053440119
2016-11-04,789.0,794.85,761.55,766.4,,788.2509265111107,883.9240734888892
2016-11-07,765.0,780.65,763.05,772.55,,777.1403939328227,888.2296060671774
2016-11-08,770.0,785.0,770.0,784.05,,770.6054980042138,889.9095019957863
2016-11-09,760.0,785.0,751.0,784.35,,764.70992312246,889.3100768775399
2016-11-10,787.5,807.9,786.0,789.8,,760.4601961040368,887.9098038959634
2016-11-11,792.0,794.95,771.0,784.5,,756.1271260077511,885.5278739922488
2016-11-15,784.0,784.0,751.0,753.0,,746.3184587478759,885.3365412521243
2016-11-16,760.0,766.95,750.0,755.2,,738.764214177967,883.0657858220329
2016-11-17,764.9,768.25,754.5,755.25,,732.8419423108589,878.9930576891409
2016-11-18,755.2,824.45,755.2,815.8,,735.0049570534417,872.3850429465582
2016-11-21,810.0,813.0,770.0,791.8,,735.8097065035668,865.4952934964331
2016-11-22,806.0,816.5,780.05,813.0,,737.9793722597582,859.5606277402418
2016-11-23,819.2,820.95,805.0,811.7,,740.103698412912,853.9713015870881
2016-11-24,809.4,833.0,799.8,830.1,,741.469543161018,851.2554568389819
