Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2001-09-10,7.5,8.45,7.25,8.05,,,
2001-09-11,8.2,8.4,7.8,7.8,,,
2001-09-12,7.25,7.5,7.25,7.35,,,
2001-09-13,7.4,7.5,7.25,7.4,,,
2001-09-14,6.9,7.1,6.9,6.9,,,
2001-09-17,6.5,6.5,6.35,6.35,,,
2001-09-18,6.35,6.8,6.35,6.55,,,
2001-09-19,6.7,6.95,6.7,6.85,,,
2001-09-20,7.0,7.0,6.7,6.85,,,
2001-09-21,6.4,7.2,6.4,7.0,,,
2001-09-24,7.3,7.3,7.05,7.1,,,
2001-09-25,7.3,7.3,6.9,6.9,,,
2001-09-26,7.3,7.3,6.9,6.9,,,
2001-09-27,7.05,7.1,6.9,7.0,,,
2001-09-28,7.0,7.05,6.45,6.45,,,
2001-10-01,6.6,6.85,6.6,6.75,,,
2001-10-03,6.7,6.9,6.7,6.85,,,
2001-10-04,7.0,7.0,6.35,6.55,,,
2001-10-05,6.8,6.8,6.55,6.65,,,
2001-10-08,6.6,6.7,6.4,6.4,,6.047969199608004,7.817030800391996
2001-10-09,6.5,6.55,6.4,6.45,,6.116597403470441,7.588402596529558
2001-10-10,6.6,6.6,6.3,6.4,,6.1701060779290255,7.394893922070976
2001-10-11,6.5,6.5,6.25,6.3,,6.1429466983762335,7.317053301623769
2001-10-12,6.4,6.4,6.1,6.15,,6.115684813547147,7.219315186452852
2001-10-15,6.4,6.4,6.25,6.3,,6.073795150016666,7.201204849983334
2001-10-16,6.3,6.45,6.3,6.4,,6.081241978745911,7.19875802125409
2001-10-17,6.6,6.6,6.4,6.5,,6.076603161750852,7.198396838249148
2001-10-18,6.5,6.55,6.4,6.4,,6.053892073426908,7.176107926573092
2001-10-19,6.75,6.75,6.35,6.35,,6.02842327233705,7.151576727662952
2001-10-22,6.6,6.7,6.6,6.6,,6.042443567498529,7.097556432501472
2001-10-23,6.7,6.85,6.6,6.65,,6.080172773271125,7.014827226728874
2001-10-24,6.7,6.9,6.5,6.6,,6.094472122973175,6.970527877026826
2001-10-25,6.6,6.6,6.4,6.45,,6.106593453070901,6.913406546929099
2001-10-29,6.6,6.6,6.45,6.5,,6.153972890281751,6.816027109718248
2001-10-30,6.4,6.5,6.3,6.35,,6.14376699808177,6.816233001918229
2001-10-31,6.5,6.5,6.25,6.3,,6.137508223789889,6.777491776210112
2001-11-01,6.5,6.5,6.3,6.35,,6.168372837643052,6.696627162356948
2001-11-02,6.45,6.8,6.35,6.6,,6.16530231349665,6.704697686503351
