Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-02,87.25,89.0,87.25,89.0,,,
1995-01-03,88.75,88.75,87.5,87.5,,,
1995-01-05,86.25,86.25,85.0,85.0,,,
1995-01-06,83.75,83.75,83.75,83.75,,,
1995-01-09,84.35,84.35,82.5,83.4,,,
1995-01-10,82.5,82.5,82.5,82.5,,,
1995-01-11,81.25,82.55,81.25,82.55,,,
1995-01-12,76.5,79.7,76.5,79.7,,,
1995-01-17,81.25,81.25,81.25,81.25,,,
1995-01-18,82.5,82.5,82.5,82.5,,,
1995-01-19,80.0,80.0,80.0,80.0,,,
1995-01-20,81.25,82.5,81.25,82.5,,,
1995-01-24,80.0,81.25,80.0,81.25,,,
1995-01-25,81.25,84.0,81.25,83.6,,,
1995-01-27,85.0,85.25,85.0,85.25,,,
1995-01-30,85.0,85.75,85.0,85.75,,,
1995-01-31,87.5,87.5,85.0,87.4,,,
1995-02-01,87.5,87.5,86.75,86.75,,,
1995-02-02,86.25,87.5,86.25,87.5,,,
1995-02-03,86.75,88.75,86.25,88.75,,78.5988424770451,89.99115752295491
1995-02-07,87.5,87.5,87.5,87.5,,78.74965891566646,89.69034108433354
1995-02-08,87.5,88.25,86.25,88.25,,78.68319097980462,89.8318090201954
1995-02-09,88.1,88.25,88.1,88.25,,78.57179739713042,90.26820260286958
1995-02-10,88.1,88.1,88.1,88.1,,78.57459510304889,90.70040489695111
1995-02-13,88.75,90.0,81.0,90.0,,78.4843010657506,91.4506989342494
1995-02-14,87.5,90.6,87.5,87.5,,78.74933707850928,91.68566292149072
1995-02-15,87.25,87.25,87.25,87.25,,79.05122751137056,91.85377248862945
1995-02-16,87.5,90.0,87.5,87.5,,79.98999041683376,91.69500958316624
1995-02-17,86.25,86.25,84.9,85.0,,80.56986697675057,91.49013302324943
1995-02-21,80.0,80.0,80.0,80.0,,80.00764109068618,91.80235890931382
1995-02-22,80.0,80.0,80.0,80.0,,80.00764109068618,91.80235890931382
1995-02-24,85.0,85.0,85.0,85.0,,80.33398107631766,91.72601892368235
