Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-06-30,37.1,37.45,35.9,36.6,,,
2010-07-01,36.0,36.45,35.9,36.4,,,
2010-07-02,36.4,36.95,35.55,36.0,,,
2010-07-05,35.75,35.9,35.45,35.6,,,
2010-07-06,36.1,36.2,34.6,34.95,,,
2010-07-07,35.6,35.6,34.5,35.15,,,
2010-07-08,35.5,35.6,35.0,35.2,,,
2010-07-09,35.4,35.9,34.75,35.5,,,
2010-07-12,35.5,36.85,35.35,36.0,,,
2010-07-13,35.7,36.45,35.6,36.0,,,
2010-07-14,36.1,37.1,35.9,36.25,,,
2010-07-15,36.5,36.5,35.85,36.25,,,
2010-07-16,36.2,38.0,36.0,37.5,,,
2010-07-19,37.5,39.45,37.25,37.5,,,
2010-07-20,38.4,39.2,37.9,38.4,,,
2010-07-21,39.9,40.45,38.6,39.6,,,
2010-07-22,40.25,41.0,39.4,39.8,,,
2010-07-23,40.2,41.4,40.0,40.7,,,
2010-07-26,41.0,41.75,40.75,41.4,,,
2010-07-27,41.75,44.25,41.4,43.75,,32.577380630877535,42.277619369122455
2010-07-28,44.2,46.2,43.65,45.15,,31.924978255121083,43.785021744878925
2010-07-29,45.75,47.5,45.4,46.5,,31.332939523003347,45.38706047699665
2010-07-30,47.0,48.5,46.5,47.8,,30.856662909333515,47.04333709066649
2010-08-02,48.65,57.4,48.5,57.4,,28.64699198723413,51.43300801276587
2010-08-03,59.8,63.15,56.55,57.9,,27.550944060367115,54.824055939632885
2010-08-04,58.2,61.4,57.55,59.5,,26.82809739592488,57.98190260407511
2010-08-05,59.7,60.0,56.1,56.8,,27.040416825304636,59.92958317469537
2010-08-06,57.4,58.7,55.0,57.0,,27.513327226946043,61.60667277305396
2010-08-09,57.6,59.2,57.5,58.9,,28.015041504318116,63.39495849568188
2010-08-10,59.7,61.7,57.8,60.55,,28.679936373282555,65.18506362671744
2010-08-11,61.0,63.2,58.0,59.2,,29.76962330434345,66.39037669565654
2010-08-12,58.5,59.5,58.0,58.7,,31.195674539694817,67.20932546030518
2010-08-13,59.15,59.8,58.25,58.6,,32.66999621254669,67.84500378745331
2010-08-16,58.95,59.9,57.05,58.1,,34.44892039369428,68.12607960630572
2010-08-17,58.5,59.0,57.55,57.75,,36.3357332885092,68.17426671149082
2010-08-18,58.5,58.5,57.5,57.75,,38.24282471779912,68.0821752822009
2010-08-19,58.25,59.45,57.6,58.75,,40.40603975794625,67.81396024205375
2010-08-20,58.75,59.35,57.95,58.65,,42.72386625852361,67.29113374147637
