Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2020-08-21,106.45,111.75,106.45,111.75,,,
2020-08-24,117.3,117.3,117.3,117.3,,,
2020-08-25,123.15,123.15,123.15,123.15,,,
2020-08-26,129.3,129.3,117.0,124.0,,,
2020-08-27,123.0,123.0,117.8,117.8,,,
2020-08-28,111.95,117.0,111.95,111.95,,,
2020-08-31,107.2,107.3,106.4,106.4,,,
2020-09-01,101.1,110.5,101.1,105.7,,,
2020-09-02,101.1,110.0,101.1,106.45,,,
2020-09-03,107.0,111.75,103.1,111.75,,,
2020-09-04,107.0,120.9,105.3,115.25,,,
2020-09-07,115.65,118.7,112.65,113.35,,,
2020-09-08,114.6,116.25,107.45,110.0,,,
2020-09-09,106.0,114.95,105.6,111.45,,,
2020-09-10,113.25,115.95,111.0,111.7,,,
2020-09-11,120.45,133.95,120.3,131.55,,,
2020-09-14,127.0,129.35,120.15,120.9,,,
2020-09-15,122.0,125.4,117.3,118.75,,,
2020-09-16,119.9,122.0,116.9,120.7,,,
2020-09-17,120.0,121.35,116.1,117.7,,102.1176512360426,128.6423487639574
2020-09-18,118.6,120.9,115.25,116.85,,102.47077015665477,128.79922984334522
2020-09-21,117.95,119.3,107.85,110.9,,102.01078222794304,128.6192177720569
2020-09-22,110.95,112.4,107.0,109.05,,101.56204795258739,127.65795204741264
2020-09-23,110.9,115.9,108.55,110.95,,101.5997504603706,126.31524953962942
2020-09-24,110.0,112.95,108.0,108.75,,101.07710692370624,125.93289307629375
2020-09-25,110.1,112.0,109.25,109.9,,100.88710001270012,125.91789998729989
2020-09-28,111.55,119.5,111.35,116.55,,101.77273246740046,126.04726753259956
2020-09-29,117.0,117.5,111.75,113.45,,102.7851050779125,125.80989492208747
2020-09-30,113.0,117.9,112.75,115.35,,103.83517387679753,125.64982612320246
2020-10-01,116.7,119.1,114.35,115.9,,104.12478576849887,125.77521423150114
2020-10-05,116.05,117.65,113.6,114.0,,104.05514714288476,125.71985285711524
2020-10-06,114.15,117.3,114.1,115.55,,104.18622542691027,125.80877457308976
2020-10-07,115.75,115.75,111.95,114.3,,104.65155531538117,125.77344468461884
2020-10-08,115.45,115.9,112.1,112.65,,104.78820221712489,125.7567977828751
2020-10-09,113.15,113.6,109.55,110.7,,104.65724039475054,125.78775960524945
2020-10-12,111.25,112.8,107.6,108.55,,106.37147648634318,121.7735235136568
2020-10-13,109.6,113.4,108.8,112.65,,106.64560877833816,120.67439122166186
2020-10-14,113.6,113.6,109.5,109.95,,106.45022195808141,119.98977804191858
2020-10-15,110.0,114.5,106.3,107.15,,106.22783244613854,118.85716755386144
