Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2012-03-09,1408.0,1428.55,1282.2,1296.7,,,
2012-03-12,1295.95,1329.9,1212.25,1234.05,,,
2012-03-13,1234.0,1308.5,1234.0,1293.15,,,
2012-03-14,1298.8,1329.0,1263.1,1272.6,,,
2012-03-15,1272.0,1284.0,1257.0,1268.05,,,
2012-03-16,1272.0,1325.0,1242.85,1297.2,,,
2012-03-19,1270.0,1310.0,1264.0,1295.25,,,
2012-03-20,1291.3,1303.0,1271.2,1279.3,,,
2012-03-21,1277.8,1294.0,1262.1,1287.25,,,
2012-03-22,1277.0,1294.7,1253.85,1258.5,,,
2012-03-23,1264.0,1283.2,1239.95,1248.65,,,
2012-03-26,1247.0,1265.0,1246.05,1259.4,,,
2012-03-27,1262.05,1290.0,1250.05,1257.5,,,
2012-03-28,1257.5,1260.0,1231.4,1238.1,,,
2012-03-29,1238.0,1254.8,1234.15,1249.75,,,
2012-03-30,1254.5,1280.65,1247.65,1270.25,,,
2012-04-02,1276.35,1316.0,1269.85,1306.65,,,
2012-04-03,1314.0,1323.75,1300.35,1308.1,,,
2012-04-04,1305.0,1308.0,1282.25,1291.9,,,
2012-04-09,1287.95,1288.0,1260.15,1263.55,,1228.77885202011,1318.8111479798902
2012-04-10,1265.25,1272.0,1248.65,1257.2,,1227.5757092591834,1316.0642907408164
2012-04-11,1262.0,1294.95,1255.1,1270.75,,1233.1174942994633,1314.1925057005367
2012-04-12,1274.7,1288.6,1261.0,1265.65,,1232.6718216844843,1311.8881783155157
2012-04-13,1270.6,1272.5,1241.0,1246.5,,1229.7253556634153,1312.2246443365846
2012-04-16,1250.0,1270.0,1243.15,1263.95,,1229.4185232237232,1312.1214767762767
2012-04-17,1270.0,1280.0,1262.05,1269.65,,1229.9570193819202,1308.8279806180797
2012-04-18,1273.55,1278.0,1259.0,1265.95,,1230.4061029465572,1305.4488970534428
2012-04-19,1266.9,1269.9,1258.1,1260.7,,1229.741861429937,1304.253138570063
2012-04-20,1262.7,1263.65,1245.0,1249.5,,1228.3528653542144,1301.8671346457859
2012-04-23,1236.1,1254.95,1201.1,1213.5,,1219.4857097737429,1306.2342902262574
2012-04-24,1201.2,1226.0,1201.2,1213.45,,1212.7290974807547,1309.470902519245
2012-04-25,1202.1,1227.0,1196.1,1200.5,,1202.6955895223696,1313.6144104776308
2012-04-26,1198.0,1198.0,1151.9,1166.1,,1184.5071788963994,1322.6628211036007
2012-04-27,1152.05,1172.0,1102.0,1111.05,,1153.2726582141547,1341.1923417858454
2012-04-28,1116.45,1148.9,1100.0,1136.65,,1135.4319025009934,1347.7230974990064
2012-04-30,1136.0,1142.3,1090.15,1094.55,,1109.01922138139,1356.56577861861
2012-05-02,1100.1,1120.0,1100.0,1109.9,,1092.7880832717995,1353.1219167282009
2012-05-03,1119.0,1129.0,1055.0,1057.65,,1067.2204111431693,1353.644588856831
2012-05-04,1055.05,1061.85,1007.0,1011.65,,1033.310987696152,1359.529012303848
2012-05-07,1005.15,1038.0,980.0,1029.6,,1008.8293162805977,1360.615683719402
2012-05-08,1029.55,1042.5,1017.15,1021.35,,986.2054451915309,1359.6545548084694
2012-05-09,1020.0,1037.0,1015.05,1032.1,,970.1377127352731,1351.857287264727
2012-05-10,1036.2,1049.9,1028.0,1032.25,,956.8749508927078,1341.780049107292
2012-05-11,1031.4,1033.5,1000.0,1004.5,,940.1249446078764,1334.3300553921235
2012-05-14,1008.7,1016.95,995.0,1002.3,,927.7251840310835,1320.5648159689165
2012-05-15,997.0,1005.0,980.0,999.15,,919.1975864193214,1302.0424135806788
2012-05-16,994.8,996.7,978.7,984.0,,911.8563760299958,1281.1886239700043
2012-05-17,988.85,998.5,960.6,964.3,,905.1159281942566,1258.289071805743
2012-05-18,959.95,960.0,940.0,946.3,,898.7709094214317,1234.3140905785683
2012-05-21,947.0,958.4,931.2,934.7,1181.826,889.9927492889332,1215.2122507110669
2012-05-22,948.95,951.95,900.1,910.5,1174.102,881.6336181147432,1193.2763818852566
2012-05-23,905.0,908.9,871.1,878.05,1166.982,869.8770895911781,1172.7879104088215
2012-05-24,878.95,921.5,876.1,887.55,1158.87,860.8518700616186,1153.9581299383817
2012-05-25,901.3,913.75,888.0,896.95,1151.357,850.7470695918164,1142.6529304081837
2012-05-28,905.9,905.9,887.0,893.15,1143.859,847.3676086570645,1121.6823913429355
2012-05-29,894.0,905.7,889.1,898.9,1135.893,842.8175561274003,1106.6674438726
2012-05-30,892.5,898.9,860.0,862.5,1127.238,837.6071224012147,1087.1378775987855
2012-05-31,858.0,948.9,838.0,936.55,1120.3829999999998,839.5215588529716,1073.1134411470282
2012-06-01,930.0,995.0,930.0,955.5,1113.7479999999998,839.651844477673,1067.368155522327
2012-06-04,948.05,988.9,928.6,968.6,1107.95,842.0461263490735,1058.873873650926
2012-06-05,969.15,1008.0,962.2,995.15,1102.88,843.7515779604834,1054.5484220395167
2012-06-06,1005.0,1017.9,991.1,996.8,1097.628,846.7612134430848,1048.0087865569153
2012-06-07,1002.0,1048.9,1002.0,1044.25,1093.363,845.1125644305093,1050.8574355694907
2012-06-08,1035.0,1047.4,1021.05,1032.15,1089.2440000000001,842.6267108004331,1056.108289199567
2012-06-11,1038.95,1048.0,1001.0,1009.45,1084.438,842.1927942979086,1057.2572057020916
2012-06-12,1005.0,1034.0,1001.0,1017.75,1079.388,841.0217794296336,1060.2882205703663
2012-06-13,1024.95,1040.45,1020.1,1025.3,1073.761,838.9639757523559,1066.4760242476443
2012-06-14,1026.0,1046.7,1007.0,1018.9,1067.977,837.9643278612504,1072.9356721387499
2012-06-15,1024.25,1038.95,1005.0,1014.3,1062.425,838.5765440318381,1079.123455968162
2012-06-18,1025.05,1028.8,1001.0,1002.5,1057.204,841.0143704361286,1083.4656295638715
2012-06-19,1008.0,1040.0,1001.0,1017.15,1052.403,846.5472982965221,1088.597701703478
2012-06-20,1020.5,1034.75,1013.05,1015.6,1047.3,859.3572822277202,1089.54271777228
2012-06-21,1017.05,1027.0,1006.0,1011.95,1042.226,872.089729426134,1089.2502705738657
2012-06-22,1011.0,1058.0,1011.0,1046.6,1038.228,883.3028057003216,1093.0021942996786
2012-06-25,1057.0,1069.75,1032.5,1041.4,1033.777,898.3080473328281,1092.821952667172
2012-06-26,1039.55,1050.5,1025.05,1032.15,1029.027,915.1263399678475,1089.3286600321526
2012-06-27,1032.0,1042.4,1026.0,1029.5,1024.2979999999998,952.7902816445325,1068.3647183554674
2012-06-28,1031.0,1052.95,1025.05,1038.3,1019.85,968.352410154441,1062.977589845559
2012-06-29,1045.1,1075.0,1040.6,1060.6,1016.072,978.6680937832771,1063.1719062167226
2012-07-02,1066.0,1074.9,1055.05,1062.5,1013.052,987.1429582033993,1064.0870417966007
2012-07-03,1066.25,1079.0,1063.0,1064.85,1010.08,989.6329451180856,1068.5670548819144
