Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2019-04-15,958.0,982.7,935.0,959.85,,,
2019-04-16,995.0,1005.6,971.75,985.35,,,
2019-04-18,984.8,984.8,950.05,970.45,,,
2019-04-22,963.0,963.0,938.7,945.5,,,
2019-04-23,950.0,967.25,939.7,952.85,,,
2019-04-24,954.0,977.4,945.0,958.75,,,
2019-04-25,965.0,976.4,946.2,949.75,,,
2019-04-26,947.2,954.8,935.0,948.8,,,
2019-04-30,941.0,959.4,927.1,947.85,,,
2019-05-02,956.7,957.95,933.9,947.05,,,
2019-05-03,945.05,952.4,936.0,950.15,,,
2019-05-06,933.1,952.4,927.0,943.15,,,
2019-05-07,942.2,948.0,928.0,930.7,,,
2019-05-08,931.05,942.0,930.6,938.05,,,
2019-05-09,938.0,941.0,925.05,939.3,,,
2019-05-10,940.1,948.0,932.1,946.0,,,
2019-05-13,947.85,947.85,907.0,921.2,,,
2019-05-14,925.0,925.0,907.0,913.0,,,
2019-05-15,918.0,935.35,908.85,931.6,,,
2019-05-16,925.95,930.0,917.1,924.8,,911.8355408442249,978.5794591557753
2019-05-17,922.65,928.7,916.1,919.95,,908.772760484511,977.652239515489
2019-05-20,928.0,969.0,919.0,964.55,,912.1127616707822,972.2322383292178
2019-05-21,964.0,977.0,940.7,974.95,,911.3940116563685,973.4009883436311
2019-05-22,980.0,980.0,946.2,955.55,,911.3635882960998,974.4364117039001
2019-05-23,960.0,970.0,935.1,940.45,,911.0814777677904,973.4785222322096
2019-05-24,935.0,952.4,930.65,950.0,,911.379713815784,972.3052861842159
2019-05-27,955.0,975.0,945.15,972.1,,909.7591027388211,976.160897261179
2019-05-28,975.0,978.0,963.05,966.8,,909.0553935293194,978.6646064706806
2019-05-29,967.95,969.0,961.7,965.2,,908.6620992455519,980.792900754448
2019-05-30,955.15,968.4,955.1,960.2,,908.6677431938548,982.1022568061452
2019-05-31,970.0,970.0,957.85,966.45,,908.3318353397364,984.0681646602637
2019-06-03,960.35,973.0,960.25,970.2,,908.238374039984,986.866625960016
2019-06-04,970.2,973.0,962.2,970.6,,909.7872120231756,989.3077879768244
2019-06-06,972.0,974.85,950.8,965.75,,910.9294833374374,990.9355166625628
2019-06-07,969.95,969.95,956.95,963.15,,912.1601272661655,992.0898727338345
2019-06-10,962.0,965.0,927.4,962.45,,912.8365555032536,993.0584444967463
2019-06-11,950.0,970.0,945.1,966.3,,917.6149814249252,992.7900185750748
2019-06-12,950.1,972.0,950.1,967.9,,925.697237251172,990.1977627488279
2019-06-13,950.1,977.0,950.1,970.45,,929.7079802566249,990.0720197433753
2019-06-14,970.45,980.0,950.0,973.6,,936.5184685093124,988.1415314906875
2019-06-17,961.0,974.35,930.0,948.65,,945.9087877535718,981.6212122464284
2019-06-18,933.0,965.9,933.0,960.4,,945.6433399142194,981.4716600857804
2019-06-19,951.0,981.0,931.1,970.35,,945.9182019700748,980.7367980299254
2019-06-20,953.1,990.0,953.1,986.3,,945.078691602524,984.651308397476
2019-06-21,975.0,995.95,967.1,991.5,,947.7217009555329,987.1132990444673
2019-06-24,980.0,989.85,966.0,971.9,,950.533656439039,986.4913435609611
2019-06-25,971.9,974.75,957.75,971.95,,950.5323336190162,986.4776663809836
2019-06-26,964.15,973.75,963.4,967.8,,950.5967472424152,986.5132527575847
2019-06-27,965.0,972.7,953.0,954.9,,949.112059082709,986.9679409172909
2019-06-28,950.95,976.0,948.05,971.3,956.916,949.9867420708457,987.2032579291541
2019-07-01,965.0,974.0,949.0,953.7,956.793,948.2016141348756,987.7133858651246
2019-07-02,947.95,965.0,946.15,956.55,956.2170000000001,946.911526508682,987.638473491318
2019-07-03,951.95,987.8,951.95,983.6,956.48,946.3224294901829,989.527570509817
2019-07-04,973.0,1005.7,973.0,988.8,957.3459999999999,945.5865952651202,992.5684047348798
2019-07-05,991.65,996.95,974.0,977.4,957.837,946.1919046263645,993.3880953736355
2019-07-08,977.4,977.4,953.0,969.2,958.046,946.7796617139483,993.4753382860516
2019-07-09,955.15,968.25,955.1,962.3,958.297,946.3739892548671,993.481010745133
2019-07-10,967.8,1003.0,954.95,994.95,959.22,945.2412555885204,997.3187444114795
2019-07-11,991.2,1024.9,980.1,1011.25,960.488,941.7496708251153,1004.8903291748845
2019-07-12,1009.9,1080.0,1003.1,1068.2,962.9110000000001,925.1569898160839,1030.943010183916
2019-07-15,1064.0,1064.0,1030.0,1043.6,964.78,924.2706687712013,1041.3243312287984
2019-07-16,1043.6,1058.7,1030.0,1032.0,966.557,924.9325954962596,1047.8224045037402
2019-07-17,1032.0,1055.0,1030.15,1038.95,968.7220000000001,924.5869004530527,1055.028099546947
2019-07-18,1035.05,1050.0,1025.0,1026.75,970.4960000000001,924.5899164031947,1059.070083596805
2019-07-19,1027.05,1039.8,1010.0,1031.3,972.3359999999999,924.3037663790521,1063.3362336209477
2019-07-22,1031.3,1036.65,1005.0,1021.85,973.8529999999998,926.5285680242499,1066.1064319757502
2019-07-23,1015.0,1060.0,1010.05,1052.15,976.472,927.2929121233242,1073.3620878766758
2019-07-24,1067.0,1067.0,1032.2,1049.5,979.202,929.9136206371808,1078.9113793628192
2019-07-25,1068.75,1068.75,1024.0,1029.95,981.1690000000001,936.6668285106822,1079.6631714893178
2019-07-26,1015.25,1027.9,1010.0,1012.2,982.9169999999999,940.8436074092596,1079.5763925907404
2019-07-29,1014.95,1049.0,1005.0,1016.6,984.85,949.2741472886742,1077.4358527113257
2019-07-30,1019.95,1019.95,1005.0,1005.7,985.673,957.3836059672113,1074.2413940327885
2019-07-31,1000.75,1049.8,995.0,1018.95,986.553,961.1494894023109,1074.010510597689
2019-08-01,1000.0,1040.0,1000.0,1035.0,988.1419999999999,964.6501250049043,1075.1298749950956
2019-08-02,1010.0,1045.0,1010.0,1030.3,989.9390000000001,970.9141035784099,1074.1558964215901
2019-08-05,1010.8,1029.0,1005.0,1026.7,991.4730000000001,980.3023673164297,1070.5176326835704
2019-08-06,1006.8,1064.95,1006.0,1045.65,992.9440000000001,994.8023050442469,1064.3526949557533
2019-08-07,1059.85,1064.25,1028.8,1042.9,994.466,1000.8294756953642,1063.1205243046356
2019-08-08,1043.0,1062.3,1035.0,1052.35,996.2090000000001,1003.2203569435919,1064.8396430564085
2019-08-09,1059.9,1075.0,1055.0,1060.9,998.2230000000001,1004.4269372086726,1062.9030627913273
2019-08-13,1079.0,1079.0,1025.0,1030.5,999.5040000000001,1004.1242431747314,1061.8957568252686
2019-08-14,1042.7,1043.7,1020.0,1023.75,1000.575,1003.4168922540812,1061.778107745919
2019-08-16,1020.05,1036.0,1015.0,1027.6,1001.715,1002.928211304745,1061.1317886952554
2019-08-19,1015.15,1030.0,1005.0,1011.4,1002.628,1000.7967146179112,1061.7282853820889
2019-08-20,1010.0,1046.0,1009.95,1030.8,1003.9809999999999,1000.7710236003463,1061.7039763996536
2019-08-21,1035.95,1056.0,1021.1,1047.5,1005.682,1001.561872081622,1063.4781279183778
2019-08-22,1057.5,1057.5,1005.05,1042.2,1007.2,1002.0897952142711,1061.955204785729
2019-08-23,1035.15,1050.05,1027.25,1044.3,1008.7280000000001,1002.3837953063991,1061.141204693601
2019-08-26,1036.85,1060.0,1035.0,1040.45,1010.128,1002.6708639388421,1061.9041360611577
2019-08-27,1042.0,1070.0,1025.15,1065.1,1011.9580000000001,1003.477699094572,1066.3873009054282
2019-08-28,1056.05,1080.0,1035.0,1059.2,1014.169,1005.0698548748251,1069.055145125175
2019-08-29,1070.0,1090.0,1041.2,1071.9,1016.3989999999999,1008.3439358571486,1072.4010641428513
2019-08-30,1078.65,1174.0,1067.4,1162.0,1020.232,985.6527249403846,1109.3972750596156
2019-09-03,1162.0,1234.95,1142.3,1212.6,1024.758,960.4887651632258,1152.321234836774
2019-09-04,1209.0,1240.0,1170.0,1214.4,1029.2160000000001,947.4789862015372,1183.741013798463
2019-09-05,1217.9,1229.0,1175.0,1201.75,1033.813,943.1544014253353,1205.5705985746645
2019-09-06,1199.95,1213.0,1175.0,1194.25,1038.259,940.9540771811357,1222.6309228188643
2019-09-09,1196.2,1322.0,1170.0,1303.85,1044.98,924.0150030617672,1265.6649969382327
2019-09-11,1323.0,1360.0,1280.0,1287.65,1051.635,916.7504326679448,1296.4595673320553
2019-09-12,1287.65,1313.05,1240.0,1247.9,1057.167,917.3602131388623,1314.549786861138
2019-09-13,1259.3,1286.35,1237.85,1275.4,1063.601,921.7458123966796,1334.6541876033205
