Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-03,89.0,89.0,89.0,89.0,,,
1995-01-04,90.0,92.0,90.0,92.0,,,
1995-01-06,90.0,90.0,90.0,90.0,,,
1995-01-11,88.0,88.0,88.0,88.0,,,
1995-01-12,88.0,88.0,88.0,88.0,,,
1995-01-17,93.0,93.0,91.8,91.8,,,
1995-01-18,95.0,95.0,95.0,95.0,,,
1995-01-19,96.0,96.0,95.4,95.4,,,
1995-01-20,96.0,96.0,96.0,96.0,,,
1995-01-23,96.0,96.0,93.0,93.0,,,
1995-01-25,88.0,88.0,88.0,88.0,,,
1995-02-09,89.8,89.8,89.8,89.8,,,
1995-02-13,86.0,87.0,86.0,87.0,,,
1995-02-14,86.0,86.0,86.0,86.0,,,
1995-02-16,82.0,82.0,82.0,82.0,,,
1995-02-17,82.0,82.0,82.0,82.0,,,
1995-02-20,83.0,83.0,82.0,82.0,,,
1995-03-01,80.0,80.0,80.0,80.0,,,
1995-03-02,82.0,82.0,78.4,81.8,,,
1995-03-06,84.4,84.4,84.4,84.4,,78.22164326943289,97.89835673056712
1995-03-07,83.0,83.0,83.0,83.0,,77.67939851418627,97.84060148581374
1995-03-08,83.8,83.8,83.4,83.4,,77.27727583398931,97.38272416601069
1995-03-09,84.0,84.0,84.0,84.0,,76.95468362779607,97.10531637220393
1995-03-10,83.0,83.0,80.0,80.0,,76.09222833902024,97.16777166097975
1995-03-14,80.0,81.6,80.0,81.6,,75.56082132880545,97.05917867119456
1995-03-15,83.0,83.0,83.0,83.0,,75.34902345937309,96.39097654062692
1995-03-20,80.0,81.0,80.0,81.0,,75.36836748291384,94.97163251708616
1995-03-21,80.0,80.0,80.0,80.0,,75.61532434771833,93.18467565228168
1995-03-30,78.0,78.0,78.0,78.0,,76.14780734460076,90.85219265539924
1995-04-10,76.0,76.0,76.0,76.0,,76.02770909411959,89.27229090588042
1995-04-11,75.0,75.5,75.0,75.4,,75.14805857509175,88.89194142490824
1995-04-17,75.0,75.0,75.0,75.0,,74.75697196565554,87.80302803434446
1995-04-18,73.0,75.0,73.0,75.0,,74.16472240765866,87.19527759234133
1995-04-24,72.0,72.0,72.0,72.0,,72.88853737898411,87.07146262101587
1995-04-26,69.6,69.6,69.6,69.6,,70.96391068476066,87.75608931523934
1995-05-02,68.0,68.0,68.0,68.0,,68.9578244436457,88.36217555635429
1995-05-03,67.0,67.9,67.0,67.9,,67.27487088585818,88.63512911414182
1995-05-04,67.8,67.8,67.0,67.8,,65.79821188427375,88.89178811572624
1995-05-05,67.4,67.4,67.0,67.0,,64.38310851058844,88.82689148941157
1995-05-08,65.0,65.0,65.0,65.0,,62.94745534101701,88.32254465898299
1995-05-09,61.4,61.4,61.4,61.4,,60.86912945291447,88.24087054708552
1995-05-15,64.0,64.0,64.0,64.0,,59.78915394326768,87.38084605673234
1995-05-16,64.0,64.0,64.0,64.0,,59.07129934980199,86.09870065019803
1995-05-17,64.0,64.0,64.0,64.0,,58.22526471303232,85.34473528696768
1995-05-18,66.0,68.0,66.0,68.0,,58.27321791102449,83.93678208897549
1995-05-22,65.5,65.5,65.5,65.5,,58.47171512686053,81.98828487313945
1995-05-24,65.5,65.5,65.5,65.5,,58.68379569847137,80.22620430152863
1995-05-30,68.0,70.0,68.0,70.0,,59.383226804543,78.526773195457
1995-06-01,69.0,69.0,69.0,69.0,,59.92927538737482,77.08072461262516
1995-06-02,69.0,69.0,69.0,69.0,78.686,60.32860068001921,75.9813993199808
1995-06-06,73.0,73.0,73.0,73.0,78.366,60.61319003491054,75.45680996508945
1995-06-09,71.0,71.0,71.0,71.0,77.946,61.012043394384534,74.65795660561548
1995-06-12,71.0,71.0,71.0,71.0,77.566,61.4961590327604,73.77384096723961
1995-06-13,71.0,71.0,71.0,71.0,77.226,61.581045163043186,73.58895483695683
1995-06-15,71.0,71.4,71.0,71.4,76.89399999999999,61.49255456320446,73.85744543679553
1995-06-16,71.0,72.0,71.0,71.45,76.487,61.43850344499142,74.25649655500857
1995-06-19,72.0,72.0,72.0,72.0,76.027,61.37957946839924,74.72542053160078
1995-06-20,73.0,74.0,73.0,74.0,75.599,61.18219983034678,75.54280016965322
1995-06-21,72.0,72.4,72.0,72.4,75.12700000000001,61.26426983329919,76.00073016670079
1995-06-22,72.0,72.5,72.0,72.5,74.71700000000001,61.65428552210663,76.36071447789335
1995-06-23,74.0,74.5,71.6,74.0,74.43700000000001,62.89495050561615,76.38004949438385
1995-06-26,72.0,74.0,72.0,72.0,74.081,63.77072251870986,76.30427748129013
1995-06-27,72.8,74.0,72.8,74.0,73.821,64.71930033271238,76.35569966728761
1995-06-28,73.0,73.5,73.0,73.5,73.571,65.93791160600927,76.08708839399074
1995-06-29,73.4,74.0,73.4,74.0,73.411,66.27852333610537,76.34647666389463
1995-06-30,73.6,74.0,73.6,73.6,73.243,67.40018175343661,76.03481824656339
1995-07-03,72.5,75.0,72.0,74.8,73.09899999999999,68.7779712823245,75.58702871767551
1995-07-05,72.0,74.0,72.0,74.0,72.979,69.0485794376901,75.71642056230992
1995-07-10,72.5,73.0,72.5,73.0,72.803,69.64682559527976,75.51817440472026
1995-07-11,73.5,73.5,73.0,73.0,72.575,70.37740124942798,75.18759875057202
1995-07-12,74.0,75.0,74.0,75.0,72.415,70.2810277447684,75.48397225523162
1995-07-14,74.5,74.5,74.5,74.5,72.237,70.51910535605201,75.595894643948
1995-07-17,73.0,73.0,73.0,73.0,72.017,70.80998731856963,75.50501268143037
1995-07-18,74.2,74.2,74.2,74.2,71.90100000000001,71.16068094846712,75.4743190515329
1995-07-19,74.15,74.15,74.15,74.15,71.75200000000001,71.4690228442501,75.44097715574989
1995-07-20,73.0,75.0,73.0,75.0,71.59200000000001,71.77033515908519,75.4946648409148
1995-07-21,73.5,73.5,73.5,73.5,71.44200000000001,72.00849874539179,75.4065012546082
1995-07-24,74.55,74.55,72.6,72.6,71.29400000000001,71.87506299104658,75.39993700895343
1995-07-25,73.95,75.0,73.95,74.0,71.214,72.04881788527523,75.38618211472478
1995-07-26,74.6,75.0,74.6,74.8,71.19,72.2004928405723,75.46450715942773
1995-07-31,74.2,75.0,74.2,74.5,71.172,72.1995764413526,75.5154235586474
1995-08-01,74.6,76.0,74.6,75.5,71.182,72.46363349667179,75.60136650332821
