Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2016-07-01,540.0,548.95,518.0,520.3,,,
2016-07-04,523.5,533.9,521.3,531.05,,,
2016-07-05,530.0,532.5,516.25,517.5,,,
2016-07-07,518.75,520.6,504.55,506.2,,,
2016-07-08,506.4,510.75,498.55,502.5,,,
2016-07-11,508.0,511.75,502.0,503.4,,,
2016-07-12,505.4,506.0,495.1,496.75,,,
2016-07-13,497.5,504.25,492.65,500.25,,,
2016-07-14,500.9,509.95,498.0,506.55,,,
2016-07-15,507.45,513.9,502.05,506.8,,,
2016-07-18,507.8,511.8,503.1,509.9,,,
2016-07-19,510.1,514.2,508.0,509.45,,,
2016-07-20,510.1,512.75,509.0,510.1,,,
2016-07-21,510.05,513.75,502.45,503.9,,,
2016-07-22,504.8,509.75,504.0,508.1,,,
2016-07-25,508.45,509.45,503.15,504.55,,,
2016-07-26,506.0,507.25,497.7,499.4,,,
2016-07-27,498.4,503.95,496.6,498.0,,,
2016-07-28,499.7,511.25,496.0,506.35,,,
2016-07-29,507.0,515.6,506.2,508.8,,491.40931901717465,523.5756809828254
2016-08-01,509.0,515.0,504.0,512.35,,491.9808414235631,522.2091585764371
2016-08-02,514.85,521.95,514.0,519.4,,494.761895312312,518.2631046876879
2016-08-03,519.0,523.95,509.1,511.35,,495.37959615436677,517.0304038456333
2016-08-04,513.5,518.5,509.95,517.0,,494.89195686420805,518.5980431357921
2016-08-05,517.95,522.0,514.05,519.55,,494.62982865931593,520.5651713406841
2016-08-08,522.0,532.4,521.0,530.3,,492.6532308490011,525.2317691509988
2016-08-09,530.25,547.3,527.55,540.3,,490.5995506358837,531.6404493641163
2016-08-10,542.0,542.0,532.0,535.1,,490.4016363759796,535.3233636240203
2016-08-11,534.6,538.45,529.6,532.5,,490.2811699131681,538.038830086832
2016-08-12,534.7,539.7,533.0,536.85,,490.01731218835124,541.3076878116489
2016-08-16,536.9,540.0,534.15,537.1,,489.82603205982326,544.2189679401765
2016-08-17,537.25,551.1,537.1,549.35,,488.5079626645854,549.5270373354147
2016-08-18,551.0,573.4,550.95,570.9,,484.0855120559766,560.0294879440235
2016-08-19,573.4,582.0,563.55,577.35,,481.46593116902056,569.9940688309795
2016-08-22,580.7,594.8,575.0,591.55,,477.6279769207991,582.1770230792008
2016-08-23,593.95,603.0,565.1,580.45,,478.24864756063823,589.1463524393617
2016-08-24,580.0,598.0,579.95,595.9,,478.99550059725203,598.0494994027478
2016-08-25,598.0,598.0,585.0,586.75,,482.92239248779566,602.9976075122041
2016-08-26,590.0,598.0,589.95,596.3,,485.52076423807836,609.3942357619219
2016-08-29,598.0,615.0,596.3,613.9,,486.874326182837,618.5506738171629
2016-08-30,616.6,650.0,616.0,641.85,,485.10716043189103,633.2678395681089
2016-08-31,645.0,661.4,640.0,652.25,,483.4155952805386,648.2444047194613
2016-09-01,654.5,658.0,631.55,636.15,,488.13930553317084,656.000694466829
2016-09-02,635.4,649.95,612.0,635.3,,493.72187764227044,662.2481223577294
2016-09-06,640.0,654.7,635.5,651.85,,498.89238810442737,670.3076118955727
2016-09-07,655.9,656.0,640.55,647.0,,504.4033650595532,676.466634940447
2016-09-08,650.0,653.0,645.5,649.35,,509.41302627935136,682.3619737206487
2016-09-09,648.0,653.9,641.3,643.7,,517.3113205593747,685.3236794406253
2016-09-12,635.0,635.0,617.25,619.95,,527.8915045470875,683.4884954529124
2016-09-14,622.5,638.85,622.5,631.35,552.257,539.0038767325722,681.826123267428
2016-09-15,621.0,622.9,606.5,609.95,554.05,551.5104627526528,676.6045372473473
2016-09-16,612.25,619.0,601.2,605.65,555.542,561.9893372573923,671.7556627426078
2016-09-19,609.8,615.0,606.15,607.9,557.35,568.0297155554972,669.415284444503
2016-09-20,609.4,609.4,598.0,602.7,559.28,572.4854118559393,667.4945881440607
2016-09-21,604.7,606.7,601.45,602.95,561.289,574.2332701916397,666.8867298083604
2016-09-22,612.0,621.15,607.0,613.8,563.497,579.7377182562493,664.7172817437506
2016-09-23,618.0,627.8,616.1,619.9,565.96,582.7515213781882,664.1034786218119
2016-09-26,622.4,624.3,617.55,622.05,568.396,588.3331760349856,662.0518239650144
2016-09-27,625.0,636.95,622.15,634.8,570.961,592.6690293288812,661.5659706711187
2016-09-28,637.0,664.95,635.5,661.6,574.057,592.4040892665553,666.6009107334446
2016-09-29,667.7,679.95,639.1,647.2,576.803,592.2222843921444,667.3177156078558
2016-09-30,654.6,666.5,650.35,660.15,579.817,591.472771758197,668.8572282418031
2016-10-03,668.1,674.9,666.7,669.5,583.005,589.3639819387845,674.3010180612155
2016-10-04,673.8,731.9,664.3,722.05,587.3679999999999,577.5582048874478,694.7817951125521
2016-10-05,722.0,722.0,695.05,698.45,591.175,573.8678668804831,703.1321331195169
2016-10-06,703.0,708.75,691.55,698.7,595.058,571.1069876637931,711.063012336207
2016-10-07,702.6,705.7,697.0,703.2,599.134,568.516057610644,719.0389423893558
2016-10-10,706.1,725.0,703.2,716.9,603.512,565.3793250328013,729.4956749671987
2016-10-13,718.0,718.0,689.3,691.35,607.212,567.7802506983691,734.2347493016308
2016-10-14,696.95,729.9,694.0,725.15,611.539,566.758783813841,744.636216186159
2016-10-17,729.9,774.0,729.1,758.85,616.469,565.7966743927458,760.4883256072543
2016-10-18,763.4,766.25,747.0,755.5,621.191,568.950487387394,772.319512612606
2016-10-19,759.8,767.0,751.0,760.3,626.17,573.5683904908254,782.9416095091746
2016-10-20,763.0,765.8,753.4,759.1,631.012,581.7870206755398,790.3629793244603
2016-10-21,762.4,803.25,756.45,789.5,636.411,589.0685302086906,801.7364697913092
2016-10-24,793.3,797.5,786.0,791.15,641.628,597.0134928976819,811.5265071023183
2016-10-25,790.0,794.6,766.1,769.1,646.2040000000001,608.5027065875339,814.9572934124659
2016-10-26,765.25,785.0,762.05,764.7,650.7959999999999,622.2228880116265,815.5021119883734
2016-10-27,764.7,768.9,748.0,752.85,655.203,635.6132954674852,813.916704532515
2016-10-28,757.7,774.35,754.4,759.8,659.6619999999999,644.4402189846359,814.909781015364
2016-10-30,766.9,770.0,763.0,767.65,664.273,658.3423213892892,813.0526786107108
2016-11-01,773.5,780.0,767.35,774.5,668.7760000000001,670.9764108452936,811.8535891547064
