Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2006-12-26,291.0,293.4,282.55,288.95,,,
2006-12-27,288.3,293.2,285.95,287.75,,,
2006-12-28,290.0,290.0,282.0,285.65,,,
2006-12-29,287.0,306.1,286.0,303.75,,,
2007-01-02,307.0,309.9,301.6,304.0,,,
2007-01-03,304.95,316.7,299.4,315.15,,,
2007-01-04,317.0,320.0,307.75,309.75,,,
2007-01-05,308.2,314.0,298.0,301.9,,,
2007-01-08,300.9,300.9,288.15,290.4,,,
2007-01-09,290.0,294.8,279.55,282.45,,,
2007-01-10,283.25,290.9,279.05,283.1,,,
2007-01-11,284.0,303.9,280.0,300.95,,,
2007-01-12,304.7,306.95,294.15,295.45,,,
2007-01-15,297.5,303.4,291.2,293.45,,,
2007-01-16,296.7,303.25,295.0,297.75,,,
2007-01-17,300.05,301.5,295.1,296.2,,,
2007-01-18,297.95,300.95,287.0,291.55,,,
2007-01-19,292.0,295.6,285.05,291.0,,,
2007-01-22,297.6,297.6,282.65,290.3,,,
2007-01-23,290.0,292.0,281.25,283.45,,276.56268592851995,312.73231407148
2007-01-24,284.9,287.9,280.5,282.25,,275.54786711341194,313.07713288658806
2007-01-25,285.0,288.05,282.0,284.0,,275.01254883659124,313.23745116340876
2007-01-29,284.0,293.45,284.0,288.15,,275.3392957074014,313.1607042925985
2007-01-31,288.0,290.4,279.0,279.85,,273.657661604176,312.4523383958239
2007-02-01,280.0,292.9,280.0,290.55,,273.66208404083363,311.10291595916635
2007-02-02,295.0,304.45,292.0,302.4,,275.59752504666994,307.89247495333007
2007-02-05,305.6,315.6,303.85,313.05,,274.94131056761796,308.878689432382
2007-02-06,315.0,330.0,315.0,326.35,,270.54176424161307,315.72323575838703
2007-02-07,326.5,328.0,311.55,315.9,,269.68801535624914,319.1269846437508
2007-02-08,311.1,319.45,305.0,312.45,,270.6090649537472,321.20593504625276
2007-02-09,319.0,319.0,288.5,294.25,,271.8733861106228,321.05661388937716
2007-02-12,295.0,295.0,273.75,276.5,,269.2014539582725,321.2835460417274
2007-02-13,275.55,294.9,268.8,273.9,,266.43173857128085,321.8982614287192
2007-02-14,272.85,296.7,267.5,294.15,,266.46877116621806,321.9312288337819
2007-02-15,298.0,339.9,298.0,306.5,,266.39900676824277,322.8759932317572
2007-02-19,309.25,311.25,300.4,302.6,,266.5002509004158,323.4147490995843
2007-02-20,305.0,305.0,290.0,292.6,,266.57535471240095,323.44464528759903
2007-02-21,292.6,299.35,287.85,292.1,,266.6587719949712,323.4712280050288
2007-02-22,295.0,295.0,281.1,284.05,,265.99027193682844,323.51472806317156
2007-02-23,286.7,286.95,271.15,275.4,,264.7098955893593,323.99010441064075
2007-02-26,275.0,282.9,270.0,280.5,,264.46209599355456,324.0629040064454
2007-02-27,295.0,295.0,276.3,278.6,,263.70669865418955,324.27830134581046
2007-02-28,278.0,278.0,255.0,259.0,,258.49262547709264,326.5773745229074
