Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2011-05-06,196.6,198.9,161.4,175.9,,,
2011-05-09,174.0,179.75,168.75,171.35,,,
2011-05-10,171.0,177.4,169.5,176.35,,,
2011-05-11,177.0,178.7,172.4,175.1,,,
2011-05-12,174.0,174.4,165.05,169.05,,,
2011-05-13,168.0,170.7,165.3,166.05,,,
2011-05-16,165.85,165.85,159.1,160.5,,,
2011-05-17,161.0,162.0,155.8,159.9,,,
2011-05-18,159.5,163.0,158.2,159.15,,,
2011-05-19,160.15,160.3,155.0,155.5,,,
2011-05-20,156.0,162.4,155.15,158.0,,,
2011-05-23,157.85,159.9,155.5,158.0,,,
2011-05-24,158.0,162.25,156.6,161.2,,,
2011-05-25,160.6,163.8,154.75,155.45,,,
2011-05-26,157.1,160.4,156.0,157.6,,,
2011-05-27,158.9,175.0,158.9,172.9,,,
2011-05-30,171.45,176.9,171.45,175.6,,,
2011-05-31,176.0,176.9,171.05,175.45,,,
2011-06-01,175.75,181.75,172.95,180.85,,,
2011-06-02,179.9,183.2,175.1,175.8,,149.75812075792444,184.21187924207553
2011-06-03,174.0,178.85,171.35,177.9,,149.61866847783696,184.551331522163
2011-06-06,178.5,179.4,175.0,175.25,,149.52842779386924,185.03157220613076
2011-06-07,175.5,176.75,173.35,174.3,,149.6238686467953,184.73113135320472
2011-06-08,174.4,175.45,168.0,170.3,,149.7117580940464,184.1632419059536
2011-06-09,170.5,171.25,167.75,168.2,,149.68701837579584,184.10298162420418
2011-06-10,167.55,169.4,162.1,164.35,,149.56768363344963,184.05231636655037
2011-06-13,166.5,169.2,163.05,167.4,,150.17008719015917,184.13991280984084
2011-06-14,168.2,168.2,163.05,164.2,,150.66521341839885,184.07478658160116
2011-06-15,163.15,163.15,159.5,161.3,,150.96892248469157,183.98607751530847
2011-06-16,160.4,160.4,155.4,156.6,,151.18540062748937,183.87959937251063
2011-06-17,156.3,160.9,154.75,158.05,,151.19402470217244,183.8759752978276
2011-06-20,158.55,159.0,153.95,154.25,,150.46866008600992,184.22633991399013
2011-06-21,155.85,156.5,153.2,153.5,,149.16688034382145,184.75811965617856
2011-06-22,155.0,155.6,151.5,152.0,,148.46548090671956,185.11451909328048
2011-06-23,152.0,153.4,150.35,150.5,,147.11290738149992,185.75709261850008
2011-06-24,151.5,155.0,151.5,154.2,,145.69146914239113,185.30853085760887
2011-06-27,154.5,162.75,153.3,161.6,,145.51163426747667,184.08836573252336
2011-06-28,162.05,166.45,162.05,164.75,,145.63819136298432,182.89180863701566
2011-06-29,163.0,166.4,158.95,159.6,,146.2060770017087,180.19892299829127
2011-06-30,160.15,161.35,155.0,157.0,,146.14272218384792,178.38227781615205
2011-07-01,158.1,161.2,156.6,157.65,,146.8094503676552,175.6905496323448
2011-07-04,157.5,166.7,157.0,165.85,,147.71129894104143,173.84870105895857
2011-07-05,165.85,166.95,162.7,163.3,,148.72469687491875,171.73530312508123
2011-07-06,162.95,163.5,161.05,162.1,,149.28187872531328,170.3581212746867
