Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1999-04-28,6.15,6.65,6.1,6.65,,,
1999-04-29,6.25,6.7,6.15,6.15,,,
1999-04-30,6.15,6.4,6.0,6.3,,,
1999-05-03,6.0,6.35,6.0,6.3,,,
1999-05-04,6.25,6.75,6.25,6.5,,,
1999-05-05,6.75,7.0,6.7,6.7,,,
1999-05-06,6.5,7.0,6.5,6.65,,,
1999-05-07,6.75,7.0,6.6,6.6,,,
1999-05-10,7.15,7.15,7.0,7.15,,,
1999-05-11,7.75,7.75,7.4,7.75,,,
1999-05-12,8.35,8.35,7.5,7.65,,,
1999-05-13,7.85,8.0,7.65,7.8,,,
1999-05-14,7.95,7.95,7.6,7.95,,,
1999-05-17,7.7,7.9,7.4,7.5,,,
1999-05-18,7.0,7.9,7.0,7.55,,,
1999-05-19,7.8,7.95,7.7,7.9,,,
1999-05-20,7.65,8.1,7.65,8.0,,,
1999-05-21,7.9,8.1,7.5,7.75,,,
1999-05-24,7.75,7.95,7.75,7.9,,,
1999-05-25,7.8,7.95,7.55,7.75,,5.904513646217304,8.545486353782694
1999-05-26,8.1,8.1,7.65,7.75,,5.968753104464062,8.591246895535937
1999-05-27,7.75,7.95,7.65,7.75,,6.147521025684199,8.5724789743158
1999-05-28,7.5,7.5,7.15,7.25,,6.299977872384531,8.51502212761547
1999-05-31,6.9,7.2,6.7,6.7,,6.392087547221677,8.462912452778323
1999-06-01,6.55,6.7,6.25,6.35,,6.354562111272157,8.485437888727843
1999-06-02,6.4,6.6,6.25,6.5,,6.312826598169547,8.507173401830455
1999-06-03,6.6,7.0,6.45,6.45,,6.270491490211689,8.529508509788311
1999-06-04,6.55,7.0,6.5,6.9,,6.322875079441339,8.507124920558663
1999-06-07,7.0,7.2,6.8,6.9,,6.29203542202042,8.512964577979583
1999-06-08,6.75,7.0,6.7,7.0,,6.253291973204247,8.476708026795754
1999-06-09,7.55,7.55,7.25,7.5,,6.251880383295363,8.463119616704637
1999-06-10,7.95,8.1,7.95,8.1,,6.233952911081754,8.511047088918247
1999-06-11,8.75,8.75,8.75,8.75,,6.1401730807399835,8.684826919260017
1999-06-14,8.5,9.45,8.3,9.45,,5.9443825835355435,9.075617416464457
1999-06-15,10.2,10.2,9.05,9.8,,5.7512563943786095,9.493743605621392
1999-06-16,10.5,10.5,9.45,9.9,,5.59289044843773,9.852109551562272
1999-06-17,10.25,10.7,10.2,10.7,,5.34578534138215,10.36921465861785
1999-06-18,10.85,11.55,10.8,10.95,,5.151864220447298,10.883135779552703
1999-06-21,11.25,11.8,10.7,10.85,,5.033479434423022,11.29652056557698
1999-06-22,10.75,10.85,10.0,10.05,,5.045417134190336,11.514582865809663
1999-06-23,10.25,10.3,9.4,9.55,,5.097563277118542,11.64243672288146
1999-06-24,9.5,9.95,9.25,9.75,,5.155375309012309,11.784624690987691
1999-06-25,9.5,10.35,9.15,9.25,,5.289852378161523,11.850147621838477
1999-06-28,9.4,9.8,9.3,9.7,,5.52668461346288,11.913315386537121
1999-06-29,9.75,10.35,9.75,10.0,,5.866145710984795,11.938854289015204
1999-06-30,10.1,10.5,9.85,10.2,,6.221386732322349,11.953613267677651
1999-07-01,10.55,11.0,10.2,10.3,,6.65253374001332,11.907466259986679
1999-07-02,10.45,10.8,10.0,10.2,,7.041953687723158,11.848046312276843
1999-07-05,10.4,10.5,10.0,10.45,,7.503295829612108,11.741704170387889
1999-07-06,10.4,10.85,10.4,10.75,8.205,8.031591486158138,11.588408513841859
1999-07-07,11.0,11.35,10.9,11.0,8.292,8.498888861562024,11.471111138437974
1999-07-08,11.2,11.9,11.2,11.9,8.407,8.732597034185867,11.617402965814135
1999-07-09,12.5,12.85,12.5,12.85,8.538,8.653000777131211,12.106999222868787
1999-07-12,13.85,13.9,13.25,13.9,8.69,8.322039520184596,12.882960479815406
1999-07-13,15.0,15.0,13.75,14.0,8.84,8.108920501397627,13.516079498602373
1999-07-14,14.25,14.45,13.25,14.0,8.985999999999999,8.00152935236957,14.03347064763043
1999-07-15,14.3,14.3,12.9,12.9,9.111,8.00180428796877,14.253195712031232
1999-07-16,12.35,13.4,12.1,13.25,9.244,7.9781349855801516,14.506865014419851
1999-07-19,13.25,13.7,12.5,12.9,9.359,8.00467225055922,14.685327749440777
1999-07-20,12.75,12.9,11.9,12.0,9.443999999999999,8.147803304431596,14.737196695568402
1999-07-21,11.3,13.0,11.3,12.55,9.542,8.388674162036914,14.796325837963085
1999-07-22,12.8,13.0,12.0,12.1,9.628,8.620356859305273,14.799643140694725
1999-07-23,12.45,12.45,11.6,11.8,9.705,8.973039914932096,14.701960085067904
1999-07-26,11.3,12.75,11.3,12.5,9.805,9.284336139603234,14.670663860396768
1999-07-27,12.6,12.6,11.5,11.5,9.884,9.511991348070989,14.593008651929011
1999-07-28,11.9,12.35,11.75,11.8,9.962,9.741227491370722,14.523772508629275
1999-07-29,12.1,12.3,11.6,11.7,10.036,9.959739717622421,14.44526028237758
1999-07-30,11.55,11.65,10.8,11.25,10.106,10.16570397149263,14.344296028507369
