Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2007-06-01,68.8,69.0,64.5,65.4,,,
2007-06-04,65.4,68.2,65.4,67.05,,,
2007-06-05,68.4,73.8,66.2,71.1,,,
2007-06-06,72.0,79.8,71.25,73.7,,,
2007-06-07,75.95,77.55,73.2,74.3,,,
2007-06-08,73.2,79.4,73.2,76.8,,,
2007-06-11,80.0,83.2,78.0,78.65,,,
2007-06-12,79.8,80.6,76.0,77.05,,,
2007-06-13,78.0,79.2,76.45,76.85,,,
2007-06-14,78.0,78.6,77.0,77.6,,,
2007-06-15,78.0,79.4,77.4,77.7,,,
2007-06-18,78.0,78.0,72.0,72.55,,,
2007-06-19,72.0,75.55,72.0,74.8,,,
2007-06-20,75.0,75.7,73.4,74.55,,,
2007-06-21,74.0,77.7,74.0,75.8,,,
2007-06-22,76.0,76.1,74.25,74.3,,,
2007-06-25,75.55,75.55,73.6,74.1,,,
2007-06-26,74.05,74.3,73.65,73.9,,,
2007-06-27,73.8,76.4,72.4,75.8,,,
2007-06-28,76.95,76.95,72.2,72.7,,67.513306917544,80.956693082456
2007-06-29,72.8,73.4,71.6,72.05,,69.15569273303853,79.97930726696146
2007-07-02,73.0,74.0,73.0,73.65,,70.76120684638629,79.0337931536137
2007-07-03,74.05,74.05,72.4,73.3,,71.19184319649877,78.82315680350125
2007-07-04,72.4,74.0,72.2,73.75,,71.19788634399289,78.82211365600712
2007-07-05,71.0,72.55,70.4,71.15,,70.67417560655683,79.03082439344315
2007-07-06,70.0,80.9,70.0,76.35,,70.69117229920813,78.96882770079189
2007-07-09,78.4,79.2,72.0,76.1,,70.91714386713329,78.48785613286671
2007-07-10,77.0,77.0,74.1,74.25,,70.93905659554848,78.18594340445152
2007-07-11,72.0,76.0,72.0,74.95,,71.00031928575058,77.93468071424942
2007-07-12,76.75,76.95,74.8,75.85,,71.16663973222323,77.59336026777676
2007-07-13,76.8,76.8,74.25,75.6,,71.39887321851802,77.15112678148199
2007-07-16,79.0,79.0,74.0,75.0,,71.62385049457446,77.17114950542556
2007-07-17,75.0,75.0,72.6,73.0,,71.47270213289053,77.14229786710948
2007-07-18,72.7,74.6,71.8,73.35,,71.38366469894324,77.11133530105677
2007-07-19,73.0,75.8,73.0,75.2,,71.4101271880523,77.0248728119477
2007-07-20,76.0,76.0,72.25,73.1,,71.3065952497958,77.00840475020419
2007-07-23,70.45,71.0,68.8,70.65,,70.73051321856637,77.23948678143363
2007-07-24,70.0,73.0,68.0,68.65,,69.68615524919286,77.75884475080713
2007-07-25,66.0,69.8,66.0,67.0,,68.37511834204412,78.18988165795588
