Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2011-03-15,97.5,98.5,94.5,96.9,,,
2011-03-16,97.5,99.0,94.95,96.35,,,
2011-03-17,95.85,95.85,92.65,95.25,,,
2011-03-18,96.6,96.6,94.35,96.15,,,
2011-03-21,95.5,96.5,93.3,95.2,,,
2011-03-22,96.4,99.0,94.7,97.5,,,
2011-03-23,96.1,97.5,94.5,95.25,,,
2011-03-24,93.65,97.0,93.65,94.75,,,
2011-03-25,95.45,96.4,95.05,95.7,,,
2011-03-28,95.7,99.95,95.7,99.2,,,
2011-03-29,99.4,102.4,99.4,100.05,,,
2011-03-30,101.35,103.65,100.05,103.0,,,
2011-03-31,103.8,105.8,99.65,100.8,,,
2011-04-01,102.3,104.9,101.0,104.45,,,
2011-04-04,104.2,108.75,104.1,108.25,,,
2011-04-05,109.0,110.9,106.5,108.55,,,
2011-04-06,106.9,115.0,106.9,114.5,,,
2011-04-07,115.0,116.6,113.7,116.0,,,
2011-04-08,117.45,117.45,109.4,111.15,,,
2011-04-11,112.0,112.8,108.7,110.0,,87.85263182456795,116.04736817543206
2011-04-13,110.0,112.35,108.8,111.85,,88.14937749498057,117.24562250501941
2011-04-15,111.5,112.8,109.2,111.75,,88.70534087251248,118.22965912748752
2011-04-18,111.05,113.9,109.6,109.95,,89.70155719943483,118.7034428005652
2011-04-19,109.1,111.8,107.35,110.95,,90.66294984491532,119.22205015508467
2011-04-20,113.45,113.45,110.0,111.45,,91.96881698564599,119.541183014354
2011-04-21,112.0,113.5,109.85,110.15,,93.0422909247117,119.73270907528831
2011-04-25,111.45,111.45,108.0,109.5,,94.77595418447507,119.42404581552492
2011-04-26,107.65,111.4,105.15,107.35,,96.8619686574266,118.59803134257338
2011-04-27,108.0,108.7,107.1,107.55,,99.03943817525139,117.60556182474859
2011-04-28,108.7,108.75,103.5,104.0,,100.05684398705627,117.06815601294373
2011-04-29,104.05,105.0,99.3,102.2,,100.57280100411586,116.76719899588412
2011-05-02,104.5,104.5,98.95,99.8,,99.83519680186834,117.18480319813165
2011-05-03,100.1,100.85,95.7,98.0,,99.10124092788891,117.6387590721111
2011-05-04,96.9,99.85,94.1,99.0,,98.05530088039008,118.13969911960992
2011-05-05,100.1,100.8,96.7,97.7,,96.50524324238154,118.63475675761842
2011-05-06,99.2,102.0,97.8,100.2,,95.62306513002254,118.68193486997747
2011-05-09,100.9,101.7,97.1,99.0,,94.84382048486285,117.91117951513718
2011-05-10,100.15,103.15,96.7,97.4,,94.18435680030474,116.7106431996953
2011-05-11,96.7,98.65,92.25,97.0,,93.21055942380552,116.2694405761945
2011-05-12,97.0,97.7,94.55,95.45,,92.05239636552557,115.97260363447444
2011-05-13,95.45,97.9,94.75,96.7,,91.46714273299135,115.04285726700864
2011-05-16,97.0,97.1,94.8,96.8,,91.09784227184338,113.91715772815664
2011-05-17,96.8,97.7,94.55,95.2,,90.47969675480675,113.06030324519327
2011-05-18,94.55,96.0,89.5,90.35,,89.21964730072077,112.26035269927922
2011-05-19,90.0,92.4,84.6,86.85,,87.55937350243882,111.4606264975612
2011-05-20,86.85,89.5,86.85,88.75,,86.66980570745702,110.21019429254301
2011-05-23,88.0,88.35,85.65,86.65,,85.61190495400646,108.98309504599354
2011-05-24,83.0,87.45,82.35,85.3,,84.34324463367729,108.04675536632273
2011-05-25,86.15,86.4,81.4,82.8,,82.93063205229306,106.98436794770696
2011-05-26,82.8,87.25,82.5,86.15,100.296,82.21558962159756,105.91441037840244
2011-05-27,86.9,89.5,85.55,86.4,100.086,81.60378033704042,104.94621966295959
2011-05-30,89.0,89.3,79.3,83.45,99.82799999999999,80.4257754878262,104.48922451217382
2011-05-31,84.9,87.7,83.05,85.8,99.639,79.76199432715275,103.93300567284724
2011-06-01,85.8,87.4,85.55,86.8,99.45200000000001,79.44401941916517,103.03098058083482
2011-06-02,85.8,88.0,84.65,87.1,99.29,79.1872992067937,102.22770079320632
2011-06-03,88.0,88.5,84.0,84.8,99.03599999999999,79.04733664517659,100.82766335482341
2011-06-06,84.1,85.4,83.1,83.55,98.80199999999999,78.80246119301269,99.5275388069873
2011-06-07,84.0,86.75,83.2,85.45,98.61599999999999,78.84599508076354,98.28900491923648
2011-06-08,85.05,87.15,84.5,85.3,98.40799999999999,79.0189906426109,96.9460093573891
2011-06-09,85.75,86.2,84.55,85.1,98.126,79.1447583537115,95.78524164628851
2011-06-10,85.8,85.8,84.25,84.75,97.82,79.70368192067342,94.03131807932657
2011-06-13,84.9,85.8,83.25,84.75,97.455,80.7908406076701,91.7391593923299
2011-06-14,86.0,86.0,84.25,84.7,97.133,82.20244211503531,89.27755788496468
2011-06-15,84.15,84.8,83.8,84.2,96.728,82.57919628233073,88.28580371766928
2011-06-16,82.5,85.45,82.3,84.25,96.24799999999999,82.48442394858102,88.12057605141896
2011-06-17,83.15,85.2,81.1,82.95,95.73599999999999,82.51242105387763,87.51257894612237
2011-06-20,83.0,83.05,77.4,79.95,95.045,81.4203661291507,87.93463387084932
2011-06-21,80.05,81.95,77.3,78.3,94.29099999999998,80.01772225508917,88.63727774491083
2011-06-22,79.95,81.3,77.65,79.45,93.65700000000001,79.3669567957406,88.95304320425939
2011-06-23,79.45,79.45,76.55,77.35,93.00399999999999,78.14435748333102,89.29564251666898
2011-06-24,77.15,81.4,74.6,78.3,92.333,77.39304264221947,89.23695735778053
2011-06-27,77.95,79.5,76.65,79.0,91.678,76.86537132147167,89.31962867852833
2011-06-28,79.8,79.8,77.7,78.35,91.046,76.28691119453882,89.15308880546118
2011-06-29,79.1,81.3,78.15,80.2,90.431,76.16436538850921,88.61563461149079
2011-06-30,81.3,82.2,79.8,81.2,89.82600000000001,76.26234239502739,87.92765760497261
2011-07-01,82.0,84.3,80.55,81.0,89.243,76.197119943723,87.612880056277
2011-07-04,81.85,85.75,81.8,85.1,88.755,76.1400712512506,87.82492874874937
2011-07-05,85.5,85.8,81.8,83.45,88.277,76.22441077445633,87.54058922554366
2011-07-06,83.5,83.8,82.0,83.05,87.787,76.31208445418345,87.22791554581654
