Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-01-08,255.5,257.5,247.5,249.45,,,
2010-01-11,240.1,251.5,240.0,249.9,,,
2010-01-12,254.0,254.0,247.15,250.3,,,
2010-01-13,250.3,254.0,248.0,248.95,,,
2010-01-14,253.5,259.5,247.0,256.8,,,
2010-01-15,258.0,258.0,250.0,251.35,,,
2010-01-18,257.4,257.4,251.4,253.6,,,
2010-01-19,256.7,257.0,253.1,255.6,,,
2010-01-20,255.0,257.5,254.0,254.25,,,
2010-01-21,254.0,256.9,250.0,252.6,,,
2010-01-22,250.0,253.0,247.8,252.9,,,
2010-01-25,266.55,266.55,251.0,252.2,,,
2010-01-27,257.0,257.5,249.85,256.7,,,
2010-01-28,256.8,261.0,253.55,258.7,,,
2010-01-29,252.6,258.0,252.6,253.3,,,
2010-02-01,260.0,260.0,251.5,253.2,,,
2010-02-02,259.9,259.9,254.0,256.0,,,
2010-02-03,258.8,260.0,255.6,256.45,,,
2010-02-04,254.8,258.4,254.8,256.85,,,
2010-02-05,258.2,258.2,244.2,254.9,,248.11044206625095,259.289557933749
2010-02-06,245.5,257.3,245.5,256.65,,248.70024745268768,259.4197525473123
2010-02-08,257.0,267.2,257.0,264.55,,248.0108471196563,261.5741528803436
2010-02-09,260.0,282.4,260.0,279.25,,243.63642490151474,268.84357509848525
2010-02-10,280.2,324.4,273.85,275.0,,242.89289878394382,272.1921012160561
2010-02-11,281.9,281.9,272.6,273.7,,242.06422391628251,274.71077608371746
2010-02-15,281.5,281.5,261.4,271.9,,242.3851160494729,276.4448839505271
2010-02-16,279.2,281.45,269.7,270.2,,242.79549691553552,277.6945030844645
2010-02-17,270.5,274.3,268.15,268.9,,243.1941551741178,278.62584482588215
2010-02-18,268.9,271.0,264.5,265.15,,243.93223585852127,278.9777641414788
2010-02-19,265.0,268.5,262.8,264.0,,244.97990501176673,279.0700949882332
2010-02-22,262.5,264.9,256.0,258.5,,245.71309011342547,278.8969098865745
2010-02-23,257.0,259.0,255.1,255.2,,246.19685548231618,278.71314451768393
2010-02-24,255.0,259.0,254.0,257.45,,246.28687151058796,278.69812848941194
2010-02-25,258.0,260.0,255.2,255.95,,245.9682306257055,278.74176937429445
2010-02-26,252.6,265.0,252.6,262.7,,247.0022482265501,278.6477517734498
