Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2009-09-01,42.0,42.0,36.65,36.75,,,
2009-09-02,36.45,37.6,35.75,36.35,,,
2009-09-03,36.5,37.2,36.0,36.1,,,
2009-09-04,36.75,36.75,34.3,35.25,,,
2009-09-07,35.45,35.75,34.5,34.6,,,
2009-09-08,34.7,35.95,34.5,35.2,,,
2009-09-09,35.3,35.5,34.5,34.55,,,
2009-09-10,34.95,35.05,33.9,33.95,,,
2009-09-11,34.0,34.35,33.2,33.4,,,
2009-09-14,33.5,34.4,33.05,33.8,,,
2009-09-15,34.1,34.25,33.85,33.95,,,
2009-09-16,34.1,36.45,34.0,36.15,,,
2009-09-17,36.5,36.7,35.5,35.7,,,
2009-09-18,35.65,36.0,34.9,35.7,,,
2009-09-22,35.7,35.8,35.0,35.05,,,
2009-09-23,35.2,35.3,34.6,34.7,,,
2009-09-24,34.3,35.0,33.7,34.6,,,
2009-09-25,34.6,35.1,34.3,34.7,,,
2009-09-29,34.95,35.15,34.4,34.6,,,
2009-09-30,34.45,34.95,34.4,34.5,,33.15548852969812,36.80451147030189
2009-10-01,34.6,34.85,34.3,34.45,,33.23014929057567,36.49985070942434
2009-10-05,34.4,34.5,33.9,33.95,,33.22049835580348,36.26950164419652
2009-10-06,34.0,34.4,33.15,33.4,,33.112774495766814,36.107225504233185
2009-10-07,33.5,34.0,33.35,33.45,,32.96931254633715,36.07068745366284
2009-10-08,34.5,34.5,33.25,33.35,,32.8219492316686,36.09305076833141
2009-10-09,33.5,33.6,33.0,33.05,,32.63904458823364,36.060955411766365
2009-10-12,33.0,33.4,32.9,33.0,,32.46215690951601,36.08284309048399
2009-10-14,33.25,33.4,32.75,32.8,,32.29198153935019,36.13801846064982
2009-10-15,33.05,34.0,32.45,33.5,,32.305402337166825,36.13459766283319
2009-10-16,33.5,33.85,33.3,33.4,,32.25875785832072,36.141242141679285
2009-10-17,35.0,35.0,33.6,33.9,,32.25477402587852,36.14022597412149
2009-10-20,34.0,34.35,32.75,32.85,,32.23271200078864,35.832287999211374
2009-10-21,33.0,33.15,32.6,32.6,,32.14986852126509,35.60513147873492
2009-10-22,32.6,33.05,32.5,32.75,,32.161091562834045,35.29890843716596
2009-10-23,33.0,33.15,32.4,32.45,,32.061032471872274,35.13896752812773
2009-10-26,32.5,32.7,32.0,32.05,,31.872021190495172,35.06297880950483
2009-10-27,32.0,32.1,31.55,31.7,,31.635873032850537,35.00912696714946
2009-10-28,31.9,31.9,30.6,30.9,,31.254013767333973,35.01098623266603
2009-10-29,30.8,31.45,30.5,30.75,,30.91162237503129,34.96837762496871
2009-10-30,31.1,31.4,30.35,30.5,,30.575064119097032,34.904935880902954
2009-11-03,30.0,31.05,29.95,30.05,,30.19815862548254,34.84184137451745
2009-11-04,29.4,30.6,29.4,30.1,,29.870399655027654,34.78460034497235
2009-11-05,30.0,31.05,30.0,30.75,,29.695968608693185,34.69403139130683
2009-11-06,31.05,33.25,31.0,32.6,,29.71518590452521,34.58981409547478
2009-11-09,32.8,33.5,32.45,32.8,,29.732577752459573,34.51742224754042
2009-11-10,34.2,34.2,32.55,32.7,,29.73856175237667,34.476438247623335
2009-11-11,32.9,32.9,32.15,32.4,,29.74117923074716,34.41382076925284
2009-11-12,32.4,32.7,31.75,32.3,,29.73813410980798,34.36686589019201
2009-11-13,32.1,32.5,31.9,32.35,,29.776916426993296,34.2130835730067
2009-11-16,32.1,32.55,32.1,32.25,33.454,29.815218457091873,34.05978154290813
2009-11-17,32.1,32.55,32.1,32.4,33.367,29.935168875580022,33.789831124419976
2009-11-18,32.4,32.45,31.75,32.1,33.282000000000004,29.95009649371099,33.69990350628901
2009-11-19,32.5,32.5,31.75,31.85,33.196999999999996,29.948199503672782,33.62680049632722
2009-11-20,31.9,31.9,31.6,31.7,33.126,29.952305410340823,33.517694589659165
2009-11-23,31.75,32.3,31.55,31.75,33.069,29.949210704312247,33.450789295687755
2009-11-24,31.8,32.0,31.5,31.55,32.996,29.93098768715112,33.419012312848885
2009-11-25,31.5,31.75,30.95,31.0,32.925,29.870194777294444,33.409805222705565
2009-11-26,31.0,31.15,30.8,30.9,32.864000000000004,29.870194777294444,33.409805222705565
2009-11-27,30.8,31.9,30.45,31.4,32.824,29.948222882206156,33.396777117793846
2009-11-30,31.95,32.0,31.05,31.15,32.771,30.050691430807014,33.35930856919299
2009-12-01,31.05,31.7,31.05,31.3,32.717999999999996,30.29163272597893,33.243367274021075
2009-12-02,31.35,31.6,31.15,31.35,32.622,30.559939910248715,33.100060089751274
2009-12-03,31.5,32.35,31.35,32.0,32.548,30.727540095562315,33.05745990443767
2009-12-04,31.9,32.45,31.7,31.95,32.473,30.74286079649845,32.97713920350155
2009-12-07,32.0,32.9,31.8,32.25,32.417,30.788078729882542,32.87692127011746
2009-12-08,32.3,33.8,32.3,33.55,32.394,30.631702178203355,33.118297821796645
2009-12-09,33.25,33.95,33.2,33.8,32.378,30.445912558289276,33.44408744171073
2009-12-10,33.8,33.95,33.1,33.15,32.347,30.400422248447246,33.57457775155276
2009-12-11,33.0,34.15,33.0,33.65,32.328,30.304576419832564,33.800423580167426
2009-12-14,33.7,33.75,33.1,33.2,32.302,30.2793581235989,33.920641876401106
2009-12-15,33.05,33.5,32.25,32.6,32.265,30.280245918162755,33.93975408183724
2009-12-16,32.75,32.75,32.1,32.45,32.235,30.291464511293547,33.96353548870645
2009-12-17,32.45,32.65,32.3,32.4,32.215,30.31998960278291,33.99001039721708
2009-12-18,33.2,33.2,31.9,31.95,32.185,30.342159368486893,33.99284063151312
2009-12-21,31.6,32.05,31.6,31.8,32.154,30.34693144743033,33.993068552569675
2009-12-22,32.0,32.1,31.8,31.85,32.13,30.378549569488605,33.991450430511385
2009-12-23,32.0,34.1,31.95,33.8,32.146,30.47183769563597,34.17816230436404
2009-12-24,34.2,34.75,33.85,34.2,32.174,30.584164087253104,34.39583591274689
2009-12-29,34.0,34.4,33.5,33.6,32.176,30.705131583515772,34.49486841648423
2009-12-30,34.0,34.25,33.6,33.95,32.187,30.88283747841529,34.597162521584714
2009-12-31,34.0,34.95,33.9,34.05,32.19,31.062511236804415,34.692488763195584
2010-01-04,34.05,35.5,34.05,35.3,32.239000000000004,31.106698568228012,35.043301431771994
2010-01-05,35.75,36.35,35.35,35.6,32.299,31.055741751838795,35.45425824816121
2010-01-06,36.5,36.5,35.8,36.25,32.369,30.98564897810317,35.95435102189683
2010-01-07,36.6,36.6,35.5,35.6,32.431999999999995,31.049903065634716,36.22509693436529
2010-01-08,35.65,36.05,35.25,35.35,32.498000000000005,31.029845072982297,36.425154927017715
2010-01-11,35.5,35.9,35.0,35.1,32.566,31.02572817785976,36.559271822140246
2010-01-12,35.0,35.45,34.5,34.55,32.638999999999996,31.093332350022127,36.631667649977864
2010-01-13,34.25,35.05,34.25,34.95,32.723,31.118590303300895,36.736409696699106
2010-01-14,35.0,35.4,34.65,35.0,32.812999999999995,31.191441744556982,36.843558255443014
2010-01-15,35.0,35.8,34.9,35.25,32.917,31.355456444388413,36.94454355561158
2010-01-18,34.5,35.45,34.3,35.0,33.015,31.578479709910376,36.97652029008963
2010-01-19,35.0,35.3,34.5,34.65,33.093,31.83685951898663,36.94314048101337
2010-01-20,34.75,35.6,34.65,34.75,33.135999999999996,32.24748061632725,36.81251938367275
2010-01-21,34.6,34.95,33.75,33.85,33.157,32.71052869839058,36.55447130160943
2010-01-22,33.55,34.0,33.1,33.8,33.178999999999995,33.25694374281163,36.20305625718838
2010-01-25,33.5,34.3,33.5,34.0,33.211,33.2910076096238,36.18899239037619
2010-01-27,33.8,34.55,32.8,33.0,33.225,33.04892028011158,36.31107971988842
2010-01-28,33.65,33.7,32.85,32.9,33.236,32.89093704727995,36.399062952720044
2010-01-29,32.8,33.25,32.3,33.05,33.251999999999995,32.728608735951354,36.47139126404865
2010-02-01,33.35,33.9,33.15,33.2,33.268,32.597028789188485,36.51797121081151
2010-02-02,33.35,33.65,32.85,32.9,33.284,32.37712829107293,36.49787170892707
2010-02-03,33.1,33.4,32.95,33.15,33.31,32.25431539224673,36.37568460775328
2010-02-04,33.2,33.3,32.5,32.6,33.328,32.14827935225262,36.11672064774738
2010-02-05,32.4,32.4,31.95,32.15,33.336,31.914054072845094,36.00594592715491
2010-02-06,32.45,32.5,32.1,32.3,33.351,31.743198155486265,35.87180184451373
2010-02-08,32.0,32.5,32.0,32.15,33.374,31.563235575313424,35.756764424686565
2010-02-09,32.0,33.4,32.0,33.05,33.417,31.515141118464037,35.654858881535965
2010-02-10,32.9,33.3,32.15,32.25,33.434,31.40292249394678,35.49707750605322
2010-02-11,32.25,32.7,32.25,32.35,33.458,31.351399129856617,35.283600870143374
2010-02-15,32.35,32.55,32.1,32.15,33.475,31.355532490898923,34.96946750910108
2010-02-16,32.25,32.85,32.1,32.75,33.503,31.45725328276504,34.64274671723495
2010-02-17,32.75,33.2,32.55,33.0,33.522999999999996,31.564017489280925,34.37098251071906
2010-02-18,33.0,33.2,32.65,32.7,33.538000000000004,31.73731023303132,33.99268976696867
