Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2008-03-03,123.05,123.05,117.8,122.65,,,
2008-03-04,124.45,124.45,116.5,116.5,,,
2008-03-05,113.3,115.5,110.7,114.65,,,
2008-03-07,116.65,116.65,108.95,109.05,,,
2008-03-10,98.35,113.3,98.35,110.8,,,
2008-03-11,113.8,121.85,111.4,121.85,,,
2008-03-12,134.05,134.05,134.05,134.05,,,
2008-03-13,143.35,143.35,120.65,120.65,,,
2008-03-14,121.1,132.7,111.15,131.15,,,
2008-03-17,121.0,126.1,118.0,118.05,,,
2008-03-18,122.2,124.45,111.0,114.75,,,
2008-03-19,122.0,124.55,104.2,105.8,,,
2008-03-24,111.0,111.05,95.45,98.7,,,
2008-03-25,90.0,106.65,90.0,104.95,,,
2008-03-26,108.9,108.9,101.35,103.65,,,
2008-03-27,100.9,107.2,100.0,105.65,,,
2008-03-28,105.8,116.2,100.0,114.3,,,
2008-03-31,116.2,125.75,114.45,115.15,,,
2008-04-01,119.4,126.65,115.45,121.55,,,
2008-04-02,127.8,132.2,119.0,120.15,,97.06520271976615,133.33979728023388
2008-04-03,120.05,120.05,113.35,115.05,,97.02695132535725,132.61804867464272
2008-04-04,118.8,125.55,112.2,113.2,,96.86624623512115,132.44875376487886
2008-04-07,117.65,124.5,116.1,124.5,,96.82236771257243,133.47763228742758
2008-04-08,134.35,136.95,130.0,136.95,,96.05292450983218,137.0370754901678
2008-04-09,150.65,150.65,150.65,150.65,,93.21686404307431,143.85813595692568
2008-04-10,158.2,158.2,158.2,158.2,,89.43416900415379,151.2758309958462
2008-04-11,166.1,166.1,166.1,166.1,,85.26487525705859,158.6501247429414
2008-04-15,174.4,174.4,157.8,157.8,,83.79099273067807,163.83900726932194
2008-04-16,150.55,152.2,149.9,149.9,,83.1575297195493,166.34747028045072
2008-04-17,151.1,157.4,143.9,144.75,,83.69210706509185,168.48289293490816
2008-04-21,148.55,150.0,144.2,145.65,,84.72766926964987,170.53733073035016
2008-04-22,146.1,146.1,138.7,139.5,,87.38695247448504,171.248047525515
2008-04-23,139.45,140.65,133.2,134.6,,91.70279140454166,170.52220859545838
2008-04-24,137.8,140.45,133.55,136.3,,95.20541352357651,170.1545864764235
2008-04-25,140.0,143.1,132.2,143.1,,99.53268290720219,169.77231709279783
2008-04-28,150.25,150.25,146.65,150.25,,103.91892720245662,169.84607279754337
2008-04-29,157.8,157.8,147.2,149.6,,107.02206927690872,170.2729307230913
2008-04-30,151.35,157.1,151.35,157.1,,110.13310172842158,171.35689827157842
2008-05-02,164.95,164.95,164.95,164.95,,111.88216340119045,173.94783659880954
2008-05-05,173.2,173.2,162.2,169.9,,114.07866554022878,176.72633445977118
2008-05-06,172.2,172.2,162.8,164.05,,118.95331998977917,176.75168001022087
2008-05-07,166.65,167.2,156.75,157.65,,125.95500392773027,174.1949960722697
2008-05-08,157.2,165.55,151.1,165.55,,130.29287093706927,173.96212906293073
2008-05-09,171.0,173.8,158.9,160.2,,132.4025925621758,174.17740743782423
2008-05-12,160.0,168.2,153.9,164.65,,132.5442152344449,175.43578476555513
2008-05-13,167.6,171.65,160.55,162.05,,132.5096871740315,175.8553128259685
2008-05-14,161.1,167.8,161.1,165.25,,132.56246294724193,175.7175370527581
2008-05-15,165.55,166.65,160.2,165.15,,132.42308599135458,176.5919140086454
2008-05-16,166.55,166.65,159.2,160.95,,132.90814133971477,177.21185866028523
2008-05-20,162.2,166.0,154.65,156.2,136.67600000000002,134.01722092538068,177.2477790746193
2008-05-21,159.65,164.0,158.35,164.0,137.50300000000001,135.16222680816784,177.93777319183218
2008-05-22,172.2,172.2,164.65,170.7,138.58700000000002,137.41841513536195,178.80158486463802
2008-05-23,171.45,171.45,162.15,162.15,139.53699999999998,141.95963121310757,177.01536878689245
2008-05-26,159.65,159.65,154.05,154.05,140.43699999999998,146.34137496656905,174.40862503343095
2008-05-27,147.35,155.0,146.35,146.35,141.14800000000002,147.29304237068465,173.78195762931534
2008-05-28,145.45,146.65,139.4,142.8,141.567,145.37356933719312,174.95643066280687
2008-05-29,145.0,146.65,141.7,143.4,141.754,143.91590869657432,175.79409130342566
2008-05-30,146.0,146.0,136.65,137.75,142.096,140.14223042127855,177.63276957872142
2008-06-02,139.65,141.0,130.9,130.9,142.09099999999998,134.90611927596495,179.46388072403505
2008-06-03,124.65,129.0,124.35,126.55,142.261,129.71708862410605,180.31791137589397
2008-06-04,125.35,128.0,120.2,120.2,142.37,123.5349531904564,182.11504680954357
2008-06-05,117.35,121.6,115.4,119.85,142.651,118.27185321505708,183.5981467849429
2008-06-06,119.65,125.85,119.65,124.4,143.165,114.93163791591721,182.8233620840828
2008-06-09,119.35,129.85,118.2,126.6,143.59799999999998,112.29864652765508,182.0963534723449
2008-06-10,127.0,131.35,122.45,126.0,144.045,110.15548561999199,180.37451438000804
2008-06-11,128.0,130.0,125.65,127.0,144.472,108.43163289495118,178.5933671050488
2008-06-12,125.95,129.8,122.15,127.3,144.732,107.38978461103507,175.84021538896496
2008-06-13,127.65,130.65,122.35,125.05,144.93,106.51018921981273,172.70981078018724
