Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2021-11-10,336.35,374.65,333.35,367.65,,,
2021-11-11,368.95,373.45,340.6,368.9,,,
2021-11-12,374.65,401.65,363.35,393.05,,,
2021-11-15,376.85,388.75,364.15,380.4,,,
2021-11-16,378.0,385.0,371.35,372.8,,,
2021-11-17,373.35,376.5,350.15,353.85,,,
2021-11-18,351.65,363.0,348.35,354.2,,,
2021-11-22,355.9,362.0,347.0,349.6,,,
2021-11-23,345.0,357.9,342.95,355.8,,,
2021-11-24,358.35,386.45,354.35,374.6,,,
2021-11-25,374.55,405.2,374.5,399.6,,,
2021-11-26,397.5,428.95,384.65,406.2,,,
2021-11-29,403.5,422.85,391.65,414.4,,,
2021-11-30,413.0,426.35,396.85,406.75,,,
2021-12-01,412.5,422.5,410.0,415.5,,,
2021-12-02,422.5,426.65,402.05,406.35,,,
2021-12-03,406.55,410.85,380.35,387.45,,,
2021-12-06,388.35,392.35,362.05,365.2,,,
2021-12-07,371.35,376.3,354.15,359.0,,,
2021-12-08,341.5,374.85,337.75,363.8,,335.53703627721563,423.97296372278436
2021-12-09,362.35,376.5,358.5,360.55,,334.6618966122071,424.13810338779285
2021-12-10,360.6,363.2,350.0,352.45,,332.4435134984379,424.7114865015621
2021-12-13,354.15,359.95,345.0,346.95,,328.60209127067344,423.9429087293265
2021-12-14,346.65,346.95,330.0,335.95,,323.15423448489634,424.9457655151037
2021-12-15,344.85,357.95,343.65,354.8,,321.52972654490344,424.7702734550965
2021-12-16,356.5,362.5,338.65,361.0,,322.35308695787626,424.66191304212384
2021-12-17,358.95,361.65,344.2,349.8,,321.74707258719394,424.8279274128061
2021-12-20,343.35,344.05,318.35,325.45,,317.1807774956791,426.979222504321
2021-12-21,331.35,342.95,325.35,327.25,,312.57799726066486,428.7270027393352
2021-12-22,331.65,337.35,329.4,335.05,,308.51062428427304,428.839375715727
2021-12-23,338.3,355.65,335.85,353.6,,307.68953600583427,425.06046399416573
2021-12-24,353.35,354.15,338.0,340.8,,306.5120592090461,419.69794079095396
2021-12-27,340.0,354.0,331.65,351.15,,308.59265476884906,411.29234523115093
2021-12-28,351.65,360.9,351.65,358.9,,311.16376111501677,403.93623888498325
2021-12-29,356.65,362.9,350.55,360.0,,317.1780166383694,392.37198336163056
2021-12-30,356.65,363.35,349.05,351.3,,323.3139743086935,380.73102569130657
2021-12-31,354.0,355.3,348.4,350.25,,326.7949814956184,373.53001850438164
2022-01-03,350.85,355.8,346.5,347.7,,327.0054828230551,371.56951717694494
2022-01-04,350.0,355.85,349.25,352.3,,327.087760902781,370.817239097219
2022-01-05,353.5,353.7,339.15,340.5,,326.7879041392276,368.78709586077247
2022-01-06,340.0,340.0,332.55,333.85,,325.4743290145514,367.43067098544856
2022-01-07,335.0,339.35,332.8,334.2,,324.0781709711605,367.00182902883944
2022-01-10,337.5,339.15,333.75,334.25,,322.87483168948876,366.9351683105112
2022-01-11,334.25,336.65,326.75,330.35,,321.9817832859844,367.2682167140156
2022-01-12,333.15,337.85,331.25,335.15,,321.1535021051233,366.13149789487665
2022-01-13,337.3,344.65,333.95,343.25,,321.80164579043355,363.70835420956644
2022-01-14,343.15,346.15,339.7,342.95,,321.72172211530795,363.1032778846921
2022-01-17,342.65,348.15,341.65,345.2,,324.29334643308005,362.5066535669199
2022-01-18,345.5,347.35,341.65,342.6,,326.6230219363386,361.7119780636613
2022-01-19,339.25,342.8,334.5,337.65,358.606,327.0006954578772,361.5943045421228
2022-01-20,337.5,344.15,337.5,341.8,358.08899999999994,326.9501520437662,360.4648479562339
2022-01-21,337.5,342.4,323.1,333.05,357.37200000000007,325.932969140614,360.707030859386
2022-01-24,329.15,331.35,281.85,289.3,355.297,310.8424075568119,369.61259244318813
2022-01-25,288.15,290.8,267.65,276.8,353.225,296.5486852257147,375.6963147742853
