Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2010-12-10,265.0,267.0,260.0,265.1,,,
2010-12-13,268.0,271.5,219.9,265.55,,,
2010-12-14,266.5,270.0,264.7,267.95,,,
2010-12-15,261.1,269.65,260.0,261.8,,,
2010-12-16,264.75,264.9,260.0,260.65,,,
2010-12-20,260.0,264.85,260.0,261.2,,,
2010-12-21,262.0,272.0,262.0,264.55,,,
2010-12-22,265.0,267.45,261.9,264.5,,,
2010-12-23,264.65,266.0,262.0,264.1,,,
2010-12-24,262.05,265.0,260.1,261.45,,,
2010-12-27,261.45,265.9,260.45,261.85,,,
2010-12-28,262.0,265.2,260.1,263.55,,,
2010-12-29,262.1,264.5,258.0,261.6,,,
2010-12-30,264.0,265.0,258.5,262.05,,,
2010-12-31,263.7,264.4,254.0,255.65,,,
2011-01-03,259.0,264.0,256.1,257.9,,,
2011-01-04,261.0,261.45,251.1,252.95,,,
2011-01-05,252.95,262.0,252.0,260.0,,,
2011-01-06,261.3,261.3,252.15,253.95,,,
2011-01-07,254.25,254.25,245.05,246.5,,250.47131909252272,270.81368090747736
2011-01-10,242.0,248.0,242.0,245.05,,247.54774062293964,271.73225937706036
2011-01-11,247.95,247.95,240.05,241.9,,244.34239890410396,272.5726010958961
2011-01-12,239.0,247.0,239.0,245.5,,242.833018284241,271.83698171575895
2011-01-13,246.8,255.0,245.0,248.5,,241.8146483150278,271.52535168497224
2011-01-14,234.0,249.5,234.0,245.1,,240.30457366682734,271.4804263331726
2011-01-17,245.5,246.85,245.0,245.05,,238.9897538891629,271.18024611083706
2011-01-18,245.0,246.5,245.0,245.0,,238.05802796408636,270.1569720359136
2011-01-19,256.0,256.0,245.0,249.0,,237.91138409389683,268.7536159061031
2011-01-20,249.1,250.0,244.5,246.5,,237.6211152472467,267.28388475275335
2011-01-21,247.0,249.65,246.05,248.25,,237.48128706085794,266.103712939142
2011-01-24,253.0,253.0,245.1,248.25,,237.54008699652735,264.6849130034727
2011-01-25,248.25,251.95,246.0,247.0,,237.9431541941763,262.6268458058237
2011-01-27,249.2,250.95,246.25,248.1,,238.45409054404507,260.7659094559549
2011-01-28,240.55,251.95,240.55,245.75,,239.19215502681953,258.39784497318044
2011-01-31,247.0,250.95,245.0,247.55,,239.33696328935977,257.4430367106403
2011-02-01,247.0,251.9,244.8,246.4,,239.91822517532833,255.71177482467166
2011-02-02,250.0,250.0,233.1,238.5,,238.55568961327268,255.62931038672738
2011-02-03,237.0,249.0,222.05,243.7,,240.15958196748113,252.39541803251888
2011-02-04,241.15,244.85,233.25,239.7,,239.9075782327442,251.22242176725572
2011-02-07,236.0,241.45,230.55,232.65,,236.81530478473871,252.9296952152613
2011-02-08,229.0,237.95,225.0,230.2,,233.74187925409194,254.5181207459081
2011-02-09,230.0,237.1,211.4,227.4,,230.61524670004653,256.19475329995345
2011-02-10,231.9,232.0,218.0,227.6,,227.95424150849075,257.06575849150926
2011-02-11,232.75,232.75,224.8,227.4,,225.7166492537969,257.19335074620307
2011-02-14,228.6,233.25,220.5,231.9,,224.59977978245678,256.99022021754325
2011-02-15,233.1,237.8,224.8,227.75,,222.8669158091145,256.9930841908855
2011-02-16,223.0,236.0,223.0,234.05,,222.3016928269126,256.46330717308746
2011-02-17,235.35,268.5,234.0,247.6,,222.3868771007889,256.23812289921113
2011-02-18,248.0,252.5,241.0,241.55,,222.4398098546692,255.6901901453308
2011-02-21,240.0,245.0,233.55,237.35,248.862,222.45747742168342,254.58252257831666
2011-02-22,232.0,242.0,225.65,230.2,248.164,221.83088758381234,253.40411241618767
2011-02-23,230.2,238.0,212.25,220.5,247.263,219.41120312415222,253.1737968758478
2011-02-24,220.2,221.4,214.0,216.4,246.232,216.58687275978204,252.82812724021792
2011-02-25,215.0,223.95,212.6,218.2,245.36,214.5666146023984,252.09338539760157
2011-02-28,218.0,223.45,215.05,218.55,244.51800000000003,213.26197251671374,250.4980274832862
2011-03-01,220.35,240.0,220.0,233.4,243.96200000000002,213.8820014805293,248.57799851947073
2011-03-03,225.0,251.0,225.0,248.95,243.65,212.91685420189796,250.58814579810203
2011-03-04,251.0,254.65,240.05,247.85,243.317,212.48943922630667,251.4305607736933
2011-03-07,233.05,248.85,233.05,239.75,242.83,212.48774238378033,251.43725761621968
2011-03-08,231.35,245.85,231.35,236.9,242.33899999999997,212.576302406323,251.773697593677
2011-03-09,244.0,244.0,236.0,240.2,241.90599999999998,212.7804490401337,252.56955095986632
2011-03-10,243.0,245.0,238.0,239.7,241.429,213.32171989062914,253.2582801093709
2011-03-11,236.2,244.95,232.5,241.4,241.025,213.88626177662667,254.07373822337337
2011-03-14,243.9,251.85,239.0,246.75,240.71900000000002,214.3311683287514,255.5638316712487
2011-03-15,238.0,246.15,238.0,239.0,240.38600000000002,214.66261844689274,255.94238155310728
2011-03-16,250.9,269.9,235.15,237.0,239.968,215.42532914410123,256.1046708558988
2011-03-17,240.0,240.0,232.0,234.75,239.604,215.47034833446259,256.12965166553744
2011-03-18,230.35,235.0,225.0,227.05,238.945,214.88144210428945,254.6635578957105
2011-03-21,215.35,234.95,215.35,229.2,238.45,214.3834121980427,253.92658780195737
2011-03-22,228.0,232.55,228.0,228.2,238.08399999999997,213.81406402138273,253.58093597861725
2011-03-23,229.95,231.9,228.55,229.45,237.77200000000002,213.74598483479585,253.57401516520414
2011-03-24,232.8,236.5,229.05,234.7,237.62800000000004,215.44348281823721,253.29651718176274
2011-03-25,235.75,235.75,232.0,234.8,237.41400000000002,218.35763920461045,252.2223607953896
2011-03-28,236.0,236.0,230.0,233.05,237.105,221.06747850248672,250.99752149751333
2011-03-29,231.0,237.95,231.0,235.0,236.903,224.32571220573323,249.3842877942668
2011-03-30,235.0,248.95,235.0,245.5,236.91199999999998,224.4729781380761,250.44702186192387
2011-03-31,245.0,256.0,245.0,254.6,237.10399999999998,223.51642035361647,251.9685796463835
2011-04-01,250.6,255.9,250.6,254.35,237.21099999999998,222.62424989893015,253.5107501010699
2011-04-04,253.1,259.9,250.3,254.4,237.36899999999997,221.7179380019493,255.88206199805072
2011-04-05,254.1,260.0,247.0,249.0,237.384,221.7585034042094,257.0514965957905
2011-04-06,246.6,255.3,246.6,249.85,237.416,221.63226643174443,258.14273356825555
2011-04-07,250.0,260.0,249.5,255.95,237.595,221.08410955641517,260.3158904435848
2011-04-08,255.9,263.95,250.1,256.1,237.755,220.64236213286853,262.2276378671315
2011-04-11,254.0,258.0,250.35,255.85,237.957,220.22757558399948,263.55242441600046
2011-04-13,258.0,259.4,248.6,256.05,238.127,220.2335245971924,265.25147540280756
2011-04-15,253.0,256.2,250.15,251.45,238.22799999999998,220.80499349654042,266.12500650345953
2011-04-18,250.15,260.0,250.15,253.95,238.537,221.69286415666167,267.1571358433384
2011-04-19,252.05,254.75,251.0,251.0,238.683,224.26231877171332,266.98268122828676
2011-04-20,251.1,254.9,250.25,252.5,238.93900000000002,226.6946661111679,266.8803338888321
2011-04-21,254.0,272.2,251.2,257.6,239.43800000000002,229.64298175553085,266.87201824446913
2011-04-25,256.1,258.6,252.1,256.25,239.959,232.92655221650577,266.26844778349425
2011-04-26,256.55,256.55,252.0,253.65,240.484,235.35044072442577,265.73955927557427
2011-04-27,258.0,267.7,255.05,262.7,241.18599999999998,237.74160869008512,266.1383913099149
2011-04-28,257.0,269.0,257.0,261.5,241.868,241.64957978341891,265.0754202165811
2011-04-29,262.9,264.95,254.8,255.2,242.334,246.4590554110013,262.28594458899875
2011-05-02,250.1,256.75,249.2,254.4,242.86700000000002,248.09320978114684,261.5417902188531
2011-05-03,255.0,259.0,240.0,246.85,243.123,246.81827773828624,262.0417222617138
2011-05-04,247.9,257.7,240.1,252.75,243.226,246.70119548384775,261.99880451615223
2011-05-05,252.8,252.8,243.45,248.45,243.364,245.9617987097276,262.14320129027243
2011-05-06,250.0,254.95,244.0,245.2,243.521,245.1199919291764,262.6050080708236
2011-05-09,253.75,255.0,242.0,242.8,243.77300000000002,243.59623498149668,263.4237650185033
2011-05-10,240.15,247.0,240.0,241.45,244.192,241.58518327217644,263.98481672782356
2011-05-11,243.1,243.1,231.3,234.6,244.55599999999998,238.0031980005318,265.41680199946813
2011-05-12,233.25,235.0,225.0,225.8,244.708,232.42843854232513,267.98656145767495
2011-05-13,231.0,235.0,225.0,231.55,244.968,229.59500335097954,268.3699966490205
2011-05-16,234.0,238.0,228.5,230.1,244.90200000000002,226.8233428816039,269.00665711839616
2011-05-17,234.7,238.9,228.0,229.5,244.51300000000003,224.28067804912138,269.10432195087856
2011-05-18,228.0,232.85,223.0,223.75,244.03100000000003,220.8069624960316,269.8530375039684
2011-05-19,231.9,232.2,223.0,230.85,243.85299999999998,219.1524076930424,269.3425923069576
2011-05-20,223.6,230.9,223.6,230.0,243.715,217.82861918172932,267.9063808182707
2011-05-23,226.6,232.05,223.0,224.5,243.40099999999998,215.79166623934162,266.76833376065844
2011-05-24,221.5,231.9,221.5,227.9,243.165,214.5336937477529,265.45130625224704
2011-05-25,227.0,231.8,225.8,230.0,242.937,214.91901893281428,261.79598106718566
2011-05-26,230.0,230.0,221.1,224.25,242.487,214.95659122331554,258.03340877668444
2011-05-27,225.2,226.55,219.2,220.15,242.11,213.92046523922497,255.56453476077505
2011-05-30,219.1,226.0,215.0,221.15,241.793,213.60014806065195,252.55985193934808
2011-05-31,223.35,227.05,219.5,223.9,241.576,213.17767535756744,250.68732464243251
2011-06-01,228.0,257.7,223.9,245.9,241.953,214.23817315851684,248.94182684148316
2011-06-02,244.8,246.4,235.0,240.25,242.17399999999998,215.16992422517114,247.19007577482887
2011-06-03,243.95,249.0,237.0,239.7,242.40400000000002,215.7423762859224,246.06762371407765
2011-06-06,239.7,244.5,234.0,236.8,242.551,216.21560697670262,244.99439302329742
2011-06-07,240.0,240.0,235.1,235.9,242.575,216.62085639380157,244.03414360619846
2011-06-08,241.0,241.0,232.05,233.45,242.548,216.62933324673398,243.91066675326599
2011-06-09,232.85,237.55,231.05,231.95,242.526,217.0846373643235,244.07036263567653
2011-06-10,235.0,235.0,229.4,231.75,242.461,217.09130657955447,244.08369342044554
2011-06-13,234.0,234.0,227.15,228.7,242.125,216.9961611142561,244.03883888574393
2011-06-14,221.15,231.95,221.15,229.95,241.632,217.02429373693533,244.0557062630647
2011-06-15,226.0,247.05,226.0,235.3,241.25099999999998,217.83841969735167,244.39658030264835
2011-06-16,235.0,235.0,229.0,232.0,240.803,217.8908384770286,244.4591615229714
2011-06-17,229.05,235.0,229.0,233.7,240.497,218.04172604829722,244.67827395170275
2011-06-20,228.0,242.0,227.9,236.25,240.225,218.8688925173899,245.0261074826101
2011-06-21,232.05,242.0,230.2,231.25,239.731,219.1695232447381,245.06047675526193
2011-06-22,235.0,235.05,225.25,226.95,239.14800000000002,218.8414492156998,245.0835507843002
2011-06-23,228.7,240.0,228.7,231.75,238.66600000000003,219.7257312689183,244.9492687310817
2011-06-24,239.0,239.0,230.1,232.35,238.19199999999998,221.71275712940448,244.1822428705955
2011-06-27,231.0,237.0,230.15,234.6,237.855,223.84304535628604,243.3969546437139
2011-06-28,231.05,237.0,231.05,234.95,237.475,225.52462377760463,242.82037622239545
2011-06-29,231.4,244.9,231.4,240.5,237.265,226.55722045603952,241.2477795439605
2011-06-30,244.0,246.0,234.15,240.15,237.018,226.57029941444006,241.2247005855599
2011-07-01,241.0,244.8,240.0,240.7,236.68,226.44210018947913,241.45289981052085
2011-07-04,253.9,253.9,234.0,244.95,236.45399999999998,225.4441018823501,243.2658981176498
2011-07-05,245.0,247.85,243.45,244.8,236.27700000000002,224.74834394372436,244.85165605627566
2011-07-06,245.0,245.7,243.0,244.3,235.90900000000002,224.46072987503365,246.2242701249664
2011-07-07,245.0,245.0,240.1,242.6,235.53100000000003,224.65516324351884,247.09483675648116
