Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2008-09-18,928.0,930.0,780.0,917.2,,,
2008-09-19,965.0,991.0,930.0,976.85,,,
2008-09-22,980.1,990.0,925.5,933.3,,,
2008-09-23,925.0,941.95,906.0,911.15,,,
2008-09-24,875.0,930.0,875.0,893.75,,,
2008-09-25,905.0,910.0,823.1,836.55,,,
2008-09-26,828.0,836.7,781.1,794.55,,,
2008-09-29,790.0,790.0,731.95,765.05,,,
2008-09-30,725.0,814.0,700.55,770.2,,,
2008-10-01,774.0,790.0,755.05,773.15,,,
2008-10-03,771.0,780.0,695.0,702.45,,,
2008-10-06,691.0,691.0,621.05,634.65,,,
2008-10-07,640.0,670.0,606.05,622.5,,,
2008-10-08,570.0,600.0,540.0,563.1,,,
2008-10-10,560.0,560.0,455.05,504.55,,,
2008-10-13,531.0,549.9,520.0,538.3,,,
2008-10-14,560.0,591.0,520.25,536.0,,,
2008-10-15,525.0,525.0,485.1,491.85,,,
2008-10-16,405.0,488.0,405.0,468.45,,,
2008-10-17,475.5,510.0,422.0,431.1,,350.26924483982947,1056.2007551601705
2008-10-20,432.0,475.0,425.0,445.7,,323.8937970550115,1035.4262029449885
2008-10-21,451.0,494.0,429.7,488.45,,318.8448069684454,991.6351930315545
2008-10-22,482.0,497.0,450.25,468.55,,312.7090819410153,951.2959180589846
2008-10-23,442.0,509.5,442.0,486.55,,313.95669414515135,907.5883058548487
2008-10-24,476.8,479.0,414.0,433.2,,312.7048614938652,862.7851385061348
2008-10-27,427.0,515.0,405.05,473.3,,316.63365084374516,822.531349156255
2008-10-28,529.0,529.0,491.0,517.15,,325.28448892175925,786.1405110782407
2008-10-29,530.0,591.0,521.0,553.5,,336.8052459535537,753.4647540464463
2008-10-31,598.0,620.0,565.0,607.6,,354.5758965393025,719.4341034606975
2008-11-03,640.0,640.0,586.3,598.65,,379.88867737101623,676.6713226289837
2008-11-04,600.0,630.0,571.1,621.4,,392.35625707521933,656.0987429247806
2008-11-05,635.0,658.9,585.15,607.2,,395.3227547482694,650.3872452517306
2008-11-06,585.0,648.95,581.3,623.1,,395.2538163001229,650.516183699877
2008-11-07,610.6,629.0,590.1,594.0,,394.0309993580424,654.8290006419575
2008-11-10,599.0,627.0,599.0,611.4,,394.1520991320659,665.3929008679341
2008-11-11,599.15,630.0,552.1,567.8,,394.5988130033994,667.8961869966007
2008-11-12,555.0,581.0,544.0,555.75,,395.1569311947801,669.3130688052199
2008-11-14,590.0,590.0,495.25,508.45,,396.81802185871516,669.311978141285
2008-11-17,503.0,525.0,475.15,508.05,,401.6302296506544,668.4597703493455
2008-11-18,501.0,520.0,476.0,485.25,,411.1981660269249,664.306833973075
2008-11-19,490.0,497.9,462.25,469.05,,415.55054459747345,662.2894554025265
2008-11-20,452.0,483.8,436.0,465.95,,412.099298528465,663.490701471535
2008-11-21,463.1,478.85,451.95,471.25,,412.5420151815084,663.3179848184917
2008-11-24,460.4,486.0,460.4,466.65,,409.53068667964266,664.3393133203572
2008-11-25,475.0,477.0,452.55,462.05,,415.34004111257883,661.4149588874213
2008-11-26,457.0,459.6,410.25,442.05,,409.5758091655298,664.0541908344701
2008-11-28,470.0,470.0,430.0,455.85,,401.6556636936666,665.8443363063334
2008-12-01,458.0,472.05,450.0,453.1,,392.2380939357472,665.2219060642528
2008-12-02,430.0,462.0,430.0,450.05,,385.3443667230239,656.360633276976
2008-12-03,455.0,460.0,445.2,448.15,588.078,379.30287745858556,647.3521225414145
2008-12-04,446.05,458.8,436.1,449.85,578.731,378.09206447451015,631.4079355254898
