Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2009-09-30,146.15,154.25,145.35,152.15,,,
2009-10-01,146.95,156.5,146.95,155.5,,,
2009-10-05,153.6,155.45,151.55,152.05,,,
2009-10-06,153.3,154.3,150.95,152.65,,,
2009-10-07,153.85,154.75,152.0,152.25,,,
2009-10-08,152.65,157.3,152.25,156.05,,,
2009-10-09,156.8,161.35,155.35,159.45,,,
2009-10-12,157.85,161.35,156.8,159.45,,,
2009-10-14,159.75,163.7,158.0,158.75,,,
2009-10-15,159.75,160.65,157.35,157.95,,,
2009-10-16,158.5,160.4,157.6,158.8,,,
2009-10-17,165.35,165.35,157.35,158.65,,,
2009-10-20,159.45,160.45,156.25,157.05,,,
2009-10-21,157.85,159.2,154.25,155.5,,,
2009-10-22,155.35,157.9,154.4,155.35,,,
2009-10-23,156.65,157.25,154.85,155.3,,,
2009-10-26,153.5,156.65,152.65,154.15,,,
2009-10-27,153.35,153.35,148.55,152.05,,,
2009-10-28,152.15,152.15,148.15,150.7,,,
2009-10-29,150.05,151.7,148.7,150.95,,149.26829173018558,161.20670826981444
2009-10-30,152.65,152.65,148.0,149.45,,148.73073043665096,161.47426956334903
2009-11-03,146.95,150.35,146.95,149.35,,147.92953340413436,161.66046659586567
2009-11-04,149.95,154.55,149.35,153.45,,148.08941690215602,161.640583097844
2009-11-05,150.25,153.85,150.25,153.15,,148.14520863730274,161.63479136269729
2009-11-06,154.0,155.8,152.85,154.2,,148.34783648601473,161.6271635139853
2009-11-09,153.35,155.6,153.35,155.35,,148.32905877325007,161.5759412267499
2009-11-10,154.25,155.95,152.25,153.05,,148.3125004163891,160.9524995836109
2009-11-11,152.95,158.8,152.7,157.5,,148.47303054410446,160.59696945589553
2009-11-12,158.65,159.05,156.0,157.7,,148.55759493746947,160.4074050625305
2009-11-13,156.65,163.15,155.75,159.25,,148.43681264095437,160.6581873590456
2009-11-16,160.0,160.65,157.75,160.05,,148.29405526506628,160.9259447349337
2009-11-17,160.0,161.2,159.35,160.6,,148.07660937156135,161.33839062843867
2009-11-18,160.25,162.75,159.85,161.45,,147.7038928678257,162.15110713217433
2009-11-19,161.35,162.7,160.15,162.25,,147.3327805588122,163.19721944118783
2009-11-20,161.9,162.25,160.25,161.75,,147.13863049027947,164.03136950972055
2009-11-23,161.35,162.3,160.8,161.3,,147.0633698844977,164.7066301155023
2009-11-24,163.95,163.95,158.65,160.1,,147.20725480469807,165.15774519530189
2009-11-25,159.75,168.45,158.65,166.25,,147.08561332196652,166.69938667803345
2009-11-26,165.6,166.15,164.8,165.65,,147.54567642577996,167.73432357422
2009-11-27,165.3,167.2,161.6,165.75,,148.18126942883774,168.57873057116225
2009-11-30,166.05,171.85,166.0,169.55,,148.93320085998778,169.83679914001226
2009-12-01,170.65,179.15,170.0,176.45,,148.83968598379795,172.640314016202
2009-12-02,177.8,183.2,166.7,179.75,,147.94017390155025,176.16982609844976
2009-12-03,180.25,181.2,170.8,172.3,,148.84315298833965,177.18184701166032
2009-12-04,173.35,174.65,166.9,167.35,,150.01124919019983,177.3287508098002
2009-12-07,168.15,170.75,166.8,170.15,,151.04875990627696,177.7712400937231
2009-12-08,170.0,171.35,168.25,169.1,,152.83213035157726,177.59286964842275
2009-12-09,168.55,171.35,166.15,166.55,,153.82163188020144,177.5083681197986
2009-12-10,166.0,167.35,162.95,165.0,,154.78538023389768,177.27461976610238
2009-12-11,166.35,167.2,164.15,165.55,159.482,155.55636562956386,177.13363437043614
2009-12-14,166.65,167.45,161.45,165.35,159.746,156.21938682727182,177.00061317272815
2009-12-15,166.0,166.65,160.0,165.35,159.943,156.82465898034533,176.87034101965472
2009-12-16,165.35,167.35,164.05,164.75,160.197,157.2587490346151,176.76625096538487
2009-12-17,165.85,165.85,164.65,165.15,160.447,157.6179824683398,176.69701753166015
2009-12-18,164.8,169.2,164.05,166.9,160.74,158.2181984965018,176.61180150349819
2009-12-21,166.95,167.85,162.95,164.4,160.907,158.70876567942025,176.43123432057973
2009-12-22,165.35,165.35,162.65,164.05,160.999,159.44775335658974,176.08724664341028
2009-12-23,164.05,167.35,164.0,165.65,161.123,159.39043149473488,176.08456850526514
2009-12-24,166.55,167.7,166.05,166.95,161.28699999999998,159.50376991325533,176.1012300867447
2009-12-29,167.2,169.55,166.05,168.5,161.498,159.69349515823382,176.18650484176618
2009-12-30,168.55,169.3,164.0,165.5,161.63199999999998,159.4586191323306,176.01638086766943
2009-12-31,168.4,168.65,165.2,165.55,161.77,159.95951452045023,174.42548547954982
2010-01-04,167.95,167.95,164.65,165.35,161.936,162.27131282442454,170.6736871755755
2010-01-05,167.95,168.65,164.95,166.75,162.161,163.00242638052015,169.38757361947984
2010-01-06,167.35,169.05,165.65,166.5,162.384,163.00231621254474,169.30268378745527
2010-01-07,166.15,167.35,164.15,165.5,162.58800000000002,163.3859373164384,168.45406268356163
2010-01-08,166.5,169.05,164.0,168.4,162.873,163.52232978892,168.24767021108
2010-01-11,168.95,169.95,166.65,167.95,163.19099999999997,163.4318649409267,168.47813505907328
2010-01-12,168.0,168.65,164.65,165.35,163.484,163.47250526316162,168.47249473683837
2010-01-13,163.5,167.85,163.5,166.1,163.787,163.50748488892114,168.49251511107886
2010-01-14,166.7,169.35,166.4,167.85,164.155,163.5214598999361,168.7285401000639
2010-01-15,167.35,169.05,165.35,165.4,164.476,163.52699903611497,168.72800096388502
2010-01-18,166.65,166.65,163.6,164.5,164.697,163.48439070495692,168.74560929504304
2010-01-19,165.3,165.65,163.45,163.75,164.90900000000002,163.2376974925331,168.85230250746693
2010-01-20,164.65,166.3,162.25,162.7,165.07899999999998,162.6890585878898,168.9809414121102
2010-01-21,163.7,164.95,158.8,159.75,165.167,161.47563359608068,169.72936640391936
2010-01-22,158.65,159.75,154.65,158.95,165.285,160.29113610986292,170.40386389013707
2010-01-25,158.7,158.85,155.65,157.9,165.293,158.9108504294964,171.0091495705036
2010-01-27,157.9,158.65,155.5,156.05,165.26,157.2581041718672,171.5718958281328
2010-01-28,156.65,162.1,154.95,155.9,165.19299999999998,155.95549440291762,171.61450559708237
2010-01-29,156.3,156.3,148.95,149.65,164.985,152.98748678293273,172.99751321706728
2010-02-01,150.0,153.85,150.0,152.75,164.828,151.4399058754886,173.26509412451145
2010-02-02,153.35,155.35,153.35,154.7,164.69299999999998,150.49181437856487,173.14818562143512
2010-02-03,155.45,159.6,155.45,158.85,164.625,150.27102973683435,172.57897026316567
2010-02-04,159.2,165.15,156.75,158.15,164.553,150.02966227790571,171.98533772209427
2010-02-05,156.0,156.0,153.6,154.9,164.425,149.38993109556785,171.56506890443214
2010-02-06,155.35,156.65,154.65,156.05,164.34400000000002,149.26558240342914,170.45441759657083
2010-02-08,153.65,156.25,153.35,154.0,164.09900000000002,148.98192639399076,169.34307360600923
2010-02-09,153.9,158.8,153.35,158.25,163.951,149.0489801057579,168.56601989424212
2010-02-10,157.35,158.0,154.85,155.55,163.74699999999999,149.0552963248276,167.50470367517246
2010-02-11,156.65,156.65,154.65,155.25,163.461,149.52129841403396,165.77870158596605
2010-02-15,155.35,155.9,152.15,153.0,162.992,149.52236178422606,164.537638215774
2010-02-16,152.65,154.25,152.55,153.25,162.462,149.66360985886507,163.271390141135
2010-02-17,154.25,156.0,151.85,152.65,162.06900000000002,149.8380604547024,161.9869395452976
2010-02-18,153.35,154.15,152.7,153.05,161.783,150.1437317908615,160.71626820913852
2010-02-19,150.95,153.85,150.95,153.0,161.44,150.11462526854018,160.07037473145982
2010-02-22,153.45,155.35,152.85,152.95,161.11700000000002,150.07720852606,159.50779147394
2010-02-23,150.85,153.85,150.85,151.55,160.81699999999998,149.78565036492262,159.16434963507737
2010-02-24,151.75,155.35,151.05,152.9,160.575,149.6393002787847,158.99569972121535
2010-02-25,153.6,154.55,152.45,153.65,160.337,149.57911174959196,158.83088825040807
2010-02-26,154.0,155.35,152.95,154.35,160.11700000000002,150.34088584666083,158.53911415333917
2010-03-02,154.7,154.7,151.35,151.8,159.846,150.1902105237614,158.59478947623856
2010-03-03,152.0,157.05,151.75,153.25,159.616,150.09010638431647,158.54989361568352
2010-03-04,153.35,155.15,151.35,152.05,159.354,150.2157079368303,157.74429206316967
2010-03-05,154.25,154.25,150.6,151.95,159.055,150.35759905808496,156.98240094191507
2010-03-08,153.7,153.85,150.65,151.1,158.789,150.03152207488586,156.92847792511418
2010-03-09,151.05,152.0,149.35,149.55,158.499,149.50694355999346,156.80305644000654
2010-03-10,152.0,153.05,149.45,150.05,158.187,149.08149079355834,156.83350920644168
2010-03-11,150.25,151.35,149.5,150.8,157.864,149.49919207883653,155.67080792116343
2010-03-12,150.4,151.75,150.05,150.25,157.49900000000002,149.40048309692037,155.23951690307962
2010-03-15,150.25,152.75,149.05,151.55,157.22000000000003,149.54715391330546,154.72284608669452
2010-03-16,150.7,153.6,150.25,152.1,156.951,149.5343869825938,154.64561301740616
