Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-08-11,53.35,53.35,53.35,53.35,,,
1995-08-14,52.25,52.25,52.25,52.25,,,
1995-08-16,48.9,49.4,48.9,48.9,,,
1995-08-18,50.0,50.0,50.0,50.0,,,
1995-08-21,48.9,48.9,48.9,48.9,,,
1995-08-24,50.0,50.0,48.9,48.9,,,
1995-08-25,49.4,49.4,48.35,48.35,,,
1995-08-30,45.55,46.45,45.55,45.55,,,
1995-08-31,45.35,45.35,44.75,44.75,,,
1995-09-01,45.25,45.25,45.25,45.25,,,
1995-09-18,36.65,36.65,36.65,36.65,,,
1995-09-19,34.75,34.75,33.35,33.35,,,
1995-09-22,29.35,29.35,26.45,28.0,,,
1995-09-25,30.55,30.55,30.0,30.0,,,
1995-09-26,32.75,35.45,32.2,33.6,,,
1995-09-27,33.85,34.65,33.45,34.45,,,
1995-09-28,32.45,32.45,32.2,32.2,,,
1995-09-29,30.55,30.55,29.45,29.65,,,
1995-10-10,32.75,33.35,32.55,33.35,,,
1995-10-11,31.65,32.75,31.65,32.4,,23.00345756585976,57.98154243414024
1995-10-12,32.75,32.75,31.7,31.75,,22.612409931319135,56.21259006868087
1995-10-13,31.65,31.65,29.85,29.85,,22.121008677955913,54.463991322044095
1995-10-16,29.45,29.45,28.35,28.5,,21.346537251277894,53.19846274872211
1995-10-17,28.5,28.45,27.75,28.35,,20.979491167374828,51.400508832625164
1995-10-18,28.35,28.35,25.55,26.55,,20.52408807726136,49.62091192273865
1995-10-19,26.55,27.2,25.55,27.15,,20.58208986824131,47.38791013175869
1995-10-20,27.15,27.0,26.45,26.65,,20.959930353725134,44.84006964627486
1995-10-23,26.65,26.75,26.4,26.6,,21.301111407550277,42.60388859244972
1995-10-24,26.6,27.1,26.55,27.1,,22.08941274924515,40.05058725075485
1995-10-25,26.75,26.75,25.1,25.3,,23.658495995603015,36.48650400439698
1995-10-26,25.3,25.2,24.2,24.2,,23.313225602973542,35.58677439702646
1995-10-27,24.2,24.3,23.75,24.0,,22.674503821380902,35.290496178619094
1995-10-30,24.0,23.35,22.75,23.35,,21.96479938628043,35.53520061371957
1995-10-31,23.35,23.55,22.75,23.5,,21.278819570089105,35.571180429910896
1995-11-01,23.5,23.8,23.35,23.8,,20.940558597978317,34.92944140202169
1995-11-10,19.75,20.0,18.95,19.05,,19.80907864728234,34.52092135271766
1995-11-13,19.05,19.45,18.65,19.2,,18.746500856190597,34.283499143809415
1995-11-14,19.2,19.85,18.85,19.75,,17.84176186777571,34.19823813222429
1995-11-15,20.0,21.85,19.75,21.85,,17.839676379770548,33.05032362022945
1995-11-16,21.85,23.35,22.0,22.8,,18.02525178676079,31.90474821323921
1995-11-17,22.8,22.55,20.75,22.0,,18.20706183852827,30.74793816147173
1995-11-20,22.0,21.75,20.0,20.2,,17.985542541346415,30.004457458653587
1995-11-21,20.2,20.45,20.0,20.0,,17.701403826073026,29.438596173926975
1995-11-22,20.1,20.1,19.45,19.65,,17.472092061865375,28.79790793813462
1995-11-23,19.65,19.85,18.85,19.05,,17.0561139747123,28.463886025287696
1995-11-24,18.85,19.95,18.85,19.65,,16.914976426491798,27.8550235735082
1995-11-27,20.2,20.55,20.0,20.1,,16.886500402039875,27.228499597960127
1995-11-28,20.1,20.05,19.55,19.85,,16.930274153543966,26.50972584645604
1995-11-29,19.75,19.95,19.5,19.95,,17.24311386790925,25.48188613209075
1995-11-30,19.95,20.2,19.7,20.0,30.191999999999997,17.382597578670694,24.812402421329313
1995-12-01,20.0,20.55,20.2,20.2,29.529,17.46599350254096,24.32900649745904
1995-12-08,19.75,20.0,19.75,19.75,28.879,17.548776995039987,23.82122300496001
1995-12-11,19.75,19.75,19.15,19.15,28.284000000000002,17.53373281873659,23.416267181263414
1995-12-12,19.75,19.75,19.0,19.05,27.665,17.617417858066837,22.887582141933166
1995-12-13,19.05,19.4,19.0,19.25,27.072,17.95427675996035,22.095723240039646
1995-12-14,19.25,19.45,19.0,19.2,26.478,17.975605304233618,22.08939469576638
1995-12-15,19.2,19.2,18.85,18.85,25.887999999999998,17.922632919395312,22.10736708060469
1995-12-18,18.85,18.85,18.35,18.65,25.35,17.78221744838851,22.13778255161149
1995-12-19,18.65,19.0,18.55,19.0,24.835,17.79284278404876,21.84215721595124
1995-12-20,18.75,19.25,18.7,18.75,24.305,18.100473845163993,21.129526154836004
1995-12-21,18.75,18.95,18.65,18.85,23.949,18.40155193508981,20.51344806491019
1995-12-22,18.85,18.85,18.65,18.75,23.656999999999996,18.344706519142854,20.425293480857142
1995-12-26,18.75,18.85,18.2,18.85,23.474,18.303331531128958,20.351668468871043
1995-12-27,18.85,18.85,18.55,18.75,23.249000000000002,18.23908707775212,20.325912922247884
1995-12-28,18.75,19.1,18.8,18.85,22.954,18.21595398884749,20.32904601115251
1995-12-29,18.85,18.95,18.85,18.85,22.642,18.17555554595077,20.289444454049235
1996-01-01,18.85,18.95,18.75,18.8,22.374000000000002,18.177404310845528,20.157595689154473
1996-01-02,18.8,19.25,18.85,19.1,22.163,18.19337672573612,20.06662327426388
1996-01-09,18.85,18.85,18.55,18.85,21.872999999999998,18.215073442549553,19.934926557450446
1996-01-10,18.85,18.85,18.65,18.75,21.6,18.26074766116399,19.76425233883601
1996-01-11,18.75,19.0,18.65,18.75,21.34,18.429479110177258,19.450520889822744
1996-01-12,18.75,18.85,18.65,18.65,21.116,18.52796542995312,19.242034570046876
1996-01-15,18.65,18.85,18.8,18.8,20.921999999999997,18.531462721369174,19.203537278630826
1996-01-16,18.8,18.85,18.65,18.75,20.73,18.524066717504663,19.180933282495335
1996-01-17,18.5,19.25,18.5,18.85,20.576,18.562461016463168,19.10253898353684
1996-01-18,18.85,18.85,18.65,18.65,20.406000000000002,18.585191470884975,19.024808529115024
1996-01-19,18.65,18.9,18.65,18.85,20.25,18.585191470884975,19.024808529115024
1996-01-22,18.75,18.8,18.75,18.8,20.094,18.605072143173825,19.019927856826175
1996-01-23,18.8,18.85,18.65,18.65,19.925,18.595263331258057,18.994736668741947
1996-01-24,18.35,18.85,18.0,18.75,19.794,18.595263331258057,18.994736668741947
1996-01-25,18.75,18.45,18.35,18.45,19.679000000000002,18.524736980467768,19.02526301953223
1996-01-29,18.45,18.55,18.05,18.55,19.57,18.495302313500314,19.034697686499687
1996-01-30,18.55,18.8,18.35,18.8,19.479,18.49520359445164,19.029796405548357
1996-01-31,18.45,18.8,18.45,18.8,19.385,18.497260928282145,19.03273907171785
1996-02-02,18.85,18.95,18.65,18.8,19.285,18.497179935097012,19.027820064902986
1996-02-12,21.55,23.35,21.55,23.05,19.365000000000002,17.035199925425744,20.909800074574257
1996-02-13,23.05,23.55,22.95,23.45,19.45,16.422933369446337,21.98706663055366
1996-02-14,24.45,25.75,24.0,24.0,19.535,15.93926458446483,22.96073541553517
1996-02-15,24.0,24.85,23.35,24.05,19.579,15.657892036560893,23.762107963439107
1996-02-16,24.05,23.55,22.05,22.35,19.57,15.699961688405484,24.080038311594517
1996-02-19,22.35,22.45,21.7,22.4,19.578000000000003,15.774951739348367,24.37004826065163
1996-02-20,22.65,23.2,22.2,22.75,19.629,15.875768881212348,24.67923111878765
1996-02-22,22.75,22.85,22.75,22.75,19.684,15.998570501769304,24.9514294982307
1996-02-23,22.75,23.85,22.85,23.65,19.764,16.10681523411332,25.333184765886678
1996-02-26,23.65,25.35,23.85,25.15,19.886000000000003,16.109652029391487,25.960347970608513
1996-02-27,25.15,27.55,24.75,26.75,20.028,16.031955310057107,26.848044689942896
1996-02-28,26.75,27.1,26.45,26.6,20.158,16.0996846729271,27.555315327072893
1996-02-29,26.6,26.55,26.2,26.25,20.286,16.333861666533338,28.06613833346666
1996-03-01,26.25,26.35,25.55,26.3,20.413,16.693413304657348,28.47158669534265
1996-03-11,26.1,26.45,26.1,26.45,20.541999999999998,17.126783118981947,28.808216881018055
1996-03-12,26.45,26.65,26.15,26.45,20.667,17.737479433523696,28.997520566476304
1996-03-13,26.2,26.25,25.65,26.25,20.797000000000004,18.467020885134154,29.03797911486585
1996-03-14,26.25,26.2,25.85,26.2,20.938,19.27922196696679,28.965778033033207
1996-03-15,26.2,26.65,25.85,26.35,21.084,20.26468481257404,28.73531518742596
1996-03-18,26.35,26.2,25.85,26.2,21.223000000000003,21.533850312584725,28.206149687415277
1996-03-19,26.2,26.1,25.55,25.75,21.354,21.761723553987096,28.24827644601291
1996-03-21,25.75,25.85,25.0,25.75,21.492000000000004,21.94652440242248,28.293475597577523
1996-03-22,25.75,25.85,25.65,25.8,21.635,22.06832763274767,28.35167236725233
1996-03-25,25.8,25.9,25.75,25.85,21.772,22.195334580277606,28.404665419722395
1996-03-26,25.85,25.9,25.75,25.8,21.912999999999997,22.691459868947355,28.253540131052645
1996-03-27,25.8,25.85,25.45,25.55,22.047000000000004,23.254378197741186,28.00562180225882
1996-03-28,25.55,25.45,25.1,25.2,22.176,23.784472668140406,27.72052733185959
1996-03-29,25.2,25.2,23.65,23.65,22.272,24.095341927063714,27.499658072936292
1996-04-01,23.65,23.6,23.2,23.6,22.368999999999996,24.07946724555374,27.510532754446256
1996-04-02,23.6,23.95,23.65,23.85,22.469,23.823667063926948,27.636332936073053
1996-04-03,23.85,24.2,23.85,24.0,22.572000000000003,23.601130463329834,27.583869536670168
1996-04-04,23.85,24.0,23.85,23.85,22.673,23.378591156778242,27.531408843221755
1996-04-08,23.85,24.45,24.0,24.35,22.778000000000002,23.262984577021548,27.457015422978458
1996-04-09,24.35,24.55,24.1,24.5,22.891000000000005,23.18840142400656,27.351598575993446
1996-04-10,24.5,24.5,23.85,24.45,23.005,23.135456213041458,27.204543786958546
1996-04-11,24.45,24.55,24.05,24.45,23.119,23.104936722594026,27.035063277405975
1996-04-12,24.45,24.85,24.25,24.75,23.241,23.106558704562204,26.88344129543779
1996-04-15,24.75,25.0,24.65,24.8,23.361000000000004,23.12280835180021,26.727191648199792
1996-04-16,24.8,25.15,24.65,25.05,23.487000000000002,23.184919483475174,26.535080516524825
1996-04-17,25.05,25.45,25.1,25.35,23.616999999999997,23.245617119670598,26.3893828803294
1996-04-18,25.35,26.65,25.1,26.1,23.766000000000005,23.212428940815155,26.457571059184847
1996-04-19,26.1,26.55,26.1,26.4,23.916999999999998,23.144810853712773,26.590189146287226
1996-04-22,26.4,26.65,26.4,26.6,24.073,23.060945598447283,26.754054401552715
1996-04-23,26.6,26.85,26.35,26.75,24.235000000000003,22.970349386996396,26.934650613003605
1996-04-24,26.75,27.75,27.0,27.35,24.407000000000004,22.802327152432735,27.257672847567267
1996-04-25,27.35,28.35,27.1,27.15,24.581000000000003,22.696529033681543,27.523470966318456
1996-04-26,27.15,27.55,26.8,27.55,24.761000000000003,22.578274691189684,27.876725308810315
1996-04-29,27.55,27.1,26.65,27.05,24.926,22.73816193435896,28.056838065641042
1996-04-30,27.05,27.75,26.35,27.55,25.101,22.911149662969642,28.278850337030356
1996-05-01,27.55,28.05,27.2,27.25,25.27,23.116047873512983,28.41395212648701
1996-05-02,27.25,27.6,26.95,27.45,25.358,23.323393530940642,28.551606469059358
1996-05-03,27.45,27.45,27.1,27.15,25.432000000000002,23.630450988392727,28.574549011607278
1996-05-06,26.95,27.55,26.5,27.35,25.499000000000002,23.86558942244117,28.639410577558824
1996-05-07,27.35,27.45,26.85,27.4,25.566000000000003,24.108516083844165,28.686483916155836
1996-05-08,27.4,28.35,27.1,27.85,25.676,24.384967670704487,28.750032329295518
1996-05-09,27.85,27.85,27.25,27.35,25.775,24.74784521580719,28.67715478419281
1996-05-10,27.35,27.45,26.65,27.35,25.867000000000004,25.092229344238405,28.592770655761598
1996-05-13,27.35,27.45,27.15,27.35,25.959,25.496586491028353,28.443413508971645
1996-05-14,27.35,27.45,26.1,26.65,26.019000000000002,25.871240616491384,28.228759383508617
1996-05-15,26.65,27.2,25.55,26.05,26.037000000000003,26.091812679988976,28.07818732001102
1996-05-16,26.05,26.55,25.65,25.95,26.021000000000004,26.05127800698559,28.103721993014403
1996-05-17,25.95,25.8,25.6,25.75,26.004,25.894759750496426,28.19524024950357
1996-05-20,25.75,25.0,23.35,23.95,25.958000000000002,25.11692796096411,28.708072039035894
1996-05-21,23.95,24.95,23.55,24.65,25.925,24.74600463063973,28.868995369360263
1996-05-22,24.65,25.35,24.45,25.1,25.898000000000003,24.515936946879975,28.874063053120025
1996-05-23,25.1,25.35,25.05,25.25,25.874000000000002,24.34028413523453,28.859715864765473
1996-05-24,25.25,26.1,25.05,25.55,25.86,24.240284135234532,28.759715864765468
1996-05-27,25.55,25.2,24.65,24.75,25.831000000000003,24.011883017943408,28.75811698205659
1996-05-28,24.2,25.0,24.2,24.6,25.796,23.80334068332691,28.671659316673093
1996-05-29,24.6,25.75,24.25,25.5,25.781999999999996,23.743430045195556,28.55656995480444
1996-05-30,25.5,25.55,24.85,25.45,25.776,23.705465482177285,28.394534517822716
1996-05-31,25.45,25.75,25.15,25.6,25.772999999999996,23.67915149433845,28.26584850566156
1996-06-03,25.6,25.6,25.45,25.55,25.768,23.677177491063933,28.087822508936068
1996-06-04,25.55,26.6,25.55,25.95,25.77,23.72254372879106,27.897456271208945
1996-06-05,25.85,27.6,25.75,26.45,25.783,23.85666589039011,27.623334109609885
