Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2007-03-16,329.0,339.0,261.1,271.8,,,
2007-03-19,281.7,282.8,264.2,268.5,,,
2007-03-20,272.0,276.0,256.9,259.25,,,
2007-03-21,260.1,262.0,245.8,248.45,,,
2007-03-22,251.6,254.0,242.15,244.8,,,
2007-03-23,244.1,293.8,240.0,293.8,,,
2007-03-26,310.0,338.0,296.5,300.4,,,
2007-03-28,298.9,311.95,273.1,298.2,,,
2007-03-29,295.1,314.8,295.0,302.4,,,
2007-03-30,308.0,309.3,294.05,296.6,,,
2007-04-02,290.0,292.0,275.0,284.85,,,
2007-04-03,289.0,300.0,286.55,290.0,,,
2007-04-04,293.5,297.8,283.0,284.35,,,
2007-04-05,280.0,296.65,279.1,282.05,,,
2007-04-09,284.5,338.5,283.2,338.5,,,
2007-04-10,350.0,390.0,327.4,331.5,,,
2007-04-11,333.4,347.4,322.05,333.45,,,
2007-04-12,330.0,339.0,322.1,326.55,,,
2007-04-13,330.0,342.5,325.35,328.4,,,
2007-04-16,332.1,389.9,331.15,365.0,,233.6874566494416,361.19754335055836
2007-04-17,362.0,368.0,335.1,339.55,,235.62852762398688,366.0314723760131
2007-04-18,343.5,392.9,340.05,366.05,,236.2343376315452,375.18066236845476
2007-04-19,355.0,370.9,345.0,361.05,,240.7414286601158,380.85357133988424
2007-04-20,365.9,377.8,357.35,361.8,,249.36894081695465,383.5610591830454
2007-04-23,369.0,374.3,353.0,356.35,,261.8381001345592,382.2468998654408
2007-04-24,352.0,362.0,347.1,349.65,,264.96623035382004,384.7037696461799
2007-04-25,350.0,364.0,350.0,354.5,,267.4315313786819,387.64846862131816
2007-04-26,361.0,363.9,345.0,349.0,,270.90577552595016,389.2542244740499
2007-04-27,354.75,354.75,332.0,334.45,,273.9460727957144,389.41892720428564
2007-04-30,339.75,343.0,330.1,336.95,,278.3548437910827,389.04515620891726
2007-05-03,342.0,355.6,341.25,344.45,,286.2058440283286,387.1541559716713
2007-05-04,345.0,349.85,334.5,340.1,,293.7433879548367,384.6266120451633
2007-05-07,347.5,361.0,345.05,346.95,,304.8535938949378,379.7764061050622
2007-05-08,353.8,355.4,345.0,346.3,,321.06032596491525,369.9946740350848
2007-05-09,349.9,384.0,346.0,367.7,,320.85764462142527,373.11735537857476
2007-05-10,371.0,441.25,362.1,422.95,,309.61909420449615,393.50090579550385
2007-05-11,400.0,488.9,400.0,468.0,,292.30416179214194,424.2708382078581
2007-05-14,432.25,477.4,385.0,461.5,,286.3410150763869,443.72898492361304
2007-05-15,462.0,462.0,428.5,434.65,,287.81495155617984,452.8800484438201
2007-05-16,421.25,447.4,421.25,431.95,,286.76204398155323,460.62795601844675
2007-05-17,449.9,457.0,428.15,434.5,,289.0257332042225,467.8592667957775
2007-05-18,420.1,424.0,412.8,412.8,,290.28948057800153,471.27051942199853
2007-05-21,412.0,412.0,392.2,392.2,,292.20524118581466,472.4697588141853
2007-05-22,377.0,411.3,372.6,408.85,,294.3589095895729,475.0210904104271
2007-05-23,392.15,404.8,388.45,399.4,,297.30666021914425,476.3783397808558
2007-05-24,380.0,404.0,380.0,382.45,,300.62928944248495,476.335710557515
2007-05-25,367.0,387.0,365.35,378.85,,303.16468320603724,476.23531679396274
2007-05-28,383.95,383.95,365.1,372.25,,306.02122482285455,475.7037751771455
2007-05-29,375.0,375.0,366.0,373.05,,311.68034064804624,473.9046593519538
2007-05-30,371.0,383.0,367.0,380.1,347.144,317.89808995161013,472.00191004838985
