Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2008-06-19,350.05,361.95,350.05,357.75,,,
2008-06-20,354.15,361.0,325.15,329.9,,,
2008-06-23,323.25,333.0,298.0,330.35,,,
2008-06-24,325.2,334.8,309.0,315.6,,,
2008-06-25,301.5,327.0,301.0,318.1,,,
2008-06-26,320.0,331.95,308.0,313.55,,,
2008-06-27,313.0,317.5,298.05,310.65,,,
2008-06-30,307.0,319.0,289.7,305.0,,,
2008-07-01,313.0,313.0,299.0,304.9,,,
2008-07-02,298.85,310.0,295.2,306.0,,,
2008-07-03,302.25,309.65,290.25,296.4,,,
2008-07-04,298.0,298.0,291.0,293.9,,,
2008-07-07,294.1,328.9,294.0,294.95,,,
2008-07-08,294.95,298.0,279.0,285.6,,,
2008-07-09,291.0,299.6,283.0,289.45,,,
2008-07-10,285.0,291.0,281.0,289.45,,,
2008-07-11,304.0,304.0,290.0,297.95,,,
2008-07-14,309.95,309.95,287.0,290.3,,,
2008-07-15,287.0,292.0,271.0,285.45,,,
2008-07-16,285.0,300.0,281.3,297.15,,269.2150639552677,342.0249360447323
2008-07-17,299.0,301.0,290.0,298.15,,275.66662911606886,329.6133708839311
2008-07-18,290.1,298.15,282.0,294.85,,276.992667372091,324.782332627909
2008-07-21,299.0,304.7,286.0,290.85,,279.0881429718656,318.73685702813447
2008-07-22,292.1,292.1,283.1,284.95,,278.2610812902096,316.4989187097904
2008-07-23,295.0,301.9,290.0,297.9,,279.91059539351454,312.82940460648547
2008-07-24,300.0,303.0,290.05,297.85,,281.20998146454303,309.9600185354569
2008-07-25,282.0,314.7,282.0,311.25,,281.105725289265,310.124274710735
2008-07-28,314.7,324.0,304.15,314.75,,279.7299788939389,312.47502110606115
2008-07-29,316.5,316.95,310.0,314.4,,278.6526723197009,314.50232768029906
2008-07-30,316.2,323.95,316.0,321.25,,276.64424401502885,318.0357559849711
2008-07-31,323.0,330.0,316.0,320.8,,275.3710144113293,321.7489855886707
2008-08-01,320.0,325.0,316.15,320.55,,274.8428802949342,324.94211970506575
2008-08-04,320.0,342.45,320.0,339.1,,271.6787989440882,332.52120105591183
2008-08-05,336.0,357.5,335.0,353.7,,268.35859123400314,342.65140876599685
2008-08-06,362.9,366.0,342.0,348.6,,267.47779328870917,349.4472067112908
2008-08-07,340.0,345.95,339.05,344.9,,268.2141348052452,354.25586519475485
2008-08-08,340.0,344.95,335.0,336.95,,269.17544242559643,357.1945575744036
2008-08-11,340.0,350.0,331.25,340.0,,271.4890038472123,359.8509961527876
2008-08-12,320.9,345.0,320.9,325.15,,275.67849153207356,359.6315084679265
2008-08-13,325.0,336.5,315.25,321.5,,278.00219840297746,359.74280159702266
2008-08-14,323.0,327.0,320.05,320.2,,280.28583271218696,359.6641672878131
2008-08-18,322.0,331.0,315.1,318.6,,283.25745416174766,359.0675458382524
2008-08-19,315.2,317.0,302.0,303.55,,285.64562045360776,357.94937954639227
2008-08-20,305.1,314.85,305.1,309.55,,290.68050835593726,355.3744916440628
2008-08-21,306.0,310.0,299.5,304.3,,291.93400181178373,354.7609981882162
2008-08-22,301.0,322.0,300.0,319.25,,295.2858338326792,353.54916616732083
2008-08-25,313.0,329.5,313.0,325.35,,296.657739237556,353.58726076244403
2008-08-26,312.05,338.5,312.05,337.35,,297.7272115887081,354.7777884112919
2008-08-27,338.0,343.5,334.1,335.3,,299.07070282165574,355.5242971783443
2008-08-28,340.0,349.95,335.0,341.4,314.094,299.5535075902226,357.05649240977743
2008-08-29,335.15,341.0,316.05,338.2,313.703,300.3268403396423,358.02315966035775
2008-09-01,335.0,340.0,331.2,334.9,313.803,301.23438321095136,358.5506167890487
2008-09-02,335.0,345.0,330.3,334.5,313.88599999999997,301.2426797294469,358.08232027055317
2008-09-04,334.5,352.7,329.8,346.4,314.502,302.0126965372661,356.58230346273393
2008-09-05,338.85,345.5,336.0,344.65,315.033,302.3515814535353,355.84841854646476
2008-09-08,350.0,350.0,329.15,330.9,315.38,302.6795596337933,354.12044036620665
2008-09-09,339.8,339.8,321.0,327.25,315.712,302.50950743182506,353.320492568175
2008-09-10,328.0,340.5,321.05,330.45,316.221,302.6365901058255,352.2384098941745
2008-09-11,325.0,331.0,322.1,323.65,316.596,302.52342053998245,352.20157946001757
2008-09-12,325.1,325.1,315.0,316.55,316.807,301.93367651151766,352.29632348848236
2008-09-15,315.5,315.5,293.1,308.75,317.054,300.2051286129583,352.87987138704165
2008-09-16,300.0,311.95,295.05,310.25,317.381,299.00442129168886,353.24557870831114
2008-09-17,306.05,312.0,302.0,308.35,317.649,300.0114703252903,352.7185296747097
2008-09-18,300.0,320.0,291.25,316.15,318.26,301.0728898933791,352.3171101066209
2008-09-19,321.0,346.25,316.1,330.7,319.085,304.6281143361787,351.40188566382125
2008-09-22,334.0,342.0,324.55,330.05,319.897,305.5242219662009,351.585778033799
2008-09-23,322.35,336.0,322.35,327.65,320.491,305.68367912500054,351.6563208749995
2008-09-24,330.0,335.0,320.1,328.85,321.262,305.62298231345085,350.86701768654916
2008-09-25,329.9,340.0,328.1,335.0,322.253,305.6272894033524,350.83271059664753
2008-09-26,331.1,334.0,318.0,327.2,322.85400000000004,305.78367580583824,349.2563241941617
2008-09-29,327.0,337.95,305.55,320.45,323.3,305.286274523226,347.9787254767741
2008-09-30,320.1,333.0,305.1,330.7,324.017,305.33769691691083,347.5073030830892
2008-10-01,330.7,332.9,325.0,327.65,324.753,305.32774203788097,346.832257962119
2008-10-03,327.65,327.65,302.0,308.2,325.218,304.2784678158872,344.0615321841127
2008-10-06,318.0,318.0,290.05,302.7,325.31399999999996,302.42836400608616,341.71663599391394
2008-10-07,297.45,309.85,290.25,300.1,325.359,299.0582982196013,342.00670178039866
2008-10-08,295.0,302.5,251.25,277.85,324.691,289.6109738176442,346.5140261823558
2008-10-10,263.0,299.0,245.0,269.8,323.792,279.97523983071164,350.0847601692884
2008-10-13,288.95,292.0,260.0,273.7,322.978,273.20637000987756,351.8586299901225
2008-10-14,289.0,295.0,280.0,293.85,322.43,271.2576985817724,351.53730141822757
