Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2007-02-23,45.2,47.75,42.25,44.65,,,
2007-02-26,44.8,47.1,41.9,46.1,,,
2007-02-27,48.0,48.0,45.9,46.95,,,
2007-02-28,44.8,46.3,41.2,44.4,,,
2007-03-01,44.8,45.55,43.4,44.25,,,
2007-03-02,44.55,45.35,43.2,43.6,,,
2007-03-05,42.3,43.4,40.5,40.8,,,
2007-03-06,41.4,43.1,40.8,42.05,,,
2007-03-07,42.9,43.0,40.6,41.7,,,
2007-03-08,41.9,44.4,41.3,44.0,,,
2007-03-09,44.0,44.95,40.8,41.3,,,
2007-03-12,41.35,42.15,40.7,41.15,,,
2007-03-13,41.7,43.0,41.2,42.7,,,
2007-03-14,41.7,41.9,40.8,41.2,,,
2007-03-15,41.9,42.7,41.25,41.45,,,
2007-03-16,41.6,41.9,40.95,41.15,,,
2007-03-19,41.75,42.55,41.2,42.4,,,
2007-03-20,43.15,43.25,42.2,42.5,,,
2007-03-21,42.8,42.8,42.0,42.2,,,
2007-03-22,42.8,42.8,42.0,42.1,,39.3618296567408,46.30317034325919
2007-03-23,42.4,45.3,41.9,44.5,,39.37025497932269,46.27974502067732
2007-03-26,44.0,45.15,42.4,42.7,,39.56326228388256,45.746737716117444
2007-03-28,41.7,42.4,41.3,41.6,,40.01931726345196,44.755682736548046
2007-03-29,41.85,42.7,41.05,41.3,,40.018127093640054,44.44687290635995
2007-03-30,41.8,42.2,41.5,41.7,,40.09557483998927,44.11442516001074
2007-04-02,40.5,41.3,40.4,40.6,,39.96769820584477,43.94230179415523
2007-04-03,40.7,41.15,40.4,40.4,,39.891499391523936,43.97850060847607
2007-04-04,41.1,42.05,40.6,40.9,,39.78352996050189,43.97147003949812
2007-04-05,41.2,41.9,40.7,41.25,,39.74340294912521,43.966597050874796
2007-04-09,41.4,42.8,41.4,42.5,,39.89476652290549,43.66523347709451
2007-04-10,42.65,43.3,42.0,42.9,,39.925384575140264,43.794615424859735
2007-04-11,43.0,44.95,42.85,44.25,,39.83830525796566,44.19169474203434
2007-04-12,44.0,44.6,41.95,42.25,,39.83641314499722,44.148586855002776
2007-04-13,42.75,43.55,42.3,43.2,,39.905871978304695,44.27912802169531
2007-04-16,42.0,43.9,42.0,43.45,,39.947441097947724,44.43755890205228
2007-04-17,43.6,45.05,42.9,44.1,,39.99780130286901,44.682198697130985
2007-04-18,45.05,46.5,43.25,44.7,,39.885564264279026,45.02443573572097
2007-04-19,44.8,44.8,43.5,44.0,,39.86909394141177,45.19090605858823
2007-04-20,44.75,46.55,44.4,46.3,,39.592908842489564,45.877091157510435
2007-04-23,46.05,48.7,45.05,46.95,,39.33325796632551,46.6217420336745
2007-04-24,47.35,50.0,47.2,49.35,,38.62716805629056,47.812831943709455
2007-04-25,49.45,51.6,48.2,51.2,,37.84128975296155,49.44871024703844
2007-04-26,51.7,52.3,50.1,50.65,,37.59588279227471,50.599117207725286
2007-04-27,50.45,51.1,48.9,49.45,,37.72593780744516,51.28406219255484
2007-04-30,49.4,50.15,48.5,49.75,,37.8783670146087,51.9366329853913
2007-05-03,50.55,50.6,48.9,49.1,,38.37244290707021,52.29255709292978
2007-05-04,49.2,50.15,48.4,48.65,,39.0426908928026,52.4473091071974
2007-05-07,49.2,49.9,48.3,48.5,,39.724301025011314,52.525698974988686
2007-05-08,48.95,49.05,48.0,48.2,,40.44227132318045,52.50272867681956
2007-05-09,48.05,49.1,48.0,48.7,44.195,40.97893711972867,52.58606288027133
2007-05-10,49.1,54.25,48.9,53.05,44.363,41.15051605117379,53.429483948826224
2007-05-11,52.4,56.15,51.3,54.9,44.538999999999994,40.9854126700111,54.65958732998891
2007-05-14,55.9,56.3,54.25,55.7,44.714000000000006,41.327830698980684,55.66216930101931
2007-05-15,55.95,56.7,54.0,54.4,44.91400000000001,41.87961077527388,56.23038922472612
2007-05-16,54.95,59.55,54.65,58.35,45.196000000000005,42.00742593706575,57.59257406293425
2007-05-17,58.85,61.85,58.4,61.35,45.551,41.78349608478994,59.541503915210065
2007-05-18,61.2,61.35,58.9,59.7,45.928999999999995,42.1292454096382,60.6957545903618
2007-05-21,60.3,60.95,59.3,59.45,46.277,42.927621719321465,61.44237828067854
2007-05-22,59.6,59.6,58.2,58.6,46.615,43.55451746156964,62.045482538430356
2007-05-23,59.0,60.95,57.65,59.15,46.918,44.17980926239164,62.640190737608364
2007-05-24,58.8,59.7,58.5,59.05,47.272999999999996,44.54446384875236,63.245536151247634
2007-05-25,57.3,60.35,57.3,59.35,47.63700000000001,44.738561425718416,63.866438574281574
2007-05-28,59.95,60.9,59.85,60.2,47.986999999999995,45.032050148067604,64.5279498519324
2007-05-29,60.05,66.15,59.7,65.5,48.473,45.06948676076072,66.09551323923928
2007-05-30,64.3,66.7,62.0,63.8,48.92,45.537902472613496,67.03209752738651
2007-05-31,64.25,65.75,63.2,63.5,49.367000000000004,46.355665946197725,67.65433405380229
2007-06-01,64.4,65.1,63.2,63.6,49.791000000000004,47.480387779347254,68.02461222065274
2007-06-04,64.1,64.95,62.0,63.2,50.205,48.92370450811888,68.0512954918811
2007-06-05,63.2,63.6,62.5,63.1,50.62299999999999,50.786929688011824,67.67807031198817
2007-06-06,63.3,65.05,61.3,61.7,51.015,52.992211258055455,66.77278874194452
2007-06-07,60.8,62.75,58.9,59.65,51.318000000000005,54.113244221412685,66.31175577858731
2007-06-08,59.5,60.1,57.3,58.2,51.628,54.72088068231013,66.03411931768989
2007-06-11,60.6,60.6,57.7,58.25,51.961000000000006,55.18751147528033,65.82248852471969
2007-06-12,58.4,58.7,56.0,57.1,52.277,55.86577093575372,65.41422906424627
2007-06-13,57.55,57.55,55.9,56.1,52.565,55.43090929227151,65.62409070772848
2007-06-14,56.4,59.75,56.4,59.3,52.93899999999999,55.315617505638926,65.53438249436107
2007-06-15,60.05,60.7,57.45,57.85,53.288000000000004,55.102296723282294,65.56270327671771
2007-06-18,58.8,59.9,57.55,57.9,53.628,54.92475857167712,65.5852414283229
2007-06-19,58.0,59.35,58.0,59.15,53.986000000000004,54.982621649856945,65.58237835014303
2007-06-20,59.2,60.9,58.9,59.95,54.335,55.0465890035839,65.59841099641612
2007-06-21,60.3,60.75,59.0,59.9,54.675,55.11863785185651,65.61136214814351
2007-06-22,60.4,60.4,59.5,59.8,54.986000000000004,55.155626530582076,65.61937346941792
2007-06-25,60.0,60.0,56.8,57.7,55.295,54.89408604231643,65.63091395768357
2007-06-26,58.0,59.35,57.4,58.7,55.605,55.11915960529886,64.72584039470112
