Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
1995-01-04,195.0,195.0,195.0,195.0,,,
1995-01-06,197.5,197.5,197.5,197.5,,,
1995-01-17,185.0,185.0,185.0,185.0,,,
1995-01-18,192.5,192.5,192.5,192.5,,,
1995-01-23,192.5,192.5,190.0,191.25,,,
1995-01-27,187.5,187.5,187.5,187.5,,,
1995-01-30,188.0,188.0,188.0,188.0,,,
1995-01-31,187.5,190.0,187.5,190.0,,,
1995-02-02,192.5,192.5,192.5,192.5,,,
1995-02-03,192.6,192.6,192.5,192.5,,,
1995-02-06,192.0,192.0,192.0,192.0,,,
1995-02-08,190.0,190.0,190.0,190.0,,,
1995-02-14,182.5,187.5,182.5,187.5,,,
1995-02-16,182.5,182.5,182.5,182.5,,,
1995-02-23,165.0,165.0,157.5,157.5,,,
1995-02-24,171.5,171.5,171.5,171.5,,,
1995-02-28,175.0,175.0,175.0,175.0,,,
1995-03-01,187.0,187.0,187.0,187.0,,,
1995-03-03,185.0,185.0,185.0,185.0,,,
1995-03-06,187.5,187.5,187.5,187.5,,167.9952844989188,204.72971550108122
1995-03-16,191.25,192.5,191.25,192.5,,168.0850208304761,204.3899791695239
1995-03-20,180.0,180.0,180.0,180.0,,167.81896392842265,202.90603607157738
1995-03-21,176.5,176.5,176.5,176.5,,166.95075414879645,202.92424585120355
1995-03-22,180.0,185.0,180.0,185.0,,166.93038590757138,202.19461409242862
1995-03-27,187.5,190.0,185.0,190.0,,166.95907042011984,202.04092957988016
1995-03-28,189.5,190.0,189.5,190.0,,166.95887124287958,202.29112875712042
1995-03-31,205.0,212.5,205.0,212.5,,164.24079143659256,207.45920856340743
1995-04-03,205.05,210.0,205.05,210.0,,162.72728740050377,210.97271259949622
1995-04-04,212.5,212.5,210.0,211.0,,161.42417858066503,214.12582141933498
1995-04-05,220.0,225.0,220.0,223.85,,158.46693863710843,220.21806136289158
1995-04-06,215.0,217.5,215.0,215.0,,157.5556501362476,223.4293498637524
1995-04-07,225.0,225.0,224.0,224.0,,156.012594629317,228.372405370683
1995-04-10,225.0,225.0,216.0,216.75,,155.9415248150437,231.3684751849563
1995-04-12,216.5,216.5,214.0,215.0,,156.79742157670225,233.76257842329775
1995-04-17,215.0,215.0,212.5,212.5,,163.23052329492057,232.82947670507943
1995-04-18,214.5,214.5,212.5,212.5,,167.07678803510183,233.08321196489814
1995-04-24,201.0,201.0,200.0,200.0,,170.50449108287103,232.15550891712894
1995-04-25,195.0,195.0,195.0,195.0,,171.4852892836485,231.97471071635147
1995-04-26,187.5,190.0,187.5,190.0,,172.23909426926934,231.72090573073064
1995-04-27,183.0,185.0,182.5,182.5,,171.3984045225029,232.0615954774971
1995-04-28,179.0,179.0,177.0,177.0,,168.88798300515987,233.0220169948401
1995-05-02,173.75,173.75,170.0,170.0,,166.7426112104951,234.16738878950486
1995-05-03,165.0,170.0,165.0,170.0,,165.33723910744774,234.92276089255225
1995-05-04,173.0,177.5,173.0,177.5,,164.1240421417732,235.3859578582268
1995-05-05,180.0,190.0,180.0,190.0,,164.1240421417732,235.3859578582268
1995-05-08,187.5,187.5,180.75,180.75,,162.8964725273558,235.68852747264418
1995-05-09,185.0,187.5,185.0,185.1,,161.5569947280502,234.28800527194977
1995-05-10,185.0,187.5,185.0,185.0,,160.3363142516741,233.00868574832586
1995-05-12,183.75,184.5,183.5,183.85,,159.20465595056703,231.42534404943297
1995-05-15,185.0,185.0,180.0,180.0,191.22099999999998,159.0391428173206,227.2058571826794
1995-05-18,180.0,180.0,180.0,180.0,190.921,158.44424505558774,224.30075494441226
1995-05-22,184.0,192.5,184.0,192.5,190.821,160.64314716078087,218.95185283921916
1995-05-24,184.5,184.5,182.5,182.5,190.771,161.70498164479307,214.46501835520695
1995-05-25,177.5,177.5,177.5,177.5,190.47099999999998,162.71145357239027,209.70854642760975
1995-05-26,180.0,182.5,180.0,182.5,190.296,164.7075633063315,204.7124366936685
1995-05-29,179.45,179.45,179.45,179.45,190.135,167.8312665783513,198.28373342164872
1995-05-30,170.0,170.0,170.0,170.0,189.775,167.49237796374507,195.62262203625494
1995-05-31,170.0,172.75,170.0,170.0,189.375,166.84170414922517,193.77329585077484
1995-06-01,173.0,173.0,160.0,160.0,188.725,163.35123657874007,194.26376342125994
1995-06-02,160.0,165.0,160.0,165.0,188.175,161.41165909493296,194.45334090506705
1995-06-05,169.0,169.0,167.5,167.5,187.685,160.29014189776026,194.62485810223976
1995-06-06,167.5,167.5,159.0,159.0,187.065,158.10701638359967,195.70798361640033
1995-06-07,163.75,170.5,163.75,170.5,186.725,158.16939861232368,195.69560138767633
1995-06-08,167.5,167.5,167.5,167.5,186.425,157.20583882339392,195.6591611766061
