Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2011-06-15,74.9,77.5,72.0,72.2,,,
2011-06-16,72.8,74.5,72.5,74.35,,,
2011-06-17,74.4,75.05,73.25,73.6,,,
2011-06-20,70.3,72.0,70.2,71.25,,,
2011-06-21,68.0,73.0,68.0,71.0,,,
2011-06-22,74.5,74.5,70.3,70.3,,,
2011-06-23,70.0,72.0,68.0,69.6,,,
2011-06-24,72.05,72.05,72.05,72.05,,,
2011-06-27,73.4,73.4,70.6,72.4,,,
2011-06-28,72.0,72.0,72.0,72.0,,,
2011-06-29,70.25,72.0,70.25,70.7,,,
2011-06-30,70.25,70.25,70.0,70.2,,,
2011-07-04,71.5,71.5,71.5,71.5,,,
2011-07-05,72.8,77.5,72.8,74.9,,,
2011-07-06,77.0,81.0,75.5,79.1,,,
2011-07-07,79.4,80.3,75.8,79.95,,,
2011-07-08,79.0,80.0,77.0,77.8,,,
2011-07-11,80.0,80.0,76.5,76.5,,,
2011-07-12,77.5,80.0,77.0,77.35,,,
2011-07-13,76.9,79.95,76.9,79.7,,67.00036304508778,80.64463695491223
2011-07-14,79.0,79.9,78.1,78.8,,67.02896783355926,81.27603216644074
2011-07-15,78.1,78.1,78.1,78.1,,67.00044601957455,81.67955398042545
2011-07-18,79.5,80.5,79.4,79.4,,66.96254313759495,82.29745686240504
2011-07-19,79.4,82.9,79.3,80.75,,67.14762010855065,83.06237989144932
2011-07-20,85.4,90.5,81.7,88.25,,66.32296104891749,85.61203895108251
2011-07-21,88.0,91.4,88.0,90.05,,65.82396704088778,88.08603295911222
2011-07-22,92.3,96.3,89.7,91.55,,65.71213085939823,90.39286914060176
2011-07-25,93.0,95.9,89.6,93.15,,65.39621862873109,92.81878137126891
2011-07-26,93.0,94.0,91.5,93.05,,65.47835652207826,94.80164347792174
2011-07-27,100.0,111.65,100.0,111.65,,62.28583869878935,101.95916130121066
2011-07-28,117.4,129.0,106.65,110.8,,61.275033243824495,106.9799667561755
2011-07-29,117.0,117.0,102.55,108.65,,61.709974484293056,110.39002551570694
2011-08-01,106.7,108.9,100.3,104.4,,63.05026318599484,112.33973681400515
2011-08-02,103.0,107.8,100.0,100.7,,64.45956529705491,113.51043470294509
2011-08-03,99.0,102.0,92.65,100.8,,65.4659909129041,114.67400908709588
2011-08-04,97.5,107.4,97.5,100.65,,66.55196610021049,115.65803389978952
2011-08-05,99.6,99.6,90.15,96.4,,68.20551583039455,115.86448416960545
2011-08-08,94.95,97.5,93.5,95.2,,70.26615381529045,115.67384618470955
2011-08-09,93.5,96.7,92.5,93.8,,72.3123678088944,115.27263219110559
2011-08-10,95.5,101.9,94.5,99.8,,74.23221307480024,115.36278692519976
2011-08-11,98.0,105.0,98.0,102.45,,76.60232972560527,115.3576702743947
2011-08-12,104.0,110.0,103.6,108.15,,79.32029879443074,115.64470120556926
2011-08-16,111.0,111.6,105.0,106.2,,82.40705557136889,115.23794442863112
2011-08-17,120.0,120.0,104.0,108.5,,85.63891832935407,114.78108167064595
2011-08-18,108.0,110.95,108.0,108.45,,87.35632539027935,115.08367460972065
2011-08-19,107.0,109.4,100.6,108.55,,88.96763104289855,115.32236895710147
2011-08-22,111.0,116.4,109.7,113.1,,90.16922958906257,116.27577041093745
2011-08-23,113.95,115.95,113.0,114.4,,91.22444870995092,117.34555129004907
2011-08-24,114.6,122.0,114.6,119.0,,92.07319424044057,119.09180575955945
2011-08-25,121.2,124.7,120.25,123.95,89.70299999999999,90.57115668932234,121.82384331067765
