Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2002-04-26,8.0,8.0,7.0,7.5,,,
2002-04-29,7.7,7.8,7.55,7.7,,,
2002-04-30,7.8,8.05,7.7,8.0,,,
2002-05-02,8.05,9.2,8.05,8.95,,,
2002-05-03,9.15,9.5,8.9,9.3,,,
2002-05-06,9.4,9.65,9.2,9.35,,,
2002-05-07,9.35,9.35,8.95,9.05,,,
2002-05-08,9.1,9.15,8.5,8.7,,,
2002-05-09,8.95,8.95,8.55,8.75,,,
2002-05-10,9.6,9.6,8.6,8.65,,,
2002-05-13,8.8,9.0,8.8,8.95,,,
2002-05-14,9.0,9.0,8.65,8.7,,,
2002-05-15,8.75,8.85,8.5,8.5,,,
2002-05-16,8.55,8.55,8.2,8.25,,,
2002-05-17,8.2,8.35,7.8,8.05,,,
2002-05-20,8.0,8.0,7.65,7.75,,,
2002-05-21,7.7,7.7,7.2,7.45,,,
2002-05-22,7.3,7.65,7.3,7.45,,,
2002-05-23,7.55,7.6,7.4,7.5,,,
2002-05-24,7.7,7.95,7.7,7.75,,7.014352388028827,9.615647611971175
2002-05-27,7.9,7.95,7.75,7.8,,7.062428762512629,9.59757123748737
2002-05-28,7.9,8.0,7.6,7.6,,7.046225916005982,9.603774083994017
2002-05-29,7.75,8.0,7.7,7.9,,7.035108032392975,9.604891967607026
2002-05-30,8.0,8.25,7.7,7.8,,6.993486707381633,9.531513292618365
2002-05-31,7.95,8.1,7.65,7.8,,7.002117538957417,9.372882461042582
2002-06-03,8.1,8.1,7.5,7.6,,7.022478477440496,9.177521522559504
2002-06-04,7.9,8.05,7.65,7.9,,7.059874622972238,9.025125377027763
2002-06-05,8.2,8.7,7.95,8.55,,7.071399296498036,8.998600703501964
2002-06-06,8.75,8.9,8.25,8.45,,7.094683553417646,8.945316446582353
2002-06-07,8.65,8.9,8.4,8.6,,7.099106092996554,8.93589390700345
2002-06-10,8.8,9.1,8.55,9.0,,7.0907105147649485,8.94928948523505
2002-06-11,9.3,10.15,9.1,10.0,,6.830492338132519,9.339507661867483
2002-06-12,9.8,10.35,9.55,9.7,,6.705738493459047,9.584261506540953
2002-06-13,10.0,10.0,9.6,9.65,,6.6258592192468795,9.804140780753121
2002-06-14,9.8,9.85,9.4,9.6,,6.590094581033554,9.994905418966447
2002-06-17,11.0,11.0,9.5,9.6,,6.607331509207101,10.162668490792898
2002-06-18,9.65,9.75,9.3,9.4,,6.706853342404073,10.258146657595928
2002-06-19,9.75,10.15,9.4,9.5,,6.8236906784111415,10.346309321588857
2002-06-20,10.0,10.0,9.4,9.7,,6.944240766199744,10.445759233800253
2002-06-21,9.8,10.0,9.65,9.85,,7.036033178495574,10.563966821504428
2002-06-24,10.0,10.0,9.5,9.75,,7.150781271701283,10.644218728298714
2002-06-25,9.8,9.8,9.5,9.55,,7.33783056801189,10.652169431988112
2002-06-26,11.2,11.2,9.35,9.4,,7.487397213781242,10.65260278621876
2002-06-27,9.5,9.65,9.4,9.5,,7.68069374030752,10.629306259692479
2002-06-28,9.7,9.75,9.5,9.65,,7.904888640313996,10.590111359686004
2002-07-01,9.6,9.75,9.55,9.55,,8.244808629086927,10.44519137091307
2002-07-02,9.6,9.65,9.45,9.5,,8.559582546731894,10.290417453268107
2002-07-03,9.45,9.55,9.45,9.5,,8.711285596286398,10.233714403713602
2002-07-04,9.55,9.9,9.5,9.7,,8.940197954203072,10.129802045796929
2002-07-05,9.9,9.95,9.6,9.85,8.765,9.180146180649661,10.01485381935034
2002-07-08,9.9,10.05,9.8,9.85,8.812000000000001,9.316206693609708,9.96379330639029
2002-07-09,9.9,9.9,9.7,9.75,8.853000000000002,9.34563590434209,9.909364095657908
2002-07-10,9.75,9.9,9.65,9.85,8.89,9.337466277895308,9.932533722104692
2002-07-11,9.7,9.9,9.3,9.35,8.898000000000001,9.296531950654524,9.943468049345475
2002-07-12,9.45,9.6,9.4,9.5,8.902000000000001,9.287168207443932,9.942831792556069
2002-07-15,11.2,11.2,9.35,9.75,8.91,9.28929388392547,9.955706116074527
2002-07-16,9.6,9.8,9.4,9.5,8.919,9.305540538674759,9.949459461325244
