Date,Open,High,Low,Close,50_SMA,Lower_Band,Upper_Band
2019-04-16,633.0,667.8,630.0,654.8,,,
2019-04-18,656.9,664.9,614.0,643.55,,,
2019-04-22,643.0,645.8,625.25,628.1,,,
2019-04-23,628.0,648.0,628.0,634.1,,,
2019-04-24,636.5,640.0,628.25,637.5,,,
2019-04-25,639.2,652.0,633.0,639.6,,,
2019-04-26,642.0,647.4,640.0,644.65,,,
2019-04-30,646.95,646.95,630.15,639.25,,,
2019-05-02,638.9,651.0,631.0,641.25,,,
2019-05-03,642.7,646.0,637.65,641.85,,,
2019-05-06,638.0,649.9,633.0,642.7,,,
2019-05-07,644.95,653.5,643.0,648.6,,,
2019-05-08,646.0,648.0,640.15,646.0,,,
2019-05-09,646.25,647.4,639.35,645.7,,,
2019-05-10,646.05,677.7,645.3,655.15,,,
2019-05-13,660.6,662.0,651.05,654.9,,,
2019-05-14,656.0,659.75,626.3,633.75,,,
2019-05-15,620.0,625.7,602.0,620.65,,,
2019-05-16,625.0,625.0,583.3,599.35,,,
2019-05-17,596.15,601.5,587.0,595.7,,605.135714708548,669.5792852914519
2019-05-20,610.0,612.65,595.0,604.85,,600.6488814626157,669.0711185373843
2019-05-21,605.0,609.0,599.0,605.05,,596.5209758074618,669.3490241925381
2019-05-22,605.05,623.6,601.1,609.75,,594.19313755016,669.8418624498398
2019-05-23,614.5,619.65,600.0,601.9,,590.2849866322238,670.5300133677763
2019-05-24,605.0,609.75,602.35,605.15,,587.2868282759267,670.2931717240734
2019-05-27,608.75,633.0,606.25,620.2,,586.4740856724757,669.1659143275242
2019-05-28,625.1,630.0,621.4,625.75,,586.2918105842095,667.4581894157905
2019-05-29,622.1,629.65,618.0,619.95,,585.6492237374491,666.170776262551
2019-05-30,616.15,623.7,612.65,618.9,,585.0876245867843,664.4973754132158
2019-05-31,620.15,622.75,608.3,610.85,,583.9228882468165,662.5621117531837
2019-06-03,614.0,614.8,602.45,607.9,,582.7321983571995,660.2728016428003
2019-06-04,609.9,620.0,606.1,610.6,,582.7463432623023,656.4586567376977
